Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,693122000.0,-210864000.0,482258000.0,-380969000.0,-237141000.0,-103268000.0,101289000.0,-59567000.0,-52407000.0,41722000,11340000.0,53062000,-18157000.0,34905000,22631000,22631000,26202000.0,273885000.0,249430000.0,1005726000.0,10234243000.0,669210000.0,1470436000.0,12373889000.0,13379615000,455420000.0,215003000.0,1083542000.0,3199088000.0,8193784000.0,9277326000,2466923000.0,1624102000.0,4102289000.0,13379615000,30671000.0,120692000.0,38704000.0,51584000.0,241651000.0,-218867000.0,-219876000.0,-58001000.0,-15408000.0,-75052000.0,-53277000,2012-12-31,50.5099983215332,51.08000183105469,50.11999893188477,50.97999954223633,37.01976776123047,776300.0
2013-03-31,686652000.0,-230679000.0,455973000.0,-369050000.0,-223250000.0,-103730000.0,86923000.0,-52472000.0,-49478000.0,34451000,10854000.0,45305000,-12469000.0,32836000,24444000,24444000,25109000.0,265400000.0,258816000.0,871777000.0,10264260000.0,694540000.0,1470350000.0,12429150000.0,13300927000,421450000.0,122828000.0,891511000.0,3304458000.0,8257086000.0,9148597000,2473865000.0,1648521000.0,4152330000.0,13300927000,32836000.0,124344000.0,29837000.0,25140000.0,212157000.0,-182859000.0,-176720000.0,-58067000.0,12132000.0,-36530000.0,-1093000,2013-03-28,57.16999816894531,57.959999084472656,57.11000061035156,57.88999938964844,42.47027587890625,880100.0
2013-06-30,915822000.0,-277584000.0,638238000.0,-378426000.0,-229300000.0,-106292000.0,259812000.0,-53072000.0,-51307000.0,206740000,9901000.0,216641000,-77043000.0,139598000,131207000,131207000,27803000.0,342760000.0,253432000.0,1066289000.0,10309624000.0,691453000.0,1495328000.0,12496405000.0,13562694000,526378000.0,629231000.0,1537218000.0,2820172000.0,7856241000.0,9393459000,2476754000.0,1659868000.0,4169235000.0,13562694000,139598000.0,125138000.0,60668000.0,-83305000.0,242099000.0,-193742000.0,-195158000.0,-58164000.0,21973000.0,-44247000.0,2694000,2013-06-28,54.9900016784668,55.849998474121094,54.68000030517578,55.47000122070313,41.063568115234375,1232300.0
2013-09-30,1152392000.0,-350953000.0,801439000.0,-385751000.0,-233323000.0,-107388000.0,415688000.0,-57862000.0,-50587000.0,357826000,8804000.0,366630000,-131912000.0,234718000,226163000,226163000,135457000.0,423602000.0,258344000.0,1350486000.0,10368932000.0,698905000.0,1404348000.0,12472185000.0,13822671000,479692000.0,566481000.0,1446943000.0,2820315000.0,7954300000.0,9401243000,2489180000.0,1886038000.0,4421428000.0,13822671000,234718000.0,128489000.0,178630000.0,-113763000.0,428074000.0,-204914000.0,-200078000.0,-58254000.0,-62750000.0,-120342000.0,107654000,2013-09-30,54.61999893188477,54.9900016784668,54.47000122070313,54.7400016784668,40.89707565307617,562600.0
2013-12-31,699762000.0,-236493000.0,463269000.0,-379369000.0,-238854000.0,-98298000.0,83900000.0,-52802000.0,-50516000.0,31098000,10883000.0,41981000,-9167000.0,32814000,24260000,24260000,9526000.0,296701000.0,259710000.0,1043609000.0,10731296000.0,726697000.0,1007084000.0,12465077000.0,13508686000,526393000.0,693549000.0,1618644000.0,2796465000.0,7549582000.0,9168226000,2491558000.0,1785273000.0,4340460000.0,13508686000,32814000.0,114351000.0,20011000.0,103801000.0,270977000.0,-434807000.0,-437445000.0,-60759000.0,103074000.0,40537000.0,-125931000,2013-12-31,53.099998474121094,53.16999816894531,52.709999084472656,52.91999816894531,39.93081665039063,818800.0
2014-03-31,686251000.0,-249786000.0,436465000.0,-361295000.0,-212882000.0,-101772000.0,75170000.0,-55286000.0,-52969000.0,19884000,11212000.0,31096000,-6405000.0,24691000,15766000,15766000,103421000.0,243380000.0,259897000.0,897930000.0,10810605000.0,740241000.0,1002021000.0,12552867000.0,13450797000,451349000.0,549924000.0,1394643000.0,3045614000.0,7678453000.0,9073096000,2497485000.0,1801047000.0,4377701000.0,13450797000,24691000.0,122394000.0,-27967000.0,130039000.0,249157000.0,-207459000.0,-208508000.0,-62520000.0,106375000.0,53246000.0,93895000,2014-03-31,54.290000915527344,54.849998474121094,54.13999938964844,54.65999984741211,41.70170974731445,890400.0
2014-06-30,906264000.0,-290854000.0,615410000.0,-361297000.0,-211222000.0,-105150000.0,254113000.0,-49478000.0,-51751000.0,204635000,11289000.0,215924000,-74540000.0,141384000,132458000,132458000,9161000.0,322621000.0,269145000.0,999072000.0,10892008000.0,765320000.0,1033917000.0,12691245000.0,13690317000,597882000.0,545491000.0,1554707000.0,2999513000.0,7753748000.0,9308455000,2500064000.0,1808232000.0,4381862000.0,13690317000,141384000.0,123977000.0,52136000.0,-101588000.0,215909000.0,-181293000.0,-184460000.0,-62618000.0,-50458000.0,-125709000.0,-94260000,2014-06-30,56.66999816894531,58.06000137329102,56.63000106811523,57.84000015258789,44.58041000366211,1204800.0
2014-09-30,1172667000.0,-382361000.0,790306000.0,-368531000.0,-223418000.0,-103660000.0,421775000.0,-49453000.0,-47626000.0,372322000,10517000.0,382839000,-134753000.0,248086000,243961000,243961000,10471000.0,387717000.0,263056000.0,1040932000.0,10876014000.0,768091000.0,1295311000.0,12939416000.0,13980348000,570056000.0,387991000.0,1448518000.0,3037801000.0,7887817000.0,9336335000,2502217000.0,2052207000.0,4644013000.0,13980348000,248086000.0,125351000.0,95260000.0,-46845000.0,421852000.0,-229906000.0,-240789000.0,-62640000.0,-119349000.0,-179753000.0,1310000,2014-09-30,54.95000076293945,55.349998474121094,54.13000106811523,54.63999938964844,42.54219436645508,1125100.0
2014-12-31,726450000.0,-256828000.0,469622000.0,-409438000.0,-260503000.0,-106776000.0,60184000.0,-58871000.0,-48604000.0,1313000,13229000.0,14542000,-5007000.0,9535000,5410000,5410000,7604000.0,294646000.0,255986000.0,973435000.0,11074575000.0,785533000.0,1455347000.0,13315455000.0,14288890000,554217000.0,530970000.0,1559143000.0,3006573000.0,8210645000.0,9769788000,2512970000.0,1926065000.0,4519102000.0,14288890000,9535000.0,124765000.0,43473000.0,34936000.0,212709000.0,-291976000.0,-288911000.0,-58893000.0,136255000.0,73335000.0,-2867000,2014-12-31,69.72000122070311,69.76999664306639,68.23999786376953,68.30999755859375,53.72040176391602,1032600.0
2015-03-31,671219000.0,-223237000.0,447982000.0,-380298000.0,-214944000.0,-120949000.0,67684000.0,-52450000.0,-48399000.0,15234000,13440000.0,28674000,-7947000.0,20727000,16122000,16122000,11664000.0,239897000.0,265981000.0,935442000.0,11197136000.0,797235000.0,1505890000.0,13500261000.0,14435703000,502309000.0,428070000.0,1373976000.0,3281319000.0,8508720000.0,9882696000,2523247000.0,1942194000.0,4553007000.0,14435703000,20727000.0,141494000.0,-16064000.0,-2009000.0,144148000.0,-251041000.0,-232817000.0,-64061000.0,147100000.0,92729000.0,4060000,2015-03-31,63.63999938964844,64.19999694824219,63.33000183105469,63.75,50.55609512329102,771200.0
2015-06-30,890648000.0,-281477000.0,609171000.0,-377198000.0,-210965000.0,-122739000.0,231973000.0,-50762000.0,-48328000.0,181211000,13667000.0,194878000,-67371000.0,127507000,122902000,122902000,13557000.0,286718000.0,274297000.0,1031756000.0,11343457000.0,794082000.0,1532188000.0,13669727000.0,14701483000,602411000.0,260223000.0,1339859000.0,3565857000.0,8835981000.0,10175840000,2526945000.0,1933256000.0,4525643000.0,14701483000,127507000.0,140724000.0,87282000.0,-105367000.0,250146000.0,-279994000.0,-276686000.0,-64180000.0,118153000.0,28433000.0,1893000,2015-06-30,56.72999954223633,57.11000061035156,56.4000015258789,56.88999938964844,45.54733657836914,1480900.0
2015-09-30,1199146000.0,-363847000.0,835299000.0,-390188000.0,-220449000.0,-125625000.0,445111000.0,-54741000.0,-49342000.0,390370000,11163000.0,401533000,-139555000.0,261978000,257116000,257116000,13007000.0,358464000.0,278523000.0,1061979000.0,11467754000.0,779805000.0,1565480000.0,13813039000.0,14875018000,524694000.0,468433000.0,1523362000.0,3257347000.0,8560337000.0,10083699000,2529019000.0,2190387000.0,4791319000.0,14875018000,261978000.0,145903000.0,110598000.0,-91400000.0,427079000.0,-247665000.0,-263285000.0,-64225000.0,-100500000.0,-164344000.0,-550000,2015-09-30,63.52000045776367,64.20999908447266,63.22999954223633,64.13999938964844,51.85333633422852,574800.0
2015-12-31,734430000.0,-232737000.0,501693000.0,-391859000.0,-222019000.0,-125109000.0,109834000.0,-54213000.0,-48895000.0,55621000,13204000.0,68825000,-22847000.0,45978000,41117000,41117000,39488000.0,271566000.0,279931000.0,890516000.0,11684969000.0,799820000.0,1652953000.0,14137742000.0,15028258000,561748000.0,357580000.0,1442317000.0,3462391000.0,8866484000.0,10308801000,2541668000.0,2092803000.0,4719457000.0,15028258000,45978000.0,143543000.0,69412000.0,14021000.0,272954000.0,-297387000.0,-293445000.0,-67561000.0,114692000.0,46972000.0,26481000,2015-12-31,65.05000305175781,65.09999847412111,63.77999877929688,64.48000335693361,52.6384162902832,517100.0
2016-03-31,677167000.0,-221285000.0,455882000.0,-405720000.0,-243195000.0,-119476000.0,50162000.0,-54665000.0,-50744000.0,-4503000,15743000.0,11240000,-1914000.0,9326000,4453000,4453000,14484000.0,213381000.0,278406000.0,826025000.0,11907920000.0,813245000.0,1637911000.0,14359076000.0,15185101000,461324000.0,619380000.0,1585902000.0,3463032000.0,8858786000.0,10444688000,2547065000.0,2097246000.0,4740413000.0,15185101000,9326000.0,140759000.0,9824000.0,-15700000.0,144209000.0,-378500000.0,-372305000.0,-67611000.0,261800000.0,203092000.0,-25004000,2016-03-31,74.68000030517578,75.1500015258789,74.48999786376953,75.06999969482422,61.88768005371094,861400.0
