Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2013-03-31,2782849000.0,-1372829000.0,1410020000.0,-955396000.0,-529231000.0,-248706000.0,454624000.0,-99620000.0,-139631000.0,355004000,355004000,-118434000.0,236570000,236570000,236570000,112960000.0,789209000.0,447709000.0,2704671000.0,24219231000.0,4663773000.0,28883004000.0,31587675000,1616398000.0,431929000.0,2526517000.0,10642009000.0,19906045000.0,22432562000,6752401000.0,2516332000.0,9155113000.0,31587675000,236570000.0,253004000.0,148831000.0,3923000.0,642328000.0,-752251000.0,-586239000.0,-231000.0,-713264000.0,-124426000.0,65915000.0,160084000.0,101573000.0,30637000,2013-03-28,29.290000915527344,29.739999771118164,29.270000457763672,29.70000076293945,22.684833526611328,4727000.0
2013-06-30,2578913000.0,-1207690000.0,1371223000.0,-968987000.0,-562557000.0,-243934000.0,402236000.0,-106486000.0,-146853000.0,295750000,295750000,-98893000.0,196857000,196857000,196857000,58821000.0,719069000.0,494890000.0,2818200000.0,24813411000.0,4634651000.0,29448062000.0,32266262000,1536937000.0,636042000.0,2696810000.0,10816477000.0,20269207000.0,22966017000,6839145000.0,2572935000.0,9300245000.0,32266262000,196857000.0,254654000.0,114156000.0,-133770000.0,431897000.0,-844527000.0,-304461000.0,-1935000.0,-798713000.0,-125966000.0,371614000.0,67029000.0,312677000.0,-54139000,2013-06-28,27.3799991607666,28.59000015258789,27.3799991607666,28.34000015258789,21.8536319732666,9454100.0
2013-09-30,2822338000.0,-1180331000.0,1642007000.0,-976894000.0,-575305000.0,-228491000.0,665113000.0,-107012000.0,-144542000.0,558101000,558101000,-193349000.0,364752000,364752000,364752000,101834000.0,786874000.0,604628000.0,3120741000.0,25342578000.0,4663333000.0,30005911000.0,33126652000,1575363000.0,582538000.0,2839061000.0,10914273000.0,20740305000.0,23579366000,6859780000.0,2797486000.0,9547286000.0,33126652000,364752000.0,232965000.0,181501000.0,149465000.0,928683000.0,-857420000.0,-286698000.0,-1252000.0,-798817000.0,-131756000.0,42596000.0,2307000.0,-86853000.0,43013000,2013-09-30,27.59000015258789,27.729999542236328,27.46999931335449,27.61000061035156,21.510520935058594,3242900.0
2013-12-31,2730822000.0,-1373896000.0,1356926000.0,-1031344000.0,-606439000.0,-256732000.0,325582000.0,-102227000.0,-144173000.0,223355000,223355000,-73300000.0,150055000,150055000,150055000,107144000.0,744160000.0,576538000.0,3218040000.0,26122159000.0,4567291000.0,30689450000.0,33907490000,1938808000.0,1039763000.0,3654498000.0,10910754000.0,20687042000.0,24341540000,6864242000.0,2807983000.0,9565950000.0,33907490000,150055000.0,261220000.0,132029000.0,37824000.0,581128000.0,-904009000.0,-304483000.0,-4086000.0,-902590000.0,-131894000.0,456319000.0,2347000.0,326772000.0,5310000,2013-12-31,28.0,28.0,27.85000038146973,27.940000534057607,21.98638916015625,1752800.0
2014-03-31,3202604000.0,-1700278000.0,1502326000.0,-1008334000.0,-560143000.0,-245943000.0,493992000.0,-97000000.0,-139094000.0,396992000,396992000,-135771000.0,261221000,261221000,261221000,132313000.0,885098000.0,436237000.0,3129346000.0,26541482000.0,4527924000.0,31069406000.0,34198752000,1806233000.0,1047133000.0,3467748000.0,11205319000.0,20983580000.0,24451328000,6934029000.0,2918215000.0,9747424000.0,34198752000,261221000.0,250343000.0,171697000.0,-90612000.0,592649000.0,-822628000.0,-229548000.0,-1161000.0,-800770000.0,-132033000.0,301775000.0,63548000.0,233290000.0,25169000,2014-03-31,30.25,30.559999465942386,30.20000076293945,30.36000061035156,24.12625312805176,2750800.0
2014-06-30,2685096000.0,-1259865000.0,1425231000.0,-1028023000.0,-585604000.0,-255307000.0,397208000.0,-97786000.0,-139400000.0,299422000,299422000,-104258000.0,195164000,195164000,195164000,99540000.0,742730000.0,501270000.0,3123820000.0,27070377000.0,4523447000.0,31593824000.0,34717644000,1546031000.0,785322000.0,3059929000.0,11752778000.0,21736943000.0,24796872000,7062732000.0,2961406000.0,9920772000.0,34717644000,195164000.0,259571000.0,91430000.0,-99303000.0,446862000.0,-753120000.0,-175232000.0,-971000.0,-730455000.0,-142328000.0,280123000.0,113025000.0,250820000.0,-32773000,2014-06-30,31.940000534057607,32.290000915527344,31.770000457763672,32.22999954223633,25.86330986022949,3023700.0
2014-09-30,2869807000.0,-1187211000.0,1682596000.0,-1016916000.0,-568391000.0,-255395000.0,665680000.0,-101129000.0,-143219000.0,564551000,564551000,-195969000.0,368582000,368582000,368582000,137868000.0,760213000.0,634262000.0,3196594000.0,27630363000.0,4536484000.0,32166847000.0,35363441000,1717051000.0,954506000.0,3470869000.0,11501720000.0,21737912000.0,25208781000,7079274000.0,3177387000.0,10154660000.0,35363441000,368582000.0,259792000.0,213438000.0,123018000.0,964830000.0,-725591000.0,-94713000.0,-88000.0,-703531000.0,-143225000.0,-81812000.0,2066000.0,-222971000.0,38328000,2014-09-30,30.35000038146973,30.6299991607666,30.239999771118164,30.399999618530273,24.630657196044922,5631000.0
2014-12-31,2928628000.0,-1469619000.0,1459009000.0,-1067759000.0,-620241000.0,-262400000.0,391250000.0,-107094000.0,-144895000.0,284156000,284156000,-87817000.0,196339000,196339000,196339000,79608000.0,826506000.0,597183000.0,3364380000.0,28756916000.0,4836588000.0,33593504000.0,36957884000,1879877000.0,1277226000.0,4064583000.0,11499634000.0,22678819000.0,26743402000,7101663000.0,3220958000.0,10214482000.0,36957884000,196339000.0,266809000.0,205111000.0,-13114000.0,655145000.0,-898452000.0,-96076000.0,-156000.0,-882495000.0,-143825000.0,322050000.0,2159000.0,169090000.0,-58260000,2014-12-31,36.5,36.650001525878906,35.86999893188477,35.91999816894531,29.35004425048828,2450000.0
2015-03-31,2962219000.0,-1432552000.0,1529667000.0,-1049359000.0,-585830000.0,-273098000.0,480308000.0,-115199000.0,-144940000.0,365109000,235646000,-83580000.0,152066000,152066000,152066000,133044000.0,826797000.0,505213000.0,3057446000.0,28966911000.0,4854294000.0,33821205000.0,36878651000,1672023000.0,1226399000.0,3774528000.0,11499470000.0,22889253000.0,26663781000,7111654000.0,3209904000.0,10214870000.0,36878651000,152066000.0,277388000.0,253211000.0,302729000.0,985394000.0,-770609000.0,-387826000.0,-321000.0,-738389000.0,-144025000.0,-50955000.0,1411000.0,-193569000.0,53436000,2015-03-31,34.68000030517578,34.93000030517578,34.490001678466804,34.810001373291016,28.70976257324219,4321500.0
2015-06-30,2515134000.0,-1039536000.0,1475598000.0,-1052753000.0,-594279000.0,-274602000.0,422845000.0,-116033000.0,-144222000.0,306812000,306812000,-109881000.0,196931000,196931000,196931000,135597000.0,676223000.0,532703000.0,3048922000.0,29350364000.0,4869523000.0,34219887000.0,37268809000,1433486000.0,1158356000.0,3537251000.0,11896126000.0,23462492000.0,26999743000,7130607000.0,3243645000.0,10269066000.0,37268809000,196931000.0,279032000.0,130128000.0,-82440000.0,523651000.0,-707350000.0,-252274000.0,-443000.0,-692634000.0,-153997000.0,323535000.0,1998000.0,171536000.0,2553000,2015-06-30,32.259998321533196,32.380001068115234,32.02000045776367,32.18000030517578,26.8045711517334,4141900.0
2015-09-30,2901312000.0,-1089000000.0,1812312000.0,-1026500000.0,-565984000.0,-280121000.0,785812000.0,-120320000.0,-152566000.0,665492000,665492000,-239029000.0,426463000,426463000,426463000,404409000.0,741230000.0,644963000.0,3344422000.0,29828609000.0,4856665000.0,34685274000.0,38029696000,1608811000.0,521474000.0,3085020000.0,12690751000.0,24399846000.0,27484866000,7141608000.0,3506861000.0,10544830000.0,38029696000,426463000.0,284940000.0,270673000.0,-1199000.0,980877000.0,-708410000.0,-133160000.0,-68000.0,-708225000.0,-154195000.0,148466000.0,1889000.0,-3840000.0,268812000,2015-09-30,34.880001068115234,35.45000076293945,34.709999084472656,35.40999984741211,29.782434463500977,2722000.0
2015-12-31,2645335000.0,-1142912000.0,1502423000.0,-1062388000.0,-583907000.0,-296179000.0,440035000.0,-121448000.0,-153272000.0,318587000,319050000,-110510000.0,208540000,208540000,208540000,84940000.0,724606000.0,608584000.0,2770226000.0,31205851000.0,4845400000.0,36051251000.0,38821477000,1728410000.0,1503021000.0,4058297000.0,12398880000.0,24162260000.0,28220557000,7157945000.0,3552728000.0,10600920000.0,38821477000,208540000.0,301640000.0,168988000.0,-131090000.0,548078000.0,-1496631000.0,-484740000.0,-1168000.0,-1483752000.0,-154783000.0,779954000.0,1702000.0,615873000.0,-319801000,2015-12-31,36.349998474121094,36.38000106811523,35.630001068115234,35.90999984741211,30.47839546203613,2330400.0
2016-03-31,2772273000.0,-1182214000.0,1590059000.0,-1100189000.0,-577410000.0,-320020000.0,489870000.0,-119908000.0,-156443000.0,369962000,369962000,-128650000.0,241312000,241312000,241312000,101491000.0,729386000.0,520054000.0,2732617000.0,31433406000.0,4903821000.0,36337227000.0,39069844000,1656406000.0,839516000.0,3188568000.0,13148395000.0,25209642000.0,28398210000,7159821000.0,3620421000.0,10671634000.0,39069844000,241312000.0,323761000.0,189457000.0,48020000.0,802550000.0,-700319000.0,-109373000.0,-260000.0,-694107000.0,-162410000.0,83794000.0,-789000.0,-91892000.0,16551000,2016-03-31,41.61000061035156,41.849998474121094,41.4900016784668,41.81999969482422,35.79319381713867,3219200.0
2016-06-30,2499849000.0,-954371000.0,1545478000.0,-1113897000.0,-596978000.0,-322534000.0,431581000.0,-130389000.0,-162980000.0,301192000,301192000,-104397000.0,196795000,196795000,196795000,76711000.0,689564000.0,526785000.0,2704099000.0,31823282000.0,4962783000.0,36786065000.0,39490164000,1594384000.0,1157151000.0,3506381000.0,13104770000.0,25280649000.0,28787030000,7166276000.0,3643653000.0,10703134000.0,39490164000,196795000.0,326575000.0,121646000.0,-22540000.0,622476000.0,-712810000.0,-210507000.0,-1910000.0,-749213000.0,-172703000.0,274660000.0,0.0,101957000.0,-24780000,2016-06-30,43.93000030517578,44.77999877929688,43.77999877929688,44.77999877929688,38.63417434692383,3544800.0
2016-09-30,3040147000.0,-1113477000.0,1926670000.0,-1099616000.0,-590009000.0,-328503000.0,827054000.0,-130847000.0,-165857000.0,696207000,696207000,-238412000.0,457795000,457795000,457795000,353385000.0,754248000.0,614908000.0,3076163000.0,32206696000.0,5041891000.0,37248587000.0,40324750000,1666680000.0,1075567000.0,3453972000.0,13402583000.0,25882836000.0,29336808000,7168778000.0,3924125000.0,10987942000.0,40324750000,457795000.0,332346000.0,246514000.0,-36340000.0,1000315000.0,-773354000.0,-70151000.0,-1792000.0,-762937000.0,-172704000.0,214021000.0,-2021000.0,39296000.0,276674000,2016-09-30,41.97999954223633,42.13999938964844,40.91999816894531,41.13999938964844,35.78750991821289,4039100.0
2016-12-31,2794731000.0,-1236938000.0,1557793000.0,-1066298000.0,-535603000.0,-331943000.0,491495000.0,-154856000.0,-161720000.0,336639000,336639000,-109541000.0,227098000,227098000,227098000,85000000.0,776000000.0,604000000.0,2842000000.0,32842000000.0,5471000000.0,38313000000.0,41155000000,1847000000.0,647000000.0,3247000000.0,14195000000.0,26887000000.0,30134000000,7149000000.0,3982000000.0,11021000000.0,41155000000,227098000.0,336318000.0,120383000.0,-57140000.0,626659000.0,-1008517000.0,-156969000.0,3962000.0,-1054743000.0,-173183000.0,361525000.0,-29190000.0,159639000.0,-268445000,2016-12-30,41.0,41.06999969482422,40.560001373291016,40.70000076293945,35.701473236083984,1893100.0
