Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-06-30,2874000000.0,-1711000000.0,1163000000.0,-229000000.0,-229000000.0,934000000.0,-91000000.0,-122000000.0,843000000,843000000,-319000000.0,524000000,524000000,524000000,371000000.0,1086000000.0,242000000.0,1884000000.0,24968000000.0,2278000000.0,61000000.0,27307000000.0,29191000000,1448000000.0,27000000.0,1774000000.0,7972000000.0,17639000000.0,19413000000,2225000000.0,8544000000.0,9778000000.0,29191000000,524000000.0,230000000.0,54000000.0,-180000000.0,628000000.0,-494000000.0,-8000000.0,-496000000.0,-153000000.0,-18000000.0,-434000000.0,-605000000.0,-473000000,2012-06-29,71.26000213623047,71.7699966430664,71.02999877929688,71.7699966430664,57.92683410644531,1776300.0
2012-09-30,2693000000.0,-1732000000.0,961000000.0,-230000000.0,-230000000.0,731000000.0,-91000000.0,-124000000.0,640000000,640000000,-238000000.0,402000000,402000000,402000000,708000000.0,1078000000.0,236000000.0,2199000000.0,25260000000.0,2315000000.0,66000000.0,27641000000.0,29840000000,1410000000.0,52000000.0,1824000000.0,8428000000.0,18249000000.0,20073000000,2226000000.0,8512000000.0,9767000000.0,29840000000,402000000.0,232000000.0,124000000.0,55000000.0,813000000.0,-522000000.0,-2000000.0,-520000000.0,-159000000.0,473000000.0,-270000000.0,44000000.0,337000000,2012-09-28,64.01000213623047,64.02999877929689,63.25,63.63000106811523,51.70244598388672,3930800.0
2012-12-31,2684000000.0,-1737000000.0,947000000.0,-233000000.0,-233000000.0,714000000.0,-93000000.0,-129000000.0,621000000,621000000,-208000000.0,413000000,413000000,413000000,668000000.0,1109000000.0,216000000.0,2242000000.0,25736000000.0,2300000000.0,64000000.0,28100000000.0,30342000000,1568000000.0,250000000.0,2081000000.0,8432000000.0,18501000000.0,20582000000,2226000000.0,8643000000.0,9760000000.0,30342000000,413000000.0,234000000.0,80000000.0,-138000000.0,589000000.0,-574000000.0,-9000000.0,-542000000.0,-157000000.0,196000000.0,-126000000.0,-87000000.0,-40000000,2012-12-31,60.81999969482422,61.88000106811523,60.70000076293945,61.84000015258789,50.65145492553711,2009900.0
2013-03-31,2738000000.0,-1820000000.0,918000000.0,-227000000.0,-227000000.0,691000000.0,6000000.0,-129000000.0,697000000,697000000,-247000000.0,450000000,450000000,450000000,687000000.0,1158000000.0,246000000.0,2323000000.0,25870000000.0,2341000000.0,65000000.0,28276000000.0,30599000000,1507000000.0,47000000.0,1904000000.0,8438000000.0,18585000000.0,20489000000,2292000000.0,8904000000.0,10110000000.0,30599000000,450000000.0,228000000.0,11000000.0,34000000.0,723000000.0,-360000000.0,-5000000.0,-366000000.0,-157000000.0,-203000000.0,22000000.0,-338000000.0,19000000,2013-03-28,76.5,77.41999816894531,76.04000091552734,77.08000183105469,63.58361434936523,1795900.0
2013-06-30,2802000000.0,-1740000000.0,1062000000.0,-226000000.0,-226000000.0,836000000.0,-99000000.0,-128000000.0,737000000,737000000,-272000000.0,465000000,465000000,465000000,587000000.0,1072000000.0,228000000.0,2078000000.0,26098000000.0,2366000000.0,63000000.0,28527000000.0,30605000000,1464000000.0,47000000.0,1815000000.0,8430000000.0,18602000000.0,20417000000,2297000000.0,8954000000.0,10188000000.0,30605000000,465000000.0,228000000.0,65000000.0,25000000.0,783000000.0,-456000000.0,-2000000.0,-441000000.0,-158000000.0,-13000000.0,-256000000.0,-427000000.0,-85000000,2013-06-28,73.30000305175781,73.69999694824219,72.62999725341797,72.6500015258789,60.31884002685547,3102300.0
2013-09-30,2824000000.0,-1745000000.0,1079000000.0,-230000000.0,-230000000.0,849000000.0,-101000000.0,-131000000.0,748000000,748000000,-266000000.0,482000000,482000000,482000000,1004000000.0,1083000000.0,224000000.0,2494000000.0,26413000000.0,2395000000.0,63000000.0,28871000000.0,31365000000,1508000000.0,447000000.0,2332000000.0,8499000000.0,18739000000.0,21071000000,2289000000.0,9045000000.0,10294000000.0,31365000000,482000000.0,231000000.0,57000000.0,128000000.0,898000000.0,-545000000.0,-22000000.0,-562000000.0,-161000000.0,460000000.0,-238000000.0,61000000.0,397000000,2013-09-30,77.02999877929688,77.73999786376953,76.88999938964844,77.3499984741211,64.67835235595703,2043300.0
2013-12-31,2881000000.0,-1767000000.0,1114000000.0,-233000000.0,-233000000.0,881000000.0,-98000000.0,-137000000.0,783000000,783000000,-270000000.0,513000000,513000000,513000000,1561000000.0,1024000000.0,223000000.0,3075000000.0,26645000000.0,2439000000.0,324000000.0,29408000000.0,32483000000,1490000000.0,545000000.0,2305000000.0,8903000000.0,18889000000.0,21194000000,2331000000.0,9339000000.0,11289000000.0,32483000000,513000000.0,235000000.0,35000000.0,-109000000.0,674000000.0,-466000000.0,-101000000.0,-525000000.0,-161000000.0,495000000.0,-24000000.0,310000000.0,459000000,2013-12-31,92.0999984741211,93.02999877929688,92.0500030517578,92.83000183105469,78.08386993408203,892100.0
2014-03-31,2689000000.0,-1785000000.0,904000000.0,-237000000.0,-237000000.0,667000000.0,-113000000.0,-139000000.0,554000000,554000000,-186000000.0,368000000,368000000,368000000,1532000000.0,1109000000.0,240000000.0,3130000000.0,26768000000.0,2466000000.0,336000000.0,29570000000.0,32700000000,1517000000.0,445000000.0,2321000000.0,8909000000.0,18686000000.0,21007000000,2396000000.0,9490000000.0,11693000000.0,32700000000,368000000.0,238000000.0,-19000000.0,1000000.0,588000000.0,-359000000.0,-3000000.0,-254000000.0,-167000000.0,-100000000.0,12000000.0,-255000000.0,79000000,2014-03-31,96.81999969482422,97.62999725341795,96.48999786376952,97.16999816894531,82.21813201904297,1524300.0
2014-06-30,3042000000.0,-1785000000.0,1257000000.0,-238000000.0,-238000000.0,1019000000.0,-121000000.0,-139000000.0,898000000,898000000,-336000000.0,562000000,562000000,562000000,1667000000.0,1122000000.0,251000000.0,3266000000.0,26927000000.0,2505000000.0,342000000.0,29774000000.0,33040000000,1604000000.0,433000000.0,2368000000.0,8814000000.0,18595000000.0,20963000000,2424000000.0,9836000000.0,12077000000.0,33040000000,562000000.0,240000000.0,0.0,47000000.0,849000000.0,-406000000.0,0.0,-393000000.0,-168000000.0,-113000000.0,-30000000.0,-311000000.0,145000000,2014-06-30,102.66999816894531,104.58000183105469,102.2699966430664,103.02999877929688,87.67634582519531,1853700.0
2014-09-30,3023000000.0,-1789000000.0,1234000000.0,-236000000.0,-236000000.0,998000000.0,-106000000.0,-138000000.0,892000000,892000000,-333000000.0,559000000,559000000,559000000,1432000000.0,1103000000.0,249000000.0,3012000000.0,27230000000.0,2610000000.0,354000000.0,30194000000.0,33206000000,1688000000.0,2000000.0,2082000000.0,8919000000.0,18685000000.0,20767000000,2461000000.0,10156000000.0,12439000000.0,33206000000,559000000.0,237000000.0,-39000000.0,152000000.0,909000000.0,-545000000.0,-1000000.0,-607000000.0,-176000000.0,-332000000.0,-29000000.0,-537000000.0,-235000000,2014-09-30,111.4499969482422,113.41000366210938,111.20999908447266,111.5999984741211,95.49532318115234,2342300.0
2014-12-31,2870000000.0,-1739000000.0,1131000000.0,-240000000.0,-240000000.0,891000000.0,-101000000.0,-129000000.0,790000000,790000000,-279000000.0,511000000,511000000,511000000,973000000.0,1055000000.0,236000000.0,2778000000.0,27694000000.0,2679000000.0,49000000.0,30422000000.0,33200000000,1450000000.0,102000000.0,1780000000.0,8883000000.0,19012000000.0,20792000000,2458000000.0,10348000000.0,12408000000.0,33200000000,511000000.0,241000000.0,205000000.0,-388000000.0,569000000.0,-694000000.0,-100000000.0,-748000000.0,-176000000.0,100000000.0,-271000000.0,-280000000.0,-459000000,2014-12-31,111.2300033569336,111.2300033569336,109.41000366210938,109.61000061035156,94.2864990234375,1045200.0
2015-03-31,2567000000.0,-1716000000.0,851000000.0,-245000000.0,-245000000.0,606000000.0,-111000000.0,-132000000.0,495000000,495000000,-185000000.0,310000000,310000000,310000000,524000000.0,1032000000.0,268000000.0,2115000000.0,27829000000.0,2701000000.0,130000000.0,30660000000.0,32775000000,1304000000.0,501000000.0,2103000000.0,8429000000.0,18514000000.0,20617000000,2466000000.0,10087000000.0,12158000000.0,32775000000,310000000.0,246000000.0,-21000000.0,96000000.0,631000000.0,-376000000.0,-3000000.0,-378000000.0,-181000000.0,-101000000.0,-415000000.0,-702000000.0,-449000000,2015-03-31,103.4800033569336,103.93000030517578,102.81999969482422,102.91999816894531,89.0213851928711,1998500.0
2015-06-30,2713000000.0,-1652000000.0,1061000000.0,-247000000.0,-247000000.0,814000000.0,-115000000.0,-134000000.0,699000000,699000000,-266000000.0,433000000,433000000,433000000,889000000.0,1055000000.0,277000000.0,2413000000.0,28075000000.0,2724000000.0,98000000.0,30897000000.0,33310000000,1439000000.0,500000000.0,2203000000.0,8890000000.0,19030000000.0,21233000000,2449000000.0,10017000000.0,12077000000.0,33310000000,433000000.0,248000000.0,17000000.0,172000000.0,870000000.0,-478000000.0,0.0,-474000000.0,-179000000.0,493000000.0,-350000000.0,-31000000.0,365000000,2015-06-30,87.37000274658203,87.88999938964844,86.73999786376953,87.36000061035156,76.44060516357422,2404000.0
2015-09-30,2713000000.0,-1616000000.0,1097000000.0,-275000000.0,-275000000.0,822000000.0,-98000000.0,-137000000.0,724000000,724000000,-272000000.0,452000000,452000000,452000000,433000000.0,1103000000.0,288000000.0,2002000000.0,28682000000.0,2740000000.0,103000000.0,31525000000.0,33527000000,1433000000.0,600000000.0,2367000000.0,8896000000.0,19031000000.0,21398000000,2432000000.0,10079000000.0,12129000000.0,33527000000,452000000.0,276000000.0,-36000000.0,15000000.0,707000000.0,-880000000.0,-2000000.0,-855000000.0,-177000000.0,100000000.0,-232000000.0,-308000000.0,-456000000,2015-09-30,75.79000091552734,76.5,75.19999694824219,76.4000015258789,67.32808685302734,1559600.0
2015-12-31,2518000000.0,-1589000000.0,929000000.0,-287000000.0,-287000000.0,642000000.0,-118000000.0,-142000000.0,524000000,524000000,-163000000.0,361000000,361000000,361000000,1101000000.0,946000000.0,271000000.0,2512000000.0,28992000000.0,2572000000.0,63000000.0,31627000000.0,34139000000,1294000000.0,700000000.0,2231000000.0,9393000000.0,19720000000.0,21951000000,2442000000.0,10191000000.0,12188000000.0,34139000000,361000000.0,289000000.0,219000000.0,-169000000.0,700000000.0,-588000000.0,0.0,-380000000.0,-176000000.0,591000000.0,-78000000.0,348000000.0,668000000,2015-12-31,84.16000366210938,85.18000030517578,84.08999633789062,84.58999633789062,75.0947494506836,920100.0
2016-03-31,2420000000.0,-1445000000.0,975000000.0,-252000000.0,-252000000.0,723000000.0,-123000000.0,-139000000.0,600000000,600000000,-213000000.0,387000000,387000000,387000000,589000000.0,961000000.0,315000000.0,1966000000.0,29135000000.0,2617000000.0,67000000.0,31819000000.0,33785000000,1418000000.0,100000000.0,1831000000.0,9398000000.0,19731000000.0,21562000000,2444000000.0,10221000000.0,12223000000.0,33785000000,387000000.0,253000000.0,14000000.0,225000000.0,879000000.0,-386000000.0,-23000000.0,-408000000.0,-176000000.0,-600000000.0,-200000000.0,-983000000.0,-512000000,2016-03-31,84.41000366210938,84.41000366210938,83.1500015258789,83.25,74.56571960449219,1576100.0
2016-06-30,2454000000.0,-1427000000.0,1027000000.0,-257000000.0,-257000000.0,770000000.0,-134000000.0,-138000000.0,636000000,636000000,-231000000.0,405000000,405000000,405000000,866000000.0,985000000.0,306000000.0,2239000000.0,29387000000.0,2639000000.0,69000000.0,32095000000.0,34334000000,1290000000.0,550000000.0,2107000000.0,9549000000.0,19954000000.0,22061000000,2441000000.0,10269000000.0,12273000000.0,34334000000,405000000.0,258000000.0,39000000.0,-149000000.0,553000000.0,-506000000.0,0.0,-504000000.0,-174000000.0,594000000.0,-200000000.0,228000000.0,277000000,2016-06-30,84.16000366210938,85.12999725341797,83.2300033569336,85.12999725341797,76.75764465332031,1460800.0
2016-09-30,2524000000.0,-1446000000.0,1078000000.0,-258000000.0,-258000000.0,820000000.0,-115000000.0,-144000000.0,705000000,705000000,-245000000.0,460000000,460000000,460000000,984000000.0,960000000.0,301000000.0,2317000000.0,29467000000.0,2779000000.0,69000000.0,32315000000.0,34632000000,1349000000.0,550000000.0,2232000000.0,9555000000.0,20004000000.0,22236000000,2462000000.0,10367000000.0,12396000000.0,34632000000,460000000.0,259000000.0,-20000000.0,181000000.0,880000000.0,-325000000.0,-96000000.0,-418000000.0,-173000000.0,0.0,-203000000.0,-344000000.0,118000000,2016-09-30,95.5199966430664,97.27999877929688,95.29000091552734,97.05999755859376,88.10284423828125,1921300.0
2016-12-31,2490000000.0,-1470000000.0,1020000000.0,-259000000.0,-259000000.0,761000000.0,-120000000.0,-142000000.0,641000000,641000000,-225000000.0,416000000,416000000,416000000,956000000.0,945000000.0,257000000.0,2291000000.0,29751000000.0,2777000000.0,73000000.0,32601000000.0,34892000000,1460000000.0,650000000.0,2339000000.0,9562000000.0,20144000000.0,22483000000,2471000000.0,10425000000.0,12409000000.0,34892000000,416000000.0,260000000.0,-2000000.0,48000000.0,722000000.0,-540000000.0,-4000000.0,-502000000.0,-172000000.0,100000000.0,-200000000.0,-248000000.0,-28000000,2016-12-30,108.8499984741211,108.98999786376952,107.5,108.06999969482422,98.73274230957031,1487300.0
2017-03-31,2575000000.0,-1543000000.0,1032000000.0,-259000000.0,-259000000.0,773000000.0,-118000000.0,-142000000.0,655000000,655000000,-222000000.0,433000000,433000000,433000000,955000000.0,998000000.0,281000000.0,2327000000.0,29927000000.0,2809000000.0,82000000.0,32818000000.0,35145000000,1590000000.0,550000000.0,2443000000.0,9569000000.0,20175000000.0,22618000000,2519000000.0,10493000000.0,12527000000.0,35145000000,433000000.0,260000000.0,11000000.0,142000000.0,846000000.0,-403000000.0,-2000000.0,-404000000.0,-177000000.0,-100000000.0,-200000000.0,-443000000.0,-1000000,2017-03-31,113.55999755859376,113.7300033569336,111.94000244140624,111.97000122070312,102.82977294921876,2209100.0
2017-06-30,2637000000.0,-1501000000.0,1136000000.0,-264000000.0,-264000000.0,872000000.0,-92000000.0,-140000000.0,780000000,780000000,-283000000.0,497000000,497000000,497000000,642000000.0,926000000.0,289000000.0,1936000000.0,30033000000.0,2848000000.0,105000000.0,32986000000.0,34922000000,1491000000.0,600000000.0,2343000000.0,9273000000.0,19917000000.0,22260000000,2518000000.0,10624000000.0,12662000000.0,34922000000,497000000.0,265000000.0,13000000.0,-45000000.0,730000000.0,-420000000.0,-2000000.0,-420000000.0,-177000000.0,-252000000.0,-202000000.0,-623000000.0,-313000000,2017-06-30,120.12999725341795,122.3000030517578,119.72000122070312,121.6999969482422,112.34512329101562,1374300.0
2017-09-30,2670000000.0,-1510000000.0,1160000000.0,-265000000.0,-265000000.0,895000000.0,-95000000.0,-134000000.0,800000000,800000000,-294000000.0,506000000,506000000,506000000,724000000.0,973000000.0,245000000.0,1999000000.0,30163000000.0,2888000000.0,103000000.0,33154000000.0,35153000000,1493000000.0,600000000.0,2413000000.0,9280000000.0,20013000000.0,22426000000,2537000000.0,10665000000.0,12727000000.0,35153000000,506000000.0,266000000.0,28000000.0,89000000.0,889000000.0,-355000000.0,0.0,-350000000.0,-175000000.0,-5000000.0,-310000000.0,-457000000.0,82000000,2017-09-29,132.55999755859378,133.30999755859378,132.08999633789062,132.24000549316406,122.74060821533205,1438600.0
2017-12-31,2669000000.0,-1420000000.0,1249000000.0,-267000000.0,-267000000.0,982000000.0,-89000000.0,-134000000.0,893000000,893000000,3075000000.0,3968000000,3968000000,3968000000,690000000.0,955000000.0,222000000.0,2149000000.0,30330000000.0,2981000000.0,251000000.0,33562000000.0,35711000000,1612000000.0,700000000.0,2545000000.0,9136000000.0,16807000000.0,19352000000,2539000000.0,14176000000.0,16359000000.0,35711000000,3968000000.0,268000000.0,-3320000000.0,-128000000.0,788000000.0,-343000000.0,-3000000.0,-307000000.0,-174000000.0,-55000000.0,-300000000.0,-515000000.0,-34000000,2017-12-29,145.52000427246094,146.07000732421875,144.89999389648438,144.89999389648438,135.11628723144528,700800.0
2018-03-31,2717000000.0,-1610000000.0,1107000000.0,-272000000.0,-272000000.0,835000000.0,-128000000.0,-136000000.0,707000000,707000000,-155000000.0,552000000,552000000,552000000,1072000000.0,973000000.0,245000000.0,2479000000.0,30396000000.0,3020000000.0,267000000.0,33683000000.0,36162000000,1434000000.0,650000000.0,2388000000.0,9637000000.0,17356000000.0,19744000000,2539000000.0,14327000000.0,16418000000.0,36162000000,552000000.0,272000000.0,16000000.0,-24000000.0,816000000.0,-370000000.0,-2000000.0,-371000000.0,-205000000.0,443000000.0,-300000000.0,-63000000.0,382000000,2018-03-29,134.88999938964844,137.5,134.49000549316406,135.77999877929688,127.21916198730469,1589900.0
2018-06-30,2898000000.0,-1599000000.0,1299000000.0,-273000000.0,-273000000.0,1026000000.0,-102000000.0,-131000000.0,924000000,924000000,-214000000.0,710000000,710000000,710000000,430000000.0,1035000000.0,260000000.0,1904000000.0,30540000000.0,3058000000.0,286000000.0,33884000000.0,35788000000,1592000000.0,500000000.0,2352000000.0,9146000000.0,16877000000.0,19229000000,2544000000.0,14456000000.0,16559000000.0,35788000000,710000000.0,274000000.0,-21000000.0,47000000.0,1010000000.0,-418000000.0,-2000000.0,-415000000.0,-203000000.0,-650000000.0,-400000000.0,-1237000000.0,-642000000,2018-06-29,149.89999389648438,152.94000244140625,149.8699951171875,150.8699951171875,142.07611083984375,1318500.0
