Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,275297000.0,-202615000.0,72682000.0,-135319000.0,-94602000.0,-34142000.0,-6575000.0,-62637000.0,-7534000.0,-70171000,-70171000,3148000.0,-67023000,-67023000,-67023000,1190797000.0,130915000.0,12453000.0,1907976000.0,83089000.0,361539000.0,444628000.0,2352604000,533860000.0,1106300000.0,481784000.0,719465000.0,1825765000,1050956000.0,-225718000.0,526839000.0,2352604000,-67023000.0,6575000.0,41069000.0,124861000.0,105482000.0,-18769000.0,-206258000.0,1525000.0,-95336000,2015-06-30,28.09000015258789,28.209999084472656,27.51000022888184,27.56999969482422,27.56999969482422,1466500.0
2015-09-30,346974000.0,-143940000.0,203034000.0,-136603000.0,-104837000.0,-24413000.0,-7353000.0,66431000.0,-8396000.0,58035000,58035000,-3300000.0,54735000,54735000,54735000,1064674000.0,240859000.0,24020000.0,1964608000.0,81694000.0,370197000.0,451891000.0,2416499000,536994000.0,1213885000.0,487601000.0,638549000.0,1852434000,1067785000.0,-170983000.0,564065000.0,2416499000,54735000.0,7353000.0,60335000.0,-207891000.0,-85468000.0,-7024000.0,13077000.0,-28934000.0,-104071000,2015-09-30,28.10000038146973,28.770000457763672,27.85000038146973,28.729999542236328,28.729999542236328,1451000.0
2015-12-31,414221000.0,-257861000.0,156360000.0,-215557000.0,-108907000.0,-99116000.0,-7534000.0,-59197000.0,-8018000.0,-67215000,-67215000,24802000.0,-42413000,-42413000,-42413000,1214681000.0,263690000.0,20207000.0,2106308000.0,76661000.0,402040000.0,478701000.0,2585009000,663216000.0,1454974000.0,491576000.0,603061000.0,2058035000,1078493000.0,-213396000.0,526974000.0,2585009000,-42413000.0,7534000.0,213310000.0,-9622000.0,168809000.0,-2786000.0,-31716000.0,-12140000.0,123528000,2015-12-31,35.2400016784668,35.5,34.779998779296875,34.84000015258789,34.84000015258789,1024100.0
2016-03-31,377206000.0,-209457000.0,167749000.0,-123174000.0,-82415000.0,-33421000.0,-7338000.0,44575000.0,-6257000.0,38318000,41001000,5398000.0,46399000,46399000,46399000,1269562000.0,168527000.0,15888000.0,2045276000.0,77127000.0,467874000.0,545001000.0,2590277000,637927000.0,1220411000.0,497935000.0,788481000.0,2008892000,1089666000.0,-166997000.0,581385000.0,2590277000,46399000.0,7338000.0,-6756000.0,25501000.0,72482000.0,-8701000.0,-99619000.0,-8498000.0,-36499000,2016-03-31,37.22999954223633,37.95000076293945,37.06999969482422,37.66999816894531,37.66999816894531,1498100.0
2016-06-30,311552000.0,-191380000.0,120172000.0,-159155000.0,-117877000.0,-33900000.0,-7378000.0,-38983000.0,-4506000.0,-43489000,-42139000,3572000.0,-38567000,-38567000,-38567000,1188817000.0,141150000.0,12734000.0,1977672000.0,72414000.0,488641000.0,561055000.0,2538727000,657216000.0,1261627000.0,504385000.0,743560000.0,2005187000,1083811000.0,-205564000.0,533540000.0,2538727000,-38567000.0,7378000.0,38501000.0,-54560000.0,-47248000.0,-4230000.0,72885000.0,-24279000.0,-2414000,2016-06-30,36.68999862670898,37.93000030517578,36.650001525878906,37.91999816894531,37.91999816894531,1532300.0
2016-09-30,420167000.0,-205605000.0,214562000.0,-167368000.0,-129872000.0,-30005000.0,-7491000.0,47194000.0,-7078000.0,40116000,40116000,-3684000.0,36432000,36432000,36432000,1174594000.0,381587000.0,77561000.0,2370770000.0,68531000.0,539779000.0,608310000.0,2979080000,897825000.0,1719234000.0,511636000.0,677093000.0,2396327000,1098144000.0,-169132000.0,582753000.0,2979080000,36432000.0,7491000.0,265989000.0,-313473000.0,-3561000.0,-4053000.0,-17027000.0,-5199000.0,-26325000,2016-09-30,45.13999938964844,45.52000045776367,44.83000183105469,45.08000183105469,45.08000183105469,1443200.0
2016-12-31,476473000.0,-311074000.0,165399000.0,-193808000.0,-148759000.0,-37589000.0,-7460000.0,-28409000.0,-3715000.0,-32124000,-32124000,2282000.0,-29842000,-29842000,-29842000,1443953000.0,327430000.0,26665000.0,2451176000.0,65799000.0,572124000.0,637923000.0,3089099000,790424000.0,1863817000.0,258876000.0,404361000.0,2268178000,1371458000.0,-198974000.0,820921000.0,3089099000,-29842000.0,7460000.0,110387000.0,202406000.0,290411000.0,-6086000.0,-7671000.0,-5757000.0,269427000,2016-12-30,49.790000915527344,49.790000915527344,48.849998474121094,49.290000915527344,49.290000915527344,835000.0
2017-03-31,571556000.0,-314900000.0,256656000.0,-145153000.0,-100354000.0,-36421000.0,-8378000.0,111503000.0,-391000.0,111112000,111112000,-11832000.0,99280000,99280000,99280000,1392328000.0,219558000.0,16323000.0,2195242000.0,67300000.0,886612000.0,953912000.0,3149154000,782767000.0,1685892000.0,251929000.0,459534000.0,2145426000,1453952000.0,-99694000.0,1003728000.0,3149154000,99280000.0,8378000.0,105704000.0,-45061000.0,168301000.0,-6798000.0,-177217000.0,-14537000.0,-19385000,2017-03-31,58.86000061035156,59.43999862670898,58.15999984741211,59.27000045776367,59.27000045776367,2359300.0
2017-06-30,418216000.0,-194569000.0,223647000.0,-173428000.0,-112817000.0,-52868000.0,-7743000.0,50219000.0,-2808000.0,47411000,47411000,12865000.0,60276000,60276000,60276000,1281061000.0,229197000.0,11636000.0,2113136000.0,76613000.0,1029821000.0,1106434000.0,3219570000,846619000.0,1466058000.0,212864000.0,653757000.0,2119815000,1480373000.0,-39648000.0,1099755000.0,3219570000,60276000.0,7743000.0,116392000.0,-134521000.0,49890000.0,-41473000.0,-45415000.0,-57689000.0,-46766000,2017-06-30,72.7699966430664,74.27999877929688,72.70999908447266,73.37999725341797,73.37999725341797,2448700.0
2017-09-30,443562000.0,-246548000.0,197014000.0,-208333000.0,-137738000.0,-51712000.0,-18883000.0,-11319000.0,-2969000.0,-14288000,-14288000,11552000.0,-2736000,-2736000,-2736000,1263142000.0,429019000.0,36431000.0,2455515000.0,86689000.0,1154176000.0,1240865000.0,3696380000,1028378000.0,1850504000.0,52369000.0,373430000.0,2223934000,1846757000.0,-42451000.0,1472446000.0,3696380000,-2736000.0,7626000.0,292018000.0,-214446000.0,82462000.0,-17209000.0,-76060000.0,-28436000.0,-15721000,2017-09-29,101.0,102.27999877929688,100.73999786376952,102.2300033569336,102.2300033569336,2225000.0
2017-12-31,480840000.0,-267983000.0,212857000.0,-204005000.0,-145464000.0,-50677000.0,-7864000.0,8852000.0,3374000.0,12226000,12226000,12914000.0,25140000,25140000,25140000,1321784000.0,425931000.0,30857000.0,2447724000.0,96570000.0,1138316000.0,1234886000.0,3682610000,953343000.0,2072117000.0,13838000.0,209673000.0,2281790000,1862750000.0,-17311000.0,1400820000.0,3682610000,25140000.0,7864000.0,-33696000.0,109413000.0,108721000.0,-14761000.0,-61040000.0,-118941000.0,-69466000,2017-12-29,109.4000015258789,110.22000122070312,108.25,109.77999877929688,109.77999877929688,1196900.0
2018-03-31,450274000.0,-189211000.0,261063000.0,-173238000.0,-107901000.0,-55858000.0,-9479000.0,87825000.0,3451000.0,91276000,91276000,-423000.0,90853000,90853000,90853000,1424379000.0,247649000.0,15162000.0,2409177000.0,102478000.0,1226186000.0,1328664000.0,3737841000,949777000.0,1726929000.0,8068000.0,521942000.0,2248871000,1889366000.0,73516000.0,1488970000.0,3737841000,90853000.0,8969000.0,49534000.0,103098000.0,252454000.0,-14079000.0,-89312000.0,-76401000.0,97110000,2018-03-29,98.08999633789062,99.7699966430664,95.91999816894531,97.77999877929688,97.77999877929688,3102800.0
2018-06-30,387982000.0,-131365000.0,256617000.0,-185771000.0,-126041000.0,-50470000.0,-9260000.0,70846000.0,6601000.0,77447000,77447000,-5754000.0,71693000,71693000,71693000,1102260000.0,239736000.0,10642000.0,2074347000.0,105852000.0,1275805000.0,1381657000.0,3456004000,940648000.0,1391216000.0,5232000.0,212583000.0,1603799000,1889418000.0,615482000.0,1852205000.0,3456004000,71693000.0,9130000.0,5740000.0,-97746000.0,-11183000.0,-14289000.0,-39998000.0,-211903000.0,-272187000,2018-06-29,118.81999969482422,120.3000030517578,118.2699966430664,118.36000061035156,118.36000061035156,1633500.0
2018-09-30,492667000.0,-234880000.0,257787000.0,-231801000.0,-161485000.0,-60565000.0,-9751000.0,25986000.0,4975000.0,30961000,30961000,-5594000.0,25367000,25367000,25367000,1025299000.0,534633000.0,40541000.0,2191736000.0,110900000.0,1352553000.0,1463453000.0,3655189000,930765000.0,1489789000.0,0.0,220961000.0,1710750000,1952469000.0,640849000.0,1944439000.0,3655189000,25367000.0,9623000.0,51794000.0,-281636000.0,-194852000.0,-14855000.0,59687000.0,-5564000.0,-141090000,2018-09-28,137.07000732421878,139.60000610351562,136.42999267578122,137.99000549316406,137.99000549316406,1770800.0
2018-12-31,1248738000.0,-898484000.0,350254000.0,-298475000.0,-231960000.0,-56375000.0,-10140000.0,51779000.0,8071000.0,59850000,59850000,120098000.0,179948000,179948000,179948000,1600645000.0,823482000.0,39786000.0,2974773000.0,114672000.0,1297715000.0,1412387000.0,4387160000,1280947000.0,2099358000.0,0.0,260335000.0,2359693000,1978197000.0,820796000.0,2027467000.0,4387160000,179947000.0,10016000.0,588806000.0,-182535000.0,596234000.0,-14502000.0,2589000.0,-130762000.0,462401000,2018-12-31,105.05999755859376,105.75,101.95999908447266,102.94000244140624,102.94000244140624,2169900.0
2019-03-31,539007000.0,-258915000.0,280092000.0,-226989000.0,-153148000.0,-62760000.0,-11081000.0,53103000.0,6466000.0,59569000,64527000,-7698000.0,56829000,56829000,56829000,1571010000.0,395729000.0,28200000.0,2827835000.0,127882000.0,1287348000.0,1415230000.0,4243065000,1108492000.0,1951794000.0,0.0,250691000.0,2202485000,2020715000.0,877626000.0,2040580000.0,4243065000,56830000.0,10957000.0,-62262000.0,447791000.0,453316000.0,-23323000.0,-245854000.0,-115456000.0,96491000,2019-03-29,96.9499969482422,97.5500030517578,94.0500030517578,94.37000274658205,94.37000274658205,2362700.0
2020-03-31,760541000.0,-395640000.0,364901000.0,-242688000.0,-162181000.0,-68005000.0,-12502000.0,122213000.0,8083000.0,130296000,124634000,-1912000.0,122722000,122722000,122722000,2001667000.0,592555000.0,19108000.0,3493351000.0,131888000.0,1323593000.0,1455481000.0,4948832000,1235568000.0,2038539000.0,104417000.0,371049000.0,2409588000,2136107000.0,1282085000.0,2539244000.0,4948832000,122722000.0,12382000.0,142173000.0,-31574000.0,245703000.0,-18594000.0,31126000.0,-16708000.0,250958000,2020-03-31,118.33999633789062,120.6999969482422,116.29000091552734,118.61000061035156,118.61000061035156,3100400.0
2020-06-30,831310000.0,-476689000.0,354621000.0,-272478000.0,-186952000.0,-73108000.0,-12418000.0,82143000.0,8218000.0,90361000,90361000,-1856000.0,88505000,88505000,88505000,2284949000.0,685169000.0,19486000.0,3686933000.0,128904000.0,1553404000.0,1682308000.0,5369241000,1220640000.0,2148740000.0,300970000.0,569473000.0,2718213000,2153141000.0,1370590000.0,2651028000.0,5369241000,88505000.0,12298000.0,112914000.0,231706000.0,445423000.0,-8905000.0,-247465000.0,-32003000.0,167880000,2020-06-30,138.3699951171875,140.77999877929688,138.1300048828125,139.57000732421878,139.57000732421878,3111500.0
