Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,163846000.0,-31940000.0,131906000.0,-68436000.0,-9068000.0,-41213000.0,63470000.0,-23962000.0,-24395000.0,39508000,-9905000.0,29603000,29603000,28456000,28321000,88927000.0,84838000.0,173765000.0,3798992000.0,55155000.0,191382000.0,4045529000.0,4219294000,509477000.0,1949369000.0,2458846000.0,71671000.0,184726000.0,2643572000,2063375000.0,1575722000.0,4219294000,29603000.0,41214000.0,12997000.0,3956000.0,87770000.0,-141365000.0,0.0,-143711000.0,1182000.0,68461000.0,17037000.0,-38904000,2013-12-31,101.26000213623048,101.6999969482422,100.95999908447266,101.41000366210938,79.73054504394531,418600.0
2014-06-30,167947000.0,-31405000.0,136542000.0,-68181000.0,-8124000.0,-40893000.0,68361000.0,-22945000.0,-23195000.0,45416000,0.0,45416000,45416000,43545000,43410000,41312000.0,97741000.0,139053000.0,4060187000.0,54932000.0,177313000.0,4292432000.0,4431485000,513011000.0,1995327000.0,2508338000.0,71659000.0,194403000.0,2702741000,2170830000.0,1728744000.0,4431485000,45416000.0,40893000.0,566000.0,6032000.0,92907000.0,-95125000.0,-3581000.0,-102082000.0,-23255000.0,52316000.0,-25212000.0,-34387000,2014-06-30,121.4000015258789,121.9499969482422,120.02999877929688,120.91999816894531,96.36293029785156,414300.0
2014-09-30,170938000.0,-31908000.0,139030000.0,-71408000.0,-8374000.0,-42660000.0,67622000.0,-22974000.0,-23420000.0,44648000,4401000.0,49049000,49049000,47075000,46939000,23917000.0,104746000.0,128663000.0,4105326000.0,51191000.0,194218000.0,4350735000.0,4479398000,521966000.0,1991727000.0,2513693000.0,71653000.0,193241000.0,2706934000,2224419000.0,1772464000.0,4479398000,49049000.0,42660000.0,-5049000.0,-16883000.0,69777000.0,-95149000.0,-3150000.0,-90802000.0,7793000.0,50319000.0,3630000.0,-17395000,2014-09-30,119.0199966430664,119.18000030517578,117.62000274658205,118.45999908447266,95.08512878417969,503500.0
2014-12-31,176377000.0,-34974000.0,141403000.0,-69793000.0,-8114000.0,-43411000.0,71610000.0,-23786000.0,-24120000.0,47824000,-10545000.0,37279000,37279000,35162000,35027000,47951000.0,93291000.0,141242000.0,4141948000.0,50988000.0,212692000.0,4405628000.0,4546870000,496824000.0,2047511000.0,2544335000.0,71647000.0,190926000.0,2735261000,2281910000.0,1811609000.0,4546870000,37279000.0,43411000.0,8798000.0,14796000.0,104284000.0,-95599000.0,0.0,-115226000.0,34221000.0,61905000.0,34976000.0,24034000,2014-12-31,136.82000732421878,137.77000427246094,133.25999450683594,133.46000671386722,107.80902862548828,311300.0
2015-03-31,184792000.0,-41439000.0,143353000.0,-71231000.0,-8853000.0,-41984000.0,72122000.0,-23919000.0,-24139000.0,48203000,0.0,48203000,48203000,46186000,46051000,171437000.0,100981000.0,272418000.0,4236384000.0,50911000.0,221037000.0,4508332000.0,4780750000,500654000.0,2274516000.0,2775170000.0,71640000.0,194509000.0,2969679000,2285240000.0,1811071000.0,4780750000,48203000.0,41984000.0,1271000.0,-9472000.0,81986000.0,-91778000.0,-47000.0,-94945000.0,197619000.0,589000.0,136445000.0,123486000,2015-03-31,148.7100067138672,149.3000030517578,146.61000061035156,147.2100067138672,119.64068603515624,606900.0
2015-06-30,181461000.0,-32623000.0,148838000.0,-72637000.0,-9299000.0,-42671000.0,76201000.0,-22965000.0,-23371000.0,53236000,-7563000.0,45673000,45673000,43632000,43497000,22175000.0,106218000.0,128393000.0,4335782000.0,50677000.0,218986000.0,4605445000.0,4733838000,595847000.0,2070961000.0,2666808000.0,71633000.0,205104000.0,2871912000,2344723000.0,1861926000.0,4733838000,45673000.0,42671000.0,7491000.0,-4173000.0,91662000.0,-162802000.0,-102000.0,-121406000.0,-115040000.0,57418000.0,-119518000.0,-149262000,2015-06-30,128.5,129.44999694824222,127.4800033569336,128.08999633789062,104.78141784667969,425500.0
2015-09-30,185252000.0,-34439000.0,150813000.0,-74896000.0,-9374000.0,-43718000.0,75917000.0,-21367000.0,-21727000.0,54550000,0.0,54550000,54550000,52447000,52311000,12864000.0,112267000.0,125131000.0,4370670000.0,41250000.0,246752000.0,4658672000.0,4783803000,511266000.0,2170991000.0,2682257000.0,71627000.0,202799000.0,2885056000,2390040000.0,1898747000.0,4783803000,54550000.0,43718000.0,-1103000.0,-9663000.0,87502000.0,-71531000.0,-1406000.0,-70128000.0,-7516000.0,43133000.0,-26685000.0,-9311000,2015-09-30,136.0,136.77000427246094,135.14999389648438,136.44999694824222,112.405029296875,652100.0
2015-12-31,192507000.0,-39092000.0,153415000.0,-77501000.0,-8119000.0,-46423000.0,75914000.0,-22737000.0,-23167000.0,53177000,16821000.0,69998000,69998000,67954000,67819000,21046000.0,110402000.0,131448000.0,4490365000.0,41618000.0,233128000.0,4765111000.0,4896559000,554831000.0,2213635000.0,2768466000.0,71620000.0,208846000.0,2977312000,2382563000.0,1919247000.0,4896559000,69998000.0,46423000.0,-18362000.0,9837000.0,107896000.0,-110735000.0,-1247000.0,-67284000.0,34045000.0,9715000.0,-32430000.0,8182000,2015-12-31,148.0399932861328,148.77999877929688,146.0500030517578,146.10000610351562,121.11371612548828,366700.0
2016-03-31,198344000.0,-42819000.0,155525000.0,-78603000.0,-8010000.0,-47799000.0,76922000.0,-23585000.0,-23626000.0,53337000,25726000.0,79063000,79063000,76955000,76820000,19716000.0,113749000.0,133465000.0,4741767000.0,41618000.0,208607000.0,4991992000.0,5125457000,574620000.0,2246090000.0,2820710000.0,71612000.0,209574000.0,3030284000,2566291000.0,2095173000.0,5125457000,79063000.0,47799000.0,-25069000.0,3086000.0,104879000.0,-197707000.0,-697000.0,-201687000.0,-1923000.0,181757000.0,95478000.0,-1330000,2016-03-31,155.88999938964844,156.25,154.89999389648438,156.0500030517578,130.15673828125,420400.0
2016-06-30,197981000.0,-36978000.0,161003000.0,-80868000.0,-9036000.0,-48435000.0,80135000.0,-23024000.0,-23024000.0,57111000,1787000.0,58898000,58898000,55941000,55806000,18622000.0,114431000.0,133053000.0,4806840000.0,41618000.0,206957000.0,5055415000.0,5188468000,623495000.0,2209766000.0,2833261000.0,71605000.0,206119000.0,3039380000,2646700000.0,2149088000.0,5188468000,58898000.0,48435000.0,-2207000.0,-6398000.0,98728000.0,-97748000.0,-1367000.0,-99215000.0,6190000.0,63464000.0,-607000.0,-1094000,2016-06-30,164.33999633789062,165.6199951171875,162.77000427246094,165.5500030517578,138.91043090820312,438800.0
