Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-09-30,2141786000.0,-1155412000.0,986374000.0,-822389000.0,-822389000.0,163985000.0,19152000.0,-22405000.0,183137000,183137000,-27712000.0,155425000,155297000,155297000,330512000.0,1033835000.0,1570298000.0,3339809000.0,735827000.0,5350433000.0,6086260000.0,9426069000,1083403000.0,684636000.0,1768039000.0,1830473000.0,3133978000.0,4902017000,2531002000.0,2409436000.0,4524052000.0,9426069000,155425000.0,47480000.0,795000.0,-18434000.0,185266000.0,-93840000.0,68264000.0,-22485000.0,-78657000.0,1871000.0,-88256000.0,-152510000.0,4863000,2012-09-28,37.44821166992188,37.74953079223633,36.9279670715332,37.51412582397461,30.74784851074219,2477858.0
2012-12-31,3148354000.0,-1678090000.0,1470264000.0,-933372000.0,-933372000.0,536892000.0,-21640000.0,-23209000.0,515252000,515252000,-133934000.0,381318000,381318000,381318000,304603000.0,1612579000.0,1758686000.0,3998800000.0,775476000.0,5357456000.0,6132932000.0,10131732000,1291996000.0,1143846000.0,2435842000.0,1429824000.0,2769106000.0,5204948000,2607732000.0,2705905000.0,4926784000.0,10131732000,381318000.0,46033000.0,61997000.0,-459872000.0,29476000.0,-71297000.0,-1495000.0,-84792000.0,-78939000.0,58326000.0,-7326000.0,24761000.0,-25909000,2012-12-31,34.7598876953125,35.6614875793457,34.72457504272461,35.53907775878906,29.293615341186523,2331302.0
2013-03-31,3033260000.0,-1595512000.0,1437748000.0,-987460000.0,-987460000.0,450288000.0,-20343000.0,-22331000.0,429945000,429945000,-95777000.0,334168000,334168000,334168000,597461000.0,1222345000.0,1354158000.0,3449583000.0,828218000.0,5355220000.0,6183438000.0,9633021000,1316780000.0,415432000.0,1732212000.0,1429166000.0,2775184000.0,4507396000,2638073000.0,2941447000.0,5125625000.0,9633021000,334168000.0,56140000.0,-103832000.0,885919000.0,1172395000.0,-61663000.0,4000000.0,-80845000.0,-95709000.0,-728880000.0,-860000.0,-800790000.0,292858000,2013-03-28,39.1878547668457,39.70103454589844,39.05602645874024,39.48917007446289,32.72286605834961,2500798.0
2015-03-31,3178429000.0,-1648315000.0,1530114000.0,-987880000.0,-987880000.0,542234000.0,-20701000.0,-19365000.0,521533000,521533000,-119188000.0,402345000,122101000,122101000,971895000.0,1276224000.0,1482804000.0,4031569000.0,942181000.0,4871550000.0,5813731000.0,9845300000,1588268000.0,25797000.0,1614065000.0,1413847000.0,2600353000.0,4214418000,3101401000.0,3231753000.0,5630882000.0,9845300000,122101000.0,74364000.0,215994000.0,982761000.0,1395220000.0,-62471000.0,0.0,-74222000.0,-138243000.0,-634236000.0,-259000.0,-795088000.0,475395000,2015-03-31,70.66854858398438,71.3559341430664,70.51789093017578,70.91336822509766,60.84501266479492,2722437.0
2016-03-31,2202480000.0,-1051840000.0,1150640000.0,-762190000.0,-762190000.0,388450000.0,-19420000.0,-20226000.0,369030000,369030000,-66160000.0,302870000,312209000,312209000,944423000.0,1289962000.0,1555360000.0,4163136000.0,945491000.0,4530915000.0,5476406000.0,9639542000,1462754000.0,452941000.0,1941713000.0,1401820000.0,2312991000.0,4254704000,3299329000.0,3128731000.0,5384838000.0,9639542000,312209000.0,73771000.0,131306000.0,966541000.0,1483827000.0,-67220000.0,0.0,-85638000.0,-157591000.0,-836696000.0,-687000.0,-987271000.0,379195000,2016-03-31,61.47834396362305,61.97740173339844,60.800376892089844,60.97928237915039,53.40166091918945,1855845.0
2016-09-30,2320466000.0,-1185247000.0,1135219000.0,-940797000.0,-940797000.0,194422000.0,-19893000.0,-21394000.0,174529000,174529000,-38036000.0,136493000,51015000,51015000,676262000.0,1121053000.0,1667895000.0,4068016000.0,927058000.0,4679034000.0,5606092000.0,9674108000,1201171000.0,1408059000.0,2660633000.0,1400636000.0,2365038000.0,5025671000,3373494000.0,2276398000.0,4648437000.0,9674108000,51015000.0,69442000.0,139784000.0,-98085000.0,162156000.0,-46306000.0,0.0,-58042000.0,-153999000.0,267598000.0,-120079000.0,1508000.0,94931000,2016-09-30,52.77777862548828,53.07909774780274,52.52354049682617,52.77777862548828,46.78258514404297,3300908.0
2016-12-31,3327716000.0,-1693071000.0,1634645000.0,-1026398000.0,-1026398000.0,608247000.0,-23665000.0,-22568000.0,584582000,584582000,-99358000.0,485224000,498489000,498489000,737825000.0,1736521000.0,1897546000.0,4819023000.0,935015000.0,4689071000.0,5624086000.0,10443109000,1410810000.0,741303000.0,2177196000.0,2347122000.0,3393136000.0,5570332000,3416498000.0,2454299000.0,4872777000.0,10443109000,498489000.0,68019000.0,78123000.0,-614022000.0,30609000.0,-47305000.0,115983000.0,50496000.0,-152823000.0,284268000.0,-166384000.0,-13134000.0,60647000,2016-12-30,50.48964309692383,50.72504806518555,50.11299514770508,50.23540496826172,44.861610412597656,2590961.0
2017-03-31,2743548000.0,-1360905000.0,1382643000.0,-1049205000.0,-1049205000.0,333438000.0,-21258000.0,-21564000.0,312180000,232536000,-17334000.0,215202000,264333000,264333000,603262000.0,1241496000.0,1593434000.0,4092150000.0,897445000.0,4256683000.0,5154128000.0,9246278000,1246840000.0,542413000.0,1835859000.0,2051482000.0,3037362000.0,4873221000,3468767000.0,1892330000.0,4373057000.0,9246278000,264333000.0,76086000.0,39379000.0,1053573000.0,1433371000.0,-45893000.0,0.0,-61610000.0,-173588000.0,-709684000.0,-238000.0,-875294000.0,488804000,2017-03-31,51.05461502075195,51.89265441894531,50.97928237915039,51.76082992553711,46.59577560424805,4737901.0
2017-06-30,2268620000.0,-1142476000.0,1126144000.0,-966468000.0,-966468000.0,159676000.0,-23824000.0,-20607000.0,135852000,135852000,-28760000.0,107092000,109889000,109889000,672045000.0,1143573000.0,1663052000.0,3897650000.0,903024000.0,4373054000.0,5276078000.0,9173728000,1230530000.0,1174892000.0,2431143000.0,2111623000.0,3098246000.0,5529389000,3497228000.0,1077708000.0,3644339000.0,9173728000,109889000.0,65470000.0,42716000.0,-12459000.0,205616000.0,-37355000.0,208215000.0,157462000.0,-164893000.0,631635000.0,-762007000.0,-283835000.0,68660000,2017-06-30,53.97363662719727,54.78342819213867,53.67231750488281,54.23728942871094,49.20985412597656,3005566.0
2017-09-30,3392934000.0,-1689041000.0,1703893000.0,-1128366000.0,-1128366000.0,575527000.0,-24450000.0,-22537000.0,551077000,551077000,-77257000.0,473820000,386140000,386140000,1545535000.0,1815198000.0,1843451000.0,5627427000.0,905671000.0,4341823000.0,5247494000.0,10874921000,1545477000.0,2239118000.0,3821395000.0,2144221000.0,3116106000.0,6937501000,3555287000.0,1297029000.0,3937420000.0,10874921000,386140000.0,75682000.0,121527000.0,-572120000.0,11229000.0,-46182000.0,5279000.0,-64033000.0,-165387000.0,1063699000.0,-52000.0,931691000.0,873328000,2017-09-29,59.87759017944336,60.26365280151367,59.76459503173828,59.85875701904297,54.67259979248047,2634079.0
2017-12-31,3649283000.0,-1769819000.0,1879464000.0,-1394845000.0,-1394845000.0,484619000.0,-24450000.0,-22548000.0,460169000,460169000,-533148000.0,-72979000,-90269000,-90269000,563483000.0,1429986000.0,1706609000.0,4377764000.0,1014638000.0,4566100000.0,5580738000.0,9958502000,1907532000.0,735549000.0,2744100000.0,2187789000.0,3494502000.0,6238602000,3622295000.0,1023745000.0,3719900000.0,9958502000,-90269000.0,82913000.0,-30998000.0,1506331000.0,1467977000.0,-45160000.0,-739067000.0,-801343000.0,-181686000.0,-1524447000.0,0.0,-1664384000.0,-980871000,2017-12-29,69.91525268554689,70.41431427001953,69.67043304443361,69.67984771728516,64.05386352539061,1529917.0
2018-03-31,2500340000.0,-1243605000.0,1256735000.0,-973467000.0,-973467000.0,283268000.0,-13871000.0,-20188000.0,269397000,269397000,-56121000.0,213276000,209163000,209163000,680762000.0,1408587000.0,1861441000.0,4683323000.0,1011617000.0,4616370000.0,5627987000.0,10311310000,1521431000.0,1531371000.0,3138829000.0,2212555000.0,3484385000.0,6623214000,3706002000.0,846124000.0,3688096000.0,10311310000,209163000.0,66438000.0,47237000.0,-533000000.0,-210162000.0,-40856000.0,0.0,-68337000.0,-172713000.0,261252000.0,-438297000.0,-346475000.0,-622746000,2018-03-29,69.97174835205078,70.73446655273438,69.68926239013672,69.7928466796875,64.56179046630861,3263951.0
2018-06-30,2788146000.0,-1384977000.0,1403169000.0,-1172287000.0,-1172287000.0,230882000.0,-44550000.0,-23884000.0,186332000,186332000,-26379000.0,159953000,160358000,160358000,467917000.0,1428535000.0,1993825000.0,4330147000.0,1018164000.0,4843443000.0,5861607000.0,10191754000,1672444000.0,1323112000.0,2995556000.0,2156627000.0,3465082000.0,6460638000,3787406000.0,825788000.0,3731116000.0,10191754000,160358000.0,71130000.0,37640000.0,8016000.0,277144000.0,-68919000.0,-33122000.0,-129230000.0,-181517000.0,-215940000.0,0.0,-343957000.0,-216041000,2018-06-29,77.74952697753906,78.22975158691406,76.76082611083984,76.76082611083984,71.39788818359375,1816232.0
2018-09-30,3907386000.0,-1950601000.0,1956785000.0,-1298116000.0,-1298116000.0,658669000.0,-59568000.0,-25513000.0,599101000,599101000,-91980000.0,507121000,507121000,507121000,352781000.0,2196064000.0,2247908000.0,5417954000.0,1035671000.0,4676800000.0,5712471000.0,11130425000,1920937000.0,1576401000.0,3508696000.0,2150595000.0,3442173000.0,6950869000,3894685000.0,1147787000.0,4179556000.0,11130425000,507121000.0,73865000.0,76075000.0,-831254000.0,-174193000.0,-71277000.0,990000.0,-89097000.0,-182334000.0,253052000.0,-480000.0,146852000.0,-113710000,2018-09-28,87.57061767578125,88.6158218383789,87.57061767578125,87.99434661865234,82.26107788085938,1978718.0
2018-12-31,3940159000.0,-1896472000.0,2043687000.0,-1451782000.0,-1451782000.0,591905000.0,-25621000.0,-23847000.0,566284000,566284000,-103158000.0,463126000,463509000,463509000,535312000.0,1774460000.0,1866075000.0,4612091000.0,1041640000.0,4630579000.0,5672219000.0,10284310000,1879580000.0,683467000.0,2563047000.0,2135240000.0,3420639000.0,5983686000,3928862000.0,1258327000.0,4300624000.0,10284310000,463509000.0,71366000.0,-22246000.0,821083000.0,1333712000.0,-55054000.0,142000000.0,69781000.0,-201325000.0,-894334000.0,-150196000.0,-1240622000.0,179460000,2018-12-31,66.72316741943361,67.43879699707031,66.44068145751953,67.17514038085939,63.20151138305664,1623267.0
2019-03-31,-368804000.0,575724000.0,206920000.0,-498194000.0,-498194000.0,-291274000.0,-22130000.0,-19486000.0,-313404000,-313404000,53630000.0,-259774000,128804000,128804000,445119000.0,1465855000.0,1432660000.0,4673457000.0,915177000.0,4768151000.0,5683328000.0,10356785000,1735799000.0,664323000.0,2661604000.0,2115884000.0,3396665000.0,6058269000,4020990000.0,1179601000.0,4298516000.0,10356785000,-260562000.0,39368000.0,-46411000.0,70987000.0,227560000.0,-20526000.0,13000.0,-72086000.0,-201885000.0,-13219000.0,199296000.0,-153278000.0,17688000,2019-03-29,82.18455505371094,82.58003997802734,81.43125915527344,81.8361587524414,77.45784759521484,1597036.0
2019-09-30,3179758000.0,-1456317000.0,1723441000.0,-1174879000.0,-1174879000.0,548562000.0,-18157000.0,-16386000.0,530405000,530405000,94972000.0,625377000,649001000,649001000,469912000.0,1881374000.0,1590027000.0,4775207000.0,832237000.0,5662911000.0,6495148000.0,11270355000,1814702000.0,489307000.0,2404338000.0,2090922000.0,4218398000.0,6622736000,4172356000.0,1405988000.0,4647619000.0,11270355000,593401000.0,-34019000.0,110814000.0,-963550000.0,-299298000.0,-58718000.0,0.0,-76781000.0,-171066000.0,415667000.0,50659000.0,288061000.0,-98481000,2019-09-30,88.95999908447266,89.36000061035156,88.6500015258789,88.98999786376953,85.15862274169922,1517300.0
