Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-07-31,2031100000.0,-1337000000.0,694100000.0,-489100000.0,-489100000.0,205000000.0,-8400000.0,-8400000.0,196600000,196600000,-75100000.0,121500000,121500000,121500000,467700000.0,1084000000.0,1663200000.0,1153400000.0,313300000.0,1466700000.0,3129900000,526900000.0,0.0,783000000.0,740200000.0,898800000.0,1681800000,1448100000.0,3129900000,121400000.0,49900000.0,-6900000.0,2700000.0,2700000.0,167100000.0,-88300000.0,-88300000.0,0.0,1400000.0,1600000.0,80600000,2014-07-31,55.31000137329102,55.81999969482422,54.38999938964844,54.47000122070313,54.47000122070313,5108000.0
2014-10-31,2095200000.0,-1369900000.0,725300000.0,-505600000.0,-505600000.0,219700000.0,-10400000.0,-9300000.0,209300000,209300000,-76300000.0,133000000,133000000,133000000,407600000.0,1304900000.0,1796100000.0,1193400000.0,378200000.0,1571600000.0,3367700000,559300000.0,0.0,866500000.0,757000000.0,916100000.0,1782600000,1585100000.0,3367700000,133000000.0,50900000.0,-7900000.0,-152800000.0,-152800000.0,23200000.0,-92800000.0,-83900000.0,0.0,1100000.0,1100000.0,-60100000,2014-10-31,60.540000915527344,61.0,60.22999954223633,60.56999969482422,60.56999969482422,3760300.0
2015-01-31,2475600000.0,-1557600000.0,918000000.0,-534400000.0,-534400000.0,383600000.0,-59100000.0,-54300000.0,324500000,324500000,-118100000.0,206400000,206400000,206400000,864100000.0,1035700000.0,1994600000.0,1210500000.0,287600000.0,1498100000.0,3492700000,476300000.0,0.0,861600000.0,682700000.0,846100000.0,1707700000,1785000000.0,3492700000,206500000.0,54400000.0,22900000.0,270500000.0,246800000.0,554300000.0,-72900000.0,-71200000.0,0.0,1100000.0,-25800000.0,456500000,2015-01-30,70.05000305175781,72.12999725341797,69.76999664306639,71.0999984741211,71.0999984741211,6235200.0
2015-04-30,2176700000.0,-1427800000.0,748900000.0,-516100000.0,-516100000.0,232800000.0,-119600000.0,-122200000.0,113200000,113200000,-43700000.0,69500000,69500000,69500000,870400000.0,1093500000.0,9335600000.0,1226000000.0,307600000.0,1533600000.0,10869200000,540900000.0,0.0,1015200000.0,7819700000.0,7983200000.0,8998400000,1870800000.0,10869200000,69500000.0,52800000.0,26000000.0,2100000.0,2100000.0,150400000.0,-66900000.0,-7311000000.0,7180200000.0,2600000.0,7166600000.0,6300000,2015-04-30,77.31999969482422,77.80000305175781,76.13999938964844,76.41000366210938,76.41000366210938,3134200.0
2015-07-31,3011200000.0,-2156000000.0,855200000.0,-731800000.0,-731800000.0,123400000.0,-265600000.0,-263900000.0,-142200000,-142200000,44200000.0,-98000000,-98000000,-98000000,1306500000.0,2825100000.0,4524700000.0,3151900000.0,8888500000.0,12040400000.0,16565100000,1152500000.0,83000000.0,2073300000.0,8427900000.0,10444800000.0,12518100000,4047000000.0,16565100000,-98000000.0,84800000.0,18600000.0,-180200000.0,-180200000.0,-174800000.0,-100400000.0,606100000.0,84600000.0,1300000.0,1900000.0,432100000,2015-07-31,76.66000366210938,78.25,76.4000015258789,78.02999877929688,78.02999877929688,1828700.0
2015-10-31,4945200000.0,-3545200000.0,1400000000.0,-1176300000.0,-1176300000.0,223700000.0,-99000000.0,-98400000.0,124700000,124700000,-42800000.0,81900000,81900000,81900000,1110900000.0,3185300000.0,4628000000.0,3141000000.0,8930000000.0,12071000000.0,16699000000,1280400000.0,95500000.0,2161200000.0,8403500000.0,10395600000.0,12556800000,4142200000.0,16699000000,81900000.0,174900000.0,-55000000.0,-206400000.0,-206400000.0,-4600000.0,-169600000.0,-171700000.0,-20800000.0,2300000.0,-19600000.0,-195600000,2015-10-30,65.0,65.76999664306639,64.61000061035156,65.48999786376953,65.48999786376953,2205700.0
2016-01-31,5365300000.0,-3712700000.0,1652600000.0,-1182800000.0,-1182800000.0,469800000.0,-117300000.0,-114900000.0,352500000,352500000,-123500000.0,229000000,229000000,229000000,740100000.0,2885500000.0,3935900000.0,3125500000.0,8839800000.0,11965300000.0,15901200000,1264800000.0,108000000.0,2095400000.0,7387700000.0,9398900000.0,11494300000,4406900000.0,15901200000,229000000.0,175100000.0,161600000.0,265800000.0,233200000.0,831500000.0,-143600000.0,-101800000.0,-1040500000.0,7700000.0,-1100100000.0,-370800000,2016-01-29,79.58000183105469,81.97000122070312,79.25,81.31999969482422,81.31999969482422,3372400.0
2016-04-30,5085800000.0,-3531200000.0,1554600000.0,-1135900000.0,-1135900000.0,418700000.0,-87100000.0,-87300000.0,331600000,331600000,-98900000.0,232700000,232700000,232700000,933700000.0,2929500000.0,4172100000.0,3153200000.0,8735600000.0,11888800000.0,16060900000,1306500000.0,120500000.0,2049100000.0,7352700000.0,9342200000.0,11391300000,4669600000.0,16060900000,232700000.0,162300000.0,12000000.0,-96000000.0,-96000000.0,311000000.0,-174800000.0,-92800000.0,-20800000.0,14400000.0,-24800000.0,193600000,2016-04-29,79.44000244140625,79.93000030517578,78.26000213623047,79.70999908447266,79.70999908447266,2140000.0
2016-07-31,4996300000.0,-3483900000.0,1512400000.0,-1155200000.0,-1155200000.0,357200000.0,-87300000.0,-87300000.0,269900000,269900000,-99700000.0,170200000,170200000,170200000,1097200000.0,2975100000.0,4449400000.0,3174200000.0,8705800000.0,11880000000.0,16329400000,1351500000.0,145500000.0,2180000000.0,7292300000.0,9292500000.0,11472500000,4856900000.0,16329400000,170100000.0,161900000.0,9500000.0,27800000.0,27800000.0,369300000.0,-179600000.0,-179600000.0,-33200000.0,8300000.0,-27100000.0,163500000,2016-07-29,96.2699966430664,96.5500030517578,95.63999938964844,96.29000091552734,96.29000091552734,988800.0
2016-10-31,5001600000.0,-3481100000.0,1520500000.0,-1178100000.0,-1178100000.0,342400000.0,-112200000.0,-112100000.0,230200000,230200000,-58600000.0,171600000,171600000,171600000,737800000.0,3273900000.0,4342400000.0,3176300000.0,8676300000.0,11852600000.0,16195000000,1266400000.0,145800000.0,2134200000.0,7068200000.0,9013100000.0,11147300000,5047700000.0,16195000000,171600000.0,157600000.0,-14500000.0,-339700000.0,-339700000.0,-25000000.0,-95900000.0,-95900000.0,-242000000.0,10600000.0,-238100000.0,-359400000,2016-10-31,75.5199966430664,75.94999694824219,75.27999877929688,75.55000305175781,75.55000305175781,1397200.0
2017-01-31,5635500000.0,-3828300000.0,1807200000.0,-1220700000.0,-1220700000.0,586500000.0,-88800000.0,-88800000.0,497700000,497700000,-176000000.0,321700000,321700000,321700000,870400000.0,2865800000.0,3938000000.0,3115800000.0,8647800000.0,11763600000.0,15701600000,1209600000.0,152100000.0,2105900000.0,6293700000.0,8206200000.0,10312100000,5389500000.0,15701600000,321800000.0,155700000.0,-4900000.0,545400000.0,540100000.0,1018000000.0,-114400000.0,-115300000.0,-777700000.0,8200000.0,-770500000.0,132600000,2017-01-31,74.80000305175781,77.22000122070312,74.37000274658203,77.19000244140625,77.19000244140625,3624400.0
2017-04-30,5287100000.0,-3660000000.0,1627100000.0,-1187400000.0,-1187400000.0,439700000.0,-75000000.0,-74700000.0,364700000,313800000,-113300000.0,200500000,200500000,200500000,1158900000.0,2878400000.0,4278100000.0,3093900000.0,8622700000.0,11716600000.0,15994700000,1445200000.0,165900000.0,2240600000.0,6249300000.0,8145100000.0,10385700000,5609000000.0,15994700000,200500000.0,153900000.0,64400000.0,11900000.0,11900000.0,430700000.0,-108100000.0,-108100000.0,-27800000.0,11800000.0,-33600000.0,288500000,2017-04-28,82.9800033569336,83.20999908447266,82.2300033569336,82.7699966430664,82.7699966430664,2393300.0
2017-07-31,5281200000.0,-3653400000.0,1627800000.0,-1205700000.0,-1205700000.0,422100000.0,-75900000.0,-75800000.0,346200000,343600000,-109800000.0,233800000,233800000,233800000,697300000.0,2928500000.0,3815200000.0,3115400000.0,8601700000.0,11717100000.0,15532300000,1196300000.0,165900000.0,2084700000.0,5706500000.0,7587400000.0,9672100000,5860200000.0,15532300000,233800000.0,151300000.0,39900000.0,-180500000.0,-180500000.0,244500000.0,-161500000.0,-161500000.0,-541500000.0,3100000.0,-545500000.0,-461600000,2017-07-31,72.0,72.33000183105469,71.19000244140625,72.08000183105469,72.08000183105469,1408200.0
2017-10-31,5316600000.0,-3650600000.0,1666000000.0,-1240800000.0,-1240800000.0,425200000.0,-70100000.0,-69700000.0,355100000,355100000,-115200000.0,239900000,239900000,239900000,400100000.0,3397800000.0,3972600000.0,3178900000.0,8578700000.0,11757600000.0,15730200000,1181300000.0,165900000.0,2039900000.0,5662700000.0,7573800000.0,9613700000,6116500000.0,15730200000,239900000.0,149400000.0,38600000.0,-510500000.0,-510500000.0,-82600000.0,-179900000.0,-175900000.0,-41500000.0,9500000.0,-34500000.0,-293200000,2017-10-31,91.62999725341795,92.20999908447266,91.0500030517578,91.25,91.25,1383800.0
2018-01-31,6360600000.0,-4259600000.0,2101000000.0,-1370400000.0,-1370400000.0,730600000.0,-74100000.0,-81600000.0,656500000,691500000,348600000.0,1040100000,1040100000,1040100000,1097800000.0,3169300000.0,4576300000.0,3200700000.0,8555800000.0,11756500000.0,16332800000,1206300000.0,915900000.0,2859100000.0,4862100000.0,6291400000.0,9150500000,7182300000.0,16332800000,1040100000.0,156600000.0,-505900000.0,226800000.0,587800000.0,917600000.0,-182700000.0,-182400000.0,-48300000.0,10600000.0,-37900000.0,697700000,2018-01-31,114.7699966430664,116.6500015258789,113.73999786376952,115.0,115.0,1802800.0
2018-04-30,5553700000.0,-3854100000.0,1699600000.0,-1262000000.0,-1262000000.0,437600000.0,-230200000.0,-230000000.0,207400000,207400000,-46900000.0,160500000,160500000,160500000,475200000.0,3248200000.0,4042000000.0,3249700000.0,8535400000.0,11785100000.0,15827100000,1263200000.0,0.0,1917200000.0,5134600000.0,6554200000.0,8471400000,7355700000.0,15827100000,160500000.0,151500000.0,189000000.0,-113400000.0,-113400000.0,387600000.0,-181100000.0,-181100000.0,-656900000.0,4600000.0,-828800000.0,-622600000,2018-04-30,97.80999755859376,98.0999984741211,95.88999938964844,95.88999938964844,95.88999938964844,1749700.0
2018-07-31,5525600000.0,-3861700000.0,1663900000.0,-1281400000.0,-1281400000.0,382500000.0,-44800000.0,-46100000.0,337700000,337700000,-63800000.0,273900000,273900000,273900000,647300000.0,3288200000.0,4272800000.0,3316100000.0,8514700000.0,11830800000.0,16103600000,1255800000.0,0.0,1907400000.0,5131000000.0,6548700000.0,8456100000,7647500000.0,16103600000,273900000.0,152500000.0,17100000.0,-62300000.0,-62300000.0,381200000.0,-213600000.0,-213600000.0,0.0,5600000.0,5100000.0,172100000,2018-07-31,90.0,91.33000183105469,89.4000015258789,91.27999877929688,91.27999877929688,2997700.0
2018-10-31,5538800000.0,-3866900000.0,1671900000.0,-1284100000.0,-1284100000.0,387800000.0,-47800000.0,-47600000.0,340000000,340000000,-58200000.0,281800000,281800000,281800000,708300000.0,3715600000.0,4749500000.0,3406200000.0,8493600000.0,11899800000.0,16649300000,1365800000.0,0.0,2135700000.0,5127800000.0,6570500000.0,8706200000,7943100000.0,16649300000,281800000.0,150400000.0,39400000.0,-189500000.0,-189500000.0,282100000.0,-224700000.0,-224700000.0,0.0,4000000.0,3100000.0,61000000,2018-10-31,85.0,85.04000091552734,83.5199966430664,84.30000305175781,84.30000305175781,2630300.0
2019-01-31,6205200000.0,-4293100000.0,1912100000.0,-1332500000.0,-1332500000.0,579600000.0,-46700000.0,-46300000.0,532900000,-2194100000,-112900000.0,-2307000000,-2307000000,-2307000000,422100000.0,3536000000.0,4293300000.0,3445300000.0,5762600000.0,9207900000.0,13501200000,1476400000.0,0.0,2095700000.0,4344100000.0,5762600000.0,7858300000,5642900000.0,13501200000,-2307000000.0,166700000.0,2712200000.0,143200000.0,290900000.0,715100000.0,-197300000.0,-197300000.0,-782000000.0,3300000.0,-779300000.0,-261600000,2019-01-31,96.1500015258789,96.88999938964844,95.5500030517578,96.83000183105469,96.83000183105469,2280700.0
2019-10-31,5746200000.0,-4041700000.0,1704500000.0,-1346100000.0,-1346100000.0,358400000.0,-41500000.0,-41400000.0,316900000,316900000,-61100000.0,255800000,255800000,255800000,433700000.0,3882900000.0,4572300000.0,3810700000.0,11359100000.0,15169800000.0,19742100000,1473100000.0,750000000.0,4179700000.0,3520200000.0,9441100000.0,13620800000,6121300000.0,19742100000,255800000.0,160000000.0,42400000.0,-287700000.0,-287700000.0,170500000.0,-282700000.0,-280000000.0,-60800000.0,3200000.0,-58000000.0,-168000000,2019-10-31,111.70999908447266,112.05999755859376,109.25,110.4000015258789,110.4000015258789,1812500.0
2020-01-31,6315300000.0,-4354800000.0,1960500000.0,-1398100000.0,-1398100000.0,562400000.0,-39900000.0,-39200000.0,522500000,209500000,-86500000.0,123000000,123000000,123000000,539200000.0,3522000000.0,4269400000.0,3881800000.0,11423400000.0,15305200000.0,19574600000,1399200000.0,250000000.0,3546500000.0,3522200000.0,9773300000.0,13319800000,6254800000.0,19574600000,123000000.0,179100000.0,283000000.0,270200000.0,344800000.0,855300000.0,-251500000.0,-251500000.0,-500000000.0,2900000.0,-497800000.0,105700000,2020-01-31,87.41999816894531,87.55000305175781,86.2300033569336,87.06999969482422,87.06999969482422,2704700.0
2020-04-30,6286800000.0,-4491900000.0,1794900000.0,-1429000000.0,-1429000000.0,365900000.0,-40700000.0,-40200000.0,325200000,325200000,-77600000.0,247600000,247600000,247600000,1755100000.0,3198500000.0,5165400000.0,3964800000.0,11341600000.0,15306400000.0,20471800000,1421100000.0,1050000000.0,4504200000.0,3223300000.0,9447000000.0,13951200000,6520600000.0,20471800000,247600000.0,165500000.0,88400000.0,457500000.0,457500000.0,959000000.0,-235900000.0,-235900000.0,500000000.0,9700000.0,493600000.0,1216000000,2020-04-30,80.2300033569336,80.58000183105469,78.31999969482422,79.66999816894531,79.66999816894531,2299900.0
2020-07-31,6277600000.0,-4361400000.0,1916200000.0,-1541300000.0,-1541300000.0,374900000.0,-35000000.0,-34800000.0,339900000,339900000,-78400000.0,261500000,261500000,261500000,1750300000.0,3275700000.0,5232500000.0,4032600000.0,11405900000.0,15438500000.0,20671000000,1482900000.0,800000000.0,4278800000.0,3224300000.0,9578600000.0,13857400000,6813600000.0,20671000000,261500000.0,168100000.0,505900000.0,-457500000.0,-457500000.0,478000000.0,-232400000.0,-235200000.0,-250000000.0,2100000.0,-248200000.0,-4800000,2020-07-31,93.70999908447266,93.70999908447266,92.2300033569336,93.3499984741211,93.3499984741211,1805500.0
