Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-06-30,1417400000.0,-1097300000.0,320100000.0,-119900000.0,-114800000.0,200200000.0,-22500000.0,-22500000.0,177700000,177700000,-61800000.0,115900000,115900000,115900000,213600000.0,663400000.0,671300000.0,1609900000.0,2809900000.0,876300000.0,3686200000.0,5296100000,543800000.0,7700000.0,551500000.0,2309100000.0,3082300000.0,3633800000,442000000.0,1337200000.0,1662300000.0,5296100000,115900000.0,87600000.0,2100000.0,-20400000.0,185200000.0,-68600000.0,-72200000.0,-51800000.0,-1900000.0,-61700000.0,51300000,2016-06-30,66.08999633789061,66.93000030517578,65.69000244140625,66.93000030517578,58.00475311279297,1162800.0
2016-09-30,1484000000.0,-1154500000.0,329500000.0,-123100000.0,-116900000.0,206400000.0,-23400000.0,-23400000.0,183000000,183000000,-63700000.0,119300000,119300000,119300000,279800000.0,713200000.0,690600000.0,1747000000.0,2878700000.0,1121500000.0,4000200000.0,5747200000,610500000.0,27000000.0,637500000.0,2646500000.0,3379700000.0,4017200000,446900000.0,1396900000.0,1730000000.0,5747200000,119300000.0,88000000.0,-30300000.0,40300000.0,217300000.0,-66600000.0,-455000000.0,-51800000.0,358100000.0,303900000.0,66200000,2016-09-30,80.25,81.68000030517578,79.98999786376953,81.26000213623047,70.97988891601562,755100.0
2016-12-31,1476600000.0,-1149500000.0,327100000.0,-134200000.0,-125100000.0,192900000.0,-24300000.0,-24300000.0,168600000,168600000,-57900000.0,110700000,110700000,110700000,239300000.0,689200000.0,723600000.0,1696300000.0,2895700000.0,1185000000.0,4080700000.0,5777000000,598300000.0,27100000.0,625400000.0,2640300000.0,3391800000.0,4017200000,452300000.0,1447100000.0,1759800000.0,5777000000,110700000.0,93700000.0,-800000.0,9800000.0,213400000.0,-85700000.0,-186900000.0,-59400000.0,-6800000.0,-67000000.0,-40500000,2016-12-30,85.48999786376953,85.56999969482422,84.27999877929688,84.81999969482422,74.63166809082031,372600.0
2017-03-31,1536500000.0,-1198300000.0,338200000.0,-134800000.0,-127800000.0,203400000.0,-24300000.0,-24300000.0,179100000,179100000,-61700000.0,117400000,117400000,117400000,254000000.0,733300000.0,744500000.0,1779100000.0,2887200000.0,1177100000.0,4064300000.0,5843400000,618200000.0,157800000.0,776000000.0,2478400000.0,3242700000.0,4018700000,456900000.0,1504500000.0,1824700000.0,5843400000,117400000.0,92500000.0,19900000.0,-65700000.0,164100000.0,-56100000.0,-57800000.0,-59400000.0,-31700000.0,-91600000.0,14700000,2017-03-31,90.9000015258789,92.26000213623048,90.58000183105469,91.62000274658205,81.16963958740234,739600.0
2017-06-30,1584000000.0,-1219700000.0,364300000.0,-130200000.0,-129600000.0,234100000.0,-25500000.0,-25500000.0,208600000,208600000,-65400000.0,143200000,143200000,143200000,321000000.0,755200000.0,734400000.0,1863400000.0,2872500000.0,1167300000.0,4039800000.0,5903200000,602400000.0,157800000.0,760200000.0,2477000000.0,3236400000.0,3996600000,461800000.0,1578800000.0,1906600000.0,5903200000,143200000.0,93700000.0,3100000.0,-18500000.0,221500000.0,-80400000.0,-83100000.0,-59400000.0,-2000000.0,-71400000.0,67000000,2017-06-30,112.13999938964844,112.23999786376952,110.77999877929688,111.38999938964844,99.27918243408205,843200.0
2017-09-30,1640100000.0,-1243100000.0,397000000.0,-154400000.0,-129600000.0,242600000.0,-25700000.0,-25700000.0,216900000,216900000,-77800000.0,139100000,139100000,139100000,370500000.0,831300000.0,736600000.0,2001800000.0,2881600000.0,1143800000.0,4025400000.0,6027200000,666500000.0,157800000.0,824300000.0,2475600000.0,3208700000.0,4033000000,467000000.0,1658200000.0,1994200000.0,6027200000,139100000.0,97500000.0,-11800000.0,-27100000.0,197700000.0,-85300000.0,-86700000.0,-59400000.0,-1900000.0,-61500000.0,49500000,2017-09-29,115.08999633789062,115.13999938964844,113.88999938964844,114.68000030517578,102.76673889160156,829800.0
2017-12-31,1684300000.0,-1311600000.0,372700000.0,-121600000.0,-135600000.0,251100000.0,-27100000.0,-27100000.0,224000000,224000000,44900000.0,268900000,268900000,268900000,216900000.0,830700000.0,762500000.0,1915100000.0,2924900000.0,1357500000.0,4282400000.0,6197500000,681400000.0,151300000.0,832700000.0,2499400000.0,3182200000.0,4014900000,472100000.0,1867400000.0,2182600000.0,6197500000,268900000.0,107700000.0,-72000000.0,-31800000.0,272800000.0,-104600000.0,-381500000.0,-59400000.0,21500000.0,-44900000.0,-153600000,2017-12-29,121.1999969482422,121.37999725341795,120.30999755859376,120.5500030517578,108.59564208984376,444400.0
2018-03-31,1690600000.0,-1334500000.0,356100000.0,-143200000.0,-134900000.0,212900000.0,-26300000.0,-26300000.0,186600000,186600000,-46500000.0,140100000,140100000,140100000,102400000.0,860200000.0,766400000.0,1832600000.0,2961400000.0,1345800000.0,4307200000.0,6139800000,672200000.0,1400000.0,673600000.0,2499800000.0,3192400000.0,3866000000,477200000.0,1949600000.0,2273800000.0,6139800000,140100000.0,108100000.0,27200000.0,-72900000.0,202500000.0,-107900000.0,-107200000.0,-59400000.0,-150300000.0,-209800000.0,-114500000,2018-03-29,112.0500030517578,113.83999633789062,111.4499969482422,112.6999969482422,102.05887603759766,676200.0
2018-06-30,1767500000.0,-1346900000.0,420600000.0,-151000000.0,-137700000.0,269600000.0,-24300000.0,-24300000.0,245300000,245300000,-58700000.0,186600000,186600000,186600000,199600000.0,920000000.0,763700000.0,1956600000.0,3026500000.0,1332500000.0,4359000000.0,6315600000,714400000.0,1400000.0,715800000.0,2500400000.0,3211800000.0,3927600000,483000000.0,2054000000.0,2388000000.0,6315600000,186600000.0,104100000.0,27000000.0,13300000.0,331000000.0,-165500000.0,-166300000.0,-59500000.0,-400000.0,-67500000.0,97200000,2018-06-29,112.37000274658205,113.45999908447266,111.79000091552734,111.79000091552734,101.90153503417969,410600.0
2018-09-30,1809900000.0,-1366700000.0,443200000.0,-144700000.0,-134200000.0,298500000.0,-24400000.0,-24400000.0,274100000,274100000,-67400000.0,206700000,206700000,206700000,293800000.0,986200000.0,780600000.0,2114700000.0,3065100000.0,1320200000.0,4385300000.0,6500000000,765100000.0,1400000.0,766500000.0,2500800000.0,3203300000.0,3969800000,489800000.0,2185500000.0,2530200000.0,6500000000,206700000.0,101400000.0,1900000.0,-9000000.0,301000000.0,-130400000.0,-131800000.0,-74500000.0,-300000.0,-75000000.0,94200000,2018-09-28,110.56999969482422,111.16000366210938,109.5,109.69000244140624,100.69193267822266,614700.0
2018-12-31,1746600000.0,-1321200000.0,425400000.0,-138700000.0,-129600000.0,286700000.0,-22200000.0,-20100000.0,264500000,264500000,-59900000.0,204600000,204600000,204600000,361500000.0,901900000.0,795600000.0,2115100000.0,3108600000.0,1346000000.0,4454600000.0,6569700000,692200000.0,1400000.0,693600000.0,2501300000.0,3203700000.0,3897300000,495400000.0,2315800000.0,2672400000.0,6569700000,204600000.0,97300000.0,28000000.0,15700000.0,345600000.0,-146100000.0,-202900000.0,-74700000.0,-300000.0,-75000000.0,67700000,2018-12-31,82.5999984741211,83.80000305175781,82.19999694824219,83.45999908447266,77.26822662353516,712700.0
2019-03-31,1733700000.0,-1312300000.0,421400000.0,-146000000.0,-140000000.0,275400000.0,-26100000.0,-24100000.0,249300000,249300000,-62500000.0,186800000,186800000,186800000,442400000.0,930300000.0,831700000.0,2262400000.0,3109800000.0,1556400000.0,4666200000.0,6928600000,682000000.0,58700000.0,740700000.0,2667200000.0,3393300000.0,4134000000,502300000.0,2427800000.0,2794600000.0,6928600000,186800000.0,94800000.0,39400000.0,-85000000.0,236000000.0,-78800000.0,-80100000.0,-74700000.0,-300000.0,-75000000.0,80900000,2019-03-29,100.0,100.47000122070312,98.12999725341795,99.37999725341795,92.73204803466795,883700.0
2019-06-30,1759900000.0,-1332000000.0,427900000.0,-147500000.0,-143700000.0,280400000.0,-24400000.0,-22400000.0,256000000,256000000,-62400000.0,193600000,193600000,193600000,569400000.0,947000000.0,815700000.0,2402700000.0,3107200000.0,1564500000.0,4671700000.0,7074400000,668200000.0,61400000.0,729600000.0,2685600000.0,3423600000.0,4153200000,514200000.0,2539200000.0,2921200000.0,7074400000,193600000.0,95900000.0,32300000.0,-19400000.0,302400000.0,-92100000.0,-93900000.0,-74600000.0,800000.0,-81500000.0,127000000,2019-06-28,93.98999786376952,96.27999877929688,93.95999908447266,95.31999969482422,89.68514251708984,3026300.0
2019-09-30,1750700000.0,-1339300000.0,411400000.0,-148600000.0,-136900000.0,262800000.0,-23500000.0,-21600000.0,239300000,239300000,-59500000.0,179800000,179800000,179800000,738300000.0,932300000.0,806300000.0,2531300000.0,3110400000.0,1549400000.0,4659800000.0,7191100000,708800000.0,61900000.0,770700000.0,2680000000.0,3385700000.0,4156400000,519800000.0,2643700000.0,3034700000.0,7191100000,179800000.0,97900000.0,-23200000.0,85300000.0,339800000.0,-91500000.0,-94300000.0,-74600000.0,-1600000.0,-76600000.0,168900000,2019-09-30,105.26000213623048,106.41999816894531,105.26000213623048,106.0999984741211,100.56287384033205,588600.0
2020-03-31,1708700000.0,-1343700000.0,365000000.0,-145900000.0,-145900000.0,219100000.0,-29000000.0,-19600000.0,190100000,190100000,-48400000.0,141700000,141700000,141700000,856300000.0,879500000.0,809900000.0,2613600000.0,3138600000.0,1538300000.0,4734000000.0,7347600000,678700000.0,65900000.0,744600000.0,2670200000.0,3453100000.0,4197700000,535800000.0,2771100000.0,3149900000.0,7347600000,141700000.0,100300000.0,30700000.0,-36000000.0,236700000.0,-70400000.0,-77000000.0,-74800000.0,-400000.0,-75200000.0,84500000,2020-03-31,90.55999755859376,91.05999755859376,86.19999694824219,86.83000183105469,83.65848541259766,1265300.0
2020-06-30,1541600000.0,-1215800000.0,325800000.0,-136300000.0,-136300000.0,189500000.0,-42700000.0,-25100000.0,146800000,91600000,-34900000.0,56700000,56700000,56700000,940200000.0,817300000.0,834500000.0,2659000000.0,3114700000.0,1462000000.0,4613000000.0,7272000000,614900000.0,1600000.0,683600000.0,2664700000.0,3455300000.0,4138900000,543600000.0,2742900000.0,3133100000.0,7272000000,56600000.0,108200000.0,78100000.0,-16100000.0,226800000.0,-76500000.0,-51800000.0,-74900000.0,-400000.0,-85700000.0,89300000,2020-06-30,97.5500030517578,100.30999755859376,97.11000061035156,99.8000030517578,96.93512725830078,776400.0
