Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2013-08-31,995119000.0,-147076000.0,848043000.0,-738480000.0,-516716000.0,-208700000.0,109563000.0,-17094000.0,-16747000.0,92469000,791000.0,93260000,-10258000.0,83002000,83002000,83002000,3163937000.0,522409000.0,3886124000.0,659747000.0,207239000.0,5481046000.0,6348032000.0,10234156000,623671000.0,1329117000.0,1502369000.0,2070280000.0,3399397000,3266231000.0,-3322654000.0,6878216000.0,6834759000.0,10234156000,83002000.0,82175000.0,101167000.0,-50819000.0,215525000.0,-46798000.0,156000.0,-608019000.0,-397235000.0,-10034000.0,-230531000.0,-247371000.0,-427325000,2013-08-30,45.88000106811523,46.11000061035156,45.56999969482422,45.75,45.75,2211500.0
2013-11-30,1041699000.0,-147516000.0,894183000.0,-789053000.0,-569898000.0,-205196000.0,105130000.0,-14566000.0,-16722000.0,90564000,-2294000.0,88270000,-22950000.0,65320000,65320000,65320000,3173752000.0,599820000.0,4045929000.0,659774000.0,207239000.0,5467356000.0,6334369000.0,10380298000,729257000.0,1525648000.0,1499297000.0,2130016000.0,3655664000,3392757000.0,-3643190000.0,6928964000.0,6724634000.0,10380298000,65320000.0,81350000.0,76397000.0,91915000.0,314982000.0,-10861000.0,2837000.0,-214000.0,-15000.0,-6041000.0,-328046000.0,-300530000.0,15471000,2013-11-29,57.11999893188477,57.1500015258789,56.61999893188477,56.77999877929688,56.77999877929688,965200.0
2014-02-28,1000120000.0,-148509000.0,851611000.0,-772202000.0,-549125000.0,-209525000.0,79409000.0,-13854000.0,-16590000.0,65555000,-663000.0,64892000,-17846000.0,47046000,47046000,47046000,3132092000.0,510507000.0,3942391000.0,651083000.0,207239000.0,5445169000.0,6303491000.0,10245882000,661767000.0,2112347000.0,896418000.0,1522652000.0,3634999000,3475247000.0,-3655657000.0,6734701000.0,6610883000.0,10245882000,47046000.0,77636000.0,79703000.0,47288000.0,251673000.0,-29393000.0,779000.0,0.0,-94422000.0,-4433000.0,-10196000.0,-258209000.0,-100640000,2014-02-28,70.25,71.11000061035156,67.83000183105469,68.62999725341797,68.62999725341797,5728600.0
2014-05-31,1068208000.0,-154904000.0,913304000.0,-778412000.0,-555968000.0,-209092000.0,134892000.0,-13987000.0,-17103000.0,120905000,366000.0,121271000,-32744000.0,88527000,88527000,88527000,3330211000.0,531557000.0,4114343000.0,642450000.0,207239000.0,5408167000.0,6257856000.0,10372199000,725494000.0,2217972000.0,896551000.0,1517339000.0,3735311000,3562743000.0,-3778601000.0,6806104000.0,6636888000.0,10372199000,88527000.0,77653000.0,90850000.0,110506000.0,367536000.0,-27198000.0,117000.0,0.0,-147932000.0,-3626000.0,-230661000.0,-135927000.0,83104000,2014-05-30,65.75,65.75,64.16999816894531,64.54000091552734,64.54000091552734,2444300.0
2014-08-31,1005409000.0,-157724000.0,847685000.0,-773308000.0,-548151000.0,-212049000.0,74377000.0,-11238000.0,-13361000.0,63139000,-201000.0,62938000,-18252000.0,44686000,44686000,44686000,3520197000.0,528331000.0,4279468000.0,785856000.0,80439000.0,5347917000.0,6214212000.0,10493680000,688908000.0,2245248000.0,901830000.0,1517172000.0,3762420000,3675690000.0,-3815287000.0,6850790000.0,6731260000.0,10493680000,44686000.0,80154000.0,71152000.0,72528000.0,268520000.0,-54966000.0,468000.0,0.0,-170394000.0,-3372000.0,-20302000.0,-9794000.0,86309000,2014-08-29,71.7699966430664,72.0999984741211,71.4000015258789,71.9000015258789,71.9000015258789,1659500.0
2014-11-30,1073328000.0,-160943000.0,912385000.0,-768495000.0,-542396000.0,-213687000.0,143890000.0,-12230000.0,-12678000.0,131660000,-19385000.0,112275000,-24139000.0,88136000,88136000,88136000,3739491000.0,591800000.0,4602328000.0,785123000.0,80439000.0,5317939000.0,6183501000.0,10785829000,776163000.0,2494435000.0,911086000.0,1515489000.0,4009924000,3778556000.0,-3918851000.0,6924294000.0,6775905000.0,10785829000,88136000.0,78147000.0,67712000.0,165758000.0,399753000.0,-36775000.0,2168000.0,-29802000.0,-77959000.0,-3253000.0,-111000000.0,-103353000.0,214071000,2014-11-28,73.12999725341797,74.0999984741211,73.05000305175781,73.68000030517578,73.68000030517578,978400.0
2015-02-28,1109181000.0,-166798000.0,942383000.0,-767603000.0,-537822000.0,-215509000.0,174780000.0,-9777000.0,-14545000.0,165003000,-1755000.0,163248000,-78360000.0,84888000,84888000,84888000,3176820000.0,532427000.0,3972159000.0,784314000.0,80439000.0,6171510000.0,7036263000.0,11008422000,655815000.0,1788160000.0,1901554000.0,2631242000.0,4419402000,3897899000.0,-3961872000.0,6756803000.0,6589020000.0,11008422000,84888000.0,79635000.0,78144000.0,-59652000.0,183015000.0,-35546000.0,1146000.0,-800342000.0,-698371000.0,387091000.0,-143680000.0,119275000.0,-404516000,2015-02-27,79.23999786376953,80.30000305175781,78.93000030517578,79.0999984741211,79.0999984741211,3115800.0
2015-05-31,1162158000.0,-185173000.0,976985000.0,-783334000.0,-557206000.0,-208047000.0,193651000.0,-12643000.0,-16605000.0,181008000,-34000.0,180974000,-33481000.0,147493000,147493000,147493000,3413248000.0,502617000.0,4178397000.0,785199000.0,80439000.0,6121348000.0,6986986000.0,11165383000,759796000.0,1937033000.0,1904376000.0,2618247000.0,4555280000,3994713000.0,-4134581000.0,6879444000.0,6610103000.0,11165383000,147493000.0,85929000.0,54602000.0,183460000.0,471484000.0,-35730000.0,840000.0,-5637000.0,-38909000.0,0.0,-185151000.0,-186102000.0,243263000,2015-05-29,79.88999938964844,79.98999786376953,78.94000244140625,79.08999633789062,79.08999633789062,3288000.0
2015-08-31,1217768000.0,-190985000.0,1026783000.0,-781515000.0,-544609000.0,-218660000.0,245268000.0,-13400000.0,-16519000.0,231868000,751000.0,232619000,-58154000.0,174465000,174465000,174465000,3668733000.0,593554000.0,4525888000.0,797464000.0,80439000.0,6104604000.0,6982507000.0,11508395000,799652000.0,2060814000.0,1906094000.0,2606249000.0,4667063000,4094194000.0,-4161660000.0,7049629000.0,6841332000.0,11508395000,174465000.0,87550000.0,66014000.0,32459000.0,360488000.0,-48984000.0,1761000.0,-20025000.0,-465091000.0,0.0,-16410000.0,-18710000.0,-126855000,2015-08-31,79.37999725341797,79.69999694824219,78.30000305175781,78.56999969482422,78.56999969482422,2313100.0
2015-11-30,1306404000.0,-201361000.0,1105043000.0,-815647000.0,-577083000.0,-220514000.0,289396000.0,6506000.0,-16515000.0,295902000,1038000.0,296940000,-74235000.0,222705000,222705000,222705000,3988084000.0,672006000.0,4821892000.0,787421000.0,80439000.0,6036720000.0,6904580000.0,11726472000,779356000.0,2213556000.0,1907231000.0,2511336000.0,4724892000,4184944000.0,-4267715000.0,7253431000.0,7001580000.0,11726472000,222705000.0,86359000.0,-30120000.0,175571000.0,454515000.0,-6897000.0,402000.0,0.0,-285987000.0,0.0,-115489000.0,-115150000.0,47268000,2015-11-30,92.41000366210938,92.66000366210938,91.12999725341795,91.45999908447266,91.45999908447266,2380200.0
