Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2015-09-30,261150000.0,-81888000.0,179262000.0,-207302000.0,-151480000.0,-55822000.0,-28040000.0,-11791000.0,-39831000,-39831000,-1199000.0,-41030000,-41030000,-41030000,728951000.0,159768000.0,981607000.0,132713000.0,400512000.0,148056000.0,681281000.0,1662888000,115335000.0,634821000.0,511133000.0,1145954000,1051637000.0,-519631000.0,516934000.0,1662888000,-41030000.0,15100000.0,90339000.0,-760000.0,63649000.0,-20768000.0,-50430000.0,-71672000.0,31663000.0,31394000.0,23719000,2015-09-30,69.72000122070311,70.30000305175781,67.06999969482422,69.44999694824219,69.44999694824219,1693000.0
2015-12-31,285650000.0,-90909000.0,194741000.0,-225599000.0,-167156000.0,-58443000.0,-30858000.0,-4796000.0,-35654000,-35654000,-1724000.0,-37378000,-37378000,-37378000,801250000.0,203333000.0,1085635000.0,144714000.0,422667000.0,154036000.0,721417000.0,1807052000,138633000.0,731636000.0,508602000.0,1240238000,1140705000.0,-557009000.0,566814000.0,1807052000,-37378000.0,16399000.0,93213000.0,34320000.0,106554000.0,-26643000.0,-33786000.0,-60521000.0,20001000.0,19698000.0,63432000,2015-12-31,87.37999725341797,87.61000061035156,85.98999786376953,86.55999755859375,86.55999755859375,708200.0
2016-03-31,305879000.0,-94260000.0,211619000.0,-265771000.0,-199847000.0,-65924000.0,-54152000.0,-7407000.0,-61559000,-331559000,-1773000.0,-333332000,-333332000,-333332000,900873000.0,190263000.0,1193258000.0,154244000.0,361831000.0,164710000.0,680785000.0,1874043000,376234000.0,1048283000.0,523404000.0,1571687000,1207266000.0,-890341000.0,302356000.0,1874043000,-333332000.0,17452000.0,102610000.0,291957000.0,78687000.0,-34827000.0,4378000.0,-31406000.0,19873000.0,-8690000.0,41145000,2016-03-31,60.9000015258789,61.40999984741211,59.93000030517578,61.18000030517578,61.18000030517578,2388300.0
2016-06-30,341312000.0,-96649000.0,244663000.0,-292941000.0,-222577000.0,-70364000.0,-48278000.0,-5988000.0,-54266000,-54266000,4641000.0,-49625000,-49625000,-49625000,806714000.0,197296000.0,1097889000.0,166551000.0,224439000.0,225459000.0,616449000.0,1714338000,154226000.0,852081000.0,537975000.0,1390056000,1268878000.0,-928543000.0,324282000.0,1714338000,-49625000.0,20000000.0,100982000.0,-219528000.0,-148171000.0,-28852000.0,66662000.0,3859000.0,14278000.0,-17168000.0,-164337000,2016-06-30,67.0,67.0,64.90000152587889,66.40000152587889,66.40000152587889,1715700.0
2016-09-30,357656000.0,-102837000.0,254819000.0,-281594000.0,-206576000.0,-75018000.0,-26775000.0,-6606000.0,-33381000,-33381000,-2877000.0,-36258000,-36258000,-36258000,806880000.0,220089000.0,1126907000.0,176106000.0,281353000.0,228748000.0,686207000.0,1813114000,154682000.0,898339000.0,552272000.0,1450611000,1343769000.0,-964801000.0,362503000.0,1813114000,-36258000.0,22264000.0,111149000.0,-437000.0,96718000.0,-31183000.0,-20697000.0,-51591000.0,20912000.0,-9007000.0,35954000,2016-09-30,78.76000213623047,79.69999694824219,78.05999755859375,79.1500015258789,79.1500015258789,1568400.0
2016-12-31,385666000.0,-104936000.0,280730000.0,-304333000.0,-230400000.0,-73933000.0,-23603000.0,-7242000.0,-30845000,-30845000,-1744000.0,-32589000,-32589000,-32589000,899362000.0,322757000.0,1342535000.0,181620000.0,262658000.0,246954000.0,691232000.0,2033767000,209716000.0,1071498000.0,575308000.0,1646806000,1405484000.0,-997390000.0,386961000.0,2033767000,-32589000.0,23366000.0,117673000.0,24237000.0,132687000.0,-29450000.0,528000.0,-29100000.0,11315000.0,-20887000.0,76384000,2016-12-30,75.11000061035156,75.44000244140625,73.66000366210938,74.33999633789062,74.33999633789062,1051500.0
2017-03-31,428771000.0,-116084000.0,312687000.0,-334479000.0,-249990000.0,-84489000.0,-21792000.0,-949000.0,-22741000,-22741000,1227000.0,-21514000,-21514000,-21514000,975314000.0,278107000.0,1396255000.0,189659000.0,326261000.0,258088000.0,774008000.0,2170263000,178252000.0,1139805000.0,603119000.0,1742924000,1477069000.0,-1038052000.0,427339000.0,2170263000,-21514000.0,25226000.0,116021000.0,67875000.0,187608000.0,-33186000.0,-79544000.0,-127765000.0,34807000.0,-19631000.0,39369000,2017-03-31,86.81999969482422,88.0,86.37999725341797,87.47000122070312,87.47000122070312,910600.0
2017-06-30,448258000.0,-122128000.0,326130000.0,-363924000.0,-273919000.0,-90005000.0,-37794000.0,-19822000.0,-57616000,-57616000,1812000.0,-55804000,-55804000,-55804000,1692176000.0,279088000.0,2111027000.0,213501000.0,319795000.0,280083000.0,813379000.0,2924406000,197986000.0,1217290000.0,1224690000.0,2441980000,1577884000.0,-1094525000.0,482426000.0,2924406000,-55804000.0,27181000.0,128250000.0,29098000.0,128725000.0,-42087000.0,20871000.0,-27718000.0,-48915000.0,613795000.0,733685000,2017-06-30,106.13999938964844,106.68000030517578,104.81999969482422,106.0,106.0,1538900.0
2017-09-30,492372000.0,-127486000.0,364886000.0,-368796000.0,-270331000.0,-98465000.0,-3910000.0,-15987000.0,-19897000,-19897000,-2285000.0,-22182000,-22182000,-22182000,1671897000.0,291903000.0,2127492000.0,231304000.0,424858000.0,285861000.0,942023000.0,3069515000,198305000.0,1280651000.0,1237473000.0,2518124000,1670512000.0,-1118713000.0,551391000.0,3069515000,-22182000.0,29401000.0,141232000.0,-6627000.0,141824000.0,-46753000.0,-154428000.0,-210181000.0,35856000.0,-8046000.0,-68678000,2017-09-29,116.80999755859376,117.79000091552734,116.1999969482422,117.52999877929688,117.52999877929688,1145700.0
2017-12-31,563625000.0,-134074000.0,429551000.0,-467469000.0,-362910000.0,-104559000.0,-37918000.0,-10832000.0,-48750000,-48750000,-880000.0,-49630000,-49630000,-49630000,1779298000.0,437051000.0,2421951000.0,245124000.0,391442000.0,491728000.0,1128294000.0,3550245000,285366000.0,2039479000.0,732022000.0,2771501000,1731541000.0,-958564000.0,778744000.0,3550245000,-49630000.0,32067000.0,167244000.0,34983000.0,184664000.0,-35154000.0,-450714000.0,-518284000.0,5819000.0,-47222000.0,-378479000,2017-12-29,130.53999328613278,131.25999450683594,130.16999816894528,130.38999938964844,130.38999938964844,676000.0
2018-03-31,589222000.0,-143473000.0,445749000.0,-466032000.0,-348764000.0,-117268000.0,-20283000.0,12923000.0,-7360000,-7360000,17982000.0,10622000,10622000,10622000,1885959000.0,371008000.0,2489926000.0,267454000.0,451209000.0,495896000.0,1214559000.0,3704485000,288453000.0,2098016000.0,741306000.0,2839322000,1819587000.0,-941454000.0,865163000.0,3704485000,10622000.0,33411000.0,111556000.0,94491000.0,250080000.0,-43221000.0,-194025000.0,-237246000.0,52657000.0,-61792000.0,-42467000,2018-03-29,161.60000610351562,167.4600067138672,160.27000427246094,165.4499969482422,165.4499969482422,2261500.0
2018-06-30,631056000.0,-153165000.0,477891000.0,-509880000.0,-381964000.0,-127916000.0,-31989000.0,-8860000.0,-40849000,-40849000,-11897000.0,-52746000,-52746000,-52746000,1749658000.0,367598000.0,2351629000.0,286953000.0,304629000.0,529673000.0,1121255000.0,3472884000,304650000.0,1837041000.0,744133000.0,2581174000,1889905000.0,-994200000.0,891710000.0,3472884000,-52746000.0,35207000.0,102764000.0,40671000.0,125896000.0,-55991000.0,307243000.0,226312000.0,8762000.0,-303081000.0,35131000,2018-06-29,174.0,175.25,171.55999755859375,172.47000122070312,172.47000122070312,1053100.0
2018-09-30,673097000.0,-157858000.0,515239000.0,-505671000.0,-370016000.0,-135655000.0,9568000.0,-2338000.0,7230000,7230000,1175000.0,8405000,8405000,8405000,1626040000.0,424698000.0,2292185000.0,297371000.0,457561000.0,534325000.0,1289257000.0,3581442000,294768000.0,1818957000.0,742301000.0,2561258000,2007397000.0,-985795000.0,1020184000.0,3581442000,8405000.0,37874000.0,189466000.0,-90244000.0,145501000.0,-50737000.0,-29773000.0,-89349000.0,39018000.0,-68234000.0,-14170000,2018-09-28,194.5800018310547,197.8000030517578,194.5500030517578,195.6300048828125,195.6300048828125,1205000.0
2018-12-31,715441000.0,-168162000.0,547279000.0,-547001000.0,-398339000.0,-148662000.0,278000.0,1677000.0,1955000,1955000,5060000.0,7015000,7015000,7015000,1497922000.0,574810000.0,2344693000.0,347216000.0,581856000.0,605375000.0,1534447000.0,3879140000,360979000.0,2012573000.0,755368000.0,2767941000,2094014000.0,-978780000.0,1111199000.0,3879140000,7015000.0,43112000.0,143649000.0,95836000.0,289612000.0,-98913000.0,-144565000.0,-247139000.0,3723000.0,-174321000.0,-137785000,2018-12-31,182.9199981689453,183.2700042724609,176.8000030517578,178.0500030517578,178.0500030517578,1655400.0
2019-03-31,788926000.0,-186252000.0,602674000.0,-618387000.0,-445865000.0,-172522000.0,-15713000.0,4257000.0,-11456000,-11456000,9911000.0,-1545000,-1545000,-1545000,1662113000.0,422559000.0,2374486000.0,350651000.0,674633000.0,999125000.0,2024409000.0,4398895000,344829000.0,2097841000.0,1106103000.0,3203944000,2165115000.0,-980487000.0,1194951000.0,4398895000,-1545000.0,55449000.0,204419000.0,102525000.0,360848000.0,-47124000.0,-175613000.0,-200873000.0,53093000.0,-86400000.0,74654000,2019-03-29,246.5,247.1300048828125,243.3600006103516,246.4900054931641,246.4900054931641,1389900.0
2019-06-30,833904000.0,-198147000.0,635757000.0,-662757000.0,-479337000.0,-183420000.0,-27000000.0,10685000.0,-16315000,-16315000,5236000.0,-11079000,-11079000,-11079000,1653384000.0,503376000.0,2442287000.0,364007000.0,746716000.0,1049693000.0,2160416000.0,4602703000,426627000.0,2224979000.0,1116778000.0,3341757000,2238970000.0,-991566000.0,1260946000.0,4602703000,-11079000.0,60328000.0,214363000.0,-19877000.0,243735000.0,-86056000.0,-116710000.0,-202517000.0,10207000.0,-97919000.0,-56494000,2019-06-28,277.8099975585937,280.19000244140625,274.57000732421875,274.57000732421875,274.57000732421875,4160800.0
2019-09-30,885833000.0,-200793000.0,685040000.0,-628716000.0,-438617000.0,-190099000.0,56324000.0,4446000.0,60770000,60770000,-20172000.0,40598000,40598000,40598000,1471073000.0,539416000.0,2297213000.0,400858000.0,1001513000.0,1057224000.0,2459595000.0,4756808000,381698000.0,2192561000.0,1134774000.0,3327335000,2360810000.0,-950968000.0,1429473000.0,4756808000,40598000.0,64006000.0,212933000.0,-107359000.0,210178000.0,-90069000.0,-31915000.0,-122355000.0,41927000.0,-41256000.0,38842000,2019-09-30,252.1999969482422,254.8000030517578,249.50999450683602,253.8500061035156,253.8500061035156,1206000.0
2019-12-31,951774000.0,-211453000.0,740321000.0,-711809000.0,-509481000.0,-202328000.0,28512000.0,5674000.0,34186000,34186000,564538000.0,598724000,598724000,598724000,1691095000.0,835279000.0,2826901000.0,468085000.0,1013332000.0,1714112000.0,3195529000.0,6022430000,514363000.0,2752785000.0,1141704000.0,3894489000,2454930000.0,-352244000.0,2127941000.0,6022430000,598724000.0,72331000.0,-352909000.0,103065000.0,421211000.0,-114332000.0,-78679000.0,-198732000.0,2641000.0,-76281000.0,152451000,2019-12-31,280.41000366210943,283.8500061035156,279.79000854492193,282.32000732421875,282.32000732421875,970400.0
2020-06-30,1071000000.0,-233000000.0,838000000.0,-775000000.0,-530000000.0,-245000000.0,63000000.0,-1000000.0,62000000,62000000,-21000000.0,41000000,41000000,41000000,2342671000.0,631992000.0,3337122000.0,547253000.0,776807000.0,1860127000.0,3184187000.0,6521309000,532410000.0,2848871000.0,1193632000.0,4042503000,2712281000.0,-263247000.0,2478806000.0,6521309000,41000000.0,83000000.0,270000000.0,-26000000.0,368000000.0,-111000000.0,-127000000.0,-243000000.0,24000000.0,-103000000.0,28000000,2020-06-30,394.8800048828125,406.1700134277344,394.0,405.05999755859375,405.05999755859375,1760800.0
