Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-04-30,1702500000.0,-707500000.0,995000000.0,-771200000.0,-549600000.0,-221600000.0,223800000.0,-7200000.0,216600000,-2400000.0,214200000,-33800000.0,180400000,180400000,180400000,5398500000.0,830900000.0,161500000.0,6826500000.0,1137200000.0,1568600000.0,2705800000.0,9532300000,573400000.0,2568800000.0,3519800000.0,1512000000.0,1718900000.0,5238700000,4410800000.0,2805300000.0,4293600000.0,9532300000,180700000.0,82600000.0,74900000.0,244400000.0,582600000.0,-124200000.0,-1403700000.0,0.0,-1526300000.0,0.0,0.0,41100000.0,71600000.0,-871100000,2012-04-30,38.9900016784668,39.08000183105469,38.59000015258789,38.83000183105469,31.84340667724609,3933100.0
2013-01-31,1630100000.0,-665200000.0,964900000.0,-775300000.0,-559700000.0,-215600000.0,189600000.0,-12100000.0,177500000,-1700000.0,175800000,-17700000.0,158100000,158100000,158100000,6723900000.0,633800000.0,172900000.0,8048600000.0,1189200000.0,1628100000.0,2817300000.0,10865900000,501500000.0,2720600000.0,3621000000.0,2393000000.0,2619900000.0,6240900000,4694200000.0,2849600000.0,4625000000.0,10865900000,158100000.0,86400000.0,76600000.0,44000000.0,365100000.0,-110700000.0,110700000.0,-89400000.0,-89200000.0,0.0,987300000.0,-11300000.0,985000000.0,1264900000,2013-01-31,36.36000061035156,36.77999877929688,36.0,36.0,29.522602081298828,4036700.0
2013-04-30,1716500000.0,-684300000.0,1032200000.0,-827800000.0,-584400000.0,-243400000.0,204400000.0,-15500000.0,188900000,0.0,188900000,-15100000.0,173800000,173800000,173800000,6952600000.0,800900000.0,139500000.0,8418200000.0,1170900000.0,1653300000.0,2824200000.0,11242400000,607700000.0,2821100000.0,3830600000.0,2440800000.0,2694300000.0,6524900000,4739400000.0,2896800000.0,4717500000.0,11242400000,173800000.0,89100000.0,63700000.0,129000000.0,455600000.0,-63600000.0,-27100000.0,-17100000.0,-106600000.0,0.0,0.0,-164900000.0,-146200000.0,195400000,2013-04-30,34.25,34.90999984741211,34.09000015258789,34.889999389648445,28.6123161315918,7600600.0
2014-01-31,1610000000.0,-607700000.0,1002300000.0,-775600000.0,-545300000.0,-230300000.0,226700000.0,2900000.0,229600000,0.0,229600000,-37500000.0,192100000,192100000,192100000,5069300000.0,584300000.0,118200000.0,6229400000.0,1128600000.0,1642600000.0,2771200000.0,9000600000,483500000.0,1566300000.0,2423800000.0,2388200000.0,2660900000.0,5084700000,3909200000.0,0.0,3915900000.0,9000600000,192100000.0,83600000.0,41700000.0,14400000.0,331800000.0,-57900000.0,90600000.0,0.0,31900000.0,-50400000.0,0.0,-439100000.0,-467400000.0,-107800000,2014-01-31,42.61000061035156,42.84000015258789,41.91999816894531,42.34000015258789,35.11854934692383,3323500.0
2014-04-30,1648900000.0,-607000000.0,1041900000.0,-779900000.0,-548500000.0,-231400000.0,262000000.0,3400000.0,265400000,-38500000.0,226900000,-29400000.0,197500000,197500000,197500000,5003300000.0,855900000.0,122400000.0,6471300000.0,1108800000.0,1633700000.0,2742500000.0,9213800000,1040800000.0,1653800000.0,2694600000.0,2436500000.0,2732700000.0,5427300000,3776300000.0,1100000.0,3786500000.0,9213800000,197500000.0,82000000.0,22000000.0,68400000.0,369900000.0,-55600000.0,211300000.0,0.0,160100000.0,-48900000.0,-100000.0,-364800000.0,-396700000.0,138400000,2014-04-30,35.279998779296875,35.720001220703125,35.09999847412109,35.61000061035156,29.658958435058594,2586300.0
2015-01-31,1551000000.0,-574000000.0,977000000.0,-775000000.0,-545000000.0,-230000000.0,202000000.0,-2000000.0,200000000,0.0,200000000,-23000000.0,177000000,177000000,177000000,5252500000.0,666300000.0,117800000.0,6554600000.0,1050700000.0,1629400000.0,2680100000.0,9234700000,476800000.0,1679400000.0,2491300000.0,2925000000.0,3235400000.0,5726700000,3452500000.0,69800000.0,3508000000.0,9234700000,177000000.0,80000000.0,41000000.0,-23000000.0,275000000.0,-29000000.0,-320000000.0,-85000000.0,-430000000.0,-52000000.0,0.0,-125000000.0,-176000000.0,-365000000,2015-01-30,37.79999923706055,38.36000061035156,37.540000915527344,37.79999923706055,31.88719940185547,3105500.0
2015-04-30,1540000000.0,-605000000.0,935000000.0,-774000000.0,-541000000.0,-233000000.0,161000000.0,3000000.0,164000000,0.0,164000000,-29000000.0,135000000,135000000,135000000,5326000000.0,779000000.0,146000000.0,6773000000.0,1030000000.0,1598000000.0,2628000000.0,9401000000,985000000.0,1724000000.0,2709000000.0,2960000000.0,3278000000.0,5987000000,3385000000.0,53000000.0,3414000000.0,9401000000,135000000.0,72000000.0,64000000.0,125000000.0,396000000.0,-37000000.0,-686000000.0,0.0,-724000000.0,-51000000.0,0.0,-235000000.0,-286000000.0,-618000000,2015-04-30,36.540000915527344,36.959999084472656,36.16999816894531,36.25,30.72121238708496,2558400.0
2016-04-30,1380000000.0,-562000000.0,818000000.0,-719000000.0,-518000000.0,-201000000.0,99000000.0,-4000000.0,95000000,-35000000.0,60000000,-68000000.0,-8000000,-8000000,-8000000,5303000000.0,813000000.0,98000000.0,6448000000.0,937000000.0,2652000000.0,3589000000.0,10037000000,1019000000.0,2643000000.0,3662000000.0,3081000000.0,3494000000.0,7156000000,2912000000.0,0.0,2881000000.0,10037000000,-8000000.0,77000000.0,41000000.0,235000000.0,345000000.0,67000000.0,103000000.0,-842000000.0,-668000000.0,-51000000.0,800000000.0,-212000000.0,681000000.0,373000000,2016-04-29,24.170000076293945,24.170000076293945,23.3799991607666,23.63999938964844,20.549211502075195,3862300.0
2017-01-31,1404000000.0,-553000000.0,851000000.0,-626000000.0,-445000000.0,-181000000.0,225000000.0,0.0,225000000,-42000000.0,183000000,-37000000.0,146000000,146000000,146000000,4639000000.0,605000000.0,125000000.0,5646000000.0,892000000.0,2517000000.0,3409000000.0,9055000000,1005000000.0,2839000000.0,3844000000.0,2279000000.0,2517000000.0,6361000000,2731000000.0,0.0,2694000000.0,9055000000,146000000.0,56000000.0,88000000.0,-55000000.0,235000000.0,-45000000.0,-188000000.0,0.0,-230000000.0,-52000000.0,386000000.0,-233000000.0,97000000.0,100000000,2017-01-31,37.849998474121094,38.41999816894531,37.47999954223633,38.31999969482422,33.92502975463867,2377800.0
2017-04-30,1453000000.0,-566000000.0,887000000.0,-684000000.0,-493000000.0,-191000000.0,203000000.0,1000000.0,204000000,0.0,204000000,-42000000.0,162000000,162000000,162000000,4921000000.0,731000000.0,163000000.0,6198000000.0,799000000.0,2496000000.0,3295000000.0,9493000000,1129000000.0,2993000000.0,4122000000.0,2342000000.0,2591000000.0,6713000000,2769000000.0,40000000.0,2780000000.0,9493000000,162000000.0,53000000.0,48000000.0,102000000.0,365000000.0,-38000000.0,-45000000.0,-8000000.0,-90000000.0,-51000000.0,101000000.0,-101000000.0,-51000000.0,228000000,2017-04-28,39.81999969482422,39.93999862670898,39.43000030517578,39.849998474121094,35.44304275512695,2176700.0
2017-07-31,1321000000.0,-497000000.0,824000000.0,-684000000.0,-491000000.0,-193000000.0,140000000.0,5000000.0,145000000,0.0,145000000,-14000000.0,131000000,131000000,131000000,5321000000.0,518000000.0,143000000.0,6298000000.0,799000000.0,2502000000.0,3301000000.0,9599000000,942000000.0,3345000000.0,4287000000.0,2294000000.0,2544000000.0,6831000000,2771000000.0,10000000.0,2768000000.0,9599000000,131000000.0,51000000.0,53000000.0,15000000.0,250000000.0,-36000000.0,112000000.0,-24000000.0,53000000.0,-54000000.0,337000000.0,-102000000.0,181000000.0,503000000,2017-07-31,43.66999816894531,43.81999969482422,43.11000061035156,43.41999816894531,38.81441879272461,2468000.0
2017-10-31,1415000000.0,-515000000.0,900000000.0,-684000000.0,-490000000.0,-194000000.0,216000000.0,6000000.0,222000000,0.0,222000000,-48000000.0,174000000,174000000,174000000,5965000000.0,584000000.0,108000000.0,7020000000.0,795000000.0,2493000000.0,3288000000.0,10308000000,1101000000.0,3113000000.0,4214000000.0,3062000000.0,3317000000.0,7531000000,2779000000.0,17000000.0,2777000000.0,10308000000,174000000.0,51000000.0,69000000.0,20000000.0,314000000.0,-29000000.0,-64000000.0,-51000000.0,-145000000.0,-54000000.0,616000000.0,-141000000.0,420000000.0,583000000,2017-10-31,43.709999084472656,44.56999969482422,43.560001373291016,44.41999816894531,39.887779235839844,2485600.0
2018-01-31,1539000000.0,-583000000.0,956000000.0,-684000000.0,-491000000.0,-193000000.0,272000000.0,14000000.0,286000000,218000000.0,504000000,-983000000.0,-479000000,-479000000,-479000000,5619000000.0,754000000.0,98000000.0,6766000000.0,741000000.0,2280000000.0,3021000000.0,9787000000,1197000000.0,2351000000.0,3548000000.0,3090000000.0,4063000000.0,7611000000,2707000000.0,-489000000.0,2176000000.0,9787000000,-479000000.0,48000000.0,22000000.0,829000000.0,420000000.0,178000000.0,-226000000.0,0.0,-49000000.0,-53000000.0,-843000000.0,-50000000.0,-951000000.0,-556000000,2018-01-31,62.68999862670898,63.22000122070313,61.13999938964844,61.5,55.41931533813477,2950300.0
2018-04-30,1644000000.0,-615000000.0,1029000000.0,-717000000.0,-514000000.0,-203000000.0,312000000.0,16000000.0,328000000,0.0,328000000,-38000000.0,290000000,290000000,290000000,5391000000.0,1047000000.0,122000000.0,6952000000.0,756000000.0,2283000000.0,3039000000.0,9991000000,1434000000.0,2097000000.0,3531000000.0,3192000000.0,4184000000.0,7715000000,2355000000.0,-9000000.0,2276000000.0,9991000000,290000000.0,48000000.0,42000000.0,114000000.0,494000000.0,-48000000.0,168000000.0,0.0,120000000.0,-53000000.0,-255000000.0,-328000000.0,-636000000.0,-33000000,2018-04-30,67.73000335693361,68.40000152587889,66.55999755859375,66.58000183105469,60.19085693359375,2136000.0
