Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-05-31,4712900000.0,-2669500000.0,2043400000.0,-1394700000.0,-1394700000.0,648700000.0,32800000.0,-2100000.0,681500000,486800000,-145100000.0,341700000,341700000,341700000,3455100000.0,2883900000.0,2357000000.0,9734000000.0,1957700000.0,1557900000.0,3515600000.0,13249600000,2902100000.0,374900000.0,3277000000.0,437200000.0,1279200000.0,4556200000,2873900000.0,5451400000.0,8693100000.0,13249300000,341700000.0,88400000.0,59800000.0,583700000.0,1073600000.0,-102300000.0,-453500000.0,-596300000.0,-121400000.0,-1900000.0,38200000.0,-76900000.0,398800000,2009-05-29,13.8149995803833,14.28499984741211,13.675000190734865,14.262499809265135,12.224684715270994,16568800.0
2009-08-31,4799000000.0,-2583000000.0,2216000000.0,-1546000000.0,-1546000000.0,670000000.0,11000000.0,-1000000.0,681000000,681000000,-168000000.0,513000000,513000000,513000000,3629800000.0,2835300000.0,2288400000.0,9606900000.0,1980800000.0,1602900000.0,3583700000.0,13190600000,2751000000.0,101800000.0,2852800000.0,443200000.0,1246800000.0,4099600000,3018400000.0,5827700000.0,9090700000.0,13190300000,513000000.0,79000000.0,75000000.0,42000000.0,709000000.0,-80000000.0,-221000000.0,-332000000.0,-121000000.0,-27000000.0,32000000.0,-358000000.0,-30000000,2009-08-31,13.979999542236328,14.0,13.787500381469727,13.84749984741211,11.920206069946287,7354400.0
2009-11-30,4405000000.0,-2445000000.0,1960000000.0,-1479000000.0,-1479000000.0,481000000.0,10000000.0,-2000000.0,491000000,491000000,-116000000.0,375000000,375000000,375000000,4010000000.0,2716500000.0,2176300000.0,9765600000.0,2023900000.0,1568900000.0,3592800000.0,13358400000,2687600000.0,110700000.0,2798300000.0,459600000.0,1335700000.0,4134000000,3188600000.0,5879200000.0,9224100000.0,13358100000,375000000.0,80000000.0,75000000.0,138000000.0,668000000.0,-84000000.0,-610000000.0,-733000000.0,-122000000.0,-2000000.0,-46000000.0,-148000000.0,-226000000,2009-11-30,16.200000762939453,16.385000228881836,16.09749984741211,16.22249984741211,14.030452728271484,9260800.0
2010-02-28,4733000000.0,-2515000000.0,2218000000.0,-1563000000.0,-1563000000.0,655000000.0,7000000.0,-1000000.0,662000000,662000000,-165000000.0,497000000,497000000,497000000,4038900000.0,2833800000.0,2150300000.0,10088000000.0,1962600000.0,1525700000.0,3488300000.0,13576300000,2730400000.0,116300000.0,2846700000.0,451900000.0,1300400000.0,4147100000,3275100000.0,5919100000.0,9428900000.0,13576000000,497000000.0,81000000.0,84000000.0,-150000000.0,512000000.0,-66000000.0,153000000.0,101000000.0,-132000000.0,-2000000.0,-289000000.0,-403000000.0,190000000,2010-02-26,16.557500839233402,16.962499618530273,16.557500839233402,16.899999618530273,14.677042961120605,19633200.0
2010-05-31,5077000000.0,-2671000000.0,2406000000.0,-1738000000.0,-1738000000.0,668000000.0,15000000.0,-2000000.0,683000000,683000000,-161000000.0,522000000,522000000,522000000,5146000000.0,2650000000.0,2041000000.0,10959000000.0,1932000000.0,1528000000.0,3460000000.0,14419000000,3218000000.0,146000000.0,3364000000.0,446000000.0,1301000000.0,4665000000,3441000000.0,6095000000.0,9751000000.0,14416000000,522000000.0,84000000.0,5000000.0,664000000.0,1275000000.0,-95000000.0,-259000000.0,-304000000.0,-130000000.0,-1000000.0,-74000000.0,-152000000.0,854000000,2010-05-28,18.405000686645508,18.46500015258789,17.989999771118164,18.09499931335449,15.777839660644533,15556800.0
2010-08-31,5175000000.0,-2741000000.0,2434000000.0,-1673000000.0,-1673000000.0,761000000.0,-6000000.0,1000000.0,755000000,755000000,-196000000.0,559000000,559000000,559000000,4688000000.0,2791000000.0,2210000000.0,10531000000.0,1975000000.0,1545000000.0,3520000000.0,14051000000,2901000000.0,241000000.0,3142000000.0,342000000.0,1249000000.0,4391000000,3508000000.0,6011000000.0,9657000000.0,14048000000,559000000.0,78000000.0,5000000.0,-430000000.0,212000000.0,-89000000.0,-614000000.0,-684000000.0,-131000000.0,-2000000.0,-441000000.0,-600000000.0,-1069000000,2010-08-31,17.502500534057614,17.690000534057614,17.395000457763672,17.5,15.315680503845215,11941600.0
2010-11-30,4842000000.0,-2649000000.0,2193000000.0,-1611000000.0,-1611000000.0,582000000.0,27000000.0,-1000000.0,609000000,609000000,-152000000.0,457000000,457000000,457000000,4789000000.0,2792000000.0,2348000000.0,10916000000.0,2003000000.0,1545000000.0,3548000000.0,14464000000,2988000000.0,260000000.0,3248000000.0,338000000.0,1267000000.0,4515000000,3752000000.0,6043000000.0,9946000000.0,14461000000,457000000.0,83000000.0,56000000.0,-161000000.0,435000000.0,-102000000.0,-350000000.0,-487000000.0,-129000000.0,-2000000.0,-116000000.0,-196000000.0,-242000000,2010-11-30,21.125,21.649999618530273,21.092500686645508,21.53249931335449,18.915660858154297,13166000.0
2011-02-28,5079000000.0,-2752000000.0,2327000000.0,-1637000000.0,-1637000000.0,690000000.0,17000000.0,0.0,707000000,707000000,-184000000.0,523000000,523000000,523000000,4465000000.0,2985000000.0,2536000000.0,10785000000.0,2057000000.0,1636000000.0,3693000000.0,14478000000,3005000000.0,337000000.0,3342000000.0,276000000.0,1234000000.0,4576000000,3839000000.0,5954000000.0,9899000000.0,14475000000,523000000.0,88000000.0,-42000000.0,-246000000.0,323000000.0,-111000000.0,682000000.0,569000000.0,-148000000.0,-2000000.0,-416000000.0,-542000000.0,364000000,2011-02-28,22.07250022888184,22.290000915527344,21.987499237060547,22.25749969482422,19.6219539642334,10352800.0
2011-05-31,5021000000.0,-2773000000.0,2248000000.0,-1440000000.0,-1440000000.0,808000000.0,-17000000.0,-4000000.0,791000000,791000000,-158000000.0,633000000,594000000,594000000,4538000000.0,3138000000.0,2715000000.0,11297000000.0,2115000000.0,1586000000.0,3701000000.0,14998000000,3571000000.0,387000000.0,3958000000.0,276000000.0,1197000000.0,5155000000,3944000000.0,5801000000.0,9840000000.0,14995000000,594000000.0,86000000.0,33000000.0,129000000.0,842000000.0,-129000000.0,-255000000.0,-419000000.0,-147000000.0,-2000000.0,-541000000.0,-634000000.0,-177000000,2011-05-31,21.209999084472656,21.237499237060547,20.95499992370605,21.112499237060547,18.678081512451172,8879200.0
2011-08-31,6081000000.0,-3388000000.0,2693000000.0,-1823000000.0,-1823000000.0,870000000.0,-18000000.0,0.0,852000000,852000000,-207000000.0,645000000,645000000,645000000,3700000000.0,3279000000.0,3107000000.0,11039000000.0,2166000000.0,1598000000.0,3764000000.0,14803000000,3480000000.0,280000000.0,3760000000.0,238000000.0,1144000000.0,4904000000,4138000000.0,5653000000.0,9896000000.0,14800000000,645000000.0,86000000.0,54000000.0,-698000000.0,87000000.0,-113000000.0,484000000.0,317000000.0,-145000000.0,-132000000.0,-479000000.0,-744000000.0,-347000000,2011-08-31,21.76000022888184,22.13249969482422,21.537500381469727,21.662500381469727,19.237260818481445,13958000.0
