Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
2012-03-31,384389000.0,-209185000.0,175204000.0,-150801000.0,-150801000.0,24403000.0,-1273000.0,-1355000.0,23130000,23130000,-8469000.0,14661000,14661000,14661000,107052000.0,196411000.0,324354000.0,694102000.0,158482000.0,67653000.0,226135000.0,920237000,136814000.0,43330000.0,182694000.0,32451000.0,63455000.0,246149000,291678000.0,380248000.0,674088000.0,920237000,14661000.0,10591000.0,1368000.0,-99866000.0,-73246000.0,-8839000.0,-8839000.0,-1943000.0,6868000.0,14425000.0,-68332000
2012-06-30,369473000.0,-200006000.0,169467000.0,-157747000.0,-157747000.0,11720000.0,-810000.0,-1320000.0,10910000,10910000,-4242000.0,6668000,6668000,6668000,142928000.0,175249000.0,380895000.0,777295000.0,163829000.0,63565000.0,227394000.0,1004689000,205275000.0,42387000.0,251538000.0,31499000.0,64018000.0,315556000,301795000.0,386454000.0,689133000.0,1004689000,6668000.0,10123000.0,4668000.0,24556000.0,46015000.0,-14721000.0,-14721000.0,-1895000.0,2984000.0,4282000.0,35876000
2012-09-30,575196000.0,-294805000.0,280391000.0,-189411000.0,-189411000.0,90980000.0,-1334000.0,-1303000.0,89646000,89646000,-32329000.0,57317000,57317000,57317000,157047000.0,311001000.0,312158000.0,842302000.0,170157000.0,66180000.0,236337000.0,1078639000,193989000.0,41552000.0,253841000.0,30682000.0,66418000.0,320259000,313447000.0,443437000.0,758380000.0,1078639000,57317000.0,11041000.0,3551000.0,-50856000.0,21053000.0,-13990000.0,-13990000.0,-1652000.0,3341000.0,5215000.0,14119000
2012-12-31,505863000.0,-251628000.0,254235000.0,-172643000.0,-172643000.0,81592000.0,-1839000.0,-1205000.0,79753000,79753000,-29621000.0,50132000,50132000,50132000,341841000.0,175524000.0,319286000.0,903598000.0,180850000.0,72635000.0,253485000.0,1157083000,228766000.0,9132000.0,252228000.0,52757000.0,87933000.0,340161000,321373000.0,493181000.0,816922000.0,1157083000,50132000.0,11327000.0,9261000.0,140248000.0,210968000.0,-14410000.0,-14410000.0,-13840000.0,1583000.0,-11625000.0,184794000
2013-03-31,471608000.0,-255057000.0,216551000.0,-203059000.0,-203059000.0,13492000.0,-485000.0,-725000.0,13007000,13007000,-5193000.0,7814000,7814000,7814000,255722000.0,246218000.0,323509000.0,887441000.0,180591000.0,72456000.0,253047000.0,1140488000,194296000.0,8787000.0,206329000.0,51658000.0,91001000.0,297330000,342188000.0,500946000.0,843158000.0,1140488000,7814000.0,11842000.0,10519000.0,-104711000.0,-74536000.0,-18329000.0,-18329000.0,-1443000.0,4670000.0,7449000.0,-86119000
2013-06-30,454541000.0,-234910000.0,219631000.0,-187321000.0,-187321000.0,32310000.0,-1508000.0,-711000.0,30802000,30802000,-13236000.0,17566000,17566000,17566000,223842000.0,212836000.0,490943000.0,1011955000.0,190924000.0,72509000.0,263433000.0,1275388000,295860000.0,5112000.0,303895000.0,50387000.0,94486000.0,398381000,359439000.0,517798000.0,877007000.0,1275388000,17566000.0,11776000.0,-1854000.0,-43428000.0,-15940000.0,-21842000.0,-23542000.0,-1452000.0,5068000.0,8849000.0,-31880000
2013-09-30,723146000.0,-373011000.0,350135000.0,-229306000.0,-229306000.0,120829000.0,-804000.0,-691000.0,120025000,120025000,-47241000.0,72784000,72784000,72784000,186377000.0,353257000.0,497406000.0,1122915000.0,201603000.0,72472000.0,274075000.0,1396990000,293749000.0,5034000.0,332984000.0,49148000.0,97551000.0,430535000,373451000.0,590582000.0,966455000.0,1396990000,72784000.0,12434000.0,19856000.0,-126939000.0,-21865000.0,-22362000.0,-22362000.0,-1317000.0,2989000.0,5987000.0,-37465000
2013-12-31,682756000.0,-332403000.0,350353000.0,-251886000.0,-251886000.0,98467000.0,-1308000.0,-806000.0,97159000,97159000,-32993000.0,64166000,64166000,64166000,347489000.0,209952000.0,469006000.0,1128811000.0,223952000.0,224978000.0,448930000.0,1577741000,299185000.0,4972000.0,426630000.0,47951000.0,97757000.0,524387000,397318000.0,653842000.0,1053354000.0,1577741000,64166000.0,14497000.0,12013000.0,141735000.0,232411000.0,-25772000.0,-173869000.0,98741000.0,2376000.0,104510000.0,161112000
2014-03-31,641607000.0,-340917000.0,300690000.0,-273834000.0,-273834000.0,26856000.0,-1720000.0,-846000.0,25136000,25136000,-11598000.0,13538000,13538000,13538000,179926000.0,331299000.0,472244000.0,1125157000.0,240721000.0,233138000.0,473859000.0,1599016000,270764000.0,4812000.0,387252000.0,46846000.0,103187000.0,490439000,443203000.0,664870000.0,1108577000.0,1599016000,13538000.0,17320000.0,9296000.0,-187690000.0,-147536000.0,-39976000.0,-50900000.0,-1265000.0,8627000.0,31400000.0,-167563000
2014-06-30,609654000.0,-309702000.0,299952000.0,-265258000.0,-265258000.0,34694000.0,-980000.0,-1227000.0,33714000,33714000,-16024000.0,17690000,17690000,17690000,300434000.0,269133000.0,662388000.0,1368319000.0,255018000.0,240608000.0,495626000.0,1863945000,444650000.0,19650000.0,480245000.0,176987000.0,242941000.0,723186000,458925000.0,681380000.0,1140759000.0,1863945000,17690000.0,17027000.0,7150000.0,60003000.0,101870000.0,-29185000.0,-29185000.0,44979000.0,1569000.0,47097000.0,120508000
