Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-12-31,25916000000.0,-19244000000.0,6672000000.0,-4598000000.0,-4308000000.0,-290000000.0,2074000000.0,-139000000.0,-139000000.0,1935000000,1935000000,-677000000.0,1258000000,1258000000,1258000000,12006000000.0,2294000000.0,20350000000.0,2515000000.0,16166000000.0,28858000000.0,47539000000.0,67889000000,6853000000.0,982000000.0,23922000000.0,10656000000.0,15675000000.0,39597000000,10000000.0,27821000000.0,28292000000.0,67889000000,1258000000.0,290000000.0,185000000.0,-2148000000.0,-415000000.0,-212000000.0,-671000000.0,19000000.0,-1249000000.0,-170000000.0,-266000000.0,-830000000.0,-2586000000.0,-4250000000,2011-12-30,51.06000137329102,51.18000030517578,50.68000030517578,50.68000030517578,43.66867446899414,2205400.0
2012-03-31,27282000000.0,-20573000000.0,6709000000.0,-4392000000.0,-4096000000.0,-296000000.0,2317000000.0,-148000000.0,-148000000.0,2169000000,2169000000,-781000000.0,1388000000,1388000000,1388000000,14326000000.0,2688000000.0,22690000000.0,2560000000.0,16492000000.0,30948000000.0,50000000000.0,72690000000,6197000000.0,1771000000.0,27462000000.0,11083000000.0,16372000000.0,43834000000,10000000.0,28388000000.0,28856000000.0,72690000000,1388000000.0,296000000.0,-70000000.0,1972000000.0,3586000000.0,-269000000.0,-194000000.0,-1935000000.0,-2398000000.0,-168000000.0,1239000000.0,-734000000.0,1044000000.0,2232000000,2012-03-30,57.97000122070313,59.43000030517578,57.7400016784668,58.93999862670898,50.93485641479492,10802600.0
2012-06-30,27265000000.0,-20633000000.0,6632000000.0,-4406000000.0,-4080000000.0,-326000000.0,2226000000.0,-153000000.0,-153000000.0,2073000000,2073000000,-736000000.0,1337000000,1337000000,1337000000,14430000000.0,2648000000.0,22727000000.0,2589000000.0,16698000000.0,31451000000.0,50738000000.0,73465000000,6460000000.0,1461000000.0,27623000000.0,11156000000.0,16467000000.0,44090000000,10000000.0,28896000000.0,29375000000.0,73465000000,1337000000.0,326000000.0,-108000000.0,630000000.0,2185000000.0,-196000000.0,-340000000.0,-469000000.0,-1005000000.0,-218000000.0,-244000000.0,-665000000.0,-1263000000.0,-83000000,2012-06-29,60.34000015258789,60.599998474121094,57.86999893188477,58.5,50.741477966308594,11121700.0
2012-09-30,27302000000.0,-20098000000.0,7204000000.0,-4594000000.0,-4277000000.0,-317000000.0,2610000000.0,-158000000.0,-158000000.0,2452000000,2452000000,-895000000.0,1557000000,1557000000,1557000000,11954000000.0,2403000000.0,20331000000.0,2619000000.0,17227000000.0,31523000000.0,51369000000.0,71700000000,6579000000.0,1852000000.0,24853000000.0,11146000000.0,16624000000.0,41477000000,10000000.0,29638000000.0,30223000000.0,71700000000,1557000000.0,317000000.0,218000000.0,-2390000000.0,-298000000.0,-321000000.0,-590000000.0,-146000000.0,-1057000000.0,-217000000.0,394000000.0,-687000000.0,-1307000000.0,-2662000000,2012-09-28,55.95000076293945,55.97999954223633,55.18000030517578,55.40999984741211,48.25595474243164,5838100.0
2012-12-31,28769000000.0,-21445000000.0,7324000000.0,-5223000000.0,-4853000000.0,-370000000.0,2101000000.0,-173000000.0,-173000000.0,1928000000,1928000000,-684000000.0,1244000000,1244000000,1244000000,11437000000.0,2709000000.0,21052000000.0,3939000000.0,17711000000.0,38183000000.0,59833000000.0,80885000000,6984000000.0,2713000000.0,27116000000.0,14041000000.0,20470000000.0,47586000000,76000000.0,30664000000.0,33299000000.0,80885000000,1244000000.0,370000000.0,377000000.0,-309000000.0,1682000000.0,-284000000.0,-175000000.0,-3730000000.0,-4189000000.0,-217000000.0,3178000000.0,80000000.0,1997000000.0,-510000000,2012-12-31,53.63000106811523,54.2599983215332,53.4900016784668,54.2400016784668,47.42530822753906,4948700.0
2013-03-31,30340000000.0,-23251000000.0,7089000000.0,-4950000000.0,-4614000000.0,-336000000.0,2139000000.0,-178000000.0,-178000000.0,1961000000,1961000000,-721000000.0,1240000000,1192000000,1192000000,13057000000.0,3185000000.0,22717000000.0,3945000000.0,17998000000.0,38466000000.0,60409000000.0,83126000000,6559000000.0,2390000000.0,27183000000.0,15659000000.0,21998000000.0,49181000000,10000000.0,31359000000.0,33945000000.0,83126000000,1240000000.0,336000000.0,189000000.0,-712000000.0,1053000000.0,-323000000.0,-347000000.0,-279000000.0,-904000000.0,-216000000.0,1288000000.0,-427000000.0,1503000000.0,1632000000,2013-03-28,56.65999984741211,57.31000137329102,56.4900016784668,57.209999084472656,50.21630859375,5685400.0
2013-06-30,30408000000.0,-22842000000.0,7566000000.0,-5165000000.0,-4825000000.0,-340000000.0,2401000000.0,-176000000.0,-176000000.0,2225000000,2225000000,-789000000.0,1436000000,1436000000,1436000000,10097000000.0,3674000000.0,20618000000.0,3785000000.0,17976000000.0,37822000000.0,59583000000.0,80201000000,7046000000.0,1086000000.0,26405000000.0,15543000000.0,21646000000.0,48051000000,10000000.0,31906000000.0,32150000000.0,80201000000,1436000000.0,340000000.0,-40000000.0,-262000000.0,1474000000.0,-156000000.0,47000000.0,-5000000.0,-114000000.0,-281000000.0,-1301000000.0,-593000000.0,-3670000000.0,-2384000000,2013-06-28,65.62000274658203,66.12999725341797,65.04000091552734,65.48000335693361,57.72858428955078,6867800.0
2013-09-30,30624000000.0,-22775000000.0,7849000000.0,-5218000000.0,-4869000000.0,-349000000.0,2631000000.0,-178000000.0,-178000000.0,2453000000,2453000000,-883000000.0,1570000000,1570000000,1570000000,10719000000.0,2853000000.0,21194000000.0,3829000000.0,18783000000.0,38057000000.0,60669000000.0,81863000000,7145000000.0,1895000000.0,27867000000.0,14888000000.0,20850000000.0,48717000000,10000000.0,32593000000.0,33146000000.0,81863000000,1570000000.0,349000000.0,13000000.0,1464000000.0,3396000000.0,-361000000.0,-848000000.0,-46000000.0,-1255000000.0,-280000000.0,159000000.0,-790000000.0,-1516000000.0,632000000,2013-09-30,71.29000091552734,71.66999816894531,71.01000213623047,71.61000061035156,63.37064743041992,4183600.0
2013-12-31,31117000000.0,-23682000000.0,7435000000.0,-4983000000.0,-4633000000.0,-350000000.0,2452000000.0,-176000000.0,-176000000.0,2276000000,2276000000,-849000000.0,1427000000,1427000000,1427000000,9213000000.0,3052000000.0,20380000000.0,4010000000.0,19605000000.0,37887000000.0,61502000000.0,81882000000,7458000000.0,1969000000.0,27881000000.0,14891000000.0,20677000000.0,48558000000,10000000.0,33047000000.0,33324000000.0,81882000000,1427000000.0,350000000.0,-134000000.0,-575000000.0,1068000000.0,-467000000.0,-463000000.0,-32000000.0,-816000000.0,-279000000.0,6000000.0,-762000000.0,-1263000000.0,-1010000000,2013-12-31,75.0,75.54000091552734,74.62999725341797,75.30000305175781,66.89012145996094,2280000.0
2014-03-31,31708000000.0,-24100000000.0,7608000000.0,-5554000000.0,-5194000000.0,-360000000.0,2054000000.0,-160000000.0,-160000000.0,1894000000,1894000000,-795000000.0,1099000000,1099000000,1099000000,9383000000.0,4202000000.0,22364000000.0,4065000000.0,19377000000.0,38816000000.0,62258000000.0,84622000000,9160000000.0,2241000000.0,30716000000.0,14524000000.0,20089000000.0,50805000000,10000000.0,33112000000.0,33817000000.0,84622000000,1099000000.0,360000000.0,-64000000.0,13000000.0,1408000000.0,-353000000.0,146000000.0,-345000000.0,-603000000.0,-276000000.0,-163000000.0,-695000000.0,-573000000.0,238000000,2014-03-31,82.08000183105469,82.2699966430664,81.41000366210938,81.98999786376953,73.09607696533203,3513700.0
