Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,1316689000.0,-771016000.0,545673000.0,-409072000.0,-272352000.0,-23119000.0,136601000.0,-14504000.0,-14897000.0,122097000,-3521000.0,118576000,-40712000.0,77864000,77864000,77864000,150488000.0,458094000.0,1076952000.0,1799817000.0,546651000.0,2172306000.0,2718957000.0,4518774000,547838000.0,41535000.0,677953000.0,1264246000.0,1490076000.0,2168029000,1009092000.0,1321642000.0,2350745000.0,4518774000,77864000.0,24595000.0,9879000.0,-25211000.0,87127000.0,-30519000.0,-3274000.0,-40829000.0,-7445000.0,1745000.0,-3378000.0,43151000,2013-12-31,32.560001373291016,32.97999954223633,32.36999893188477,32.900001525878906,32.900001525878906,685800.0
2014-03-31,1625777000.0,-973893000.0,651884000.0,-474729000.0,-321859000.0,-26711000.0,177155000.0,-16022000.0,-16118000.0,161133000,-2423000.0,158710000,-54021000.0,104653000,104653000,104653000,113246000.0,577212000.0,1255804000.0,2093481000.0,593867000.0,2522480000.0,3116347000.0,5209828000,655861000.0,35106000.0,775915000.0,1695627000.0,1962886000.0,2738801000,1024528000.0,1426295000.0,2471027000.0,5209828000,104653000.0,27846000.0,-22000.0,-35468000.0,97009000.0,-33716000.0,-486736000.0,-521287000.0,310415000.0,2377000.0,386213000.0,-37242000,2014-03-31,26.1299991607666,26.38999938964844,25.78000068664551,26.35000038146973,26.35000038146973,1877100.0
2014-06-30,1709132000.0,-1038073000.0,671059000.0,-491562000.0,-333129000.0,-29927000.0,179497000.0,-14721000.0,-15628000.0,164776000,-5111000.0,159665000,-54341000.0,104882000,104882000,104882000,109564000.0,624300000.0,1346723000.0,2240726000.0,621600000.0,2636519000.0,3258119000.0,5498845000,641291000.0,71487000.0,750208000.0,1879837000.0,2146121000.0,2896329000,1034829000.0,1531177000.0,2602516000.0,5498845000,104882000.0,31047000.0,3703000.0,-84437000.0,55195000.0,-33615000.0,-148596000.0,-181035000.0,125776000.0,1830000.0,120258000.0,-3682000,2014-06-30,26.68000030517578,26.729999542236328,26.25,26.690000534057607,26.690000534057607,2048000.0
2014-09-30,1721024000.0,-1056613000.0,664411000.0,-504629000.0,-340801000.0,-30498000.0,159782000.0,-16376000.0,-16394000.0,143406000,-3606000.0,139800000,-47564000.0,91515000,91515000,91515000,244646000.0,609434000.0,1341325000.0,2345538000.0,612292000.0,2576748000.0,3189040000.0,5534578000,664605000.0,72908000.0,771388000.0,1825133000.0,2095496000.0,2866884000,1047034000.0,1622692000.0,2667694000.0,5534578000,91515000.0,31754000.0,2271000.0,44898000.0,170438000.0,-32860000.0,-15282000.0,-47549000.0,-6875000.0,2313000.0,16939000.0,135082000,2014-09-30,26.54999923706055,26.71999931335449,26.440000534057607,26.59000015258789,26.59000015258789,1814300.0
2014-12-31,1684131000.0,-1019572000.0,664559000.0,-516319000.0,-344440000.0,-33583000.0,148240000.0,-14537000.0,-16402000.0,133703000,-3990000.0,129713000,-48338000.0,80469000,80469000,80469000,114605000.0,601422000.0,1433847000.0,2235673000.0,629987000.0,2610079000.0,3240066000.0,5475739000,613997000.0,61938000.0,744504000.0,1784210000.0,2010578000.0,2755082000,1057721000.0,1703161000.0,2720657000.0,5475739000,80469000.0,34790000.0,28904000.0,-78094000.0,66069000.0,-40759000.0,-125307000.0,-171123000.0,-28008000.0,2804000.0,-22221000.0,-130041000,2014-12-31,28.34000015258789,28.57999992370605,28.11000061035156,28.1200008392334,28.1200008392334,953500.0
2015-03-31,1773912000.0,-1074433000.0,699479000.0,-507065000.0,-344955000.0,-29453000.0,192414000.0,-16674000.0,-14906000.0,175740000,-6639000.0,169101000,-60098000.0,107095000,107095000,107095000,175492000.0,645037000.0,1358056000.0,2337179000.0,621571000.0,2563716000.0,3185287000.0,5522466000,687506000.0,62303000.0,772314000.0,1672332000.0,1970245000.0,2742559000,1064275000.0,1810256000.0,2779907000.0,5522466000,107095000.0,30669000.0,3643000.0,38738000.0,180145000.0,-26096000.0,-864000.0,-34276000.0,-83788000.0,1318000.0,-80412000.0,60887000,2015-03-31,25.0,25.76000022888184,25.0,25.559999465942386,25.559999465942386,4175400.0
2015-06-30,1838070000.0,-1114126000.0,723944000.0,-521996000.0,-355835000.0,-29782000.0,201948000.0,-14719000.0,-14622000.0,187229000,-1663000.0,185566000,-64682000.0,119722000,119722000,119722000,143423000.0,651271000.0,1402399000.0,2372621000.0,650053000.0,2611868000.0,3261921000.0,5634542000,645701000.0,39378000.0,726365000.0,1652064000.0,1954084000.0,2680449000,1073332000.0,1929978000.0,2954093000.0,5634542000,119722000.0,31045000.0,6614000.0,-54827000.0,102554000.0,-40667000.0,-36344000.0,-74904000.0,-68015000.0,1970000.0,-64509000.0,-32069000,2015-06-30,30.420000076293945,30.489999771118164,30.03000068664551,30.25,30.25,1658600.0
2015-09-30,1831732000.0,-1118953000.0,712779000.0,-541456000.0,-366655000.0,-30883000.0,171323000.0,-11794000.0,-14722000.0,159529000,-4578000.0,154951000,-52475000.0,101346000,101346000,101346000,137086000.0,626780000.0,1464627000.0,2387143000.0,652780000.0,2664109000.0,3316889000.0,5704032000,696427000.0,37174000.0,797698000.0,1570056000.0,1869621000.0,2667319000,1087477000.0,2031324000.0,3036713000.0,5704032000,101346000.0,32974000.0,12614000.0,75362000.0,222296000.0,-32810000.0,-120149000.0,-144576000.0,-78783000.0,4246000.0,-81696000.0,-6337000,2015-09-30,28.239999771118164,28.40999984741211,27.88999938964844,28.36000061035156,28.36000061035156,2766400.0
2015-12-31,1748919000.0,-1051592000.0,697327000.0,-538874000.0,-363785000.0,-32002000.0,158453000.0,-12410000.0,-13610000.0,146043000,-6631000.0,139412000,-42448000.0,95060000,95060000,95060000,87397000.0,590160000.0,1556552000.0,2340712000.0,696567000.0,2607803000.0,3307125000.0,5647837000,626581000.0,56034000.0,751970000.0,1528668000.0,1781185000.0,2533155000,1093768000.0,2126384000.0,3114682000.0,5647837000,95060000.0,33504000.0,28201000.0,-117478000.0,39287000.0,-70917000.0,-3160000.0,-76237000.0,-12299000.0,634000.0,-11920000.0,-49689000,2015-12-31,29.76000022888184,30.170000076293945,29.54999923706055,29.6299991607666,29.6299991607666,1182500.0
2016-03-31,1921476000.0,-1161039000.0,760437000.0,-559954000.0,-370661000.0,-31688000.0,200483000.0,-11703000.0,-14592000.0,188780000,-23119000.0,165661000,-53128000.0,112171000,112171000,112171000,229220000.0,882582000.0,1782797000.0,2993887000.0,758641000.0,3604329000.0,4362970000.0,7356857000,909573000.0,75365000.0,1049410000.0,2743197000.0,3073038000.0,4122448000,1105044000.0,2234116000.0,3234409000.0,7356857000,112171000.0,33166000.0,15380000.0,-25873000.0,134844000.0,-50393000.0,-593431000.0,-625024000.0,541152000.0,3202000.0,633166000.0,141823000,2016-03-31,31.1200008392334,32.11999893188477,31.07999992370605,31.93000030517578,31.93000030517578,2791200.0
