Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,3139000000.0,-1220000000.0,1919000000.0,-1425000000.0,-214000000.0,494000000.0,-144000000.0,-154000000.0,350000000,350000000,-115000000.0,235000000,235000000,233000000,338000000.0,1173000000.0,3669000000.0,23863000000.0,403000000.0,8413000000.0,32679000000.0,36348000000,1408000000.0,5000000.0,2530000000.0,10678000000.0,22544000000.0,25074000000,11061000000.0,11274000000.0,36348000000,235000000.0,214000000.0,-511000000.0,1469000000.0,1407000000.0,-22000000.0,-609000000.0,-163000000.0,-851000000.0,361000000.0,-658000000.0,140000000,2010-12-31,49.38000106811523,49.790000915527344,49.38000106811523,49.56999969482422,32.454551696777344,992500.0
2011-03-31,3349000000.0,-1349000000.0,2000000000.0,-1374000000.0,-218000000.0,626000000.0,-143000000.0,-152000000.0,483000000,483000000,-169000000.0,314000000,314000000,311000000,516000000.0,1178000000.0,3590000000.0,24068000000.0,413000000.0,8115000000.0,32596000000.0,36186000000,1267000000.0,5000000.0,2676000000.0,10675000000.0,22066000000.0,24742000000,11231000000.0,11444000000.0,36186000000,314000000.0,218000000.0,-298000000.0,128000000.0,362000000.0,-23000000.0,-496000000.0,-176000000.0,463000000.0,25000000.0,312000000.0,178000000,2011-03-31,50.66999816894531,50.88999938964844,50.56000137329102,50.72000122070313,33.610015869140625,1146100.0
2011-06-30,2993000000.0,-1199000000.0,1794000000.0,-1396000000.0,-219000000.0,398000000.0,-147000000.0,-152000000.0,251000000,251000000,-83000000.0,168000000,168000000,168000000,492000000.0,1101000000.0,3209000000.0,24414000000.0,426000000.0,7970000000.0,32810000000.0,36019000000,1282000000.0,5000000.0,2473000000.0,10673000000.0,22082000000.0,24555000000,11251000000.0,11464000000.0,36019000000,169000000.0,219000000.0,-73000000.0,912000000.0,1227000000.0,-27000000.0,-633000000.0,-176000000.0,-466000000.0,24000000.0,-618000000.0,-24000000,2011-06-30,53.11000061035156,53.31000137329102,52.81999969482422,53.2400016784668,35.675411224365234,1223000.0
2011-09-30,3629000000.0,-1385000000.0,2244000000.0,-1488000000.0,-222000000.0,756000000.0,-145000000.0,-144000000.0,611000000,611000000,-225000000.0,386000000,386000000,386000000,398000000.0,1177000000.0,3458000000.0,24698000000.0,474000000.0,7905000000.0,33077000000.0,36535000000,1368000000.0,305000000.0,2959000000.0,10371000000.0,21909000000.0,24868000000,11454000000.0,11667000000.0,36535000000,386000000.0,222000000.0,172000000.0,-208000000.0,572000000.0,-7000000.0,-482000000.0,-176000000.0,0.0,-8000000.0,-184000000.0,-94000000,2011-09-30,57.06000137329102,57.7400016784668,57.0,57.02000045776367,38.639835357666016,1984900.0
2011-12-31,2915000000.0,-1068000000.0,1847000000.0,-1388000000.0,-225000000.0,459000000.0,-142000000.0,-146000000.0,317000000,317000000,-123000000.0,194000000,194000000,186000000,648000000.0,1123000000.0,3638000000.0,25093000000.0,455000000.0,10028000000.0,35576000000.0,39214000000,1206000000.0,530000000.0,2987000000.0,10145000000.0,24578000000.0,27565000000,11436000000.0,11649000000.0,39214000000,193000000.0,225000000.0,247000000.0,311000000.0,976000000.0,-23000000.0,-539000000.0,-176000000.0,-1000000.0,-10000000.0,-187000000.0,250000000,2011-12-30,62.66999816894531,62.7400016784668,62.0099983215332,62.02999877929688,42.462059020996094,1189400.0
2012-03-31,3078000000.0,-1085000000.0,1993000000.0,-1432000000.0,-233000000.0,561000000.0,-147000000.0,-150000000.0,414000000,414000000,-134000000.0,280000000,280000000,277000000,769000000.0,1069000000.0,3904000000.0,25353000000.0,440000000.0,10004000000.0,35797000000.0,39701000000,1147000000.0,1030000000.0,3840000000.0,10043000000.0,24316000000.0,28156000000,11545000000.0,11545000000.0,39701000000,280000000.0,233000000.0,10000000.0,-121000000.0,402000000.0,-9000000.0,-490000000.0,-178000000.0,399000000.0,-8000000.0,209000000.0,121000000,2012-03-30,58.27000045776367,58.43999862670898,58.02000045776367,58.41999816894531,40.40427017211914,1586000.0
2012-06-30,2771000000.0,-837000000.0,1934000000.0,-1459000000.0,-236000000.0,475000000.0,-155000000.0,-153000000.0,320000000,320000000,-106000000.0,214000000,214000000,214000000,1381000000.0,1034000000.0,4102000000.0,25734000000.0,451000000.0,9762000000.0,35947000000.0,40049000000,1083000000.0,1231000000.0,4380000000.0,9842000000.0,24090000000.0,28470000000,11579000000.0,11579000000.0,40049000000,214000000.0,236000000.0,-410000000.0,805000000.0,845000000.0,-34000000.0,-615000000.0,-174000000.0,799000000.0,-243000000.0,382000000.0,612000000,2012-06-29,62.349998474121094,62.63999938964844,61.88000106811523,62.18999862670898,43.4511947631836,2010200.0
2012-09-30,3438000000.0,-1045000000.0,2393000000.0,-1542000000.0,-240000000.0,851000000.0,-150000000.0,-152000000.0,701000000,701000000,-261000000.0,440000000,440000000,440000000,69000000.0,1319000000.0,3240000000.0,26324000000.0,462000000.0,9607000000.0,36393000000.0,39633000000,1262000000.0,930000000.0,3724000000.0,9841000000.0,24067000000.0,27791000000,11842000000.0,11842000000.0,39633000000,440000000.0,240000000.0,-162000000.0,-127000000.0,391000000.0,-25000000.0,-762000000.0,-175000000.0,-762000000.0,-4000000.0,-941000000.0,-1312000000,2012-09-28,59.45000076293945,59.97000122070313,59.31999969482422,59.88999938964844,42.24438095092773,1518200.0
2013-12-31,2868000000.0,-930000000.0,1938000000.0,-1461000000.0,-260000000.0,477000000.0,-139000000.0,-143000000.0,338000000,338000000,-104000000.0,234000000,234000000,234000000,674000000.0,1251000000.0,3891000000.0,28436000000.0,461000000.0,7859000000.0,36756000000.0,40647000000,1358000000.0,485000000.0,4730000000.0,10489000000.0,23672000000.0,28402000000,12245000000.0,12245000000.0,40647000000,234000000.0,260000000.0,-81000000.0,901000000.0,1314000000.0,43000000.0,-764000000.0,-181000000.0,229000000.0,-4000000.0,50000000.0,600000000,2013-12-31,55.15999984741211,55.599998474121094,55.0,55.27999877929688,41.09239959716797,2072100.0
2014-06-30,2911000000.0,-968000000.0,1943000000.0,-1533000000.0,-265000000.0,410000000.0,-141000000.0,-150000000.0,269000000,314000000,-102000000.0,212000000,212000000,212000000,774000000.0,1221000000.0,3457000000.0,28754000000.0,693000000.0,7407000000.0,36854000000.0,40311000000,1259000000.0,45000000.0,3839000000.0,11085000000.0,24017000000.0,27856000000,12455000000.0,12455000000.0,40311000000,213000000.0,265000000.0,-262000000.0,817000000.0,1033000000.0,-52000000.0,-599000000.0,-184000000.0,423000000.0,-1000000.0,238000000.0,672000000,2014-06-30,57.5,57.84000015258789,57.2599983215332,57.7400016784668,43.91983413696289,1971400.0
2014-09-30,3390000000.0,-992000000.0,2398000000.0,-1579000000.0,-270000000.0,819000000.0,-124000000.0,-150000000.0,695000000,695000000,-259000000.0,436000000,436000000,436000000,205000000.0,1280000000.0,3519000000.0,29239000000.0,740000000.0,7169000000.0,37148000000.0,40667000000,1233000000.0,210000000.0,3873000000.0,10986000000.0,24078000000.0,27951000000,12707000000.0,12716000000.0,40667000000,436000000.0,270000000.0,131000000.0,-343000000.0,494000000.0,-3000000.0,-763000000.0,-185000000.0,-106000000.0,-6000000.0,-300000000.0,-569000000,2014-09-30,56.6500015258789,57.09000015258789,56.29999923706055,56.65999984741211,43.58087539672852,1977500.0
2014-12-31,2829000000.0,-1034000000.0,1795000000.0,-1545000000.0,-275000000.0,250000000.0,-158000000.0,-155000000.0,92000000,92000000,-9000000.0,83000000,83000000,83000000,699000000.0,1201000000.0,3716000000.0,29827000000.0,816000000.0,9712000000.0,40355000000.0,44071000000,1262000000.0,560000000.0,3757000000.0,11546000000.0,27729000000.0,31486000000,12576000000.0,12585000000.0,44071000000,82000000.0,275000000.0,222000000.0,501000000.0,1080000000.0,-28000000.0,-763000000.0,-186000000.0,373000000.0,-2000000.0,177000000.0,494000000,2014-12-31,67.08000183105469,67.41999816894531,65.94999694824219,66.01000213623047,51.283363342285156,2058000.0
2015-03-31,3616000000.0,-1300000000.0,2316000000.0,-1590000000.0,-279000000.0,726000000.0,-157000000.0,-161000000.0,569000000,569000000,-199000000.0,370000000,370000000,370000000,117000000.0,1444000000.0,3398000000.0,30212000000.0,814000000.0,9553000000.0,40579000000.0,43977000000,1217000000.0,496000000.0,3407000000.0,11694000000.0,27800000000.0,31207000000,12761000000.0,12770000000.0,43977000000,370000000.0,279000000.0,-38000000.0,-52000000.0,559000000.0,-42000000.0,-667000000.0,-190000000.0,-281000000.0,-2000000.0,-474000000.0,-582000000,2015-03-31,60.790000915527344,61.54999923706055,60.58000183105469,61.0,47.86528015136719,2435000.0
2015-06-30,2788000000.0,-780000000.0,2008000000.0,-1536000000.0,-276000000.0,472000000.0,-152000000.0,-162000000.0,320000000,320000000,-101000000.0,219000000,219000000,219000000,709000000.0,1084000000.0,3679000000.0,30923000000.0,848000000.0,9301000000.0,41072000000.0,44751000000,1076000000.0,460000000.0,3935000000.0,11925000000.0,28019000000.0,31954000000,12788000000.0,12797000000.0,44751000000,219000000.0,276000000.0,-163000000.0,595000000.0,927000000.0,-136000000.0,-1058000000.0,-190000000.0,919000000.0,-5000000.0,723000000.0,592000000,2015-06-30,58.290000915527344,58.4000015258789,57.61999893188477,57.88000106811523,45.90248107910156,2623000.0
2015-09-30,3443000000.0,-955000000.0,2488000000.0,-1658000000.0,-285000000.0,830000000.0,-153000000.0,-162000000.0,677000000,677000000,-249000000.0,428000000,428000000,428000000,91000000.0,1194000000.0,3505000000.0,31473000000.0,874000000.0,9119000000.0,41466000000.0,44971000000,1368000000.0,761000000.0,4429000000.0,11521000000.0,27493000000.0,31922000000,13040000000.0,13049000000.0,44971000000,428000000.0,285000000.0,-58000000.0,58000000.0,713000000.0,-188000000.0,-962000000.0,-180000000.0,-185000000.0,-2000000.0,-367000000.0,-616000000,2015-09-30,66.13999938964844,66.97000122070311,65.80000305175781,66.84999847412111,53.53312683105469,2051300.0
