Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2017-06-30,394875000.0,-261954000.0,132921000.0,-81099000.0,-63417000.0,-10553000.0,-7129000.0,51822000.0,-12432000.0,-10893000.0,39390000,39254000,-13878000.0,25376000,25291000,25291000,67071000.0,243285000.0,378110000.0,697780000.0,217056000.0,972694000.0,1189750000.0,1887530000,280467000.0,29855000.0,310322000.0,1007235000.0,1111443000.0,1421765000,252647000.0,-293684000.0,495463000.0,465765000.0,1887530000,25376000.0,12986000.0,14231000.0,6858000.0,59451000.0,-6472000.0,-450000.0,-6153000.0,-13305000.0,-29865000.0,-44742000.0,9577000,2017-06-30,36.310001373291016,36.59000015258789,36.0099983215332,36.13000106811523,36.13000106811523,318200.0
2017-09-30,455839000.0,-299608000.0,156231000.0,-83683000.0,-65591000.0,-10850000.0,-7242000.0,72548000.0,-12368000.0,-10672000.0,60180000,60180000,-20404000.0,39776000,39435000,39435000,128780000.0,320626000.0,349023000.0,810149000.0,218658000.0,972167000.0,1190825000.0,2000974000,327835000.0,130908000.0,458743000.0,908101000.0,1027185000.0,1485928000,254040000.0,-293969000.0,535172000.0,515046000.0,2000974000,39776000.0,13108000.0,12496000.0,961000.0,66341000.0,-6596000.0,97000.0,-5795000.0,782000.0,463000.0,724000.0,61709000,2017-09-29,45.56999969482422,46.36000061035156,45.54999923706055,45.93000030517578,45.93000030517578,487400.0
2017-12-31,498174000.0,-311340000.0,186834000.0,-91460000.0,-72974000.0,-11179000.0,-7307000.0,95374000.0,-11435000.0,-10314000.0,83939000,84260000,-2037000.0,82223000,80907000,80907000,138472000.0,279295000.0,387049000.0,824557000.0,230380000.0,971028000.0,1201408000.0,2025965000,374249000.0,22174000.0,396423000.0,906548000.0,1031293000.0,1427716000,257700000.0,-294005000.0,610836000.0,598249000.0,2025965000,82223000.0,13297000.0,-2866000.0,44051000.0,136705000.0,-16598000.0,0.0,-14906000.0,-110798000.0,5234000.0,-111361000.0,9692000,2017-12-29,50.0,50.29999923706055,49.4000015258789,49.52000045776367,49.52000045776367,351700.0
2018-03-31,400091000.0,-258164000.0,141927000.0,-85580000.0,-68095000.0,-11853000.0,-5632000.0,56347000.0,-11161000.0,-10113000.0,45186000,45186000,-11416000.0,33770000,33645000,33645000,146162000.0,262170000.0,439745000.0,866845000.0,232023000.0,978600000.0,1210623000.0,2077468000,379630000.0,33007000.0,412637000.0,907459000.0,1040233000.0,1452870000,261944000.0,-321025000.0,636814000.0,624598000.0,2077468000,33770000.0,11683000.0,8668000.0,-25153000.0,28968000.0,-6495000.0,-369000.0,-5997000.0,9996000.0,-24256000.0,-16200000.0,7690000,2018-03-29,46.11999893188477,46.68999862670898,45.84000015258789,45.90999984741211,45.90999984741211,380500.0
2018-06-30,497581000.0,-319108000.0,178473000.0,-93006000.0,-74908000.0,-12616000.0,-5482000.0,85467000.0,-11522000.0,-11002000.0,73945000,72613000,-18382000.0,54231000,53261000,53261000,111714000.0,311668000.0,479880000.0,930436000.0,233433000.0,1045406000.0,1278839000.0,2209275000,454682000.0,25367000.0,480049000.0,908066000.0,1058936000.0,1538985000,266482000.0,-321052000.0,687772000.0,670290000.0,2209275000,54231000.0,11600000.0,8878000.0,-24020000.0,50689000.0,-5635000.0,-71557000.0,-76130000.0,-6832000.0,724000.0,-7680000.0,-34448000,2018-06-29,51.4000015258789,51.88000106811523,51.36000061035156,51.72999954223633,51.72999954223633,452800.0
2018-09-30,562388000.0,-362054000.0,200334000.0,-93815000.0,-74484000.0,-13653000.0,-5678000.0,106519000.0,-9925000.0,-9824000.0,96594000,96594000,-20072000.0,76522000,75776000,75776000,174001000.0,341758000.0,496088000.0,1039957000.0,243362000.0,1049354000.0,1292716000.0,2332673000,465469000.0,87644000.0,553113000.0,859625000.0,1021028000.0,1574141000,271770000.0,-321397000.0,756636000.0,758532000.0,2332673000,76522000.0,11841000.0,15717000.0,-44739000.0,59341000.0,-13234000.0,0.0,-12338000.0,12951000.0,3067000.0,14737000.0,62287000,2018-09-28,56.34000015258789,57.43999862670898,56.15999984741211,56.40999984741211,56.40999984741211,446500.0
2018-12-31,563404000.0,-359098000.0,204306000.0,-95458000.0,-78241000.0,-11897000.0,-5320000.0,108848000.0,-12165000.0,-10017000.0,96683000,96683000,-19986000.0,76697000,75575000,75575000,224482000.0,326133000.0,544750000.0,1120769000.0,278929000.0,1026616000.0,1305545000.0,2426314000,513146000.0,47560000.0,560706000.0,876396000.0,1043343000.0,1604049000,274000000.0,-321473000.0,831123000.0,822265000.0,2426314000,76697000.0,12284000.0,13455000.0,5793000.0,108229000.0,-22023000.0,6486000.0,-14429000.0,-40432000.0,423000.0,-42891000.0,50481000,2018-12-31,49.29999923706055,49.88999938964844,48.9000015258789,49.70000076293945,49.70000076293945,322300.0
2019-03-31,470353000.0,-308178000.0,162175000.0,-91002000.0,-72051000.0,-13609000.0,-5342000.0,71173000.0,-10419000.0,-10272000.0,60754000,60754000,-14985000.0,45769000,44861000,44861000,161266000.0,284612000.0,588380000.0,1062795000.0,289438000.0,1121489000.0,1410927000.0,2473722000,468535000.0,47444000.0,515979000.0,882483000.0,1090431000.0,1606410000,279275000.0,-324115000.0,878416000.0,867312000.0,2473722000,45769000.0,12607000.0,9988000.0,-53793000.0,14571000.0,-15879000.0,-61549000.0,-76685000.0,-659000.0,2193000.0,-1622000.0,-63216000,2019-03-29,51.25,51.58000183105469,50.70000076293945,51.22999954223633,51.22999954223633,273700.0
2019-06-30,541916000.0,-346078000.0,195838000.0,-104912000.0,-79967000.0,-17694000.0,-7251000.0,90926000.0,-10393000.0,-10452000.0,80533000,80533000,-18827000.0,61706000,61958000,61958000,110367000.0,341535000.0,570327000.0,1051710000.0,300795000.0,1170604000.0,1471399000.0,2523109000,420876000.0,59487000.0,480363000.0,883476000.0,1112618000.0,1592981000,283587000.0,-324149000.0,939618000.0,930128000.0,2523109000,61706000.0,14740000.0,11824000.0,-80227000.0,8043000.0,-18448000.0,-51392000.0,-69187000.0,10124000.0,1226000.0,9780000.0,-50899000,2019-06-28,69.75,70.29000091552734,69.13999938964844,69.41000366210939,69.41000366210939,1036500.0
2019-09-30,601135000.0,-383618000.0,217517000.0,-111961000.0,-86952000.0,-17603000.0,-7406000.0,105556000.0,-10595000.0,-10704000.0,94961000,94961000,-20064000.0,74897000,75574000,75574000,216038000.0,373591000.0,517232000.0,1137431000.0,303288000.0,1153402000.0,1456690000.0,2594121000,406477000.0,69539000.0,476016000.0,884315000.0,1122326000.0,1598342000,290555000.0,-324351000.0,1013707000.0,995779000.0,2594121000,74897000.0,15494000.0,13333000.0,7464000.0,111188000.0,-11037000.0,-7922000.0,-18319000.0,10790000.0,4538000.0,14020000.0,105671000,2019-09-30,78.81999969482422,80.19000244140625,78.33999633789062,78.33999633789062,78.33999633789062,515600.0
2019-12-31,590932000.0,-368710000.0,222222000.0,-117714000.0,-89581000.0,-19488000.0,-8645000.0,104508000.0,-9303000.0,-10116000.0,95205000,83359000,-13423000.0,69936000,69614000,69614000,322883000.0,319538000.0,522024000.0,1195829000.0,316976000.0,1152864000.0,1469840000.0,2665669000,435967000.0,61097000.0,497064000.0,837767000.0,1074527000.0,1571591000,296750000.0,-324551000.0,1084383000.0,1094078000.0,2665669000,69936000.0,18068000.0,17926000.0,69155000.0,175085000.0,-15343000.0,8862000.0,-5887000.0,-57822000.0,1438000.0,-64096000.0,106845000,2019-12-31,101.13999938964844,102.23999786376952,100.5199966430664,100.58999633789062,100.58999633789062,314900.0
