Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2013-10-31,12085000000.0,-4678000000.0,7407000000.0,-4952000000.0,-2926000000.0,-1724000000.0,2455000000.0,85000000.0,29000000.0,2540000000,2540000000,-544000000.0,1996000000,1996000000,1996000000,48201000000.0,5188000000.0,1466000000.0,62796000000.0,3273000000.0,34672000000.0,37945000000.0,100741000000,3796000000.0,3279000000.0,21728000000.0,12947000000.0,20104000000.0,41832000000,42166000000.0,15959000000.0,58909000000.0,100741000000,1996000000.0,591000000.0,299000000.0,-237000000.0,361000000.0,22000000.0,-29000000.0,-591000000.0,2649000000.0,-159000000.0,-178000000.0,-2447000000.0,-2755000000.0,-914000000.0,2000000.0,-1454000000.0,-2565000000.0,-2671000000,2013-10-31,22.63999938964844,22.709999084472656,22.440000534057614,22.559999465942386,17.66571617126465,34497400.0
2014-01-31,11155000000.0,-5204000000.0,5951000000.0,-4284000000.0,-2728000000.0,-1412000000.0,1667000000.0,88000000.0,33000000.0,1755000000,1755000000,-326000000.0,1429000000,1429000000,1429000000,47065000000.0,4378000000.0,1548000000.0,60689000000.0,3234000000.0,34504000000.0,37738000000.0,98427000000,3297000000.0,4762000000.0,22944000000.0,12385000000.0,19399000000.0,42343000000,41438000000.0,13928000000.0,56084000000.0,98427000000,1429000000.0,612000000.0,151000000.0,681000000.0,773000000.0,-99000000.0,-132000000.0,139000000.0,2873000000.0,-254000000.0,1110000000.0,-337000000.0,565000000.0,-896000000.0,978000000.0,-3389000000.0,-3353000000.0,85000000,2014-01-31,21.61000061035156,21.989999771118164,21.61000061035156,21.90999984741211,17.287755966186527,43325300.0
2014-04-30,11545000000.0,-4539000000.0,7006000000.0,-4464000000.0,-2802000000.0,-1565000000.0,2542000000.0,100000000.0,24000000.0,2642000000,2642000000,-461000000.0,2181000000,2181000000,2181000000,50469000000.0,4443000000.0,1528000000.0,64288000000.0,3310000000.0,34258000000.0,37568000000.0,101856000000,3864000000.0,508000000.0,18515000000.0,20384000000.0,27545000000.0,46060000000,41241000000.0,13849000000.0,55796000000.0,101856000000,2181000000.0,608000000.0,114000000.0,295000000.0,-70000000.0,27000000.0,159000000.0,179000000.0,3198000000.0,-369000000.0,-2593000000.0,0.0,-2948000000.0,-974000000.0,3745000000.0,-2069000000.0,652000000.0,902000000,2014-04-30,23.07999992370605,23.13999938964844,22.920000076293945,23.11000061035156,18.39045524597168,23979300.0
2014-07-31,12357000000.0,-4952000000.0,7405000000.0,-4724000000.0,-2981000000.0,-1593000000.0,2681000000.0,97000000.0,41000000.0,2778000000,2778000000,-531000000.0,2247000000,2247000000,2247000000,52074000000.0,5157000000.0,1591000000.0,67114000000.0,3252000000.0,34704000000.0,37956000000.0,105070000000,4372000000.0,508000000.0,19809000000.0,20337000000.0,28600000000.0,48409000000,41884000000.0,14093000000.0,56661000000.0,105070000000,2247000000.0,628000000.0,-232000000.0,969000000.0,-724000000.0,-59000000.0,-21000000.0,1773000000.0,3612000000.0,-261000000.0,-1187000000.0,-205000000.0,-1505000000.0,-974000000.0,-22000000.0,-594000000.0,-1622000000.0,485000000,2014-07-31,25.479999542236328,25.5,25.170000076293945,25.229999542236328,20.230762481689453,28219900.0
2014-10-31,12245000000.0,-4912000000.0,7333000000.0,-4991000000.0,-3019000000.0,-1583000000.0,2342000000.0,18000000.0,40000000.0,2360000000,2360000000,-532000000.0,1828000000,1828000000,1828000000,52107000000.0,4375000000.0,1676000000.0,66396000000.0,3233000000.0,34349000000.0,37582000000.0,103978000000,3754000000.0,1357000000.0,20056000000.0,19615000000.0,27207000000.0,47263000000,41984000000.0,14273000000.0,56715000000.0,103978000000,1828000000.0,599000000.0,606000000.0,-542000000.0,723000000.0,-107000000.0,-5000000.0,-1153000000.0,2491000000.0,-282000000.0,-2455000000.0,-184000000.0,-2877000000.0,-973000000.0,-7000000.0,-735000000.0,-1953000000.0,-2339000000,2014-10-31,24.59000015258789,24.63999938964844,24.18000030517578,24.46999931335449,19.770898818969727,30379100.0
2015-01-31,11936000000.0,-4846000000.0,7090000000.0,-4468000000.0,-2798000000.0,-1529000000.0,2622000000.0,251000000.0,50000000.0,2873000000,2873000000,-476000000.0,2397000000,2397000000,2397000000,53022000000.0,4541000000.0,1890000000.0,67882000000.0,3212000000.0,33828000000.0,37040000000.0,104922000000,3682000000.0,855000000.0,20034000000.0,19667000000.0,27155000000.0,47189000000,42685000000.0,14847000000.0,57733000000.0,104922000000,2397000000.0,630000000.0,253000000.0,-397000000.0,-222000000.0,-233000000.0,-27000000.0,85000000.0,2883000000.0,-263000000.0,-537000000.0,-33000000.0,-759000000.0,-974000000.0,-503000000.0,-299000000.0,-1714000000.0,410000000,2015-01-30,26.8799991607666,27.11000061035156,26.31999969482422,26.3700008392334,21.452545166015625,38419100.0
2015-04-30,12137000000.0,-4612000000.0,7525000000.0,-4600000000.0,-2959000000.0,-1547000000.0,2925000000.0,110000000.0,51000000.0,3035000000,3035000000,-598000000.0,2437000000,2437000000,2437000000,54419000000.0,4889000000.0,1760000000.0,69331000000.0,3276000000.0,33605000000.0,36881000000.0,106212000000,3924000000.0,4418000000.0,23245000000.0,16586000000.0,24134000000.0,47379000000,43133000000.0,15503000000.0,58833000000.0,106212000000,2437000000.0,570000000.0,372000000.0,-339000000.0,-404000000.0,105000000.0,133000000.0,-173000000.0,3040000000.0,-354000000.0,-2258000000.0,-21000000.0,-2592000000.0,-1070000000.0,499000000.0,-707000000.0,-1375000000.0,-927000000,2015-04-30,28.85000038146973,29.020000457763672,28.68000030517578,28.82999992370605,23.633302688598643,26514500.0
2015-07-31,12843000000.0,-5110000000.0,7733000000.0,-4852000000.0,-3085000000.0,-1548000000.0,2881000000.0,52000000.0,62000000.0,2933000000,2933000000,-614000000.0,2319000000,2319000000,2319000000,60416000000.0,5344000000.0,1627000000.0,73368000000.0,3332000000.0,36673000000.0,40005000000.0,113373000000,4215000000.0,3897000000.0,23412000000.0,21457000000.0,30254000000.0,53666000000,43592000000.0,16045000000.0,59707000000.0,113373000000,2319000000.0,643000000.0,-66000000.0,1242000000.0,-510000000.0,119000000.0,-14000000.0,1647000000.0,4138000000.0,-306000000.0,-3417000000.0,-88000000.0,-3860000000.0,-1069000000.0,4480000000.0,-567000000.0,2729000000.0,3007000000,2015-07-31,28.38999938964844,28.559999465942386,28.15999984741211,28.420000076293945,23.476741790771484,20376000.0
2015-10-31,12682000000.0,-4850000000.0,7832000000.0,-4753000000.0,-2982000000.0,-1560000000.0,3079000000.0,58000000.0,66000000.0,3137000000,3137000000,-707000000.0,2430000000,2430000000,2430000000,59107000000.0,4712000000.0,1482000000.0,73946000000.0,3346000000.0,34481000000.0,37827000000.0,111773000000,3852000000.0,3027000000.0,22100000000.0,21594000000.0,29688000000.0,51788000000,43643000000.0,16586000000.0,59985000000.0,111773000000,2430000000.0,507000000.0,499000000.0,-670000000.0,631000000.0,130000000.0,4000000.0,-1435000000.0,2766000000.0,-256000000.0,-93000000.0,-614000000.0,-950000000.0,-1068000000.0,-856000000.0,-825000000.0,-2935000000.0,-1119000000,2015-10-30,29.0,29.25,28.85000038146973,28.85000038146973,24.02414131164551,22334100.0
2016-01-31,11927000000.0,-4495000000.0,7432000000.0,-4138000000.0,-2462000000.0,-1509000000.0,3294000000.0,12000000.0,75000000.0,3306000000,3306000000,-159000000.0,3147000000,3147000000,3147000000,60375000000.0,4302000000.0,1362000000.0,75005000000.0,3386000000.0,34251000000.0,37637000000.0,112642000000,3999000000.0,3008000000.0,22799000000.0,21591000000.0,28965000000.0,51764000000,43857000000.0,17821000000.0,60878000000.0,112642000000,3147000000.0,498000000.0,170000000.0,107000000.0,357000000.0,23000000.0,-151000000.0,-122000000.0,3922000000.0,-309000000.0,-960000000.0,-103000000.0,-1437000000.0,-1065000000.0,-10000000.0,-818000000.0,-1929000000.0,556000000,2016-01-29,23.399999618530273,23.79999923706055,23.20000076293945,23.790000915527344,19.964920043945312,39692600.0
