Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,1331000000.0,-915000000.0,416000000.0,-257000000.0,-257000000.0,159000000.0,-55000000.0,-56000000.0,104000000,112000000,-15000000.0,97000000,100000000,100000000,1685000000.0,820000000.0,712000000.0,3620000000.0,1046000000.0,2542000000.0,3588000000.0,7208000000,1406000000.0,2211000000.0,2919000000.0,3869000000.0,6080000000,345000000.0,690000000.0,1128000000.0,7208000000,360000000.0,144000000.0,296000000.0,-42000000.0,51000000.0,0.0,-40000000.0,-31000000.0,0.0,-119000000.0,-137000000.0,101000000,2014-12-31,22.25834846496582,22.416519165039066,22.126537322998047,22.14411163330078,20.34950065612793,1537552.0
2015-03-31,1659000000.0,-1164000000.0,495000000.0,-330000000.0,-330000000.0,165000000.0,-55000000.0,-56000000.0,110000000,110000000,-40000000.0,70000000,64000000,64000000,1775000000.0,1248000000.0,863000000.0,4179000000.0,1106000000.0,2183000000.0,3289000000.0,7468000000,1701000000.0,2207000000.0,3418000000.0,4302000000.0,6509000000,343000000.0,606000000.0,959000000.0,7468000000,144000000.0,-296000000.0,-152000000.0,-29000000.0,3000000.0,-26000000.0,11000000.0,-32000000.0,497000000.0,-103000000.0,362000000.0,195000000,2015-03-31,23.145870208740234,23.673110961914066,23.04920959472656,23.46221351623535,21.640108108520508,4104994.0
2015-06-30,1929000000.0,-1292000000.0,637000000.0,-358000000.0,-358000000.0,279000000.0,-58000000.0,-61000000.0,221000000,221000000,-102000000.0,119000000,105000000,105000000,1507000000.0,1105000000.0,779000000.0,3590000000.0,1027000000.0,1252000000.0,2279000000.0,5869000000,1584000000.0,1590000000.0,3419000000.0,4148000000.0,5738000000,339000000.0,-239000000.0,131000000.0,5869000000,211000000.0,80000000.0,291000000.0,-37000000.0,3000000.0,-16000000.0,-71000000.0,-66000000.0,-300000000.0,-104000000.0,-521000000.0,-281000000,2015-06-30,23.39191627502441,23.63796043395996,23.321617126464844,23.43585205078125,21.69005012512207,4961452.0
2015-09-30,1839000000.0,-1250000000.0,589000000.0,-331000000.0,-331000000.0,258000000.0,-60000000.0,-54000000.0,198000000,198000000,-77000000.0,121000000,111000000,111000000,1534000000.0,1006000000.0,749000000.0,3540000000.0,1025000000.0,1162000000.0,2187000000.0,5727000000,1554000000.0,1560000000.0,3418000000.0,4139000000.0,5699000000,332000000.0,-332000000.0,28000000.0,5727000000,226000000.0,57000000.0,283000000.0,-33000000.0,1000000.0,1000000.0,-84000000.0,-32000000.0,-1000000.0,-198000000.0,-214000000.0,-18000000,2015-09-30,24.79999923706055,25.290000915527344,24.559999465942386,25.18000030517578,23.39569854736328,7329100.0
2015-12-31,1715000000.0,-1183000000.0,532000000.0,-320000000.0,-320000000.0,212000000.0,-52000000.0,-54000000.0,160000000,160000000,-74000000.0,86000000,75000000,75000000,1716000000.0,853000000.0,687000000.0,3328000000.0,1027000000.0,1309000000.0,2336000000.0,5664000000,1399000000.0,2403000000.0,2403000000.0,3203000000.0,5606000000,330000000.0,-300000000.0,58000000.0,5664000000,-187000000.0,154000000.0,388000000.0,-41000000.0,3000000.0,0.0,-45000000.0,-32000000.0,1000000.0,-49000000.0,-148000000.0,189000000,2015-12-31,28.309999465942386,28.649999618530273,28.0,28.29999923706055,26.389102935791016,2096700.0
2016-06-30,2001000000.0,-1301000000.0,700000000.0,-365000000.0,-365000000.0,335000000.0,-82000000.0,-87000000.0,253000000,253000000,-90000000.0,163000000,150000000,150000000,1091000000.0,1113000000.0,765000000.0,3057000000.0,1039000000.0,1228000000.0,2267000000.0,5324000000,1629000000.0,1632000000.0,2993000000.0,3622000000.0,5254000000,326000000.0,-273000000.0,70000000.0,5324000000,214000000.0,46000000.0,260000000.0,-42000000.0,13000000.0,0.0,25000000.0,-62000000.0,-1300000000.0,-82000000.0,-1489000000.0,-1219000000,2016-06-30,30.5,31.149999618530273,30.26000022888184,30.940000534057607,29.037736892700195,4391000.0
2016-09-30,1877000000.0,-1263000000.0,614000000.0,-345000000.0,-345000000.0,269000000.0,-42000000.0,-43000000.0,227000000,227000000,-81000000.0,146000000,134000000,134000000,1223000000.0,1054000000.0,758000000.0,3122000000.0,1049000000.0,1202000000.0,2251000000.0,5373000000,1508000000.0,1511000000.0,2993000000.0,3759000000.0,5270000000,325000000.0,-253000000.0,103000000.0,5373000000,237000000.0,56000000.0,293000000.0,-38000000.0,1000000.0,0.0,-85000000.0,-32000000.0,0.0,-74000000.0,-122000000.0,85000000,2016-09-30,34.450000762939446,34.5,33.959999084472656,34.310001373291016,32.300987243652344,5534800.0
2016-12-31,1763000000.0,-1184000000.0,579000000.0,-330000000.0,-330000000.0,249000000.0,-74000000.0,-43000000.0,175000000,175000000,-67000000.0,108000000,100000000,100000000,1191000000.0,917000000.0,712000000.0,2934000000.0,1060000000.0,1143000000.0,2203000000.0,5137000000,1458000000.0,1460000000.0,2995000000.0,3780000000.0,5240000000,318000000.0,-381000000.0,-103000000.0,5137000000,-134000000.0,97000000.0,306000000.0,-63000000.0,18000000.0,0.0,-84000000.0,-33000000.0,1000000.0,-217000000.0,-249000000.0,-51000000,2016-12-30,32.080001831054695,32.080001831054695,31.51000022888184,31.6200008392334,29.85835266113281,1546100.0
2017-06-30,2066000000.0,-1320000000.0,746000000.0,-374000000.0,-374000000.0,372000000.0,-110000000.0,-153000000.0,262000000,262000000,-86000000.0,176000000,163000000,163000000,1136000000.0,1231000000.0,850000000.0,3306000000.0,1080000000.0,1103000000.0,2183000000.0,5489000000,1575000000.0,1692000000.0,2967000000.0,3727000000.0,5419000000,315000000.0,-288000000.0,70000000.0,5489000000,289000000.0,15000000.0,304000000.0,-40000000.0,2000000.0,126000000.0,150000000.0,-67000000.0,59000000.0,-47000000.0,-172000000.0,303000000,2017-06-30,38.0,38.52999877929688,38.0,38.209999084472656,36.30046463012695,1972300.0
2017-09-30,1945000000.0,-1288000000.0,657000000.0,-348000000.0,-348000000.0,309000000.0,-45000000.0,-43000000.0,264000000,264000000,-100000000.0,164000000,152000000,152000000,1218000000.0,1128000000.0,866000000.0,3308000000.0,1097000000.0,1078000000.0,2175000000.0,5483000000,1591000000.0,1708000000.0,2969000000.0,3715000000.0,5423000000,311000000.0,-343000000.0,60000000.0,5483000000,214000000.0,98000000.0,312000000.0,-36000000.0,1000000.0,2000000.0,33000000.0,-32000000.0,-1000000.0,-178000000.0,-213000000.0,149000000,2017-09-29,38.75,39.11999893188477,38.75,39.0099983215332,37.15625,1605000.0
2017-12-31,1853000000.0,-1249000000.0,604000000.0,-348000000.0,-348000000.0,256000000.0,-108000000.0,-39000000.0,148000000,148000000,-56000000.0,92000000,80000000,80000000,1302000000.0,1066000000.0,784000000.0,3263000000.0,1129000000.0,1142000000.0,2271000000.0,5534000000,1551000000.0,1667000000.0,2969000000.0,3684000000.0,5351000000,310000000.0,-298000000.0,183000000.0,5534000000,-169000000.0,131000000.0,284000000.0,-42000000.0,1000000.0,-89000000.0,-182000000.0,-33000000.0,-3000000.0,-19000000.0,-59000000.0,53000000,2017-12-29,44.2599983215332,44.38000106811523,43.93000030517578,43.93999862670898,41.96508026123047,1653500.0
2018-06-30,2297000000.0,-1547000000.0,750000000.0,-392000000.0,-392000000.0,358000000.0,-46000000.0,-38000000.0,312000000,312000000,-88000000.0,224000000,211000000,211000000,384000000.0,1444000000.0,1017000000.0,2962000000.0,1187000000.0,1416000000.0,2603000000.0,5565000000,1768000000.0,1770000000.0,2970000000.0,3669000000.0,5439000000,305000000.0,-221000000.0,126000000.0,5565000000,289000000.0,59000000.0,348000000.0,-63000000.0,3000000.0,0.0,30000000.0,-121000000.0,-115000000.0,-115000000.0,-352000000.0,14000000,2018-06-29,37.349998474121094,37.79999923706055,37.15999984741211,37.41999816894531,35.915138244628906,2992100.0
2018-09-30,2101000000.0,-1434000000.0,667000000.0,-367000000.0,-367000000.0,300000000.0,-38000000.0,-38000000.0,262000000,262000000,-71000000.0,191000000,180000000,180000000,569000000.0,1298000000.0,1005000000.0,2990000000.0,1211000000.0,1409000000.0,2620000000.0,5610000000,1751000000.0,1753000000.0,2971000000.0,3650000000.0,5403000000,303000000.0,-154000000.0,207000000.0,5610000000,230000000.0,131000000.0,361000000.0,-55000000.0,1000000.0,-1000000.0,-57000000.0,-33000000.0,0.0,-81000000.0,-119000000.0,185000000,2018-09-28,37.18999862670898,37.27000045776367,36.38999938964844,36.599998474121094,35.2261962890625,4465100.0
2018-12-31,336000000.0,-45000000.0,291000000.0,-116000000.0,-116000000.0,175000000.0,-42000000.0,-39000000.0,133000000,133000000,-23000000.0,110000000,194000000,194000000,559000000.0,1153000000.0,946000000.0,2766000000.0,1223000000.0,1404000000.0,2627000000.0,5393000000,1676000000.0,1684000000.0,2971000000.0,3640000000.0,5324000000,294000000.0,-278000000.0,69000000.0,5393000000,55000000.0,126000000.0,378000000.0,-48000000.0,-4000000.0,0.0,-50000000.0,-36000000.0,0.0,-294000000.0,-334000000.0,-10000000,2018-12-31,29.040000915527344,29.420000076293945,28.709999084472656,29.239999771118164,28.243995666503906,2639900.0
2019-06-30,2275000000.0,-1493000000.0,782000000.0,-390000000.0,-390000000.0,392000000.0,-45000000.0,-41000000.0,347000000,347000000,-95000000.0,252000000,240000000,240000000,325000000.0,1423000000.0,975000000.0,2843000000.0,1212000000.0,1598000000.0,2810000000.0,5653000000,1722000000.0,1953000000.0,2771000000.0,3629000000.0,5582000000,287000000.0,-261000000.0,71000000.0,5653000000,327000000.0,17000000.0,344000000.0,-23000000.0,1000000.0,0.0,-25000000.0,-77000000.0,21000000.0,-169000000.0,-314000000.0,9000000,2019-06-28,38.9900016784668,39.47999954223633,38.9900016784668,39.2400016784668,38.15611267089844,6766300.0
2019-09-30,1716000000.0,-1105000000.0,611000000.0,-322000000.0,-322000000.0,289000000.0,-48000000.0,-39000000.0,241000000,241000000,-66000000.0,175000000,125990000,125990000,475000000.0,1177000000.0,924000000.0,2792000000.0,1017000000.0,1711000000.0,2728000000.0,5520000000,1561000000.0,1909000000.0,2771000000.0,3588000000.0,5497000000,284000000.0,-309000000.0,23000000.0,5520000000,244000000.0,148000000.0,392000000.0,-40000000.0,0.0,2000000.0,-41000000.0,-35000000.0,-20000000.0,-141000000.0,-204000000.0,155000000,2019-09-30,41.79999923706055,41.97999954223633,41.34000015258789,41.68000030517578,40.65576171875,2078200.0
2019-12-31,808000000.0,-429000000.0,379000000.0,-190000000.0,-190000000.0,189000000.0,-38000000.0,-40000000.0,151000000,158000000,-28000000.0,130000000,453010000,453010000,697000000.0,997000000.0,754000000.0,2711000000.0,878000000.0,1438000000.0,2316000000.0,5027000000,1397000000.0,1548000000.0,2771000000.0,3535000000.0,5083000000,276000000.0,-332000000.0,-56000000.0,5027000000,226000000.0,143000000.0,228000000.0,-32000000.0,-1000000.0,720000000.0,686000000.0,-39000000.0,-209000000.0,-452000000.0,-701000000.0,217000000,2019-12-31,47.9900016784668,48.25,47.83000183105469,47.9900016784668,46.9616813659668,2128300.0
2020-03-31,1581000000.0,-1034000000.0,547000000.0,-322000000.0,-322000000.0,225000000.0,-51000000.0,-35000000.0,174000000,174000000,-33000000.0,141000000,530000000,530000000,767000000.0,1142000000.0,756000000.0,2745000000.0,861000000.0,1234000000.0,2095000000.0,4840000000,1499000000.0,1504000000.0,2771000000.0,3501000000.0,5005000000,263000000.0,-412000000.0,-165000000.0,4840000000,7000000.0,-99000000.0,-92000000.0,-24000000.0,1000000.0,829000000.0,807000000.0,-37000000.0,2000000.0,-582000000.0,-639000000.0,70000000,2020-03-31,34.779998779296875,35.2599983215332,34.34000015258789,34.56999969482422,33.92574691772461,5034900.0
2020-06-30,1764000000.0,-1136000000.0,628000000.0,-289000000.0,-289000000.0,339000000.0,-37000000.0,-35000000.0,302000000,302000000,-82000000.0,220000000,224000000,224000000,1089000000.0,1308000000.0,750000000.0,3225000000.0,861000000.0,1216000000.0,2077000000.0,5302000000,1747000000.0,2154000000.0,2372000000.0,3111000000.0,5265000000,271000000.0,-223000000.0,37000000.0,5302000000,276000000.0,106000000.0,382000000.0,-21000000.0,0.0,12000000.0,-8000000.0,-59000000.0,3000000.0,1000000.0,-55000000.0,322000000,2020-06-30,48.849998474121094,50.47999954223633,48.61000061035156,50.209999084472656,49.44308471679688,3501300.0
