Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-03-31,1219140000.0,-761884000.0,457256000.0,-334851000.0,122405000.0,-32215000.0,-31566000.0,90190000,90190000,-9921000.0,80269000,80269000,80269000,332422000.0,722103000.0,1969872000.0,3117680000.0,652126000.0,2052255000.0,2704381000.0,5822061000,530436000.0,377562000.0,1368512000.0,2963424000.0,3501508000.0,4870020000,279712000.0,1057046000.0,952041000.0,5822061000,80269000.0,22820000.0,926000.0,-388821000.0,-284806000.0,-12573000.0,-7062000.0,-19635000.0,-42683000.0,682212000.0,-379901000.0,314684000.0,13253000,2016-03-31,28.479999542236328,28.709999084472656,28.20000076293945,28.34000015258789,23.566665649414066,3226400.0
2016-06-30,1472731000.0,-915440000.0,557291000.0,-336081000.0,221210000.0,-84865000.0,-36540000.0,136345000,136345000,-8202000.0,128143000,128143000,128143000,660997000.0,857562000.0,2006867000.0,3633492000.0,672807000.0,2308351000.0,2981158000.0,6614650000,664186000.0,361277000.0,1550914000.0,3466525000.0,4014044000.0,5564958000,278985000.0,1149236000.0,1049692000.0,6614650000,128143000.0,24007000.0,53362000.0,-49784000.0,155728000.0,-14464000.0,-186334000.0,-200798000.0,-41551000.0,441116000.0,0.0,375997000.0,328575000,2016-06-30,25.79999923706055,25.96999931335449,25.0,25.1299991607666,20.982940673828125,7912200.0
2016-09-30,1761019000.0,-1111653000.0,649366000.0,-421014000.0,228352000.0,-44992000.0,-43433000.0,183360000,183360000,-10570000.0,172790000,173858000,173858000,450213000.0,961659000.0,2004997000.0,3562127000.0,718999000.0,3023208000.0,3742207000.0,7304334000,757720000.0,444082000.0,1872880000.0,3684408000.0,4244929000.0,6117809000,286711000.0,1281056000.0,1186525000.0,7304334000,173858000.0,26888000.0,-3242000.0,139865000.0,337369000.0,30299000.0,-769731000.0,-739432000.0,-41564000.0,151447000.0,0.0,189244000.0,-210784000,2016-09-30,25.29999923706055,25.440000534057607,25.03000068664551,25.25,21.16855812072754,3848500.0
2016-12-31,1575309000.0,-963174000.0,612135000.0,-394051000.0,218084000.0,-56780000.0,-41153000.0,161304000,161304000,-5579000.0,155725000,157112000,157112000,460245000.0,836924000.0,1840565000.0,3321166000.0,692464000.0,2916850000.0,3609314000.0,6930480000,761647000.0,234760000.0,1625668000.0,3507685000.0,4080898000.0,5706566000,263789000.0,1396116000.0,1223914000.0,6930480000,157112000.0,29460000.0,15636000.0,195108000.0,397316000.0,-5828000.0,-948000.0,-6776000.0,-41577000.0,-355969000.0,0.0,-368871000.0,10032000,2016-12-30,21.649999618530273,21.71999931335449,21.450000762939453,21.56999969482422,18.165252685546875,3145400.0
2017-03-31,1380355000.0,-840824000.0,539531000.0,-413102000.0,126429000.0,-48682000.0,-42137000.0,77747000,77747000,-4665000.0,73082000,70617000,70617000,463623000.0,800467000.0,1998501000.0,3458807000.0,620393000.0,2976728000.0,3597121000.0,7055928000,756176000.0,376824000.0,1762494000.0,3763119000.0,4335374000.0,6097868000,257284000.0,1120541000.0,958060000.0,7055928000,70617000.0,28765000.0,13160000.0,-135340000.0,-22798000.0,-11446000.0,36910000.0,25464000.0,-55875000.0,161985000.0,-299919000.0,4511000.0,3378000,2017-03-31,20.75,20.850000381469727,20.549999237060547,20.76000022888184,17.613651275634766,2726900.0
2017-06-30,1646610000.0,-1000708000.0,645902000.0,-412197000.0,233705000.0,-50552000.0,-44130000.0,183153000,183153000,-10989000.0,172164000,172532000,172532000,449415000.0,935548000.0,2000436000.0,3578002000.0,619883000.0,3039086000.0,3658969000.0,7236971000,784960000.0,428485000.0,1778588000.0,3797245000.0,4380057000.0,6158645000,271651000.0,1238368000.0,1078326000.0,7236971000,172532000.0,29330000.0,4767000.0,-149581000.0,57048000.0,-15014000.0,2851000.0,-12163000.0,-54654000.0,18868000.0,0.0,-59722000.0,-14208000,2017-06-30,23.18000030517578,23.290000915527344,23.059999465942386,23.15999984741211,19.78309631347656,5002500.0
2017-09-30,1799270000.0,-1120813000.0,678457000.0,-419991000.0,258466000.0,-50960000.0,-43917000.0,207506000,207506000,-4150000.0,203356000,203356000,203356000,400045000.0,1009188000.0,1953918000.0,3560026000.0,624602000.0,3096095000.0,3720697000.0,7280723000,852671000.0,429359000.0,1896629000.0,3566547000.0,4152927000.0,6049556000,271321000.0,1386488000.0,1231167000.0,7280723000,203356000.0,31667000.0,-14224000.0,76041000.0,296840000.0,-29560000.0,0.0,-29560000.0,-54682000.0,-335080000.0,0.0,-312387000.0,-49370000,2017-09-29,24.540000915527344,24.940000534057607,24.520000457763672,24.63999938964844,21.179956436157227,3278400.0
2017-12-31,1645175000.0,-1018514000.0,626661000.0,-500911000.0,125750000.0,-56886000.0,-44251000.0,68864000,68864000,-453475000.0,-384611000,-384611000,-384611000,421566000.0,903318000.0,1874990000.0,3386370000.0,623991000.0,2884414000.0,3508405000.0,6894775000,867649000.0,261462000.0,1778745000.0,3702054000.0,4429828000.0,6208573000,275063000.0,850345000.0,686202000.0,6894775000,-384611000.0,32725000.0,302689000.0,373825000.0,324628000.0,-26529000.0,-61725000.0,-88254000.0,-54692000.0,-74267000.0,-100098000.0,-218170000.0,21521000,2017-12-29,20.959999084472656,21.26000022888184,20.8799991607666,20.90999984741211,18.11459732055664,3534100.0
2018-03-31,1471504000.0,-892583000.0,578921000.0,-432863000.0,146058000.0,-51524000.0,-45763000.0,94534000,94534000,-15125000.0,79409000,79409000,79409000,373662000.0,874684000.0,2044680000.0,3399826000.0,630669000.0,3297280000.0,3927949000.0,7327775000,813981000.0,340613000.0,1677760000.0,4185252000.0,4944320000.0,6622080000,281359000.0,875035000.0,705695000.0,7327775000,79409000.0,31925000.0,4294000.0,-243771000.0,-128143000.0,-18298000.0,-334915000.0,-353213000.0,-54053000.0,441152000.0,0.0,459084000.0,-21086000,2018-03-29,18.600000381469727,18.899999618530273,18.38999938964844,18.420000076293945,16.073848724365234,5501100.0
2018-06-30,1715443000.0,-1055487000.0,659956000.0,-439893000.0,220063000.0,-55000000.0,-48430000.0,165063000,165063000,-24430000.0,140633000,140633000,140633000,397971000.0,973807000.0,2112211000.0,3616746000.0,617302000.0,3193838000.0,3811140000.0,7427886000,935176000.0,349275000.0,1790811000.0,4149201000.0,4869884000.0,6660695000,278725000.0,961020000.0,767191000.0,7427886000,140633000.0,33568000.0,-3343000.0,-107113000.0,63745000.0,-20502000.0,-1000.0,-20503000.0,-54062000.0,-20713000.0,0.0,-41201000.0,21031000,2018-06-29,22.299999237060547,22.40999984741211,22.0,22.020000457763672,19.3891544342041,4823100.0
2018-09-30,1848707000.0,-1136040000.0,712667000.0,-455778000.0,256889000.0,-60080000.0,-52795000.0,196809000,196809000,-25388000.0,171421000,171421000,171421000,398499000.0,1044516000.0,2139281000.0,3737205000.0,607649000.0,3110652000.0,3718301000.0,7455506000,975138000.0,520250000.0,2027128000.0,3863580000.0,4557790000.0,6584918000,279278000.0,1077808000.0,870588000.0,7455506000,171421000.0,33821000.0,6451000.0,-6006000.0,205687000.0,-22893000.0,0.0,-22893000.0,-54085000.0,-184983000.0,0.0,-163301000.0,196000,2018-09-28,18.07999992370605,18.520000457763672,18.07999992370605,18.43000030517578,16.359865188598633,5642500.0
2018-12-31,1768301000.0,-1066626000.0,701675000.0,-460034000.0,241641000.0,-54466000.0,-47687000.0,187175000,187175000,-38972000.0,148203000,148203000,148203000,433022000.0,870878000.0,2054458000.0,3517589000.0,607688000.0,3130681000.0,3738369000.0,7255958000,1029933000.0,446408000.0,2030242000.0,3534183000.0,4255433000.0,6285675000,288490000.0,1184735000.0,970283000.0,7255958000,148203000.0,6812000.0,74439000.0,272659000.0,502113000.0,-22043000.0,1000.0,-22042000.0,-54116000.0,-201298000.0,0.0,-455079000.0,34025000,2018-12-31,12.3100004196167,12.539999961853027,12.25,12.529999732971193,11.223323822021484,6082900.0
