Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-06-30,1180651000.0,-813719000.0,366932000.0,-246981000.0,119951000.0,-37422000.0,-36611000.0,82529000,82529000,-15213000.0,67316000,1231000,1231000,29662000.0,585979000.0,1435850000.0,2255528000.0,612515000.0,1018013000.0,1630528000.0,3886056000,394978000.0,364891000.0,963443000.0,1660685000.0,2264855000.0,3228298000,271304000.0,721187000.0,657758000.0,3886056000,1231000.0,23719000.0,70714000.0,11191000.0,106855000.0,-9989000.0,12903000.0,2914000.0,0.0,-161645000.0,408000.0,-113758000.0,-4938000,2012-06-29,6.887499809265138,6.965000152587892,6.849999904632568,6.932499885559082,5.531523704528809,3598000.0
2012-12-31,1153256000.0,-755185000.0,398071000.0,-245060000.0,153011000.0,-65838000.0,-30352000.0,87173000,87173000,-8958000.0,78215000,80388000,80388000,42796000.0,506278000.0,1253136000.0,2027525000.0,596158000.0,1008017000.0,1604175000.0,3631700000,403644000.0,200052000.0,875668000.0,1317500000.0,1869166000.0,2744834000,293012000.0,911467000.0,886866000.0,3631700000,80388000.0,22940000.0,-4538000.0,145412000.0,244202000.0,-11408000.0,-4000.0,-11412000.0,0.0,-247809000.0,4649000.0,-371588000.0,-139473000,2012-12-31,8.702500343322754,8.979999542236328,8.694999694824219,8.954999923706055,7.145303249359131,2671200.0
2013-09-30,1197346000.0,-775666000.0,421680000.0,-244782000.0,176898000.0,-25797000.0,-25002000.0,151101000,151101000,-25838000.0,125263000,125263000,125263000,132320000.0,585710000.0,1313971000.0,2257053000.0,566776000.0,1011188000.0,1577964000.0,3835017000,440357000.0,171823000.0,913685000.0,1250000000.0,1769228000.0,2682913000,301214000.0,1169345000.0,1152104000.0,3835017000,125263000.0,21571000.0,2638000.0,89187000.0,238659000.0,-8652000.0,0.0,-8652000.0,-19818000.0,-172856000.0,-5279000.0,-179974000.0,50015000,2013-09-30,15.537500381469727,15.657500267028807,15.390000343322756,15.577500343322756,12.51817512512207,2395200.0
2013-12-31,1285790000.0,-858558000.0,427232000.0,-355534000.0,71698000.0,-41529000.0,-26038000.0,30169000,30169000,2097000.0,32266000,32266000,32266000,115863000.0,578558000.0,1283331000.0,2243666000.0,579883000.0,1266499000.0,1846382000.0,4090048000,466270000.0,217982000.0,999278000.0,1467000000.0,1860147000.0,2859425000,286222000.0,1181418000.0,1230623000.0,4090048000,32266000.0,23689000.0,34110000.0,244231000.0,334296000.0,-12713000.0,-559855000.0,-572568000.0,-19827000.0,218175000.0,0.0,235176000.0,-16457000,2013-12-31,17.430000305175778,17.655000686645508,17.430000305175778,17.567499160766598,14.159272193908693,1864800.0
2014-09-30,1400728000.0,-903013000.0,497715000.0,-343823000.0,153892000.0,-24323000.0,-23528000.0,129569000,129569000,-10625000.0,118944000,118944000,118944000,215832000.0,874922000.0,1666008000.0,3154420000.0,673295000.0,1715779000.0,2389074000.0,5543494000,673937000.0,382769000.0,1675955000.0,1908733000.0,2402869000.0,4078824000,294769000.0,1405415000.0,1464670000.0,5543494000,118944000.0,23500000.0,6975000.0,60964000.0,210383000.0,-21880000.0,-352986000.0,-383645000.0,-29907000.0,288912000.0,0.0,250083000.0,72215000,2014-09-30,27.024999618530273,27.10000038146973,26.752500534057607,26.86000061035156,21.886079788208008,2595600.0
2014-12-31,1522596000.0,-977035000.0,545561000.0,-414411000.0,131150000.0,-30631000.0,-29922000.0,100519000,100519000,-11082000.0,89437000,89437000,89437000,239855000.0,672048000.0,1537200000.0,2550167000.0,674379000.0,1983647000.0,2658026000.0,5208193000,621220000.0,369755000.0,1482414000.0,1613997000.0,2339007000.0,3821421000,294934000.0,1464427000.0,1386772000.0,5208193000,89437000.0,28662000.0,12388000.0,162282000.0,292769000.0,-15644000.0,-7453000.0,44997000.0,-29969000.0,-322855000.0,0.0,-316466000.0,24023000,2014-12-31,28.149999618530273,28.375,27.895000457763672,27.90500068664551,22.80014419555664,1799600.0
2015-03-31,1208921000.0,-762690000.0,446231000.0,-356300000.0,89931000.0,-27269000.0,-26887000.0,62662000,62662000,-10026000.0,52636000,52636000,52636000,277067000.0,713113000.0,1692712000.0,3020688000.0,662809000.0,1724429000.0,2387238000.0,5407926000,613261000.0,327815000.0,1400746000.0,1973876000.0,2603951000.0,4004697000,294665000.0,1476310000.0,1403229000.0,5407926000,52636000.0,24573000.0,7288000.0,-343842000.0,-259345000.0,-31633000.0,0.0,-31633000.0,-40083000.0,297824000.0,0.0,333754000.0,37212000,2015-03-31,33.610000610351555,33.880001068115234,33.47999954223633,33.509998321533196,27.475963592529297,3032300.0
2015-06-30,1522033000.0,-953808000.0,568225000.0,-429292000.0,138933000.0,-29850000.0,-29020000.0,109083000,109083000,-14181000.0,94902000,94902000,94902000,315354000.0,835299000.0,1766761000.0,3296322000.0,658789000.0,1917270000.0,2576059000.0,5872381000,661369000.0,379383000.0,1513690000.0,2217760000.0,2906919000.0,4420609000,289529000.0,1530495000.0,1451772000.0,5872381000,94902000.0,26234000.0,-3437000.0,-91422000.0,26277000.0,-19460000.0,-193461000.0,-212921000.0,-41387000.0,233156000.0,0.0,222947000.0,38287000,2015-06-30,33.639999389648445,33.740001678466804,32.97999954223633,33.31999969482422,27.40627861022949,7919800.0
2015-09-30,1591038000.0,-1010288000.0,580750000.0,-372422000.0,208328000.0,-32074000.0,-31356000.0,176254000,176254000,-14100000.0,162154000,162154000,162154000,284595000.0,850334000.0,1813510000.0,3265454000.0,652391000.0,1901555000.0,2553946000.0,5819400000,637788000.0,417754000.0,1572137000.0,2361607000.0,2996964000.0,4569101000,284622000.0,1349059000.0,1250299000.0,5819400000,162154000.0,24943000.0,6886000.0,-48069000.0,145914000.0,-7428000.0,632000.0,-6796000.0,-40243000.0,101327000.0,-306094000.0,-170297000.0,-30759000,2015-09-30,28.459999084472656,28.979999542236328,28.3700008392334,28.940000534057607,23.883560180664066,3482000.0
2015-12-31,1409557000.0,-868431000.0,541126000.0,-383200000.0,157926000.0,-32052000.0,-30772000.0,125874000,125874000,-6711000.0,119163000,119163000,119163000,319169000.0,680417000.0,1814602000.0,2917867000.0,650462000.0,2029261000.0,2679723000.0,5597590000,672972000.0,370604000.0,1503909000.0,2232712000.0,2817790000.0,4321699000,281486000.0,1389338000.0,1275891000.0,5597590000,119163000.0,28153000.0,28112000.0,138733000.0,314161000.0,-25450000.0,0.0,-25450000.0,-39603000.0,-171730000.0,-45401000.0,-253422000.0,34574000,2015-12-31,29.09000015258789,29.790000915527344,29.01000022888184,29.43000030517578,24.36556625366211,3638300.0
