Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,2121000000.0,-846000000.0,1275000000.0,-985000000.0,-632000000.0,-282000000.0,290000000.0,-132000000.0,-134000000.0,158000000,17000000.0,175000000,-54000000.0,121000000,120000000,120000000,52000000.0,1438000000.0,200000000.0,2877000000.0,12431000000.0,8887000000.0,21318000000.0,24195000000,925000000.0,998000000.0,2645000000.0,6577000000.0,15234000000.0,17879000000,3257000000.0,3168000000.0,6316000000.0,24195000000,121000000.0,282000000.0,50000000.0,-308000000.0,145000000.0,48000000.0,0.0,-269000000.0,-88000000.0,120000000.0,8000000.0,93000000.0,-31000000,2009-12-31,37.78723526000977,38.0,37.09787368774414,37.09787368774414,24.14887046813965,901460.0
2010-09-30,2139000000.0,-763000000.0,1376000000.0,-989000000.0,-649000000.0,-271000000.0,387000000.0,-128000000.0,-139000000.0,259000000,-1000000.0,258000000,-92000000.0,166000000,163000000,163000000,84000000.0,1140000000.0,215000000.0,2741000000.0,12822000000.0,8703000000.0,21525000000.0,24266000000,871000000.0,943000000.0,2513000000.0,6431000000.0,15064000000.0,17577000000,3422000000.0,3374000000.0,6689000000.0,24266000000,166000000.0,271000000.0,105000000.0,-184000000.0,358000000.0,4000000.0,-49000000.0,-342000000.0,-89000000.0,46000000.0,3000000.0,-56000000.0,-40000000,2010-09-30,39.48936080932617,39.64255142211914,38.95318984985352,39.08936309814453,26.33500671386719,1541600.0
2010-12-31,2141000000.0,-824000000.0,1317000000.0,-981000000.0,-669000000.0,-237000000.0,336000000.0,-129000000.0,-122000000.0,207000000,20000000.0,227000000,-63000000.0,164000000,152000000,152000000,65000000.0,1351000000.0,202000000.0,3167000000.0,12992000000.0,8737000000.0,21729000000.0,24896000000,935000000.0,1075000000.0,2749000000.0,6446000000.0,15380000000.0,18129000000,3440000000.0,3431000000.0,6767000000.0,24896000000,156000000.0,252000000.0,274000000.0,-366000000.0,316000000.0,28000000.0,0.0,-392000000.0,-95000000.0,146000000.0,10000000.0,57000000.0,-19000000,2010-12-31,38.62127685546875,38.74042510986328,38.45106506347656,38.570213317871094,26.308841705322266,971960.0
2011-12-31,2134000000.0,-829000000.0,1305000000.0,-960000000.0,-664000000.0,-225000000.0,345000000.0,-96000000.0,-116000000.0,249000000,-1000000.0,248000000,-88000000.0,160000000,150000000,150000000,68000000.0,1317000000.0,219000000.0,3196000000.0,13746000000.0,9067000000.0,22813000000.0,26009000000,976000000.0,945000000.0,2628000000.0,6708000000.0,16328000000.0,18956000000,3417000000.0,3750000000.0,7053000000.0,26009000000,157000000.0,243000000.0,116000000.0,6000000.0,522000000.0,5000000.0,0.0,-508000000.0,-100000000.0,120000000.0,0.0,8000000.0,22000000,2011-12-30,46.99574661254883,47.04681015014648,46.34042739868164,46.34042739868164,33.13466644287109,1059263.0
2012-12-31,2311000000.0,-949000000.0,1362000000.0,-1092000000.0,-766000000.0,-248000000.0,270000000.0,-89000000.0,-103000000.0,181000000,-7000000.0,174000000,-35000000.0,139000000,81000000,81000000,65000000.0,1336000000.0,234000000.0,2915000000.0,14684000000.0,8740000000.0,23424000000.0,26339000000,1048000000.0,1057000000.0,2768000000.0,6712000000.0,16160000000.0,18928000000,3587000000.0,3944000000.0,7411000000.0,26339000000,83000000.0,271000000.0,58000000.0,68000000.0,480000000.0,18000000.0,57000000.0,-585000000.0,-107000000.0,214000000.0,10000000.0,111000000.0,6000000,2012-12-31,50.39148712158203,51.13191604614258,50.0936164855957,51.10638427734375,38.08498001098633,1076770.0
2013-12-31,2533000000.0,-1894000000.0,639000000.0,-401000000.0,-40000000.0,-283000000.0,238000000.0,-86000000.0,-107000000.0,152000000,3000000.0,155000000,-29000000.0,126000000,124000000,124000000,52000000.0,1542000000.0,265000000.0,2806000000.0,15800000000.0,7329000000.0,23129000000.0,25935000000,1168000000.0,1029000000.0,3189000000.0,7109000000.0,14792000000.0,17981000000,3907000000.0,4150000000.0,7954000000.0,25935000000,126000000.0,283000000.0,9000000.0,21000000.0,439000000.0,16000000.0,-21000000.0,-569000000.0,-116000000.0,220000000.0,10000000.0,111000000.0,-19000000,2013-12-31,56.44255447387695,56.59574508666992,56.06808471679688,56.50212860107422,43.78277587890625,2235673.0
2014-03-31,3930000000.0,-2155000000.0,1775000000.0,-1216000000.0,-841000000.0,-280000000.0,559000000.0,-75000000.0,-108000000.0,484000000,1000000.0,485000000,-158000000.0,327000000,326000000,326000000,98000000.0,1811000000.0,272000000.0,2973000000.0,15985000000.0,7203000000.0,23188000000.0,26161000000,1179000000.0,1444000000.0,3569000000.0,6923000000.0,14455000000.0,18024000000,3894000000.0,4360000000.0,8137000000.0,26161000000,327000000.0,280000000.0,76000000.0,-151000000.0,532000000.0,3000000.0,0.0,-442000000.0,-116000000.0,129000000.0,-50000000.0,-44000000.0,46000000,2014-03-31,62.9361686706543,63.49787139892578,62.68085098266602,63.22553253173828,49.4477424621582,1507525.0
2014-06-30,2698000000.0,-1276000000.0,1422000000.0,-1180000000.0,-811000000.0,-282000000.0,242000000.0,-73000000.0,-103000000.0,169000000,7000000.0,176000000,-50000000.0,126000000,124000000,124000000,75000000.0,1400000000.0,277000000.0,2721000000.0,16307000000.0,7161000000.0,23468000000.0,26189000000,1270000000.0,740000000.0,2819000000.0,7813000000.0,15344000000.0,18163000000,3896000000.0,4246000000.0,8026000000.0,26189000000,126000000.0,282000000.0,121000000.0,15000000.0,544000000.0,28000000.0,0.0,-625000000.0,-116000000.0,182000000.0,-2000000.0,58000000.0,-23000000,2014-06-30,66.2127685546875,66.55319213867189,65.93191528320311,66.2723388671875,52.29214096069336,2258233.0
2014-09-30,2595000000.0,-1119000000.0,1476000000.0,-1239000000.0,-860000000.0,-293000000.0,237000000.0,-61000000.0,-105000000.0,176000000,2000000.0,178000000,-21000000.0,157000000,156000000,156000000,60000000.0,1257000000.0,282000000.0,2755000000.0,16499000000.0,7122000000.0,23621000000.0,26376000000,1105000000.0,927000000.0,2805000000.0,7909000000.0,15385000000.0,18190000000,3900000000.0,4402000000.0,8186000000.0,26376000000,157000000.0,293000000.0,54000000.0,-282000000.0,222000000.0,5000000.0,0.0,-390000000.0,-116000000.0,278000000.0,0.0,153000000.0,-15000000,2014-09-30,64.73191833496094,65.37021636962889,64.43404388427734,64.74893951416016,51.55013275146485,1165718.0
2014-12-31,3078000000.0,-2472000000.0,606000000.0,-66000000.0,308000000.0,-290000000.0,540000000.0,-106000000.0,-103000000.0,434000000,2000000.0,436000000,-135000000.0,301000000,299000000,299000000,48000000.0,1504000000.0,292000000.0,3012000000.0,16820000000.0,8067000000.0,24887000000.0,27899000000,1181000000.0,672000000.0,2577000000.0,8343000000.0,16980000000.0,19557000000,3904000000.0,4578000000.0,8342000000.0,27899000000,301000000.0,290000000.0,135000000.0,-179000000.0,547000000.0,9000000.0,-42000000.0,-603000000.0,-122000000.0,177000000.0,0.0,44000000.0,-12000000,2014-12-31,75.20851135253906,75.31914520263672,73.40425872802734,73.50638580322266,59.01916122436523,1286273.0
