Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,724783000.0,-294681000.0,430102000.0,-272274000.0,-196775000.0,-75499000.0,157828000.0,-56765000.0,-52617000.0,101063000,139000.0,101202000,-52274000.0,48928000,-7176000.0,41292000,41292000,340479000.0,581176000.0,1125234000.0,2456819000.0,3065043000.0,5521862000.0,6647096000,486008000.0,37662000.0,731650000.0,3129153000.0,3799391000.0,4531041000,1269765000.0,2116055000.0,6647096000,56314000.0,66655000.0,20153000.0,-3952000.0,136931000.0,-45473000.0,106576000.0,-57024000.0,-12720000.0,-14609000.0,-35604000.0,-62228000.0,15057000,2010-06-30,20.896488189697266,21.192237854003906,20.73937225341797,20.757856369018555,9.922296524047852,1922065.0
2010-09-30,731132000.0,-299622000.0,431510000.0,-257391000.0,-180156000.0,-77235000.0,174119000.0,-50198000.0,-52054000.0,123921000,-67121000.0,56800000,-29310000.0,27490000,-178307000.0,-153776000,-153776000,184173000.0,590230000.0,994610000.0,2498870000.0,2857438000.0,5356308000.0,6350918000,513093000.0,36756000.0,747166000.0,2972973000.0,3636540000.0,4383706000,1238019000.0,1967212000.0,6350918000,27490000.0,78573000.0,110419000.0,-56108000.0,176938000.0,-56420000.0,-1458000.0,-61988000.0,-12641000.0,-223463000.0,-39863000.0,-275221000.0,-156306000,2010-09-30,20.665433883666992,20.8317928314209,20.36044311523437,20.646949768066406,9.89895725250244,3538897.0
2010-12-31,659928000.0,-273327000.0,386601000.0,-227715000.0,-162028000.0,-65687000.0,158886000.0,-40983000.0,-43326000.0,117903000,-8993000.0,108910000,-44428000.0,64482000,-33934000.0,29332000,29332000,258693000.0,524326000.0,1212462000.0,2468244000.0,2735687000.0,5203931000.0,6416393000,526435000.0,96081000.0,874703000.0,2912126000.0,3588825000.0,4463528000,1230656000.0,1952865000.0,6416393000,57096000.0,77229000.0,5930000.0,32263000.0,180104000.0,-67520000.0,-619000.0,-80114000.0,-12532000.0,-946000.0,-12085000.0,-25107000.0,74520000,2010-12-31,23.10536003112793,23.170055389404297,23.022180557250977,23.11460304260254,11.165605545043944,828812.0
2011-03-31,746009000.0,-315955000.0,430054000.0,-292918000.0,-212755000.0,-80163000.0,137136000.0,-39660000.0,-48618000.0,97476000,464000.0,97940000,-16764000.0,81176000,-6557000.0,73460000,73460000,189817000.0,610149000.0,1018602000.0,2526664000.0,2924836000.0,5451500000.0,6470102000,554017000.0,44799000.0,807947000.0,2960880000.0,3634169000.0,4442116000,1235917000.0,2027986000.0,6470102000,81176000.0,81589000.0,-13212000.0,-39135000.0,119337000.0,-54935000.0,-34705000.0,-98991000.0,-37514000.0,-52385000.0,-1806000.0,-90557000.0,-68876000,2011-03-31,28.75231170654297,28.94639587402344,28.60443687438965,28.863216400146484,14.031864166259766,2974526.0
2011-06-30,758551000.0,-307577000.0,450974000.0,-302257000.0,-223389000.0,-78868000.0,148717000.0,-51225000.0,-48604000.0,97492000,220000.0,97712000,-30252000.0,67460000,185587000.0,252684000,252684000,271424000.0,577616000.0,1069646000.0,2478199000.0,2862854000.0,5341053000.0,6410699000,556035000.0,66199000.0,798392000.0,2866920000.0,3550198000.0,4348590000,1049179000.0,2062109000.0,6410699000,260809000.0,80299000.0,-175574000.0,-34739000.0,123720000.0,-55297000.0,-40467000.0,289478000.0,-37530000.0,-96506000.0,-189663000.0,-332527000.0,81607000,2011-06-30,31.11829948425293,31.580406188964844,31.099815368652344,31.5064697265625,15.432604789733887,4292619.0
2011-09-30,768306000.0,-306361000.0,461945000.0,-285907000.0,-209003000.0,-76904000.0,176038000.0,-66678000.0,-50047000.0,109360000,-40839000.0,68521000,-18127000.0,50394000,-12469000.0,37338000,37338000,480879000.0,548422000.0,1259943000.0,2395967000.0,2735533000.0,5131500000.0,6391443000,522890000.0,63193000.0,754689000.0,3257213000.0,3923053000.0,4677742000,776687000.0,1713701000.0,6391443000,57305000.0,78567000.0,67505000.0,6560000.0,167901000.0,-50592000.0,0.0,-55719000.0,-50695000.0,428730000.0,-275099000.0,102865000.0,209455000,2011-09-30,29.51016616821289,30.009241104125977,29.214418411254893,29.22365951538086,14.421125411987305,2203277.0
2011-12-31,741837000.0,-315307000.0,426530000.0,-273008000.0,-189444000.0,-83564000.0,153522000.0,-60736000.0,-57987000.0,92786000,-4059000.0,88727000,-41345000.0,47382000,-13381000.0,32056000,32056000,179845000.0,543467000.0,914450000.0,2407083000.0,2719725000.0,5126808000.0,6041258000,575212000.0,73320000.0,849030000.0,3280268000.0,3937972000.0,4787002000,345324000.0,1254256000.0,6041258000,47741000.0,85362000.0,10806000.0,68455000.0,204480000.0,-65803000.0,-74000.0,-56260000.0,-46877000.0,36711000.0,-432643000.0,-442451000.0,-301034000,2011-12-30,28.57670974731445,28.67837333679199,28.456562042236328,28.465803146362305,14.161492347717285,827081.0
2012-03-31,746498000.0,-315298000.0,431200000.0,-288668000.0,-210660000.0,-78008000.0,142532000.0,-55480000.0,-58784000.0,87052000,-719000.0,86333000,-25260000.0,61073000,-5093000.0,55350000,55350000,178293000.0,558357000.0,931999000.0,2402658000.0,2751965000.0,5154623000.0,6086622000,502951000.0,63229000.0,778140000.0,3390447000.0,4039679000.0,4817819000,319204000.0,1268803000.0,6086622000,61073000.0,79750000.0,-315000.0,-61449000.0,74884000.0,-57071000.0,-8818000.0,-67032000.0,-43180000.0,65566000.0,-36731000.0,-14057000.0,-1552000,2012-03-30,26.57116508483887,26.6635856628418,26.5064697265625,26.617374420166016,13.356267929077148,1603091.0
2012-06-30,752165000.0,-313060000.0,439105000.0,-281025000.0,-203515000.0,-77510000.0,158080000.0,-68282000.0,-58216000.0,89798000,607000.0,90405000,-48964000.0,41441000,-2524000.0,38055000,38055000,170230000.0,572377000.0,891154000.0,2376347000.0,2819711000.0,5196058000.0,6087212000,515034000.0,62837000.0,780726000.0,3430157000.0,4056162000.0,4836888000,334085000.0,1250324000.0,6087212000,39556000.0,79212000.0,-13021000.0,32049000.0,137306000.0,-56572000.0,-98472000.0,-161539000.0,-42791000.0,54004000.0,9708000.0,21179000.0,-8063000,2012-06-29,30.40665435791016,30.55452919006348,30.231054306030273,30.462106704711914,15.410839080810547,2174279.0
2012-09-30,748125000.0,-310344000.0,437781000.0,-285442000.0,-204498000.0,-80944000.0,152339000.0,-69127000.0,-61381000.0,83212000,1627000.0,84839000,-31120000.0,53719000,32000.0,52809000,52809000,334583000.0,576500000.0,1065984000.0,2410124000.0,2851467000.0,5261591000.0,6327575000,504472000.0,71380000.0,772615000.0,3668047000.0,4255835000.0,5028450000,355800000.0,1299125000.0,6327575000,53719000.0,82621000.0,11042000.0,-52584000.0,88547000.0,-63465000.0,1069000.0,-64726000.0,-46336000.0,173654000.0,11299000.0,136617000.0,164353000,2012-09-28,31.00739479064941,31.561922073364247,30.77634048461914,31.52495384216309,16.076961517333984,1563706.0
