Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,2943000000.0,-1073000000.0,1870000000.0,-1369000000.0,-398000000.0,501000000.0,-149000000.0,-143000000.0,352000000,4000000.0,356000000,-69000000.0,287000000,37000000.0,324000000,300000000,146000000.0,838000000.0,256000000.0,3312000000.0,30455000000.0,12879000000.0,43334000000.0,46646000000,1407000000.0,810000000.0,4881000000.0,9825000000.0,30074000000.0,34955000000,2403000000.0,7548000000.0,11691000000.0,46646000000,289000000.0,472000000.0,-46000000.0,182000000.0,350000000.0,12000000.0,-110000000.0,-70000000.0,897000000.0,-657000000.0,-667000000.0,-110000000.0,-362000000.0,0.0,-694000000.0,-464000000,2013-12-31,46.2400016784668,46.5099983215332,46.13999938964844,46.29999923706055,35.89059829711914,1140700.0
2014-03-31,2926000000.0,-1143000000.0,1783000000.0,-1221000000.0,-410000000.0,562000000.0,-126000000.0,-141000000.0,436000000,-231000000.0,205000000,19000000.0,224000000,-22000000.0,202000000,176000000,149000000.0,725000000.0,268000000.0,3520000000.0,30817000000.0,13051000000.0,43868000000.0,47388000000,1116000000.0,1212000000.0,4557000000.0,9825000000.0,30829000000.0,35386000000,2417000000.0,7573000000.0,12002000000.0,47388000000,224000000.0,432000000.0,312000000.0,-403000000.0,112000000.0,-12000000.0,-63000000.0,-440000000.0,565000000.0,-940000000.0,-1042000000.0,-116000000.0,398000000.0,270000000.0,480000000.0,3000000,2014-03-31,55.83000183105469,56.61000061035156,55.59000015258789,56.61000061035156,44.17406845092773,4097000.0
2014-06-30,3016000000.0,-1239000000.0,1777000000.0,-1202000000.0,-414000000.0,575000000.0,-109000000.0,-139000000.0,466000000,0.0,466000000,-84000000.0,382000000,184000000.0,566000000,536000000,190000000.0,1034000000.0,277000000.0,4551000000.0,31364000000.0,12949000000.0,44313000000.0,48864000000,1306000000.0,2153000000.0,5773000000.0,9926000000.0,30688000000.0,36461000000,2434000000.0,7960000000.0,12403000000.0,48864000000,382000000.0,432000000.0,-130000000.0,-641000000.0,-297000000.0,-9000000.0,179000000.0,-514000000.0,43000000.0,-916000000.0,-890000000.0,-115000000.0,1037000000.0,-1000000.0,888000000.0,41000000,2014-06-30,57.61000061035156,58.2400016784668,57.47999954223633,58.11000061035156,45.62424850463867,1821300.0
2014-09-30,4356000000.0,-2182000000.0,2174000000.0,-1303000000.0,-424000000.0,871000000.0,-130000000.0,-141000000.0,741000000,3000000.0,744000000,-220000000.0,524000000,-16000000.0,508000000,480000000,142000000.0,1218000000.0,275000000.0,4498000000.0,32021000000.0,12956000000.0,44977000000.0,49475000000,1455000000.0,2053000000.0,5849000000.0,10133000000.0,30868000000.0,36717000000,2445000000.0,8314000000.0,12758000000.0,49475000000,524000000.0,448000000.0,193000000.0,254000000.0,-184000000.0,2000000.0,95000000.0,341000000.0,1419000000.0,-1000000000.0,-1004000000.0,-116000000.0,-307000000.0,0.0,-463000000.0,-48000000,2014-09-30,55.88000106811523,56.56000137329102,55.6500015258789,55.91999816894531,44.18478775024414,1593400.0
2014-12-31,3115000000.0,-1029000000.0,2086000000.0,-1465000000.0,-472000000.0,621000000.0,-128000000.0,-139000000.0,493000000,71000000.0,564000000,-158000000.0,406000000,39000000.0,448000000,420000000,132000000.0,790000000.0,281000000.0,3567000000.0,32981000000.0,13186000000.0,46167000000.0,49734000000,1580000000.0,1795000000.0,5479000000.0,10234000000.0,31267000000.0,36746000000,2445000000.0,8573000000.0,12988000000.0,49734000000,406000000.0,503000000.0,73000000.0,239000000.0,433000000.0,-6000000.0,-197000000.0,9000000.0,1221000000.0,-1050000000.0,-971000000.0,-116000000.0,-162000000.0,0.0,-260000000.0,-10000000,2014-12-31,67.29000091552734,67.44000244140625,65.43000030517578,65.48000335693361,52.05998992919922,2044800.0
2015-09-30,3763000000.0,-1785000000.0,1978000000.0,-1370000000.0,-506000000.0,608000000.0,-121000000.0,-138000000.0,487000000,0.0,487000000,-82000000.0,405000000,43000000.0,449000000,421000000,134000000.0,1211000000.0,270000000.0,3792000000.0,34202000000.0,13276000000.0,47478000000.0,51270000000,1330000000.0,1449000000.0,5239000000.0,10957000000.0,32400000000.0,37639000000,2475000000.0,9180000000.0,13631000000.0,51270000000,405000000.0,528000000.0,-402000000.0,534000000.0,-444000000.0,5000000.0,34000000.0,939000000.0,1065000000.0,-937000000.0,-623000000.0,-136000000.0,-277000000.0,-6000000.0,-447000000.0,-5000000,2015-09-30,62.099998474121094,63.1500015258789,61.90999984741211,63.06999969482422,51.20524215698242,2564300.0
2015-12-31,2341000000.0,-617000000.0,1724000000.0,-1381000000.0,-469000000.0,343000000.0,-93000000.0,-136000000.0,250000000,-5000000.0,245000000,-292000000.0,-47000000,-8000000.0,-50000000,-79000000,161000000.0,771000000.0,267000000.0,2654000000.0,35085000000.0,12490000000.0,47575000000.0,50229000000,1310000000.0,990000000.0,4927000000.0,10883000000.0,31908000000.0,36835000000,2484000000.0,8940000000.0,13394000000.0,50229000000,-47000000.0,490000000.0,26000000.0,1207000000.0,461000000.0,4000000.0,-156000000.0,898000000.0,1676000000.0,-1091000000.0,-1035000000.0,-136000000.0,-456000000.0,128000000.0,-614000000.0,27000000,2015-12-31,60.08000183105469,60.20000076293945,58.7400016784668,59.209999084472656,48.45627975463867,2296200.0
2016-03-31,2440000000.0,-794000000.0,1646000000.0,-1198000000.0,-477000000.0,448000000.0,-115000000.0,-140000000.0,333000000,0.0,333000000,-28000000.0,305000000,1000000.0,311000000,281000000,137000000.0,649000000.0,268000000.0,2427000000.0,35464000000.0,12568000000.0,48032000000.0,50459000000,938000000.0,658000000.0,4233000000.0,11243000000.0,32591000000.0,36824000000,2491000000.0,9002000000.0,13635000000.0,50459000000,305000000.0,499000000.0,-96000000.0,147000000.0,117000000.0,-1000000.0,-184000000.0,215000000.0,855000000.0,-951000000.0,-834000000.0,-156000000.0,25000000.0,169000000.0,-45000000.0,-24000000,2016-03-31,71.83000183105469,72.06999969482422,71.33999633789062,71.88999938964844,59.23197937011719,1767700.0
2016-06-30,2777000000.0,-1064000000.0,1713000000.0,-1311000000.0,-505000000.0,402000000.0,-122000000.0,-144000000.0,280000000,-21000000.0,259000000,51000000.0,310000000,-2000000.0,311000000,280000000,111000000.0,801000000.0,308000000.0,2659000000.0,35777000000.0,12761000000.0,48538000000.0,51197000000,1166000000.0,1496000000.0,5149000000.0,10845000000.0,32300000000.0,37449000000,2499000000.0,9111000000.0,13748000000.0,51197000000,310000000.0,526000000.0,-118000000.0,-141000000.0,-150000000.0,-40000000.0,251000000.0,-202000000.0,577000000.0,-877000000.0,-847000000.0,-157000000.0,437000000.0,0.0,244000000.0,-26000000,2016-06-30,75.91000366210938,77.70999908447266,75.70999908447266,77.66999816894531,64.39860534667969,3282800.0
2016-09-30,3767000000.0,-1719000000.0,2048000000.0,-1353000000.0,-521000000.0,695000000.0,-124000000.0,-147000000.0,571000000,0.0,571000000,-120000000.0,451000000,0.0,452000000,421000000,84000000.0,999000000.0,310000000.0,2605000000.0,36231000000.0,12721000000.0,48952000000.0,51557000000,1180000000.0,1638000000.0,5342000000.0,10407000000.0,32210000000.0,37552000000,2503000000.0,9362000000.0,14005000000.0,51557000000,451000000.0,550000000.0,-81000000.0,150000000.0,-202000000.0,-2000000.0,84000000.0,270000000.0,1070000000.0,-945000000.0,-796000000.0,-156000000.0,-88000000.0,102000000.0,-301000000.0,-27000000,2016-09-30,73.02999877929688,73.52999877929688,71.91000366210938,72.25,60.29454040527344,1734400.0
2016-12-31,2885000000.0,-950000000.0,1935000000.0,-1367000000.0,-504000000.0,568000000.0,-141000000.0,-150000000.0,427000000,0.0,427000000,-80000000.0,347000000,13000000.0,360000000,329000000,96000000.0,714000000.0,239000000.0,2123000000.0,37000000000.0,12196000000.0,49196000000.0,51319000000,1342000000.0,2288000000.0,5912000000.0,10175000000.0,31215000000.0,37127000000,2505000000.0,9544000000.0,14192000000.0,51319000000,347000000.0,523000000.0,43000000.0,-159000000.0,287000000.0,51000000.0,-116000000.0,-381000000.0,754000000.0,-961000000.0,-939000000.0,-157000000.0,414000000.0,33000000.0,197000000.0,12000000,2016-12-30,72.3499984741211,72.62000274658203,71.77999877929688,71.98999786376953,60.53449249267578,1960400.0
2018-12-31,3009000000.0,-1062000000.0,1947000000.0,-1303000000.0,-480000000.0,644000000.0,-174000000.0,-196000000.0,470000000,-2682000000.0,-2212000000,782000000.0,-1430000000,34000000.0,-1396000000,-1426000000,144000000.0,730000000.0,282000000.0,3359000000.0,41348000000.0,12008000000.0,53356000000.0,56715000000,1511000000.0,799000000.0,5395000000.0,14632000000.0,38668000000.0,44063000000,2545000000.0,7964000000.0,12652000000.0,56715000000,-1434000000.0,301000000.0,-706000000.0,2745000000.0,286000000.0,-24000000.0,-51000000.0,2534000000.0,906000000.0,-1346000000.0,-1226000000.0,-197000000.0,-2620000000.0,-20000000.0,393000000.0,73000000,2018-12-31,57.18999862670898,57.18999862670898,55.9000015258789,56.77000045776367,51.15449142456055,2085300.0
