Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-08-31,22378000000.0,-19512000000.0,2866000000.0,-2266000000.0,-2254000000.0,600000000.0,-14000000.0,-33000000.0,586000000,584000000,-206000000.0,378000000,374000000,374000000,3727000000.0,834000000.0,5405000000.0,10337000000.0,10900000000.0,742000000.0,11642000000.0,21979000000,7170000000.0,96000000.0,9281000000.0,2130000000.0,2594000000.0,11875000000,3813000000.0,6101000000.0,10104000000.0,21979000000,378000000.0,241000000.0,89000000.0,-159000000.0,-48000000.0,-8000000.0,-103000000.0,549000000.0,-351000000.0,-323000000.0,-157000000.0,-5000000.0,0.0,-179000000.0,74000000,2009-08-31,51.349998474121094,51.70000076293945,50.86000061035156,50.97999954223633,37.89347839355469,3788800.0
2009-11-30,17299000000.0,-15081000000.0,2218000000.0,-1788000000.0,-1777000000.0,430000000.0,-6000000.0,-24000000.0,424000000,422000000,-152000000.0,270000000,266000000,266000000,4189000000.0,849000000.0,6223000000.0,11627000000.0,11115000000.0,736000000.0,11851000000.0,23478000000,8093000000.0,80000000.0,10285000000.0,2135000000.0,2762000000.0,13047000000,3907000000.0,6288000000.0,10431000000.0,23478000000,270000000.0,184000000.0,34000000.0,263000000.0,-795000000.0,871000000.0,187000000.0,751000000.0,-312000000.0,-296000000.0,-79000000.0,-22000000.0,0.0,-5000000.0,460000000,2009-11-30,60.1500015258789,60.290000915527344,59.40999984741211,59.90999984741211,44.667240142822266,3399200.0
2010-02-28,18742000000.0,-16396000000.0,2346000000.0,-1876000000.0,-1873000000.0,470000000.0,4000000.0,-26000000.0,474000000,474000000,-169000000.0,305000000,299000000,299000000,4719000000.0,951000000.0,5365000000.0,11501000000.0,11105000000.0,760000000.0,11865000000.0,23366000000,7512000000.0,91000000.0,9865000000.0,2134000000.0,2758000000.0,12623000000,4011000000.0,6495000000.0,10743000000.0,23366000000,305000000.0,185000000.0,29000000.0,90000000.0,858000000.0,-767000000.0,-1000000.0,609000000.0,-192000000.0,-210000000.0,0.0,12000000.0,-6000000.0,116000000.0,517000000,2010-02-26,61.36000061035156,61.47000122070313,60.77999877929688,60.97000122070313,45.59721755981445,3681600.0
2010-05-31,17780000000.0,-15494000000.0,2286000000.0,-1792000000.0,-1789000000.0,494000000.0,-17000000.0,-27000000.0,477000000,474000000,-163000000.0,311000000,306000000,306000000,5267000000.0,818000000.0,5546000000.0,12057000000.0,11058000000.0,784000000.0,11842000000.0,23899000000,7761000000.0,30000000.0,10189000000.0,2132000000.0,2738000000.0,12927000000,4109000000.0,6614000000.0,10972000000.0,23899000000,311000000.0,180000000.0,32000000.0,286000000.0,-183000000.0,328000000.0,141000000.0,809000000.0,-137000000.0,-406000000.0,-79000000.0,-59000000.0,-110000000.0,-123000000.0,279000000,2010-05-28,58.790000915527344,58.91999816894531,58.02000045776367,58.25,43.712684631347656,3501100.0
2010-08-31,24125000000.0,-21024000000.0,3101000000.0,-2418000000.0,-2409000000.0,683000000.0,-4000000.0,-34000000.0,679000000,684000000,-247000000.0,437000000,432000000,432000000,4749000000.0,884000000.0,5638000000.0,11708000000.0,11314000000.0,793000000.0,12107000000.0,23815000000,7840000000.0,26000000.0,10063000000.0,2141000000.0,2822000000.0,12885000000,4117000000.0,6590000000.0,10930000000.0,23815000000,437000000.0,246000000.0,52000000.0,-124000000.0,-93000000.0,13000000.0,-44000000.0,611000000.0,-410000000.0,-1103000000.0,-180000000.0,-7000000.0,-200000000.0,-707000000.0,-1199000000,2010-08-31,55.86000061035156,57.06000137329102,55.7400016784668,56.5,42.55368041992188,4358700.0
2010-11-30,19239000000.0,-16757000000.0,2482000000.0,-1953000000.0,-1941000000.0,529000000.0,-21000000.0,-26000000.0,508000000,504000000,-172000000.0,332000000,312000000,312000000,5284000000.0,985000000.0,6852000000.0,13558000000.0,12019000000.0,466000000.0,12485000000.0,26043000000,9123000000.0,24000000.0,11502000000.0,2143000000.0,2834000000.0,14336000000,4244000000.0,6685000000.0,11707000000.0,26043000000,332000000.0,191000000.0,40000000.0,157000000.0,-912000000.0,961000000.0,108000000.0,720000000.0,-299000000.0,-137000000.0,-89000000.0,-2000000.0,-33000000.0,-87000000.0,525000000,2010-11-30,66.58999633789061,67.91999816894531,66.51000213623047,67.61000061035156,51.08577346801758,3305000.0
2011-02-28,20875000000.0,-18235000000.0,2640000000.0,-2042000000.0,-2038000000.0,598000000.0,-23000000.0,-27000000.0,575000000,573000000,-204000000.0,369000000,348000000,348000000,5379000000.0,1116000000.0,6127000000.0,13138000000.0,12102000000.0,476000000.0,12578000000.0,25716000000,8079000000.0,1000000.0,10746000000.0,2144000000.0,2846000000.0,13592000000,4380000000.0,6863000000.0,12124000000.0,25716000000,369000000.0,195000000.0,44000000.0,118000000.0,761000000.0,-861000000.0,218000000.0,726000000.0,-233000000.0,-724000000.0,0.0,-23000000.0,-13000000.0,-416000000.0,-384000000,2011-02-28,73.93000030517578,74.94999694824219,73.8499984741211,74.79000091552734,56.666236877441406,3306600.0
2011-05-31,20623000000.0,-18067000000.0,2556000000.0,-1999000000.0,-1991000000.0,557000000.0,-22000000.0,-27000000.0,535000000,534000000,-193000000.0,341000000,324000000,324000000,6215000000.0,948000000.0,6396000000.0,14069000000.0,12300000000.0,605000000.0,12905000000.0,26974000000,8781000000.0,901000000.0,12494000000.0,1247000000.0,1939000000.0,14433000000,4485000000.0,6994000000.0,12541000000.0,26974000000,341000000.0,196000000.0,19000000.0,255000000.0,-206000000.0,418000000.0,43000000.0,811000000.0,-277000000.0,-377000000.0,-90000000.0,0.0,-28000000.0,241000000.0,727000000,2011-05-31,81.94000244140625,82.5,81.66000366210938,82.4800033569336,62.67569351196289,2230300.0
2011-08-31,28178000000.0,-24680000000.0,3498000000.0,-2743000000.0,-2721000000.0,755000000.0,10000000.0,-36000000.0,765000000,772000000,-272000000.0,500000000,478000000,478000000,5613000000.0,965000000.0,6638000000.0,13706000000.0,12432000000.0,623000000.0,13055000000.0,26761000000,8637000000.0,900000000.0,12050000000.0,1253000000.0,2138000000.0,14188000000,4518000000.0,7111000000.0,12573000000.0,26761000000,500000000.0,273000000.0,166000000.0,2000000.0,-285000000.0,286000000.0,1000000.0,941000000.0,-481000000.0,58000000.0,-210000000.0,-1000000.0,-265000000.0,-1015000000.0,-73000000,2011-08-31,78.23999786376953,79.04000091552734,78.0199966430664,78.54000091552734,59.87118911743164,2693400.0
2012-02-29,22967000000.0,-20139000000.0,2828000000.0,-2184000000.0,-2178000000.0,644000000.0,-17000000.0,-27000000.0,627000000,627000000,-215000000.0,412000000,394000000,394000000,5785000000.0,1092000000.0,6934000000.0,14360000000.0,12519000000.0,632000000.0,13151000000.0,27511000000,8598000000.0,900000000.0,12409000000.0,1380000000.0,2283000000.0,14692000000,4587000000.0,7339000000.0,12819000000.0,27511000000,412000000.0,209000000.0,72000000.0,-113000000.0,735000000.0,-1066000000.0,218000000.0,580000000.0,-296000000.0,-100000000.0,-105000000.0,17000000.0,-135000000.0,-459000000.0,70000000,2012-02-29,86.19000244140625,87.19999694824219,85.7300033569336,86.05999755859375,65.97859954833984,5345100.0
