Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2015-09-30,1531000000.0,-615000000.0,916000000.0,-603000000.0,-459000000.0,-144000000.0,313000000.0,-73000000.0,-78000000.0,240000000,-15000000.0,225000000,-82000000.0,142000000,142000000,142000000,358000000.0,1163000000.0,2106000000.0,486000000.0,12685000000.0,13171000000.0,15277000000,1117000000.0,339000000.0,1755000000.0,7114000000.0,9024000000.0,10779000000,5281000000.0,191000000.0,4498000000.0,15277000000,142000000.0,144000000.0,8000000.0,160000000.0,28000000.0,47000000.0,85000000.0,454000000.0,-107000000.0,-1000000.0,-111000000.0,-115000000.0,-23000000.0,-159000000.0,-301000000.0,27000000,2015-09-30,44.16999816894531,45.58000183105469,43.849998474121094,44.47000122070313,36.99798583984375,6014400.0
2015-12-31,1624000000.0,-654000000.0,970000000.0,-652000000.0,-510000000.0,-142000000.0,318000000.0,123000000.0,-79000000.0,441000000,-8000000.0,433000000,-177000000.0,254000000,251000000,251000000,357000000.0,1235000000.0,1908000000.0,490000000.0,12905000000.0,13395000000.0,15303000000,1055000000.0,310000000.0,1687000000.0,7028000000.0,8989000000.0,10676000000,5151000000.0,341000000.0,4627000000.0,15303000000,254000000.0,142000000.0,28000000.0,-23000000.0,-67000000.0,176000000.0,-132000000.0,401000000.0,-95000000.0,-18000000.0,-77000000.0,-101000000.0,-92000000.0,-142000000.0,-318000000.0,-1000000,2015-12-31,46.84000015258789,47.0,46.4900016784668,46.599998474121094,38.99916458129883,1245000.0
2016-03-31,1487000000.0,-641000000.0,846000000.0,-612000000.0,-465000000.0,-147000000.0,234000000.0,-79000000.0,-78000000.0,155000000,-10000000.0,145000000,-44000000.0,101000000,100000000,100000000,432000000.0,1239000000.0,2054000000.0,482000000.0,13052000000.0,13534000000.0,15588000000,999000000.0,189000000.0,1504000000.0,7471000000.0,9372000000.0,10876000000,5098000000.0,387000000.0,4712000000.0,15588000000,101000000.0,147000000.0,14000000.0,-175000000.0,3000000.0,-191000000.0,13000000.0,87000000.0,-109000000.0,-47000000.0,-156000000.0,-101000000.0,299000000.0,-65000000.0,130000000.0,75000000,2016-03-31,52.66999816894531,53.08000183105469,52.56999969482422,52.65999984741211,44.317230224609375,1794900.0
2016-06-30,1596000000.0,-654000000.0,942000000.0,-626000000.0,-474000000.0,-152000000.0,316000000.0,-86000000.0,-82000000.0,230000000,-34000000.0,196000000,-82000000.0,114000000,113000000,113000000,346000000.0,1313000000.0,2035000000.0,478000000.0,13205000000.0,13683000000.0,15718000000,1016000000.0,1075000000.0,2415000000.0,6933000000.0,8835000000.0,11250000000,4897000000.0,389000000.0,4468000000.0,15718000000,114000000.0,152000000.0,20000000.0,-76000000.0,-66000000.0,-9000000.0,-1000000.0,210000000.0,-112000000.0,-205000000.0,-316000000.0,-111000000.0,344000000.0,-210000000.0,21000000.0,-86000000,2016-06-30,51.959999084472656,52.099998474121094,51.20000076293945,51.97000122070313,43.99039840698242,4529600.0
2016-09-30,1570000000.0,-642000000.0,928000000.0,-603000000.0,-452000000.0,-151000000.0,325000000.0,-82000000.0,-84000000.0,243000000,-29000000.0,214000000,-82000000.0,132000000,130000000,130000000,446000000.0,1240000000.0,2051000000.0,485000000.0,13164000000.0,13649000000.0,15700000000,1132000000.0,578000000.0,2011000000.0,7379000000.0,9254000000.0,11265000000,4859000000.0,408000000.0,4435000000.0,15700000000,132000000.0,151000000.0,9000000.0,164000000.0,71000000.0,-19000000.0,112000000.0,456000000.0,-103000000.0,-11000000.0,-119000000.0,-111000000.0,-81000000.0,-47000000.0,-241000000.0,100000000,2016-09-30,53.68000030517578,53.959999084472656,53.38000106811523,53.56999969482422,45.60915756225586,2778000.0
2016-12-31,1656000000.0,-670000000.0,986000000.0,-613000000.0,-460000000.0,-153000000.0,373000000.0,-80000000.0,-85000000.0,293000000,-32000000.0,261000000,-101000000.0,160000000,159000000,159000000,754000000.0,1171000000.0,2222000000.0,471000000.0,13037000000.0,13508000000.0,15730000000,1109000000.0,188000000.0,1594000000.0,7738000000.0,9843000000.0,11437000000,4857000000.0,456000000.0,4293000000.0,15730000000,160000000.0,153000000.0,79000000.0,151000000.0,45000000.0,156000000.0,-50000000.0,543000000.0,-67000000.0,12000000.0,-51000000.0,-111000000.0,-25000000.0,-14000000.0,-158000000.0,308000000,2016-12-30,42.27000045776367,42.34000015258789,41.79999923706055,41.95000076293945,35.97101593017578,1307600.0
2017-03-31,1526000000.0,-661000000.0,865000000.0,-628000000.0,-473000000.0,-155000000.0,237000000.0,-89000000.0,-89000000.0,148000000,-32000000.0,116000000,-43000000.0,73000000,71000000,71000000,451000000.0,1287000000.0,2101000000.0,464000000.0,13767000000.0,14231000000.0,16332000000,1035000000.0,236000000.0,1635000000.0,8180000000.0,10380000000.0,12015000000,4841000000.0,416000000.0,4317000000.0,16332000000,73000000.0,155000000.0,15000000.0,-203000000.0,-53000000.0,-131000000.0,-19000000.0,40000000.0,-114000000.0,-572000000.0,-686000000.0,-111000000.0,472000000.0,-29000000.0,329000000.0,-303000000,2017-03-31,41.099998474121094,41.43000030517578,41.0,41.310001373291016,35.66950225830078,2366300.0
2017-06-30,1644000000.0,-678000000.0,966000000.0,-636000000.0,-474000000.0,-162000000.0,330000000.0,-97000000.0,-91000000.0,233000000,-9000000.0,224000000,-91000000.0,133000000,131000000,131000000,510000000.0,1367000000.0,2217000000.0,454000000.0,13823000000.0,14277000000.0,16494000000,1060000000.0,163000000.0,1575000000.0,8360000000.0,10528000000.0,12103000000,4816000000.0,426000000.0,4391000000.0,16494000000,133000000.0,162000000.0,-8000000.0,-61000000.0,-66000000.0,2000000.0,3000000.0,226000000.0,-64000000.0,-9000000.0,-74000000.0,-121000000.0,56000000.0,-36000000.0,-106000000.0,59000000,2017-06-30,38.72999954223633,38.81999969482422,38.47000122070313,38.65999984741211,33.67544174194336,1701500.0
2017-09-30,1641000000.0,-692000000.0,949000000.0,-608000000.0,-448000000.0,-160000000.0,341000000.0,-92000000.0,-94000000.0,249000000,-7000000.0,242000000,-92000000.0,150000000,146000000,146000000,662000000.0,1282000000.0,2272000000.0,458000000.0,13855000000.0,14313000000.0,16585000000,1213000000.0,67000000.0,1608000000.0,8377000000.0,10517000000.0,12125000000,4787000000.0,451000000.0,4460000000.0,16585000000,150000000.0,160000000.0,5000000.0,223000000.0,104000000.0,6000000.0,113000000.0,538000000.0,-113000000.0,-14000000.0,-128000000.0,-121000000.0,-119000000.0,-26000000.0,-271000000.0,152000000,2017-09-29,41.41999816894531,41.61000061035156,41.18999862670898,41.45000076293945,36.42040252685547,2103300.0
2017-12-31,1761000000.0,-734000000.0,1027000000.0,-641000000.0,-478000000.0,-163000000.0,386000000.0,-108000000.0,-96000000.0,278000000,-32000000.0,246000000,-162000000.0,84000000,81000000,81000000,656000000.0,1280000000.0,2282000000.0,482000000.0,14102000000.0,14584000000.0,16866000000,1252000000.0,84000000.0,1697000000.0,8357000000.0,10726000000.0,12423000000,4774000000.0,411000000.0,4443000000.0,16866000000,84000000.0,163000000.0,177000000.0,82000000.0,25000000.0,164000000.0,-107000000.0,506000000.0,-156000000.0,-181000000.0,-348000000.0,-121000000.0,-15000000.0,-22000000.0,-167000000.0,-6000000,2017-12-29,36.099998474121094,36.61000061035156,35.97999954223633,36.400001525878906,32.28490447998047,3043900.0
