Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,570400000.0,-67500000.0,502900000.0,-421100000.0,-270300000.0,-150800000.0,81800000.0,-8800000.0,-8800000.0,73000000,-400000.0,72600000,-17000000.0,55600000,55600000,55600000,2087900000.0,285800000.0,2511100000.0,129000000.0,392000000.0,1257600000.0,1778600000.0,4289700000,316100000.0,979800000.0,1225400000.0,2205200000,1499500000.0,587000000.0,2084500000.0,4289700000,55600000.0,33100000.0,31600000.0,103800000.0,103800000.0,224100000.0,-25800000.0,-67600000.0,-34700000.0,-131700000.0,-59200000.0,-50200000.0,43600000,2014-04-30,47.4000015258789,48.02000045776367,47.11000061035156,48.02000045776367,48.02000045776367,1624600.0
2014-07-31,561700000.0,-67800000.0,493900000.0,-408600000.0,-250400000.0,-148900000.0,85300000.0,-1800000.0,-1800000.0,83500000,-1700000.0,81800000,-20100000.0,61700000,61700000,61700000,1997900000.0,303900000.0,2436500000.0,133400000.0,410100000.0,1243300000.0,1786800000.0,4223300000,319000000.0,955900000.0,1216300000.0,2172200000,1455800000.0,602800000.0,2051100000.0,4223300000,61700000.0,32000000.0,33900000.0,-62300000.0,-62300000.0,65300000.0,-16800000.0,-182700000.0,-12500000.0,-213800000.0,-100800000.0,-106600000.0,-254800000,2014-07-31,54.97999954223633,55.18999862670898,53.16999816894531,53.349998474121094,53.349998474121094,2805800.0
2014-10-31,555200000.0,-67100000.0,488100000.0,-415600000.0,-259200000.0,-149000000.0,72500000.0,1100000.0,1100000.0,73600000,-4400000.0,69200000,-11600000.0,57600000,57600000,57600000,2060500000.0,304100000.0,2517900000.0,134100000.0,418500000.0,1251000000.0,1803600000.0,4321500000,337300000.0,948100000.0,1211500000.0,2159600000,1535100000.0,630900000.0,2161900000.0,4321500000,57600000.0,30600000.0,34800000.0,-32400000.0,-32400000.0,90600000.0,-12400000.0,5500000.0,-20800000.0,-38000000.0,24700000.0,20700000.0,72400000,2014-10-31,58.5099983215332,58.7400016784668,57.47000122070313,57.540000915527344,57.540000915527344,2370300.0
2015-01-31,824900000.0,-139700000.0,685200000.0,-801000000.0,-501400000.0,-276500000.0,-115800000.0,-28200000.0,-28200000.0,-144000000,3400000.0,-140600000,47500000.0,-93100000,-93100000,-93100000,2267100000.0,423700000.0,2835000000.0,130300000.0,277300000.0,1352400000.0,1760000000.0,4595000000,375300000.0,1071500000.0,1262000000.0,2333500000,1637300000.0,624800000.0,2261500000.0,4595000000,-93100000.0,50200000.0,65800000.0,305700000.0,192200000.0,328600000.0,-20500000.0,48700000.0,-562000000.0,-522100000.0,-61700000.0,-104300000.0,-303600000,2015-01-30,54.77999877929688,55.31999969482422,53.88999938964844,54.0099983215332,54.0099983215332,1478000.0
2015-04-30,592500000.0,-78700000.0,513800000.0,-469300000.0,-287900000.0,-170500000.0,44500000.0,-6600000.0,-6600000.0,37900000,-2300000.0,35600000,-7300000.0,28300000,28300000,28300000,2119700000.0,323300000.0,2590300000.0,142100000.0,268200000.0,1648000000.0,2058300000.0,4648600000,369000000.0,1118700000.0,1241200000.0,2359900000,1683100000.0,600000000.0,2288700000.0,4648600000,28300000.0,36100000.0,65300000.0,89000000.0,16600000.0,218700000.0,-14500000.0,-84100000.0,-322300000.0,-421700000.0,-40300000.0,-40300000.0,-243400000,2015-04-30,58.9000015258789,58.91999816894531,56.38000106811523,56.83000183105469,56.83000183105469,5330000.0
2015-07-31,637100000.0,-87900000.0,549200000.0,-498500000.0,-309100000.0,-179300000.0,50700000.0,-7000000.0,-7000000.0,43700000,-800000.0,42900000,-11600000.0,31300000,31300000,31300000,1906400000.0,365300000.0,2450000000.0,146900000.0,262100000.0,1844400000.0,2253400000.0,4703400000,394300000.0,1157300000.0,1262700000.0,2420000000,1697100000.0,584000000.0,2283400000.0,4703400000,31300000.0,37200000.0,17800000.0,9900000.0,27500000.0,96200000.0,-17100000.0,-65700000.0,-226000000.0,-308700000.0,-72700000.0,-74400000.0,-286500000,2015-07-31,50.91999816894531,51.099998474121094,50.38000106811523,50.58000183105469,50.58000183105469,1672000.0
2015-10-31,618000000.0,-86000000.0,532000000.0,-517400000.0,-324000000.0,-183900000.0,14600000.0,-3000000.0,-3000000.0,11600000,0.0,11600000,-900000.0,10700000,10700000,10700000,1901400000.0,375700000.0,2458700000.0,160400000.0,255500000.0,1862200000.0,2278100000.0,4736800000,418200000.0,1193300000.0,1275000000.0,2468300000,1731200000.0,538600000.0,2268500000.0,4736800000,10700000.0,36600000.0,32300000.0,56400000.0,37700000.0,136000000.0,-28400000.0,34700000.0,-55500000.0,-47300000.0,-65000000.0,-65000000.0,21900000,2015-10-30,53.06999969482422,55.599998474121094,53.0,55.18999862670898,55.18999862670898,3082000.0
2016-01-31,656500000.0,-118100000.0,538400000.0,-646900000.0,-387900000.0,-256300000.0,-108500000.0,-5000000.0,-5000000.0,-113500000,3100000.0,-110400000,-290400000.0,-400800000,-400800000,-400800000,2250900000.0,653600000.0,2993100000.0,169300000.0,532300000.0,1820600000.0,2522200000.0,5515300000,522100000.0,1591000000.0,2304700000.0,3895700000,1821500000.0,-80800000.0,1619600000.0,5515300000,-400800000.0,35900000.0,292700000.0,35300000.0,279400000.0,-36900000.0,-12400000.0,-429000000.0,455300000.0,-31800000.0,-169200000.0,522900000.0,450400000,2016-01-29,45.72000122070313,46.83000183105469,45.34000015258789,46.81999969482422,46.81999969482422,2273700.0
2016-04-30,511900000.0,-92400000.0,419500000.0,-516900000.0,-315500000.0,-193500000.0,-97400000.0,-3600000.0,-3600000.0,-101000000,-52300000.0,-153300000,-14400000.0,-167700000,-167700000,-167700000,1830900000.0,316000000.0,2341000000.0,156900000.0,440300000.0,1837700000.0,2434900000.0,4775900000,376900000.0,1270300000.0,1281200000.0,2551500000,1816200000.0,464200000.0,2224400000.0,4775900000,-167700000.0,37400000.0,118400000.0,176300000.0,-140400000.0,164400000.0,-22300000.0,-147300000.0,-59600000.0,-230200000.0,-48900000.0,-67200000.0,-129600000,2016-04-29,60.93000030517578,61.2400016784668,59.13999938964844,59.81999969482422,59.81999969482422,1742800.0
2016-07-31,550700000.0,-85100000.0,465600000.0,-512500000.0,-311700000.0,-193000000.0,-46900000.0,-10100000.0,-10100000.0,-57000000,-16000000.0,-73000000,-25200000.0,-98200000,-98200000,-98200000,2389900000.0,394100000.0,2899800000.0,158200000.0,562500000.0,1721300000.0,2442000000.0,5341800000,432200000.0,1313800000.0,2125900000.0,3439700000,1808000000.0,164400000.0,1902100000.0,5341800000,-98200000.0,33000000.0,40400000.0,6800000.0,21200000.0,-18000000.0,-20300000.0,482400000.0,-25600000.0,430800000.0,-166900000.0,-168500000.0,243900000,2016-07-29,59.5,59.66999816894531,58.63999938964844,59.45000076293945,59.45000076293945,1194300.0
2016-10-31,489600000.0,-81500000.0,408100000.0,-524800000.0,-325400000.0,-192600000.0,-116700000.0,-9400000.0,-9400000.0,-126100000,-3200000.0,-129300000,-13500000.0,-142800000,-142800000,-142800000,2284300000.0,362300000.0,2747500000.0,155300000.0,540100000.0,1777100000.0,2472500000.0,5220000000,434200000.0,1311200000.0,2175700000.0,3486900000,1809900000.0,9700000.0,1733100000.0,5220000000,-142800000.0,34100000.0,39000000.0,77400000.0,57800000.0,7700000.0,-22500000.0,115800000.0,0.0,85200000.0,-79600000.0,-118600000.0,-30800000,2016-10-31,72.29000091552734,72.66000366210938,71.4800033569336,72.27999877929688,72.27999877929688,1397400.0
2017-01-31,478800000.0,-82900000.0,395900000.0,-554000000.0,-357700000.0,-187000000.0,-158100000.0,-1100000.0,-1100000.0,-159200000,-9000000.0,-168200000,-5200000.0,-173400000,-173400000,-173400000,1899900000.0,452300000.0,2460600000.0,158600000.0,306200000.0,1872700000.0,2337500000.0,4798100000,516600000.0,2185400000.0,1879100000.0,4064500000,1876300000.0,-964200000.0,733600000.0,4798100000,-173400000.0,34700000.0,58000000.0,96300000.0,214000000.0,15600000.0,-10900000.0,-3900000.0,0.0,-13800000.0,-206700000.0,-224000000.0,-223400000,2017-01-31,80.87999725341797,81.3499984741211,79.80000305175781,81.33999633789062,81.33999633789062,1249500.0
2017-04-30,485700000.0,-78200000.0,407500000.0,-527400000.0,-334000000.0,-187700000.0,-119900000.0,-1800000.0,-1800000.0,-121700000,300000.0,-121400000,-8200000.0,-129600000,-129600000,-129600000,1811300000.0,231500000.0,2139700000.0,150400000.0,264400000.0,1876900000.0,2291700000.0,4431400000,359000000.0,2049600000.0,1873700000.0,3923300000,1899000000.0,-1224600000.0,508100000.0,4431400000,-129600000.0,28400000.0,73400000.0,73000000.0,-14800000.0,45200000.0,-8600000.0,263200000.0,0.0,258500000.0,-145800000.0,-178800000.0,127100000,2017-04-28,90.7699966430664,90.7699966430664,89.19999694824219,90.06999969482422,90.06999969482422,1628900.0
2017-07-31,501800000.0,-74600000.0,427200000.0,-534300000.0,-335600000.0,-193800000.0,-107100000.0,-18800000.0,-18800000.0,-125900000,-500000.0,-126400000,-17600000.0,-144000000,-144000000,-144000000,1707700000.0,265600000.0,2083300000.0,153000000.0,236000000.0,1881700000.0,2270700000.0,4354000000,393200000.0,1701700000.0,2336800000.0,4038500000,1934800000.0,-1466400000.0,315500000.0,4354000000,-144000000.0,28400000.0,74700000.0,-31600000.0,-33500000.0,-72500000.0,-17800000.0,-31800000.0,0.0,-57800000.0,-113500000.0,-39200000.0,-166100000,2017-07-31,111.6500015258789,112.31999969482422,109.77999877929688,110.79000091552734,110.79000091552734,1393800.0
2017-10-31,515300000.0,-77500000.0,437800000.0,-537800000.0,-341300000.0,-191800000.0,-100000000.0,-11200000.0,-11200000.0,-111200000,0.0,-111200000,-8600000.0,-119800000,-119800000,-119800000,1453900000.0,307800000.0,1871900000.0,148100000.0,264300000.0,1867700000.0,2280100000.0,4152000000,416900000.0,1750000000.0,2294700000.0,4044700000,1930800000.0,-1668000000.0,107300000.0,4152000000,-119800000.0,24700000.0,77000000.0,-33000000.0,-17300000.0,-51100000.0,-12900000.0,78300000.0,0.0,58200000.0,-85400000.0,-156200000.0,-148900000,2017-10-31,124.27999877929688,125.01000213623048,123.41999816894531,124.95999908447266,124.95999908447266,1839900.0
2018-01-31,553800000.0,-73100000.0,480700000.0,-568700000.0,-381600000.0,-182200000.0,-88000000.0,-16400000.0,-16400000.0,-104400000,-93900000.0,-198300000,24800000.0,-173500000,-173500000,-173500000,1323200000.0,438200000.0,1877900000.0,145000000.0,190800000.0,1899900000.0,2235700000.0,4113600000,571600000.0,2123200000.0,2246400000.0,4369600000,1952700000.0,-2084900000.0,-256000000.0,4113600000,-173500000.0,26900000.0,98600000.0,127300000.0,201900000.0,79300000.0,-11400000.0,259600000.0,0.0,247500000.0,-259900000.0,-282400000.0,52800000,2018-01-31,115.6500015258789,116.63999938964844,114.9000015258789,115.62000274658205,115.62000274658205,1119800.0
2018-07-31,611700000.0,-69800000.0,541900000.0,-552800000.0,-368200000.0,-180800000.0,-10900000.0,1300000.0,1300000.0,-9600000,-13800000.0,-23400000,-16000000.0,-39400000,-39400000,-39400000,1169800000.0,234400000.0,1598800000.0,146800000.0,128100000.0,1959300000.0,2234200000.0,3833000000,423600000.0,1915100000.0,2159500000.0,4074600000,2012500000.0,-2103200000.0,-241600000.0,3833000000,-39400000.0,22200000.0,45600000.0,14900000.0,15700000.0,43300000.0,-20000000.0,-28400000.0,-34100000.0,-87900000.0,-131400000.0,-145600000.0,-197600000,2018-07-31,127.41000366210938,130.44999694824222,126.58000183105469,128.44000244140622,128.44000244140622,1913200.0
2018-10-31,660900000.0,-72300000.0,588600000.0,-570200000.0,-385000000.0,-181000000.0,18400000.0,-3200000.0,-3200000.0,15200000,-3700000.0,11500000,-35200000.0,-23700000,-23700000,-23700000,1078200000.0,309000000.0,1590000000.0,144700000.0,114800000.0,1924900000.0,2184400000.0,3774400000,467900000.0,1985500000.0,2127200000.0,4112700000,2009100000.0,-2189900000.0,-338300000.0,3774400000,-23700000.0,23500000.0,95000000.0,-55600000.0,-1100000.0,39200000.0,-12700000.0,84400000.0,0.0,80000000.0,-66900000.0,-134600000.0,-19700000,2018-10-31,128.27999877929688,132.5,127.66999816894531,129.25,129.25,2260500.0
