Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,77394000.0,-20402000.0,56992000.0,-51663000.0,-13830000.0,-36405000.0,5329000.0,-33691000.0,-32244000.0,-28362000,-7662000.0,-36024000,2533000.0,-33491000,-28456000,-30825000,13352000.0,7800000.0,36599000.0,5243021000.0,249920000.0,5492941000.0,5529540000,177960000.0,232949000.0,3567504000.0,3567504000.0,3800453000,2451966000.0,1729087000.0,5529540000,-29317000.0,83043000.0,228000.0,2737000.0,56691000.0,-22306000.0,-110109000.0,-104906000.0,-35891000.0,87386000.0,548000.0,47594000.0,-621000,2010-12-31,23.459999084472656,23.670000076293945,23.440000534057607,23.520000457763672,16.27243423461914,1080300.0
2011-03-31,142348000.0,-48279000.0,94069000.0,-86427000.0,-13733000.0,-71258000.0,7642000.0,-36111000.0,-34779000.0,-28469000,-4378000.0,-32847000,0.0,-32847000,-27875000,-30243000,11692000.0,7800000.0,34847000.0,5200271000.0,266759000.0,5467030000.0,5501877000,166509000.0,222405000.0,3518786000.0,3518786000.0,3741191000,2550691000.0,1760686000.0,5501877000,-28656000.0,85158000.0,9202000.0,-17751000.0,47953000.0,-16369000.0,-2341000.0,-56858000.0,-36018000.0,-49138000.0,97830000.0,11111000.0,2206000,2011-03-31,23.940000534057607,24.40999984741211,23.940000534057607,24.3700008392334,16.99886703491211,1624400.0
2011-06-30,153490000.0,-49847000.0,103643000.0,-98765000.0,-16329000.0,-80894000.0,4878000.0,-38609000.0,-37261000.0,-33731000,-399000.0,-34130000,0.0,-34130000,14651000,12149000,21634000.0,7800000.0,49654000.0,5572548000.0,339575000.0,5912123000.0,5961777000,184699000.0,244234000.0,3699586000.0,3699586000.0,3943820000,2784477000.0,2017957000.0,5961777000,14909000.0,92147000.0,-37995000.0,-1939000.0,67122000.0,-23799000.0,-140052000.0,-209202000.0,-36590000.0,-34130000.0,231108000.0,152022000.0,9942000,2011-06-30,24.649999618530273,24.76000022888184,24.520000457763672,24.54999923706055,17.25562858581543,1519200.0
2011-09-30,169088000.0,-54376000.0,114712000.0,-103131000.0,-14818000.0,-86818000.0,11581000.0,-41196000.0,-39616000.0,-29615000,-352000.0,-29967000,-59000.0,-30026000,-13251000,-15559000,13482000.0,7800000.0,40923000.0,6423164000.0,340816000.0,6763980000.0,6804903000,209208000.0,275999000.0,3989345000.0,3989345000.0,4265344000,3324695000.0,2539559000.0,6804903000,-13786000.0,98703000.0,-9330000.0,-7741000.0,67846000.0,-40217000.0,-848161000.0,-820724000.0,-41329000.0,253428000.0,539204000.0,744726000.0,-8152000,2011-09-30,22.38999938964844,22.71999931335449,22.13999938964844,22.13999938964844,15.68412971496582,3155300.0
2011-12-31,158431000.0,-66471000.0,91960000.0,-93613000.0,-2377000.0,-89591000.0,-1653000.0,-39048000.0,-44710000.0,-40701000,5129000.0,-35572000,5706000.0,-29866000,46498000,44190000,12503000.0,0.0,37137000.0,6242744000.0,441473000.0,6684217000.0,6721354000,183109000.0,247725000.0,3918370000.0,3918370000.0,4166095000,3342667000.0,2555259000.0,6721354000,48118000.0,98266000.0,-64643000.0,-13251000.0,68490000.0,-1013387000.0,886243000.0,32101000.0,-45820000.0,-50593000.0,11612000.0,-101570000.0,-979000,2011-12-30,25.28000068664551,25.46999931335449,25.10000038146973,25.10000038146973,17.943397521972656,931100.0
2012-03-31,175231000.0,-60037000.0,115194000.0,-99587000.0,-9379000.0,-88825000.0,15607000.0,-36742000.0,-34745000.0,-21135000,0.0,-21135000,22876000.0,1741000,83156000,80848000,3558000.0,13200000.0,40976000.0,6189374000.0,712165000.0,6901539000.0,6942515000,176572000.0,239503000.0,3913404000.0,3913404000.0,4152907000,3545499000.0,2789608000.0,6942515000,86628000.0,95165000.0,-99564000.0,-12215000.0,70014000.0,-26989000.0,-259156000.0,-224353000.0,-49622000.0,-365000.0,200623000.0,145394000.0,-8945000,2012-03-30,26.3700008392334,26.79999923706055,26.29999923706055,26.709999084472656,19.262222290039066,2934500.0
2012-06-30,180192000.0,-62022000.0,118170000.0,-100663000.0,-13738000.0,-85491000.0,17507000.0,-43448000.0,-41542000.0,-25941000,0.0,-25941000,2818000.0,-23123000,150352000,145721000,184112000.0,39409000.0,248101000.0,5991715000.0,732805000.0,6724520000.0,6972621000,204349000.0,269313000.0,3345068000.0,3345068000.0,3614381000,4101287000.0,3358240000.0,6972621000,156306000.0,85491000.0,-159384000.0,-694000.0,81719000.0,-41715000.0,-51414000.0,299852000.0,-53490000.0,-606199000.0,555818000.0,-201017000.0,180554000,2012-06-29,25.479999542236328,25.85000038146973,25.3700008392334,25.84000015258789,18.788589477539066,2535200.0
2012-09-30,185086000.0,-64470000.0,120616000.0,-100790000.0,-10022000.0,-89301000.0,19826000.0,-31329000.0,-31845000.0,-11503000,0.0,-11503000,2960000.0,-8543000,-9031000,-9962000,82377000.0,63998000.0,171466000.0,6008930000.0,730506000.0,6739436000.0,6910902000,210992000.0,279187000.0,3342715000.0,3342715000.0,3621902000,4100590000.0,3289000000.0,6910902000,-9676000.0,89301000.0,3008000.0,15323000.0,97956000.0,-42723000.0,-27433000.0,-136955000.0,-55349000.0,-1318000.0,-205000.0,-62736000.0,-101735000,2012-09-28,25.03000068664551,25.03000068664551,24.790000915527344,24.81999969482422,18.19987297058105,2651900.0
2012-12-31,176103000.0,-58787000.0,117316000.0,-94501000.0,-10653000.0,-82414000.0,22815000.0,-32328000.0,-30660000.0,-9513000,-8495000.0,-18008000,1628000.0,-16380000,-12300000,-13231000,12115000.0,64006000.0,99682000.0,6131146000.0,628275000.0,6759421000.0,6859103000,207495000.0,232520000.0,3409333000.0,3409333000.0,3641853000,4101383000.0,3217250000.0,6859103000,-12955000.0,84548000.0,17187000.0,-11282000.0,77498000.0,-149612000.0,54634000.0,-150126000.0,-55963000.0,67647000.0,-98000.0,2366000.0,-70262000,2012-12-31,23.520000457763672,23.79999923706055,23.46999931335449,23.78000068664551,17.597578048706055,1772100.0
2013-09-30,191124000.0,-65934000.0,125190000.0,-98053000.0,-11364000.0,-84914000.0,27137000.0,-33904000.0,-30939000.0,-6767000,6460000.0,-307000,2658000.0,2351000,3188000,2257000,11149000.0,66707000.0,100878000.0,5960393000.0,694795000.0,6655188000.0,6756066000,216268000.0,243025000.0,3463172000.0,3463172000.0,3706197000,4109258000.0,3049869000.0,6756066000,3235000.0,85442000.0,9378000.0,-9147000.0,88908000.0,-32219000.0,-6461000.0,-92587000.0,-59751000.0,69474000.0,0.0,5793000.0,2114000,2013-09-30,23.86000061035156,24.13999938964844,23.56999969482422,23.70000076293945,18.03394317626953,1722900.0
