Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,1022000000.0,-586000000.0,436000000.0,-185000000.0,-185000000.0,251000000.0,-46000000.0,-46000000.0,205000000,205000000,-78000000.0,130000000,127000000,127000000,338000000.0,500000000.0,1146000000.0,273000000.0,6763000000.0,7036000000.0,8182000000,470000000.0,58000000.0,846000000.0,3381000000.0,4215000000.0,5061000000,738000000.0,-2160000000.0,4619000000.0,3121000000.0,8182000000,130000000.0,83000000.0,11000000.0,-53000000.0,19000000.0,-72000000.0,171000000.0,-42000000.0,-8000000.0,-43000000.0,-76000000.0,-126000000.0,-202000000.0,-78000000,2010-06-30,11.4399995803833,11.800000190734865,11.362500190734865,11.414999961853027,11.414999961853027,6136000.0
2010-09-30,1025000000.0,-589000000.0,436000000.0,-185000000.0,-185000000.0,251000000.0,-49000000.0,-49000000.0,202000000,202000000,-73000000.0,134000000,132000000,132000000,743000000.0,543000000.0,1733000000.0,270000000.0,6611000000.0,6881000000.0,8614000000,534000000.0,253000000.0,1114000000.0,3453000000.0,4272000000.0,5386000000,744000000.0,-2198000000.0,4751000000.0,3228000000.0,8614000000,134000000.0,85000000.0,16000000.0,-12000000.0,-41000000.0,29000000.0,223000000.0,-45000000.0,-1000000.0,-64000000.0,268000000.0,-37000000.0,218000000.0,405000000,2010-09-30,13.517499923706055,13.625,13.337499618530273,13.454999923706055,13.454999923706055,3700400.0
2010-12-31,1078000000.0,-613000000.0,465000000.0,-198000000.0,-198000000.0,267000000.0,-48000000.0,-58000000.0,219000000,193000000,-77000000.0,119000000,116000000,116000000,563000000.0,572000000.0,1417000000.0,267000000.0,6597000000.0,6864000000.0,8281000000,537000000.0,3000000.0,891000000.0,3353000000.0,4161000000.0,5052000000,752000000.0,-2340000000.0,4867000000.0,3229000000.0,8281000000,119000000.0,87000000.0,89000000.0,9000000.0,-29000000.0,38000000.0,304000000.0,-46000000.0,0.0,26000000.0,-378000000.0,-138000000.0,-516000000.0,-180000000,2010-12-31,14.779999732971193,14.850000381469727,14.63249969482422,14.640000343322756,14.640000343322756,2373200.0
2011-06-30,1065000000.0,-624000000.0,441000000.0,-190000000.0,-190000000.0,251000000.0,-48000000.0,-49000000.0,203000000,142000000,-49000000.0,97000000,90000000,90000000,675000000.0,547000000.0,1523000000.0,272000000.0,6601000000.0,6873000000.0,8396000000,518000000.0,303000000.0,1154000000.0,3350000000.0,4156000000.0,5310000000,763000000.0,-2699000000.0,5069000000.0,3086000000.0,8396000000,97000000.0,88000000.0,57000000.0,-107000000.0,-20000000.0,-87000000.0,135000000.0,-46000000.0,0.0,-44000000.0,241000000.0,-163000000.0,74000000.0,158000000,2011-06-30,15.5,15.664999961853027,15.390000343322756,15.657500267028807,15.657500267028807,3014000.0
2011-09-30,1063000000.0,-631000000.0,432000000.0,-189000000.0,-189000000.0,243000000.0,-45000000.0,-45000000.0,198000000,174000000,-55000000.0,127000000,127000000,127000000,281000000.0,579000000.0,1211000000.0,262000000.0,6978000000.0,7240000000.0,8451000000,717000000.0,4000000.0,1042000000.0,3514000000.0,4257000000.0,5299000000,769000000.0,-2734000000.0,5196000000.0,3152000000.0,8451000000,127000000.0,86000000.0,69000000.0,-19000000.0,-22000000.0,3000000.0,263000000.0,-42000000.0,-462000000.0,-462000000.0,-157000000.0,-38000000.0,-195000000.0,-394000000,2011-09-30,12.56999969482422,12.774999618530273,12.442500114440918,12.692500114440918,12.692500114440918,7606400.0
2011-12-31,1113000000.0,-625000000.0,488000000.0,-213000000.0,-213000000.0,275000000.0,-44000000.0,-49000000.0,231000000,231000000,-86000000.0,149000000,143000000,143000000,337000000.0,666000000.0,1356000000.0,258000000.0,6934000000.0,7192000000.0,8548000000,836000000.0,179000000.0,1384000000.0,3216000000.0,3906000000.0,5290000000,779000000.0,-2782000000.0,5339000000.0,3258000000.0,8548000000,149000000.0,86000000.0,0.0,29000000.0,-89000000.0,118000000.0,264000000.0,-46000000.0,0.0,-46000000.0,-121000000.0,-39000000.0,-159000000.0,56000000,2011-12-30,14.739999771118164,14.80500030517578,14.6850004196167,14.6850004196167,14.6850004196167,1769600.0
2013-03-31,1152000000.0,-712000000.0,440000000.0,-229000000.0,-229000000.0,211000000.0,-41000000.0,-41000000.0,170000000,170000000,-58000000.0,117000000,117000000,117000000,356000000.0,674000000.0,1453000000.0,258000000.0,7852000000.0,8110000000.0,9563000000,766000000.0,2000000.0,1190000000.0,4047000000.0,4876000000.0,6066000000,811000000.0,-3319000000.0,6067000000.0,3497000000.0,9563000000,117000000.0,97000000.0,27000000.0,-19000000.0,27000000.0,-46000000.0,222000000.0,-58000000.0,-16000000.0,-74000000.0,-138000000.0,-54000000.0,-188000000.0,-2000000,2013-03-28,21.53249931335449,21.977500915527344,21.524999618530273,21.96500015258789,21.96500015258789,2818000.0
2013-06-30,1198000000.0,-680000000.0,518000000.0,-245000000.0,-245000000.0,273000000.0,-41000000.0,-41000000.0,232000000,232000000,-81000000.0,152000000,151000000,151000000,320000000.0,691000000.0,1454000000.0,255000000.0,7725000000.0,7980000000.0,9434000000,761000000.0,2000000.0,1173000000.0,3951000000.0,4798000000.0,5971000000,823000000.0,-3511000000.0,6218000000.0,3463000000.0,9434000000,152000000.0,103000000.0,-3000000.0,-77000000.0,-14000000.0,-63000000.0,175000000.0,-52000000.0,0.0,64000000.0,-96000000.0,-176000000.0,-269000000.0,-36000000,2013-06-28,21.82999992370605,22.04750061035156,21.712499618530273,21.852500915527344,21.852500915527344,4320400.0
2013-09-30,1201000000.0,-684000000.0,517000000.0,-237000000.0,-237000000.0,280000000.0,-41000000.0,-41000000.0,239000000,239000000,-79000000.0,161000000,159000000,159000000,321000000.0,710000000.0,1527000000.0,259000000.0,7670000000.0,7929000000.0,9456000000,826000000.0,2000000.0,1228000000.0,3929000000.0,4768000000.0,5996000000,834000000.0,-3688000000.0,6377000000.0,3460000000.0,9456000000,161000000.0,101000000.0,22000000.0,0.0,-20000000.0,20000000.0,284000000.0,-61000000.0,-14000000.0,-74000000.0,-21000000.0,-188000000.0,-204000000.0,1000000,2013-09-30,25.114999771118164,25.30500030517578,25.01499938964844,25.26250076293945,25.26250076293945,1942000.0
2013-12-31,1263000000.0,-700000000.0,563000000.0,-266000000.0,-266000000.0,297000000.0,-40000000.0,-40000000.0,257000000,257000000,-110000000.0,220000000,221000000,221000000,400000000.0,751000000.0,1572000000.0,266000000.0,7675000000.0,7941000000.0,9513000000,756000000.0,92000000.0,1332000000.0,3756000000.0,4596000000.0,5928000000,848000000.0,-3801000000.0,6598000000.0,3585000000.0,9513000000,220000000.0,102000000.0,-64000000.0,100000000.0,-40000000.0,140000000.0,358000000.0,-65000000.0,0.0,-64000000.0,-83000000.0,-111000000.0,-212000000.0,79000000,2013-12-31,29.38999938964844,29.63999938964844,29.38999938964844,29.524999618530273,29.524999618530273,1100600.0
