Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-12-31,5989000000.0,-5228000000.0,761000000.0,-683000000.0,-268000000.0,-48000000.0,-367000000.0,78000000.0,-85000000.0,-125000000.0,-7000000,-232000000.0,-239000000,74000000.0,-165000000,-191000000,-191000000,1939000000.0,1571000000.0,2899000000.0,7713000000.0,19282000000.0,1626000000.0,11499000000.0,32407000000.0,40120000000,3677000000.0,731000000.0,6013000000.0,8640000000.0,16912000000.0,22925000000,8739000000.0,11629000000.0,17195000000.0,40120000000,-165000000.0,368000000.0,120000000.0,823000000.0,304000000.0,269000000.0,224000000.0,26000000.0,1142000000.0,-486000000.0,-583000000.0,-33000000.0,52000000.0,1000000.0,49000000.0,607000000,2011-12-30,19.36281967163086,19.45277404785156,19.272863388061523,19.45277404785156,18.820545196533203,82559.0
2012-03-31,6006000000.0,-5098000000.0,908000000.0,-653000000.0,-241000000.0,-43000000.0,-369000000.0,255000000.0,-107000000.0,-123000000.0,148000000,-10000000.0,138000000,-39000000.0,99000000,94000000,94000000,1749000000.0,1526000000.0,3097000000.0,7883000000.0,19616000000.0,1750000000.0,11454000000.0,32820000000.0,40703000000,3643000000.0,1125000000.0,6292000000.0,8618000000.0,16785000000.0,23077000000,8701000000.0,11690000000.0,17626000000.0,40703000000,99000000.0,369000000.0,-59000000.0,-645000000.0,-139000000.0,-153000000.0,3000000.0,-356000000.0,-236000000.0,-270000000.0,-350000000.0,-33000000.0,357000000.0,8000000.0,394000000.0,-190000000,2012-03-30,22.781108856201172,22.82608795166016,22.443777084350586,22.533733367919922,21.801368713378906,89603.0
2012-06-30,5963000000.0,-5154000000.0,809000000.0,-655000000.0,-245000000.0,-47000000.0,-363000000.0,154000000.0,-145000000.0,-123000000.0,9000000,-15000000.0,-6000000,-13000000.0,-19000000,-2000000,-2000000,1712000000.0,1575000000.0,3051000000.0,7767000000.0,18736000000.0,1775000000.0,11220000000.0,31731000000.0,39498000000,3575000000.0,995000000.0,6151000000.0,8547000000.0,16433000000.0,22584000000,8716000000.0,11655000000.0,16914000000.0,39498000000,-19000000.0,364000000.0,94000000.0,100000000.0,-76000000.0,-35000000.0,-36000000.0,247000000.0,537000000.0,-291000000.0,-354000000.0,-33000000.0,-143000000.0,2000000.0,-198000000.0,-37000000,2012-06-29,19.520240783691406,19.677661895751953,19.317840576171875,19.677661895751953,19.038124084472656,118361.0
2012-09-30,5833000000.0,-5266000000.0,567000000.0,-651000000.0,-234000000.0,-51000000.0,-366000000.0,-84000000.0,-122000000.0,-124000000.0,-206000000,-2000000.0,-208000000,33000000.0,-175000000,-143000000,-143000000,1432000000.0,1619000000.0,2973000000.0,7775000000.0,18858000000.0,1831000000.0,11727000000.0,32416000000.0,40191000000,3608000000.0,1174000000.0,6531000000.0,8350000000.0,16806000000.0,23337000000,8727000000.0,11447000000.0,16854000000.0,40191000000,-175000000.0,366000000.0,-53000000.0,125000000.0,41000000.0,123000000.0,-76000000.0,37000000.0,263000000.0,-302000000.0,-262000000.0,-32000000.0,-273000000.0,2000000.0,-282000000.0,-280000000,2012-09-28,20.0374813079834,20.1274356842041,19.88006019592285,19.925037384033203,19.2774600982666,67209.0
2012-12-31,5898000000.0,-4883000000.0,1015000000.0,-695000000.0,-277000000.0,-56000000.0,-362000000.0,320000000.0,225000000.0,-120000000.0,545000000,-145000000.0,400000000,-143000000.0,257000000,242000000,242000000,1861000000.0,1399000000.0,2825000000.0,7700000000.0,18947000000.0,1860000000.0,11672000000.0,32479000000.0,40179000000,3760000000.0,518000000.0,5942000000.0,8311000000.0,17714000000.0,23656000000,8738000000.0,11689000000.0,16523000000.0,40179000000,257000000.0,363000000.0,-99000000.0,413000000.0,278000000.0,161000000.0,97000000.0,-123000000.0,933000000.0,-398000000.0,207000000.0,-33000000.0,-692000000.0,0.0,-712000000.0,429000000,2012-12-31,19.160419464111328,19.542728424072266,19.070465087890625,19.520240783691406,18.88581657409668,85980.0
2013-06-30,5849000000.0,-4933000000.0,916000000.0,-662000000.0,-254000000.0,-46000000.0,-362000000.0,254000000.0,-137000000.0,-118000000.0,117000000,-244000000.0,-127000000,-21000000.0,-148000000,-119000000,-119000000,1202000000.0,1354000000.0,2905000000.0,7237000000.0,18111000000.0,1848000000.0,11355000000.0,31314000000.0,38551000000,3869000000.0,659000000.0,6147000000.0,7700000000.0,16546000000.0,22693000000,8702000000.0,11653000000.0,15858000000.0,38551000000,-148000000.0,363000000.0,258000000.0,41000000.0,-54000000.0,7000000.0,119000000.0,-31000000.0,514000000.0,-286000000.0,-276000000.0,-33000000.0,-531000000.0,1000000.0,-568000000.0,-353000000,2013-06-28,17.60869598388672,17.721139907836914,17.496252059936527,17.586206436157227,17.014638900756836,64592.0
2013-09-30,5765000000.0,-4798000000.0,967000000.0,-640000000.0,-248000000.0,-44000000.0,-348000000.0,327000000.0,-101000000.0,-108000000.0,226000000,-151000000.0,75000000,-31000000.0,44000000,24000000,24000000,1017000000.0,1422000000.0,2893000000.0,7049000000.0,17861000000.0,1908000000.0,11411000000.0,31180000000.0,38229000000,3835000000.0,714000000.0,6040000000.0,7630000000.0,16325000000.0,22365000000,8714000000.0,11611000000.0,15864000000.0,38229000000,44000000.0,348000000.0,99000000.0,-277000000.0,28000000.0,34000000.0,-123000000.0,-216000000.0,214000000.0,-250000000.0,-304000000.0,-33000000.0,-5000000.0,0.0,-93000000.0,-185000000,2013-09-30,18.215892791748047,18.44078063964844,18.148426055908203,18.2608699798584,17.667381286621094,88788.0
2013-12-31,5585000000.0,-4708000000.0,877000000.0,-662000000.0,-255000000.0,-57000000.0,-350000000.0,215000000.0,-102000000.0,-112000000.0,113000000,-2111000000.0,-1998000000,-312000000.0,-2310000000,-2339000000,-2339000000,1437000000.0,1221000000.0,2705000000.0,6969000000.0,17639000000.0,1907000000.0,9227000000.0,28773000000.0,35742000000,3973000000.0,712000000.0,6105000000.0,7607000000.0,16115000000.0,22220000000,8687000000.0,9272000000.0,13522000000.0,35742000000,-2310000000.0,350000000.0,2967000000.0,-87000000.0,206000000.0,166000000.0,150000000.0,-609000000.0,920000000.0,-422000000.0,-425000000.0,-33000000.0,-14000000.0,12000000.0,-65000000.0,420000000,2013-12-31,23.72563743591309,24.062969207763672,23.68066024780273,23.90554618835449,23.128597259521484,47195.0
2014-03-31,5454000000.0,-4495000000.0,959000000.0,-627000000.0,-236000000.0,-51000000.0,-340000000.0,332000000.0,-145000000.0,-120000000.0,187000000,-461000000.0,-274000000,77000000.0,-197000000,-178000000,-178000000,665000000.0,1379000000.0,3067000000.0,6765000000.0,17613000000.0,1949000000.0,9278000000.0,28840000000.0,35605000000,3732000000.0,138000000.0,5267000000.0,7609000000.0,15964000000.0,21231000000,8971000000.0,9061000000.0,14374000000.0,35605000000,-197000000.0,340000000.0,628000000.0,-1322000000.0,-255000000.0,-302000000.0,-130000000.0,-635000000.0,-551000000.0,-209000000.0,-240000000.0,-33000000.0,-14000000.0,71000000.0,10000000.0,-772000000,2014-03-31,28.15592193603516,29.16791534423828,28.133432388305664,28.94302749633789,28.002361297607425,176791.0
2014-06-30,5836000000.0,-4765000000.0,1071000000.0,-644000000.0,-245000000.0,-50000000.0,-349000000.0,427000000.0,-110000000.0,-105000000.0,317000000,-110000000.0,207000000,-78000000.0,129000000,138000000,138000000,1183000000.0,1381000000.0,3227000000.0,7387000000.0,17611000000.0,1979000000.0,9332000000.0,28922000000.0,36309000000,3960000000.0,443000000.0,5842000000.0,7612000000.0,15761000000.0,21603000000,8902000000.0,9163000000.0,14706000000.0,36309000000,129000000.0,350000000.0,157000000.0,-118000000.0,30000000.0,-155000000.0,156000000.0,-149000000.0,518000000.0,-258000000.0,-286000000.0,-36000000.0,296000000.0,26000000.0,281000000.0,518000000,2014-06-30,33.48575592041016,33.50824737548828,33.01349258422852,33.48575592041016,32.397449493408196,57628.0
