Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-03-31,393974000.0,-370148000.0,23826000.0,-59153000.0,-33029000.0,-25901000.0,-35327000.0,-11632000.0,-13487000.0,-46959000,-46959000,9875000.0,-37084000,-36732000,-36732000,44950000.0,212052000.0,333487000.0,701944000.0,1768928000.0,711245000.0,2480173000.0,3182117000,156729000.0,7650000.0,185371000.0,1127178000.0,1598464000.0,1783835000,405929000.0,1035739000.0,1398282000.0,3182117000,-37673000.0,44398000.0,2053000.0,-13097000.0,-4319000.0,-37518000.0,2130000.0,-35388000.0,-18420000.0,76449000.0,618000.0,58635000.0,18928000,2012-03-30,86.43000030517578,86.72000122070312,85.43000030517578,85.62999725341797,77.24348449707031,301100.0
2012-06-30,545688000.0,-443622000.0,102066000.0,-42825000.0,-35275000.0,-9240000.0,59241000.0,-13214000.0,-13256000.0,46027000,46027000,-8553000.0,37474000,36751000,36751000,41393000.0,275416000.0,331984000.0,760331000.0,1753778000.0,712424000.0,2466202000.0,3226533000,169378000.0,7171000.0,199066000.0,1137076000.0,1610663000.0,1809729000,404531000.0,1054048000.0,1416804000.0,3226533000,37807000.0,44337000.0,9784000.0,-59940000.0,31988000.0,-28733000.0,1730000.0,-27003000.0,-18441000.0,10769000.0,218000.0,-8542000.0,-3557000,2012-06-29,78.8499984741211,79.54000091552734,78.30000305175781,78.81999969482422,71.51128387451172,737400.0
2012-12-31,499971000.0,-422751000.0,77220000.0,-36497000.0,-37999000.0,1000.0,40723000.0,-13350000.0,-13372000.0,27373000,27373000,-5052000.0,22321000,21533000,21533000,25394000.0,224050000.0,332311000.0,700401000.0,1753241000.0,707284000.0,2460525000.0,3160926000,131680000.0,5676000.0,173335000.0,1042183000.0,1537292000.0,1710627000,415116000.0,1101598000.0,1450299000.0,3160926000,21724000.0,44226000.0,3070000.0,31625000.0,100645000.0,-45082000.0,2074000.0,-45008000.0,-18465000.0,-51106000.0,3451000.0,-65664000.0,-10027000,2012-12-31,93.23999786376952,94.87999725341795,93.01000213623048,94.27999877929688,86.38824462890625,326600.0
2013-03-31,383909000.0,-371088000.0,12821000.0,-36141000.0,-37648000.0,-307000.0,-23320000.0,-14119000.0,-13496000.0,-37439000,-37439000,8398000.0,-29041000,-27839000,-27839000,37260000.0,202150000.0,347641000.0,715733000.0,1732087000.0,706955000.0,2439042000.0,3154775000,135416000.0,5677000.0,168690000.0,1072850000.0,1576028000.0,1744718000,421483000.0,1055256000.0,1410057000.0,3154775000,-29329000.0,43043000.0,4066000.0,795000.0,18575000.0,-21880000.0,-1049000.0,-22929000.0,-18503000.0,30600000.0,3494000.0,16220000.0,11866000,2013-03-28,102.0500030517578,102.63999938964844,101.12000274658205,102.0199966430664,93.87388610839844,339900.0
2013-06-30,561326000.0,-454330000.0,106996000.0,-37361000.0,-37843000.0,-275000.0,69635000.0,-13075000.0,-13619000.0,56560000,56560000,-15098000.0,41462000,41308000,41308000,43712000.0,287521000.0,348873000.0,806485000.0,1717386000.0,707248000.0,2424634000.0,3231119000,154607000.0,6169000.0,192533000.0,1087150000.0,1597919000.0,1790452000,430397000.0,1077998000.0,1440667000.0,3231119000,41567000.0,42949000.0,5992000.0,-60611000.0,29897000.0,-28122000.0,-323000.0,-28445000.0,-18565000.0,14733000.0,7718000.0,5000000.0,6452000,2013-06-28,100.54000091552734,101.0199966430664,98.3000030517578,98.41999816894531,90.89360809326172,435800.0
2013-09-30,665320000.0,-522212000.0,143108000.0,-34265000.0,-37140000.0,-89000.0,108843000.0,-13619000.0,-13518000.0,95224000,95224000,-22915000.0,72309000,71836000,71836000,57241000.0,331030000.0,350438000.0,845669000.0,1782618000.0,698724000.0,2491436000.0,3337105000,176802000.0,6169000.0,226432000.0,1107192000.0,1611790000.0,1838222000,431583000.0,1131276000.0,1498883000.0,3337105000,72038000.0,44105000.0,10812000.0,-9782000.0,117173000.0,-52340000.0,-59852000.0,-115594000.0,-18558000.0,30412000.0,359000.0,11950000.0,13529000,2013-09-30,96.12000274658205,98.38999938964844,96.0199966430664,98.16999816894531,91.04094696044922,486900.0
2013-12-31,544996000.0,-443964000.0,101032000.0,-38202000.0,-37460000.0,0.0,62830000.0,-12949000.0,-12834000.0,49881000,49881000,-14430000.0,35451000,36032000,36032000,42437000.0,245421000.0,347307000.0,755366000.0,1799241000.0,705219000.0,2504460000.0,3259826000,153373000.0,12403000.0,210549000.0,1018518000.0,1474358000.0,1684907000,433253000.0,1148738000.0,1574919000.0,3259826000,35156000.0,43664000.0,5189000.0,59297000.0,143306000.0,-52891000.0,5310000.0,-47581000.0,-18571000.0,-89942000.0,120000.0,-110529000.0,-14804000,2013-12-31,100.6999969482422,101.29000091552734,99.80999755859376,99.94000244140624,93.06148529052734,297900.0
2014-03-31,428629000.0,-402794000.0,25835000.0,-41733000.0,-34247000.0,-9512000.0,-15898000.0,-15664000.0,-12201000.0,-31562000,-31562000,8424000.0,-23138000,-21618000,-21618000,35801000.0,242587000.0,354718000.0,758214000.0,1793536000.0,703507000.0,2497043000.0,3255257000,157021000.0,12403000.0,193758000.0,1055541000.0,1517206000.0,1710964000,443013000.0,1108516000.0,1544293000.0,3255257000,-23153000.0,42466000.0,-4173000.0,-8528000.0,6612000.0,-36913000.0,1351000.0,-35562000.0,-18604000.0,33794000.0,6488000.0,22314000.0,-6636000,2014-03-31,127.80999755859376,128.94999694824222,127.41999816894531,128.35000610351562,119.9108657836914,602000.0
2014-06-30,669225000.0,-533623000.0,135602000.0,-39361000.0,-36566000.0,-5280000.0,96241000.0,-12655000.0,-12947000.0,83586000,83586000,-23906000.0,59680000,59521000,59521000,34329000.0,343784000.0,348168000.0,876701000.0,1775374000.0,703968000.0,2479342000.0,3356043000,197235000.0,12404000.0,244725000.0,1072397000.0,1544319000.0,1789044000,457452000.0,1149388000.0,1566999000.0,3356043000,59625000.0,43681000.0,1668000.0,-41223000.0,63751000.0,-62337000.0,686000.0,-46609000.0,-18650000.0,16181000.0,3054000.0,-18614000.0,-1472000,2014-06-30,134.0,134.0,130.03999328613278,132.05000305175778,123.76799774169922,4975900.0
2014-09-30,1003723000.0,-808130000.0,195593000.0,-79637000.0,-48427000.0,-26118000.0,115956000.0,-17964000.0,-19805000.0,97992000,97992000,-44089000.0,53903000,53743000,53743000,73597000.0,523928000.0,475293000.0,1212798000.0,3377951000.0,2748109000.0,6126060000.0,7338858000,377238000.0,14331000.0,436998000.0,1603944000.0,2526247000.0,2963245000,3240380000.0,1176121000.0,4375613000.0,7338858000,53833000.0,67932000.0,5453000.0,4047000.0,131265000.0,-53833000.0,110947000.0,117322000.0,-27009000.0,-209998000.0,28653000.0,-209319000.0,39268000,2014-09-30,130.00999450683594,130.52999877929688,128.35000610351562,128.94000244140622,121.22579193115234,584100.0
2014-12-31,856374000.0,-691044000.0,165330000.0,-46756000.0,-50005000.0,-1981000.0,118574000.0,-19412000.0,-21104000.0,99162000,99162000,-35276000.0,63886000,63955000,63955000,108651000.0,421001000.0,484919000.0,1044178000.0,3402770000.0,2772806000.0,6175576000.0,7219754000,297591000.0,14336000.0,396648000.0,1571059000.0,2470358000.0,2867006000,3244290000.0,1213035000.0,4352748000.0,7219754000,63989000.0,68667000.0,6327000.0,41047000.0,180030000.0,-93613000.0,8812000.0,-84476000.0,-27041000.0,-33952000.0,1519000.0,-60500000.0,35054000,2014-12-31,111.5500030517578,112.62999725341795,110.31999969482422,110.31999969482422,104.04656982421876,389400.0
2015-03-31,691347000.0,-617086000.0,74261000.0,-48690000.0,-49450000.0,-1604000.0,25571000.0,-20224000.0,-19331000.0,5347000,5347000,812000.0,6159000,6126000,6126000,56366000.0,381389000.0,505047000.0,1045829000.0,3365106000.0,2766384000.0,6131490000.0,7177319000,288859000.0,13873000.0,343022000.0,1562190000.0,2492114000.0,2835136000,3256482000.0,1190807000.0,4342183000.0,7177319000,6159000.0,67268000.0,30188000.0,-68490000.0,35125000.0,-56085000.0,-9114000.0,-63391000.0,-28354000.0,-5716000.0,9942000.0,-24019000.0,-52285000,2015-03-31,141.85000610351562,142.44000244140625,139.75999450683594,139.80000305175778,132.22134399414062,661100.0
2015-06-30,921419000.0,-721266000.0,200153000.0,-63169000.0,-56783000.0,-2092000.0,136984000.0,-16076000.0,-19087000.0,120908000,120908000,-38929000.0,81979000,81938000,81938000,44169000.0,497468000.0,479856000.0,1530122000.0,3049523000.0,2680752000.0,5730275000.0,7260397000,302068000.0,15433000.0,363301000.0,1637905000.0,2586663000.0,2949964000,3274766000.0,1146821000.0,4310433000.0,7260397000,81979000.0,67690000.0,9993000.0,-67718000.0,91944000.0,-97139000.0,373000.0,-71532000.0,-25931000.0,75558000.0,-82182000.0,-32609000.0,-12197000,2015-06-30,143.08999633789062,143.9499969482422,141.47999572753906,141.50999450683594,134.18972778320312,721300.0
2015-09-30,1082249000.0,-819744000.0,262505000.0,-83007000.0,-54887000.0,-2087000.0,179498000.0,-14437000.0,-18926000.0,165061000,165061000,-47483000.0,117578000,117544000,117544000,436429000.0,577424000.0,464525000.0,1515805000.0,3073534000.0,2719095000.0,5792629000.0,7308434000,350289000.0,147003000.0,574859000.0,1553768000.0,2480995000.0,3055854000,3283860000.0,1079764000.0,4252580000.0,7308434000,117577000.0,64977000.0,34841000.0,-24885000.0,192510000.0,-84564000.0,420038000.0,335474000.0,-26934000.0,42807000.0,-151542000.0,-135724000.0,392260000,2015-09-30,149.92999267578125,152.35000610351562,147.2100067138672,151.9499969482422,144.43983459472656,1342300.0
2015-12-31,844555000.0,-659707000.0,184848000.0,-47485000.0,-57114000.0,-2681000.0,137363000.0,-14878000.0,-18943000.0,122485000,122485000,-39263000.0,83222000,83184000,83184000,168409000.0,410921000.0,469141000.0,1081635000.0,3156000000.0,2719976000.0,5875976000.0,6957611000,268673000.0,18713000.0,366658000.0,1550061000.0,2530776000.0,2897434000,3288470000.0,874436000.0,4060177000.0,6957611000,83223000.0,63652000.0,31913000.0,74784000.0,253572000.0,-105678000.0,-6390000.0,-112005000.0,-26243000.0,-123917000.0,-259102000.0,-409587000.0,-268020000,2015-12-31,136.91000366210938,139.10000610351562,136.19999694824222,136.58000183105472,130.15437316894528,603000.0
2016-03-31,788734000.0,-643484000.0,145250000.0,-59227000.0,-58349000.0,-299000.0,86023000.0,-21258000.0,-20034000.0,64765000,64765000,-19710000.0,45055000,44994000,44994000,27242000.0,448048000.0,485367000.0,998315000.0,3262981000.0,2796991000.0,6059972000.0,7058287000,266955000.0,177430000.0,492131000.0,1575327000.0,2620520000.0,3112651000,3302891000.0,743593000.0,3945636000.0,7058287000,45055000.0,68410000.0,23080000.0,-68233000.0,68312000.0,-94228000.0,-119585000.0,-210367000.0,-25847000.0,172595000.0,-145280000.0,888000.0,-141167000,2016-03-31,154.67999267578125,160.17999267578125,154.44000244140625,159.50999450683594,152.4304962158203,1050400.0
2016-06-30,977298000.0,-729867000.0,247431000.0,-56583000.0,-59781000.0,-248000.0,190848000.0,-15300000.0,-20294000.0,175548000,175548000,-53435000.0,122113000,122052000,122052000,28596000.0,534459000.0,504877000.0,1121929000.0,3322205000.0,2789171000.0,6111376000.0,7233305000,292265000.0,238155000.0,601604000.0,1541062000.0,2615201000.0,3216805000,3319492000.0,800028000.0,4016500000.0,7233305000,122114000.0,71207000.0,18082000.0,-69871000.0,141532000.0,-116331000.0,1059000.0,-115272000.0,-25620000.0,32330000.0,-26650000.0,-24906000.0,1354000,2016-06-30,186.05999755859366,192.1100006103516,185.0800018310547,192.0,183.86215209960938,866100.0
2016-09-30,1103901000.0,-810594000.0,293307000.0,-50638000.0,-54773000.0,-306000.0,242669000.0,-12322000.0,-20568000.0,230347000,230347000,-70869000.0,159478000,159479000,159479000,60684000.0,566425000.0,508199000.0,1191525000.0,3379613000.0,2802063000.0,6181676000.0,7373201000,317083000.0,228025000.0,604909000.0,1536810000.0,2609894000.0,3214803000,3327164000.0,932679000.0,4158398000.0,7373201000,159478000.0,72380000.0,18200000.0,-38189000.0,211869000.0,-112292000.0,-54947000.0,-129069000.0,-26828000.0,-25890000.0,3806000.0,-50712000.0,32088000,2016-09-30,182.5,183.47999572753903,178.69000244140625,179.11000061035156,171.89926147460938,1117800.0
2016-12-31,948816000.0,-725838000.0,222978000.0,-75197000.0,-75102000.0,-830000.0,147781000.0,-11413000.0,-20781000.0,136368000,136368000,-37570000.0,98798000,98861000,98861000,50038000.0,457910000.0,521624000.0,1086385000.0,3423395000.0,2791125000.0,6214520000.0,7300905000,302956000.0,180036000.0,546588000.0,1506153000.0,2611727000.0,3158315000,3335091000.0,935574000.0,4142590000.0,7300905000,98797000.0,73256000.0,4057000.0,80831000.0,256941000.0,-147326000.0,1181000.0,-100605000.0,-26741000.0,-81940000.0,-69783000.0,-166982000.0,-10646000,2016-12-30,226.33999633789062,226.6100006103516,220.77999877929688,221.52999877929688,213.02513122558602,422600.0
2017-03-31,843859000.0,-696792000.0,147067000.0,-69917000.0,-69535000.0,-22000.0,77150000.0,-20315000.0,-20851000.0,56835000,56835000,-14528000.0,42307000,42334000,42334000,55418000.0,479215000.0,537000000.0,1123242000.0,3467645000.0,2802904000.0,6270549000.0,7393791000,284343000.0,290048000.0,631558000.0,1556246000.0,2686279000.0,3317837000,3350439000.0,851354000.0,4075954000.0,7393791000,42307000.0,70376000.0,12996000.0,-51814000.0,73865000.0,-139106000.0,539000.0,-101375000.0,-26560000.0,159227000.0,-96082000.0,32890000.0,5380000,2017-03-31,214.0,219.07000732421875,213.0800018310547,218.25,210.26834106445312,927600.0
2017-06-30,1063524000.0,-789430000.0,274094000.0,-61242000.0,-68373000.0,-1982000.0,212852000.0,-18625000.0,-24045000.0,194227000,194227000,-51986000.0,142241000,142279000,142279000,36722000.0,570618000.0,549865000.0,1244297000.0,3505260000.0,2766303000.0,6271563000.0,7515860000,305927000.0,140037000.0,534325000.0,1641944000.0,2781004000.0,3315329000,3356619000.0,967058000.0,4200531000.0,7515860000,142241000.0,75726000.0,-14988000.0,-47521000.0,155458000.0,-117913000.0,29350000.0,-84549000.0,-26575000.0,-60963000.0,4020000.0,-89605000.0,-18696000,2017-06-30,222.0399932861328,224.07000732421875,219.0,222.5800018310547,214.83616638183602,768400.0
2017-09-30,1087732000.0,-796054000.0,291678000.0,-64714000.0,-57219000.0,-1314000.0,226964000.0,-22662000.0,-23141000.0,204302000,204302000,-52763000.0,151539000,151546000,151546000,35219000.0,582532000.0,576429000.0,1277989000.0,3521577000.0,2767219000.0,6288796000.0,7566785000,300934000.0,80038000.0,468503000.0,1642502000.0,2764300000.0,3232803000,3363371000.0,1090778000.0,4333982000.0,7566785000,151539000.0,75316000.0,4369000.0,-42425000.0,188799000.0,-94680000.0,-3951000.0,-98631000.0,-27826000.0,-63716000.0,2080000.0,-91671000.0,-1503000,2017-09-29,205.9499969482422,207.4199981689453,203.91000366210938,206.22999572753903,199.4655303955078,577500.0
2017-12-31,970479000.0,-711378000.0,259101000.0,-75686000.0,-67001000.0,-5320000.0,183415000.0,-19851000.0,-23450000.0,163564000,163564000,213734000.0,377298000,377183000,377183000,1446364000.0,487240000.0,600591000.0,2631160000.0,3592813000.0,2768538000.0,6361351000.0,8992511000,312676000.0,299909000.0,694216000.0,2727294000.0,3615818000.0,4310034000,3368635000.0,1440069000.0,4682477000.0,8992511000,377298000.0,75744000.0,-243496000.0,30210000.0,239756000.0,-102220000.0,-2092000.0,-101924000.0,-27891000.0,1305691000.0,93000.0,1273313000.0,1411145000,2017-12-29,218.0,222.4499969482422,216.0500030517578,221.0399932861328,214.24180603027344,713700.0
2018-03-31,802004000.0,-691612000.0,110392000.0,-71311000.0,-70121000.0,-711000.0,39081000.0,-26584000.0,-35087000.0,12497000,12497000,-2457000.0,10040000,10023000,10023000,1422373000.0,466465000.0,606794000.0,2601930000.0,3582494000.0,2763626000.0,6346120000.0,8948050000,277790000.0,300006000.0,650979000.0,2728102000.0,3617241000.0,4268220000,3381908000.0,1422207000.0,4679830000.0,8948050000,10040000.0,76821000.0,8569000.0,9582000.0,105012000.0,-104689000.0,2528000.0,-93632000.0,-27885000.0,-842000.0,2801000.0,-35371000.0,-23991000,2018-03-29,203.3800048828125,208.5500030517578,201.55999755859366,207.3000030517578,201.35858154296875,674300.0
2018-06-30,1202403000.0,-886486000.0,315917000.0,-51964000.0,-71070000.0,-12126000.0,263953000.0,-25849000.0,-32971000.0,238104000,238104000,-52601000.0,185503000,185377000,185377000,33779000.0,675570000.0,650917000.0,1457153000.0,5113426000.0,3026173000.0,8139599000.0,9596752000,304942000.0,320046000.0,709133000.0,2898876000.0,4032149000.0,4741282000,3389657000.0,1579674000.0,4855470000.0,9596752000,185503000.0,86724000.0,-14769000.0,-124437000.0,133021000.0,-111887000.0,-1590013000.0,-1681699000.0,-27910000.0,189092000.0,4142000.0,160084000.0,-1388594000,2018-06-29,222.47999572753903,225.97000122070312,221.75999450683602,223.3300018310547,217.3623352050781,405000.0
2018-09-30,1219640000.0,-906656000.0,312984000.0,-72322000.0,-68441000.0,-89000.0,240662000.0,-31220000.0,-35468000.0,209442000,209442000,-29089000.0,180353000,180221000,180221000,53961000.0,644835000.0,651295000.0,1454808000.0,5103395000.0,3029968000.0,8133363000.0,9588171000,337836000.0,380041000.0,772686000.0,2829657000.0,3873157000.0,4645843000,3391759000.0,1669126000.0,4942328000.0,9588171000,180353000.0,89655000.0,60843000.0,-127346000.0,203505000.0,-101612000.0,10247000.0,-63291000.0,-30395000.0,-10878000.0,-60327000.0,-120032000.0,20182000,2018-09-28,185.8800048828125,186.6300048828125,180.5399932861328,181.9499969482422,177.5059814453125,1160700.0
2018-12-31,1020253000.0,-792946000.0,227307000.0,-66803000.0,-70968000.0,12926000.0,160504000.0,-30947000.0,-33574000.0,129557000,116057000,-21553000.0,94504000,94379000,94379000,44892000.0,523276000.0,663035000.0,1365816000.0,5157229000.0,3028374000.0,8185603000.0,9551419000,342961000.0,390042000.0,786750000.0,2730439000.0,3815257000.0,4602007000,3396683000.0,1693259000.0,4949412000.0,9551419000,94504000.0,90800000.0,28457000.0,49801000.0,263562000.0,-68112000.0,-64862000.0,-109578000.0,-30210000.0,-90972000.0,-39716000.0,-163081000.0,-9097000,2018-12-31,168.7899932861328,172.4499969482422,168.5800018310547,171.8699951171875,168.0821075439453,603900.0
