Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-03-31,915000000.0,-171000000.0,744000000.0,-668000000.0,-615100000.0,-52900000.0,76000000.0,-16200000.0,-16200000.0,59800000,-5100000.0,54700000,3100000.0,57800000,49300000,49300000,739200000.0,3198000000.0,165900000.0,3911700000.0,4077600000.0,7275600000,2533200000.0,467400000.0,3033600000.0,1425000000.0,2097800000.0,5131400000,1540400000.0,596900000.0,2144200000.0,7275600000,49300000.0,52900000.0,219700000.0,-237800000.0,47800000.0,-195100000.0,-90500000.0,84100000.0,-19800000.0,-23600000.0,-44500000.0,-49300000.0,436900000.0,18100000.0,401500000.0,441100000,2014-03-31,47.290000915527344,47.63000106811523,47.11000061035156,47.58000183105469,39.676918029785156,422300.0
2014-06-30,1179300000.0,-270500000.0,908800000.0,-768700000.0,-709200000.0,-59500000.0,140100000.0,-21200000.0,-21200000.0,118900000,-7000000.0,111900000,1800000.0,113700000,109000000,109000000,973500000.0,4440300000.0,193700000.0,5385300000.0,5579000000.0,10019300000,3405200000.0,253000000.0,3875000000.0,2125000000.0,2894700000.0,6769700000,2547000000.0,648400000.0,3249600000.0,10019300000,109000000.0,59500000.0,94800000.0,-124600000.0,-197800000.0,239800000.0,-166600000.0,138700000.0,-22300000.0,-1378400000.0,-1416900000.0,-56800000.0,624600000.0,929900000.0,1493600000.0,234300000,2014-06-30,46.43000030517578,46.61999893188477,46.31000137329102,46.599998474121094,39.16595077514648,553500.0
2014-09-30,1286800000.0,-326200000.0,960600000.0,-834800000.0,-761900000.0,-72900000.0,125800000.0,-25900000.0,-25900000.0,99900000,-4500000.0,95400000,5900000.0,101300000,93600000,93600000,290500000.0,3972400000.0,196600000.0,5819000000.0,6015600000.0,9988000000,3415000000.0,147000000.0,3769800000.0,2125000000.0,2962200000.0,6732000000,2656000000.0,683700000.0,3256000000.0,9988000000,114500000.0,72900000.0,-234600000.0,82600000.0,99900000.0,-5700000.0,-11600000.0,35400000.0,-17600000.0,-432600000.0,-449300000.0,-58200000.0,-208700000.0,12600000.0,-264300000.0,-683000000,2014-09-30,45.099998474121094,45.47000122070313,45.0,45.36000061035156,38.41758728027344,1130200.0
2014-12-31,1245400000.0,-291200000.0,954200000.0,-898100000.0,-824500000.0,-73600000.0,56100000.0,-25700000.0,-25700000.0,30400000,-900000.0,29500000,25200000.0,54700000,51500000,51500000,314400000.0,3811200000.0,195400000.0,6003400000.0,6198800000.0,10010000000,3313100000.0,140000000.0,3642700000.0,2125000000.0,3062200000.0,6704900000,2814000000.0,676000000.0,3305100000.0,10010000000,54700000.0,73600000.0,-90400000.0,140500000.0,145400000.0,21000000.0,-25900000.0,178400000.0,-21800000.0,-83700000.0,-101000000.0,-58800000.0,-35800000.0,36400000.0,-67300000.0,23900000,2014-12-31,47.95000076293945,47.9900016784668,47.04999923706055,47.08000183105469,40.175777435302734,404600.0
2015-03-31,1231300000.0,-309300000.0,922000000.0,-854900000.0,-778700000.0,-76200000.0,67100000.0,-25600000.0,-25600000.0,41500000,-10600000.0,30900000,1500000.0,32400000,21900000,21900000,276800000.0,3594800000.0,190600000.0,5945500000.0,6136100000.0,9730900000,3177400000.0,115000000.0,3438700000.0,2125000000.0,3072600000.0,6511300000,2889400000.0,636000000.0,3219600000.0,9730900000,32400000.0,76200000.0,135400000.0,-130700000.0,-79300000.0,-81400000.0,30000000.0,113300000.0,-17800000.0,-22000000.0,-40300000.0,-62700000.0,-53300000.0,18100000.0,-104400000.0,-37600000,2015-03-31,47.11999893188477,47.11999893188477,46.68000030517578,46.75,40.21080017089844,1092200.0
2015-06-30,1371400000.0,-306800000.0,1064600000.0,-904500000.0,-822200000.0,-82300000.0,160100000.0,-26000000.0,-26000000.0,134100000,-5600000.0,128500000,19100000.0,147600000,139300000,139300000,321700000.0,4261400000.0,198200000.0,6256500000.0,6454700000.0,10716100000,3598000000.0,155000000.0,3905400000.0,2125000000.0,3099200000.0,7004600000,3266400000.0,710800000.0,3711500000.0,10716100000,147600000.0,82300000.0,-264500000.0,9800000.0,-179300000.0,405900000.0,-216800000.0,-24800000.0,-27700000.0,-44700000.0,-75200000.0,-64000000.0,38700000.0,170100000.0,141200000.0,44900000,2015-06-30,47.709999084472656,47.90999984741211,47.11999893188477,47.29999923706055,40.997535705566406,1321700.0
2015-09-30,1454800000.0,-418900000.0,1035900000.0,-894900000.0,-813000000.0,-81900000.0,141000000.0,-25600000.0,-25600000.0,115400000,-9700000.0,105700000,35200000.0,140900000,133300000,133300000,369700000.0,4020100000.0,200700000.0,6289600000.0,6490300000.0,10510400000,3407100000.0,153000000.0,3729200000.0,2125000000.0,3073300000.0,6802500000,3370300000.0,778400000.0,3707900000.0,10510400000,140900000.0,81900000.0,20100000.0,-4900000.0,172300000.0,-105800000.0,-71400000.0,238000000.0,-26300000.0,-109800000.0,-144700000.0,-65800000.0,32000000.0,10800000.0,-35600000.0,48000000,2015-09-30,40.90999984741211,41.34000015258789,40.70000076293945,41.27999877929688,36.09517288208008,1237900.0
2015-12-31,1334900000.0,-316500000.0,1018400000.0,-949500000.0,-855700000.0,-93800000.0,68900000.0,-25800000.0,-25800000.0,43100000,-14700000.0,28400000,39800000.0,68200000,62300000,62300000,480400000.0,4213700000.0,249000000.0,6447800000.0,6696800000.0,10910500000,3751100000.0,245000000.0,4187100000.0,2071700000.0,3035200000.0,7222300000,3386300000.0,774500000.0,3688200000.0,10910500000,68200000.0,93800000.0,332800000.0,-135200000.0,-123000000.0,33500000.0,-45700000.0,359600000.0,-27200000.0,-73100000.0,-108700000.0,-65000000.0,61500000.0,4300000.0,-32900000.0,155200000,2015-12-31,41.20000076293945,41.540000915527344,40.93000030517578,40.93999862670898,36.10243225097656,855600.0
2016-03-31,1300400000.0,-304400000.0,996000000.0,-910600000.0,-826600000.0,-84000000.0,85400000.0,-25800000.0,-25800000.0,59600000,-3900000.0,55700000,2200000.0,57900000,46500000,46500000,425400000.0,3939500000.0,218200000.0,6554900000.0,6773100000.0,10712600000,3522200000.0,355000000.0,4022400000.0,2071800000.0,3037900000.0,7060300000,3379100000.0,753400000.0,3652300000.0,10712600000,57900000.0,84000000.0,84600000.0,-126500000.0,-60800000.0,-114200000.0,48500000.0,100000000.0,-61900000.0,-44500000.0,-111200000.0,-68900000.0,66700000.0,-23600000.0,-41900000.0,-55000000,2016-03-31,44.31999969482422,44.66999816894531,44.290000915527344,44.47999954223633,39.594635009765625,896700.0
2016-06-30,1427100000.0,-325000000.0,1102100000.0,-924200000.0,-835600000.0,-88600000.0,177900000.0,-27200000.0,-27200000.0,150700000,-13200000.0,137500000,18200000.0,155700000,150000000,150000000,411100000.0,4485600000.0,213900000.0,6684800000.0,6898700000.0,11384300000,3947800000.0,285000000.0,4383700000.0,2344400000.0,3344800000.0,7728500000,3368200000.0,835200000.0,3655800000.0,11384300000,155700000.0,88600000.0,-228900000.0,14000000.0,-362600000.0,587900000.0,-211300000.0,29400000.0,-41200000.0,-52800000.0,-98100000.0,-67500000.0,209800000.0,-56500000.0,57300000.0,-14300000,2016-06-30,46.58000183105469,47.61999893188477,46.33000183105469,47.599998474121094,42.707740783691406,1292600.0
