Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-03-31,1954614000.0,-1208534000.0,746080000.0,-453989000.0,-453989000.0,292091000.0,-31816000.0,-30031000.0,260275000,260275000,-73866000.0,186409000,9654000.0,196063000,196063000,899976000.0,1273690000.0,880443000.0,3243041000.0,1068946000.0,5386592000.0,6455538000.0,9698579000,989320000.0,3510000.0,1302541000.0,2191757000.0,3306361000.0,4608902000,5089677000.0,9698579000,186409000.0,81310000.0,8955000.0,-115347000.0,161327000.0,-66272000.0,-296514000.0,-362786000.0,-57943000.0,-58000.0,-29245000.0,-87246000.0,-306779000,2012-03-30,41.91608810424805,42.231143951416016,41.76190948486328,42.19092559814453,34.82955551147461,3011327.0
2012-06-30,2038289000.0,-1261187000.0,777102000.0,-466089000.0,-466089000.0,311013000.0,-30079000.0,-29715000.0,280934000,280934000,-75778000.0,205156000,8945000.0,214101000,214101000,785965000.0,1320245000.0,921040000.0,3208342000.0,1086151000.0,5509912000.0,6596063000.0,9804405000,1030302000.0,3402000.0,1358263000.0,2191750000.0,3335878000.0,4694141000,5110264000.0,9804405000,205156000.0,89535000.0,7164000.0,-58494000.0,243361000.0,-68806000.0,-57756000.0,-147110000.0,-57771000.0,-72000.0,-150326000.0,-208169000.0,-114011000,2012-06-29,35.38701629638672,35.943397521972656,35.38701629638672,35.93669509887695,29.82917594909668,2919881.0
2012-09-30,2097605000.0,-1287466000.0,810139000.0,-451943000.0,-451943000.0,358196000.0,-34105000.0,-30399000.0,324091000,324091000,-90761000.0,233330000,7716000.0,241046000,241046000,794099000.0,1412311000.0,923389000.0,3280592000.0,1113918000.0,5515635000.0,6629553000.0,9910145000,1043102000.0,3134000.0,1372895000.0,2192162000.0,3324584000.0,4697479000,5212666000.0,9910145000,233330000.0,90315000.0,-5606000.0,-32226000.0,285813000.0,-62979000.0,0.0,-57342000.0,-63419000.0,-469000.0,-175943000.0,-239831000.0,8134000,2012-09-28,39.77101135253906,40.112884521484375,39.3218879699707,39.878265380859375,33.302661895751946,2513069.0
2012-12-31,536140000.0,-289472000.0,246668000.0,-148940000.0,-148940000.0,97728000.0,-31963000.0,-31124000.0,65765000,65765000,-40585000.0,25180000,134680000.0,159860000,159860000,800076000.0,1225898000.0,872841000.0,3425389000.0,1167052000.0,5851502000.0,7018554000.0,10443943000,1120230000.0,610766000.0,2195586000.0,2189350000.0,3329127000.0,5524713000,4919230000.0,10443943000,25180000.0,-31226000.0,15828000.0,268086000.0,277868000.0,60887000.0,-726163000.0,-658092000.0,-61826000.0,604517000.0,-327379000.0,192304000.0,5977000,2012-12-31,43.23664855957031,44.10808563232422,43.09587860107422,44.04775619506836,36.99115753173828,1092139.0
2013-03-31,1763977000.0,-1082359000.0,681618000.0,-416437000.0,-416437000.0,265181000.0,-27395000.0,-30284000.0,237786000,237786000,-70573000.0,167213000,42790000.0,210003000,210003000,571359000.0,1309446000.0,905952000.0,3325786000.0,1141477000.0,5767651000.0,6909128000.0,10234914000,1015508000.0,702598000.0,2156271000.0,2189521000.0,3316862000.0,5473133000,4761781000.0,10234914000,167213000.0,70702000.0,44000.0,-180246000.0,57713000.0,-22618000.0,0.0,-21493000.0,-60297000.0,91849000.0,-284224000.0,-252672000.0,-228717000,2013-03-28,48.49208068847656,48.90768814086914,48.3446044921875,48.85406112670898,41.229583740234375,2285124.0
2013-06-30,1932411000.0,-1176593000.0,755818000.0,-435620000.0,-435620000.0,320198000.0,-31879000.0,-30232000.0,288319000,288319000,-30261000.0,258058000,71991000.0,330049000,330049000,605950000.0,1398829000.0,917217000.0,3420709000.0,1137645000.0,5790902000.0,6928547000.0,10349256000,1061321000.0,665781000.0,2107284000.0,2189811000.0,3261100000.0,5368384000,4980872000.0,10349256000,258058000.0,71809000.0,16259000.0,-96738000.0,249388000.0,-27854000.0,-65261000.0,-91189000.0,-59941000.0,-36831000.0,-61912000.0,-158684000.0,34591000,2013-06-28,52.21914672851562,52.64816284179688,52.02474975585938,52.058265686035156,44.128753662109375,3495562.0
2013-09-30,1940211000.0,-1183864000.0,756347000.0,-408264000.0,-408264000.0,348083000.0,-30413000.0,-30236000.0,317670000,317670000,-91435000.0,226235000,42879000.0,269114000,269114000,739824000.0,1437513000.0,949618000.0,3638670000.0,1148784000.0,5877676000.0,7026460000.0,10665130000,1096359000.0,672135000.0,2151967000.0,2190156000.0,3228738000.0,5380705000,5284425000.0,10665130000,226235000.0,72599000.0,-1919000.0,-15579000.0,281336000.0,-39109000.0,-49973000.0,-90132000.0,-63873000.0,6290000.0,-26418000.0,-112479000.0,133874000,2013-09-30,59.297889709472656,60.2631721496582,59.190635681152344,60.21625137329102,51.2696533203125,1094825.0
2013-12-31,1518497000.0,-933689000.0,584808000.0,-356600000.0,-356600000.0,228208000.0,-25997000.0,-29902000.0,202211000,202211000,-56190000.0,146021000,47942000.0,193963000,193963000,803882000.0,1076641000.0,715311000.0,5497035000.0,787849000.0,4570297000.0,5358146000.0,10855181000,893361000.0,229278000.0,1877869000.0,2599201000.0,3599916000.0,5477785000,5377396000.0,10855181000,146021000.0,62923000.0,34293000.0,147938000.0,391175000.0,-28312000.0,-131147000.0,-158863000.0,-63709000.0,-41778000.0,-46395000.0,-154707000.0,64058000,2013-12-31,64.73431396484375,65.02256011962889,64.44606781005861,64.71420288085939,55.32508850097656,628939.0
2014-03-31,1802570000.0,-1094710000.0,707860000.0,-433404000.0,-433404000.0,274456000.0,-32846000.0,-32655000.0,241610000,241610000,-71569000.0,170041000,-9903000.0,160138000,160138000,486039000.0,1238368000.0,840490000.0,2991090000.0,817818000.0,4855482000.0,5673300000.0,8664390000,938434000.0,77095000.0,1345437000.0,2602334000.0,3570875000.0,4916312000,3748078000.0,8664390000,170041000.0,75873000.0,8501000.0,-226054000.0,28361000.0,-31497000.0,-109870000.0,-145603000.0,-63985000.0,-152247000.0,-288413000.0,-151774000.0,-317843000,2014-03-31,65.79967498779297,66.06623840332031,65.58158111572266,66.03392791748047,56.71295928955078,1743723.0
2014-06-30,1962636000.0,-1194537000.0,768099000.0,-438824000.0,-438824000.0,329275000.0,-25728000.0,-31961000.0,303547000,303547000,-92966000.0,210581000,3378000.0,213959000,213959000,547388000.0,1303431000.0,890606000.0,3111413000.0,821589000.0,4862072000.0,5683661000.0,8795074000,953411000.0,50749000.0,1337430000.0,2596344000.0,3561018000.0,4898448000,3896626000.0,8795074000,210581000.0,75548000.0,7912000.0,-109028000.0,185013000.0,-41910000.0,-28735000.0,-88175000.0,-62445000.0,-26298000.0,-13420000.0,-114201000.0,61349000,2014-06-30,72.74636840820312,73.80451965332031,72.34249114990234,73.46526336669922,63.36699295043945,1357096.0
