Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,281652000.0,-187361000.0,94291000.0,-63072000.0,-56913000.0,-6159000.0,31219000.0,-7824000.0,-9197000.0,23395000,-372983000,30554000.0,-342429000,-5549000.0,-343564000,-343564000,179160000.0,192972000.0,100297000.0,552894000.0,752657000.0,427822000.0,1180479000.0,1733373000,138914000.0,30582000.0,259780000.0,670270000.0,784866000.0,1044646000,1997649000.0,-768699000.0,-575162000.0,688727000.0,1733373000,-342429000.0,23659000.0,360372000.0,25865000.0,67467000.0,-16007000.0,4000000.0,0.0,-11629000.0,-16753000.0,-106000.0,-14355000.0,41727000,2010-12-31,35.61000061035156,35.68000030517578,35.25,35.540000915527344,35.540000915527344,735500.0
2011-09-30,277579000.0,-184863000.0,92716000.0,-55622000.0,-50345000.0,-5277000.0,37094000.0,-12553000.0,-11806000.0,24541000,24541000,-5630000.0,18911000,-18000.0,18798000,18798000,81220000.0,202379000.0,94391000.0,456329000.0,728887000.0,400157000.0,1129044000.0,1585373000,135326000.0,19838000.0,223842000.0,720483000.0,820162000.0,1044004000,2052562000.0,-1046119000.0,-492711000.0,541369000.0,1585373000,18911000.0,21168000.0,6626000.0,1543000.0,48248000.0,-8222000.0,3420000.0,0.0,-4170000.0,-132285000.0,-64501000.0,-106140000.0,-64611000,2011-09-30,28.809999465942386,29.15999984741211,28.56999969482422,28.6200008392334,28.6200008392334,908900.0
2011-12-31,290962000.0,-190394000.0,100568000.0,-51429000.0,-46087000.0,-5342000.0,49139000.0,-8993000.0,-9674000.0,40146000,32654000,-5576000.0,27078000,150000.0,27115000,27115000,68905000.0,184810000.0,92969000.0,425843000.0,738030000.0,394447000.0,1132477000.0,1558320000,130311000.0,14758000.0,216797000.0,703187000.0,814160000.0,1030957000,2057706000.0,-1071120000.0,-465596000.0,527363000.0,1558320000,27078000.0,20981000.0,3076000.0,20762000.0,71897000.0,-27471000.0,-952000.0,0.0,-24596000.0,-38666000.0,-28185000.0,-56009000.0,-12315000,2011-12-30,27.13999938964844,27.46999931335449,27.1200008392334,27.32999992370605,27.32999992370605,219500.0
2012-03-31,285981000.0,-181769000.0,104212000.0,-60472000.0,-55977000.0,-4495000.0,43740000.0,-8594000.0,-8250000.0,35146000,35146000,-8676000.0,26470000,77000.0,26439000,26439000,61031000.0,205893000.0,89347000.0,437270000.0,740225000.0,377863000.0,1118088000.0,1555358000,120441000.0,29574000.0,223835000.0,674743000.0,777018000.0,1000853000,2065680000.0,-1086600000.0,-439157000.0,554505000.0,1555358000,26470000.0,20002000.0,16886000.0,-38081000.0,25277000.0,-14112000.0,9861000.0,0.0,-3278000.0,-46566000.0,-15246000.0,-30635000.0,-7874000,2012-03-30,36.11000061035156,36.540000915527344,35.88999938964844,36.09000015258789,36.09000015258789,517900.0
2012-06-30,284723000.0,-181138000.0,103585000.0,-54311000.0,-49900000.0,-4411000.0,49274000.0,-9274000.0,-7928000.0,40000000,40000000,-9453000.0,30547000,42000.0,30468000,30468000,76076000.0,208046000.0,92283000.0,451559000.0,727405000.0,367109000.0,1094514000.0,1546073000,116883000.0,134830000.0,328126000.0,551397000.0,653097000.0,981223000,2071265000.0,-1101933000.0,-408689000.0,564850000.0,1546073000,30547000.0,20065000.0,10267000.0,-3512000.0,57367000.0,-9441000.0,3385000.0,0.0,-5300000.0,-29789000.0,-15567000.0,-34835000.0,15045000,2012-06-29,32.65999984741211,33.080001831054695,32.549999237060554,32.759998321533196,32.759998321533196,289700.0
2012-09-30,278686000.0,-185427000.0,93259000.0,-55577000.0,-51047000.0,-4530000.0,37682000.0,-9287000.0,-8395000.0,28395000,28395000,-6011000.0,22384000,-182000.0,21972000,21972000,83224000.0,215621000.0,93718000.0,457915000.0,724699000.0,385004000.0,1109703000.0,1567618000,126170000.0,125603000.0,325237000.0,543143000.0,642429000.0,967666000,2085828000.0,-1116962000.0,-386717000.0,599952000.0,1567618000,22384000.0,20550000.0,7966000.0,10135000.0,61035000.0,-10242000.0,-511000.0,-16902000.0,-26638000.0,-36376000.0,-15029000.0,-27537000.0,7148000,2012-09-28,38.95000076293945,39.97999954223633,38.47999954223633,39.599998474121094,39.599998474121094,1382300.0
2012-12-31,280140000.0,-189115000.0,91025000.0,-55956000.0,-51324000.0,-4632000.0,35069000.0,-8864000.0,-8180000.0,26205000,26205000,-3488000.0,22717000,-4189000.0,19558000,19558000,109685000.0,203001000.0,88470000.0,485252000.0,717020000.0,384072000.0,1101092000.0,1586344000,123377000.0,139384000.0,342247000.0,527136000.0,640897000.0,983144000,2098112000.0,-1135609000.0,-368301000.0,603200000.0,1586344000,22717000.0,20658000.0,15354000.0,5598000.0,64327000.0,-13739000.0,-6116000.0,41000.0,-19774000.0,-27616000.0,-18347000.0,-18114000.0,26461000,2012-12-31,36.75,37.540000915527344,36.5,37.47000122070313,37.47000122070313,343200.0
2013-03-31,291238000.0,-187027000.0,104211000.0,-61448000.0,-57199000.0,-4249000.0,42763000.0,-7115000.0,-8183000.0,35648000,35648000,-9722000.0,25926000,-155000.0,25578000,25578000,100422000.0,213540000.0,84959000.0,492619000.0,707053000.0,404136000.0,1111189000.0,1603808000,122975000.0,130851000.0,330812000.0,518035000.0,633130000.0,963942000,2131073000.0,-1146538000.0,-342723000.0,639866000.0,1603808000,25926000.0,20010000.0,17967000.0,-33926000.0,29977000.0,-6429000.0,1742000.0,-24141000.0,-28782000.0,-54902000.0,-11229000.0,-6510000.0,-9263000,2013-03-28,44.06999969482422,44.599998474121094,44.0099983215332,44.27000045776367,44.27000045776367,405600.0
2013-06-30,292933000.0,-190363000.0,102570000.0,-59382000.0,-54919000.0,-4463000.0,43188000.0,-6341000.0,-7308000.0,36847000,36847000,-8219000.0,28628000,-915000.0,27284000,27284000,113521000.0,224030000.0,88405000.0,519757000.0,696495000.0,405346000.0,1101841000.0,1621598000,131159000.0,16163000.0,225854000.0,619771000.0,733354000.0,959208000,2145864000.0,-1163166000.0,-315439000.0,662390000.0,1621598000,28628000.0,20410000.0,7999000.0,-8071000.0,48966000.0,-9794000.0,-1347000.0,-77000.0,-11205000.0,-406282000.0,-15670000.0,-22907000.0,13099000,2013-06-28,41.22000122070313,41.400001525878906,40.97000122070313,41.02999877929688,41.02999877929688,426100.0
2013-09-30,292129000.0,-192203000.0,99926000.0,-59083000.0,-54903000.0,-4180000.0,40843000.0,1883000.0,-2176000.0,42726000,42726000,-11390000.0,31336000,-113000.0,30867000,30867000,130454000.0,224270000.0,87146000.0,547781000.0,690725000.0,405261000.0,1095986000.0,1643767000,141087000.0,16170000.0,235171000.0,624310000.0,734565000.0,969736000,2171718000.0,-1228681000.0,-284572000.0,674031000.0,1643767000,31336000.0,26916000.0,7568000.0,1787000.0,67607000.0,-9096000.0,-5299000.0,0.0,-14346000.0,-41057000.0,-64804000.0,-38913000.0,16933000,2013-09-30,45.93000030517578,46.47000122070313,45.68000030517578,46.2599983215332,46.2599983215332,344800.0
