Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,699161000.0,-447022000.0,252139000.0,-149048000.0,-43174000.0,-22141000.0,103091000.0,462000.0,103553000,-903000.0,102650000,-41297000.0,61353000,61353000,61353000,472859000.0,16800000.0,11096000.0,546607000.0,866703000.0,64489000.0,1122060000.0,1668667000,186852000.0,186852000.0,235889000.0,422741000,816961000.0,-521518000.0,949459000.0,1245926000.0,1668667000,61353000.0,22141000.0,2323000.0,40209000.0,126026000.0,-59532000.0,-29592000.0,-89124000.0,-134780000.0,-135699000.0,-98596000,2012-12-31,289.510009765625,298.20001220703125,289.30999755859375,297.4599914550781,297.4599914550781,499700.0
2013-03-31,726751000.0,-458678000.0,268073000.0,-146689000.0,-44211000.0,-22936000.0,121384000.0,266000.0,121650000,-1340000.0,120310000,-43726000.0,76584000,76584000,76584000,507503000.0,15475000.0,11431000.0,575514000.0,875597000.0,66039000.0,1137156000.0,1712670000,182116000.0,182116000.0,242463000.0,424579000,834611000.0,-572483000.0,1026043000.0,1288091000.0,1712670000,76584000.0,22936000.0,13121000.0,12609000.0,125250000.0,-36495000.0,-15098000.0,-51593000.0,-50965000.0,-48976000.0,24377000,2013-03-28,320.1700134277344,325.92999267578125,319.0199890136719,325.8699951171875,325.8699951171875,387400.0
2013-06-30,816786000.0,-504878000.0,311908000.0,-164091000.0,-50952000.0,-23597000.0,147817000.0,330000.0,148147000,-1399000.0,146748000,-58895000.0,87853000,87853000,87853000,483796000.0,14961000.0,11270000.0,555010000.0,895819000.0,67818000.0,1253921000.0,1808931000,182707000.0,182707000.0,258781000.0,441488000,856243000.0,-602583000.0,1113896000.0,1367443000.0,1808931000,87853000.0,23597000.0,27302000.0,3751000.0,142503000.0,-43635000.0,-136549000.0,-180184000.0,-30100000.0,-27647000.0,-65298000,2013-06-28,363.1600036621094,368.3900146484375,360.989990234375,364.3500061035156,364.3500061035156,460300.0
2013-09-30,826907000.0,-516340000.0,310567000.0,-171008000.0,-52726000.0,-24618000.0,139559000.0,765000.0,140324000,-2405000.0,137919000,-54540000.0,83379000,83379000,83379000,532173000.0,14575000.0,12509000.0,603782000.0,936023000.0,67927000.0,1307650000.0,1911432000,179698000.0,179698000.0,265992000.0,445690000,886242000.0,-619173000.0,1197275000.0,1465742000.0,1911432000,83379000.0,24618000.0,4661000.0,8304000.0,120962000.0,-56535000.0,-35532000.0,-92067000.0,-16590000.0,-3153000.0,26444000,2013-09-30,422.6400146484375,429.7799987792969,422.0,428.7999877929688,428.7999877929688,469700.0
2013-12-31,844147000.0,-532525000.0,311622000.0,-180911000.0,-55844000.0,-24903000.0,130711000.0,390000.0,131101000,-1607000.0,129494000,-49872000.0,79622000,79622000,79622000,578174000.0,24016000.0,13044000.0,666307000.0,963238000.0,65872000.0,1342973000.0,2009280000,199228000.0,199228000.0,271764000.0,470992000,920192000.0,-660421000.0,1276897000.0,1538288000.0,2009280000,79622000.0,24903000.0,-10426000.0,45966000.0,140065000.0,-63261000.0,-41210000.0,-104471000.0,-41248000.0,-20575000.0,15127000,2013-12-31,533.7999877929689,534.0700073242189,529.510009765625,532.780029296875,532.780029296875,197300.0
2014-03-31,904163000.0,-574846000.0,329317000.0,-192108000.0,-66917000.0,-25754000.0,137209000.0,689000.0,137898000,-1559000.0,136339000,-53270000.0,83069000,83069000,83069000,706995000.0,16582000.0,15202000.0,790791000.0,983047000.0,68241000.0,1364889000.0,2155680000,227242000.0,227242000.0,283405000.0,510647000,956735000.0,-673157000.0,1359966000.0,1645033000.0,2155680000,83069000.0,25754000.0,21558000.0,49397000.0,179778000.0,-47230000.0,-40282000.0,-87512000.0,-12736000.0,-3837000.0,88389000,2014-03-31,570.739990234375,570.97998046875,565.0,568.0499877929688,568.0499877929688,442000.0
2014-06-30,1050073000.0,-647931000.0,402142000.0,-220698000.0,-74879000.0,-27009000.0,181444000.0,1144000.0,182588000,-1602000.0,180986000,-70716000.0,110270000,110270000,110270000,804630000.0,20242000.0,15522000.0,892099000.0,1011916000.0,69459000.0,1385483000.0,2277582000,241536000.0,241536000.0,283012000.0,524548000,991543000.0,-710713000.0,1470236000.0,1753034000.0,2277582000,110270000.0,27009000.0,27349000.0,16025000.0,180653000.0,-55610000.0,-29749000.0,-85359000.0,-37556000.0,-36994000.0,58458000,2014-06-30,596.4099731445312,597.0800170898438,592.0599975585938,592.510009765625,592.510009765625,311100.0
2014-09-30,1084222000.0,-661261000.0,422961000.0,-213919000.0,-71172000.0,-27961000.0,209042000.0,785000.0,209827000,-1606000.0,208221000,-77420000.0,130801000,130801000,130801000,789609000.0,18949000.0,15885000.0,873870000.0,1052684000.0,69550000.0,1563183000.0,2437053000,264986000.0,264986000.0,278303000.0,543289000,1015974000.0,-723826000.0,1601037000.0,1893764000.0,2437053000,130801000.0,27961000.0,5999000.0,24564000.0,189325000.0,-57560000.0,-149351000.0,-206911000.0,-13113000.0,-9672000.0,-27432000,2014-09-30,663.7999877929688,669.780029296875,657.8300170898438,666.5900268554688,666.5900268554688,460500.0
2014-12-31,1069811000.0,-672231000.0,397580000.0,-207499000.0,-60929000.0,-29750000.0,190081000.0,885000.0,190966000,-2209000.0,188757000,-67523000.0,121234000,121234000,121234000,758057000.0,34839000.0,15332000.0,859511000.0,1106984000.0,64716000.0,1667806000.0,2527317000,245710000.0,245710000.0,269238000.0,514948000,1039286000.0,-748759000.0,1722271000.0,2012369000.0,2527317000,121234000.0,29750000.0,6285000.0,-24958000.0,132311000.0,-92190000.0,-46872000.0,-139062000.0,-24933000.0,-16234000.0,-23153000,2014-12-31,685.5499877929688,693.9600219726562,683.4299926757812,684.510009765625,684.510009765625,302500.0
2015-03-31,1089043000.0,-676362000.0,412681000.0,-210680000.0,-63061000.0,-30643000.0,202001000.0,1223000.0,203224000,-4200000.0,199024000,-76383000.0,122641000,122641000,122641000,890534000.0,21480000.0,16052000.0,984695000.0,1119469000.0,68473000.0,1719024000.0,2703719000,277121000.0,277121000.0,292264000.0,569385000,1066571000.0,-772008000.0,1844912000.0,2134334000.0,2703719000,122641000.0,30643000.0,4900000.0,84535000.0,242719000.0,-59363000.0,-44114000.0,-103477000.0,-23249000.0,-12541000.0,123492000,2015-03-31,653.8200073242188,659.260009765625,650.5399780273438,650.5399780273438,650.5399780273438,331400.0
