Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2015-03-31,3736051000.0,-2623232000.0,1112819000.0,-861438000.0,-825554000.0,-35884000.0,251381000.0,251381000,251381000,-90371000.0,161010000,161010000,161010000,166495000.0,1978233000.0,3007295000.0,5634699000.0,646116000.0,1957540000.0,2603656000.0,8238355000,2728814000.0,393697000.0,3759361000.0,500000000.0,1287952000.0,5047313000,181904000.0,3825716000.0,3191042000.0,8238355000,161010000.0,35884000.0,-418000.0,-73964000.0,122512000.0,-16427000.0,-30129000.0,-46556000.0,-88039000.0,129910000.0,-84252000.0,-42451000.0,28765000,2015-03-31,92.79000091552734,94.58000183105469,92.7699966430664,93.19000244140624,77.37761688232422,959500.0
2015-06-30,3940401000.0,-2762071000.0,1178330000.0,-868213000.0,-832610000.0,-35603000.0,310117000.0,310117000,310117000,-114744000.0,195373000,195373000,195373000,223840000.0,2008445000.0,3025165000.0,5763520000.0,640534000.0,2009579000.0,2650113000.0,8413633000,2838009000.0,350000000.0,3867622000.0,500000000.0,1290513000.0,5158135000,186018000.0,3867298000.0,3255498000.0,8413633000,195373000.0,35603000.0,3764000.0,96856000.0,331596000.0,-21037000.0,-50011000.0,-71048000.0,-93844000.0,-47877000.0,-60967000.0,-203232000.0,57345000,2015-06-30,90.01000213623047,90.23999786376952,89.37999725341797,89.52999877929688,74.84818267822266,774400.0
2015-09-30,3921802000.0,-2752577000.0,1169225000.0,-868650000.0,-834372000.0,-34278000.0,300575000.0,300575000,300575000,-112559000.0,188016000,188016000,188016000,199294000.0,1963158000.0,2967724000.0,5623482000.0,628461000.0,1951185000.0,2579646000.0,8203128000,2950570000.0,125000000.0,3764068000.0,500000000.0,1268036000.0,5032104000,189969000.0,3883403000.0,3171024000.0,8203128000,188016000.0,34277000.0,4855000.0,214731000.0,441879000.0,-24530000.0,-35274000.0,-59804000.0,-93496000.0,-225000000.0,-79956000.0,-398487000.0,-24546000,2015-09-30,82.63999938964844,83.30000305175781,81.94000244140625,82.88999938964844,69.82589721679689,1065000.0
2015-12-31,3681790000.0,-2586312000.0,1095478000.0,-812208000.0,-784854000.0,-35910000.0,283270000.0,261608000,261608000,-100335000.0,161273000,161273000,161273000,211631000.0,1822419000.0,2999966000.0,5555316000.0,648217000.0,1941238000.0,2589455000.0,8144771000,3062386000.0,375000000.0,3940654000.0,250000000.0,1044875000.0,4985529000,191434000.0,3885751000.0,3159242000.0,8144771000,161273000.0,35911000.0,34847000.0,31355000.0,263386000.0,-38932000.0,-47287000.0,-86219000.0,-92905000.0,0.0,-67100000.0,-161904000.0,12337000,2015-12-31,86.30999755859375,86.6500015258789,85.7699966430664,85.88999938964844,72.84751892089844,550900.0
2016-03-31,3718267000.0,-2613796000.0,1104471000.0,-857826000.0,-823172000.0,-34654000.0,246645000.0,246645000,246645000,-88620000.0,158025000,158025000,158025000,205135000.0,1981651000.0,3074641000.0,5770268000.0,648204000.0,2032055000.0,2680259000.0,8450527000,3105794000.0,450000000.0,4211926000.0,250000000.0,994889000.0,5206815000,194667000.0,3899582000.0,3243712000.0,8450527000,158025000.0,34654000.0,-895000.0,-56739000.0,135045000.0,-11670000.0,-73625000.0,-85295000.0,-92596000.0,75000000.0,-46431000.0,-64469000.0,-6496000,2016-03-31,99.12000274658205,99.58999633789062,98.51000213623048,99.36000061035156,84.87239837646484,681200.0
2016-06-30,3899638000.0,-2734186000.0,1165452000.0,-865400000.0,-829489000.0,-35911000.0,300052000.0,300052000,300052000,-108683000.0,191369000,191369000,191369000,233627000.0,2031094000.0,3062673000.0,5866142000.0,685385000.0,2082582000.0,2767967000.0,8634109000,3202195000.0,525000000.0,4406170000.0,250000000.0,977710000.0,5383880000,199009000.0,3920775000.0,3250229000.0,8634109000,191369000.0,35911000.0,3357000.0,164810000.0,395447000.0,-38041000.0,-231810000.0,-269851000.0,-98338000.0,75000000.0,-72966000.0,-96949000.0,28492000,2016-06-30,99.6999969482422,101.27999877929688,99.12999725341795,101.25,87.07799530029297,1009300.0
2016-09-30,3941743000.0,-2743142000.0,1198601000.0,-907244000.0,-869562000.0,-37682000.0,291357000.0,291357000,291357000,-106031000.0,185326000,185326000,185326000,225177000.0,2032548000.0,3146157000.0,5908482000.0,688851000.0,2152039000.0,2840890000.0,8749372000,3229987000.0,475000000.0,4401531000.0,300000000.0,1012547000.0,5414078000,203738000.0,3983984000.0,3335294000.0,8749372000,185326000.0,37682000.0,2425000.0,-14573000.0,210860000.0,-36939000.0,-60110000.0,-97049000.0,-97975000.0,0.0,-24413000.0,-122768000.0,-8450000,2016-09-30,100.01000213623048,100.83999633789062,100.0,100.4499969482422,86.95276641845703,655900.0
2016-12-31,3780065000.0,-2648982000.0,1131083000.0,-873713000.0,-869748000.0,-39240000.0,257370000.0,236286000,236286000,-83766000.0,152520000,152520000,152520000,242879000.0,1938562000.0,3210320000.0,5948431000.0,728124000.0,2182845000.0,2910969000.0,8859400000,3185049000.0,325000000.0,4244150000.0,550000000.0,1407894000.0,5652044000,205015000.0,4001734000.0,3207356000.0,8859400000,152520000.0,39240000.0,20800000.0,-7834000.0,204726000.0,-45182000.0,-96622000.0,-141804000.0,-97954000.0,100000000.0,-37607000.0,-38220000.0,17702000,2016-12-30,96.66999816894531,96.94000244140624,94.87999725341795,95.54000091552734,83.26449584960938,610800.0
2017-03-31,3905641000.0,-2749920000.0,1155721000.0,-905167000.0,-877356000.0,-38132000.0,250554000.0,243775000,243775000,-83615000.0,160160000,160160000,160160000,177917000.0,2084871000.0,3287042000.0,6194062000.0,737206000.0,2235558000.0,2972764000.0,9166826000,3396079000.0,475000000.0,4579833000.0,550000000.0,1354649000.0,5934482000,205058000.0,3964184000.0,3232344000.0,9166826000,160160000.0,38132000.0,1171000.0,-97643000.0,101820000.0,-24806000.0,-106236000.0,-131042000.0,-97584000.0,150000000.0,-91984000.0,-41192000.0,-64962000,2017-03-31,92.29000091552734,93.27999877929688,91.93000030517578,92.41000366210938,81.1221694946289,685400.0
2017-06-30,4100178000.0,-2860466000.0,1239712000.0,-935129000.0,-906943000.0,-39232000.0,304583000.0,297137000,297137000,-107165000.0,189972000,189972000,189972000,203145000.0,2169970000.0,3330189000.0,6301416000.0,740776000.0,2369952000.0,3110728000.0,9412144000,3430378000.0,580000000.0,4801167000.0,550000000.0,1309634000.0,6110801000,208440000.0,4001073000.0,3301343000.0,9412144000,189972000.0,39232000.0,4670000.0,9590000.0,243464000.0,-29289000.0,-133980000.0,-163269000.0,-99824000.0,105000000.0,-61524000.0,-57738000.0,25228000,2017-06-30,91.37999725341795,93.23999786376952,91.1999969482422,92.76000213623048,82.03050231933594,827500.0
