Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2013-09-30,1408800000.0,-818200000.0,590600000.0,-295300000.0,-295300000.0,295300000.0,-42700000.0,-44200000.0,252600000,-900000.0,251700000,-37300000.0,214400000,214400000,214400000,1742700000.0,1742700000.0,208600000.0,7989600000.0,8198200000.0,9940900000,795900000.0,4576700000.0,3968700000.0,4313900000.0,8890600000,383600000.0,832000000.0,1050300000.0,9940900000,214400000.0,68600000.0,2900000.0,47500000.0,333400000.0,-59500000.0,-100000000.0,-159500000.0,-69000000.0,249300000.0,-6900000.0,173400000.0,347300000,2013-09-30,18.520000457763672,18.71999931335449,18.479999542236328,18.65999984741211,14.221578598022461,4262700.0
2013-12-31,1421900000.0,-845700000.0,576200000.0,-337800000.0,-337800000.0,238400000.0,-44900000.0,-46200000.0,193500000,-700000.0,192800000,-19400000.0,173400000,173400000,173400000,2073100000.0,2073100000.0,209900000.0,7838300000.0,8048200000.0,10121300000,855800000.0,4484400000.0,4213000000.0,4532200000.0,9016600000,396400000.0,877300000.0,1104700000.0,10121300000,173400000.0,64900000.0,3500000.0,35900000.0,277700000.0,-75100000.0,0.0,-75100000.0,-68600000.0,248000000.0,-51600000.0,127800000.0,330400000,2013-12-31,17.25,17.360000610351562,17.100000381469727,17.25,13.245744705200195,2882900.0
2014-03-31,1350800000.0,-797200000.0,553600000.0,-281600000.0,-281600000.0,272000000.0,-44000000.0,-42900000.0,228000000,-600000.0,227400000,-24400000.0,203000000,203000000,203000000,1694000000.0,1694000000.0,214000000.0,8014600000.0,8228600000.0,9922600000,796100000.0,4703600000.0,3844100000.0,4151300000.0,8854900000,410600000.0,827100000.0,1067700000.0,9922600000,203000000.0,67200000.0,-5300000.0,-68100000.0,196800000.0,-45600000.0,100200000.0,44400000.0,-67600000.0,-370000000.0,-182700000.0,-620300000.0,-379100000,2014-03-31,16.270000457763672,16.420000076293945,16.260000228881836,16.360000610351562,12.657367706298828,3519800.0
2014-06-30,1405600000.0,-827800000.0,577800000.0,-299500000.0,-299500000.0,278300000.0,-44200000.0,-40500000.0,234100000,-2000000.0,232100000,-38300000.0,193800000,193800000,193800000,1604700000.0,1604700000.0,208500000.0,8061400000.0,8269900000.0,9874600000,755600000.0,4741100000.0,3754100000.0,4063300000.0,8804400000,422600000.0,810100000.0,1070200000.0,9874600000,193800000.0,68400000.0,37300000.0,-46200000.0,253300000.0,-50700000.0,0.0,-51100000.0,-66800000.0,-95000000.0,-129700000.0,-291500000.0,-89300000,2014-06-30,17.25,17.379999160766598,17.200000762939453,17.34000015258789,13.518927574157715,8587600.0
2014-09-30,1440900000.0,-840500000.0,600400000.0,-286300000.0,-286300000.0,314100000.0,-41800000.0,-41400000.0,272300000,500000.0,272800000,-38700000.0,234100000,234100000,234100000,1667400000.0,1667400000.0,205700000.0,7973500000.0,8179200000.0,9846600000,797600000.0,4656700000.0,3714200000.0,4010200000.0,8666900000,434400000.0,856200000.0,1179700000.0,9846600000,234100000.0,66800000.0,-24500000.0,48800000.0,325200000.0,-33000000.0,0.0,-33000000.0,-65500000.0,-35000000.0,-129000000.0,-229500000.0,62700000,2014-09-30,16.120000839233402,16.170000076293945,15.970000267028807,16.040000915527347,12.596841812133787,4556400.0
2014-12-31,1409900000.0,-831900000.0,578000000.0,-301900000.0,-301900000.0,276100000.0,-40100000.0,-40300000.0,236000000,-100000.0,235900000,-14400000.0,221500000,221500000,221500000,1783200000.0,1783200000.0,206400000.0,7900800000.0,8107200000.0,9890400000,766700000.0,4564600000.0,3720400000.0,4025400000.0,8590000000,450600000.0,968700000.0,1300400000.0,9890400000,221500000.0,69500000.0,15200000.0,-35600000.0,270600000.0,-49700000.0,0.0,-49700000.0,-65300000.0,0.0,-39800000.0,-105100000.0,115800000,2014-12-31,18.020000457763672,18.100000381469727,17.899999618530273,17.90999984741211,14.165009498596193,3073100.0
2015-09-30,1399200000.0,-817200000.0,582000000.0,-277500000.0,-277500000.0,304500000.0,-40500000.0,-39200000.0,264000000,1400000.0,265400000,-33100000.0,232300000,232300000,232300000,1414400000.0,1414400000.0,224800000.0,8176700000.0,8401500000.0,9815900000,847100000.0,4670600000.0,3483800000.0,3798100000.0,8468700000,561200000.0,912300000.0,1347200000.0,9815900000,232300000.0,74400000.0,7900000.0,23900000.0,338500000.0,-84300000.0,-11200000.0,-95500000.0,-78500000.0,-250000000.0,-130600000.0,-459100000.0,-216100000,2015-09-30,18.309999465942386,18.51000022888184,18.010000228881836,18.36000061035156,14.86716079711914,4902700.0
2015-12-31,1380000000.0,-811000000.0,569000000.0,-287200000.0,-287200000.0,281800000.0,-43700000.0,-38300000.0,238100000,-1200000.0,236900000,-24600000.0,212300000,212300000,212300000,1315900000.0,1315900000.0,231800000.0,7901500000.0,8133300000.0,9449200000,818100000.0,4555800000.0,3215900000.0,3488500000.0,8044300000,571500000.0,977300000.0,1404900000.0,9449200000,212300000.0,69000000.0,-9000000.0,-5400000.0,266900000.0,-59800000.0,300000.0,31500000.0,-78000000.0,-250000000.0,-68900000.0,-396900000.0,-98500000,2015-12-31,18.100000381469727,18.190000534057614,17.90999984741211,17.90999984741211,14.627758026123047,2210000.0
2016-03-31,1297700000.0,-779400000.0,518300000.0,-259700000.0,-259700000.0,258600000.0,-41600000.0,-39600000.0,217000000,500000.0,217500000,-31800000.0,185700000,185700000,185700000,1160000000.0,1160000000.0,226300000.0,8032000000.0,8258300000.0,9418300000,801200000.0,4676900000.0,3225700000.0,3502400000.0,8179300000,590200000.0,827900000.0,1239000000.0,9418300000,185700000.0,65600000.0,36700000.0,-75300000.0,212700000.0,-47900000.0,-11200000.0,-63300000.0,-79300000.0,0.0,-226000000.0,-305300000.0,-155900000,2016-03-31,19.32999992370605,19.520000457763672,19.270000457763672,19.290000915527344,15.887948036193848,4740400.0
2016-06-30,1375700000.0,-821900000.0,553800000.0,-293500000.0,-293500000.0,260300000.0,-39200000.0,-40300000.0,221100000,1400000.0,222500000,-16900000.0,205600000,205600000,205600000,1162600000.0,1162600000.0,221700000.0,8010600000.0,8232300000.0,9394900000,725600000.0,4583900000.0,3228500000.0,3496600000.0,8080500000,602200000.0,877200000.0,1314400000.0,9394900000,205600000.0,65900000.0,5600000.0,-4200000.0,272900000.0,-60800000.0,-21700000.0,-93800000.0,-78100000.0,0.0,-98400000.0,-176500000.0,2600000,2016-06-30,18.84000015258789,19.18000030517578,18.739999771118164,19.18000030517578,15.93108081817627,3508800.0
2016-09-30,1377800000.0,-822900000.0,554900000.0,-276600000.0,-276600000.0,278300000.0,-38600000.0,-40300000.0,239700000,300000.0,240000000,-23100000.0,216900000,216900000,216900000,1280700000.0,1280700000.0,224400000.0,8013600000.0,8238000000.0,9518700000,793200000.0,4633500000.0,3224800000.0,3497600000.0,8131100000,633600000.0,930900000.0,1387600000.0,9518700000,216900000.0,66400000.0,19700000.0,33300000.0,336300000.0,-68300000.0,-7000000.0,-76800000.0,-77700000.0,0.0,-63700000.0,-141400000.0,118100000,2016-09-30,20.56999969482422,20.90999984741211,20.520000457763672,20.81999969482422,17.42884635925293,6330800.0
2016-12-31,1371700000.0,-845800000.0,525900000.0,-839400000.0,-839400000.0,-313500000.0,-27100000.0,-28800000.0,-340600000,2300000.0,-338300000,-16700000.0,-355000000,-355000000,-355000000,877500000.0,877500000.0,220500000.0,8321600000.0,8542100000.0,9419600000,1536900000.0,5645400000.0,2786100000.0,2872000000.0,8517400000,645700000.0,419300000.0,902200000.0,9419600000,-355000000.0,65300000.0,-137900000.0,647600000.0,220000000.0,-52800000.0,-14900000.0,-37200000.0,-77100000.0,-430400000.0,-78500000.0,-586000000.0,-403200000,2016-12-30,21.84000015258789,21.899999618530273,21.600000381469727,21.71999931335449,18.318321228027344,2549200.0
2017-03-31,1302400000.0,-800500000.0,501900000.0,-262400000.0,-262400000.0,239500000.0,-29000000.0,-30200000.0,210500000,2600000.0,213100000,-51400000.0,161700000,161700000,161700000,1323300000.0,1323300000.0,209300000.0,7953400000.0,8162700000.0,9486000000,1376200000.0,5109500000.0,3490900000.0,3626200000.0,8735700000,664400000.0,259700000.0,750300000.0,9486000000,161700000.0,66400000.0,76000000.0,-217800000.0,86300000.0,-26400000.0,-9000000.0,-50600000.0,-83300000.0,706900000.0,-213500000.0,410100000.0,445800000,2017-03-31,20.459999084472656,20.46999931335449,20.26000022888184,20.350000381469727,17.31235122680664,5600300.0
2017-06-30,1378900000.0,-842900000.0,536000000.0,-321200000.0,-321200000.0,214800000.0,-32600000.0,-34300000.0,182200000,2200000.0,184400000,-17900000.0,166500000,166500000,166500000,1059200000.0,1059200000.0,215300000.0,8133700000.0,8349000000.0,9408200000,927600000.0,4983900000.0,3627400000.0,3763100000.0,8747000000,676700000.0,193900000.0,661200000.0,9408200000,166500000.0,65200000.0,28200000.0,-370200000.0,-110300000.0,-48900000.0,8600000.0,-40700000.0,-81500000.0,134300000.0,-165900000.0,-113100000.0,-264100000,2017-06-30,18.8700008392334,19.13999938964844,18.84000015258789,19.049999237060547,16.353544235229492,4475600.0
2017-12-31,1438300000.0,-869100000.0,569200000.0,-355900000.0,-355900000.0,213300000.0,-33700000.0,-36800000.0,179600000,-468800000.0,-289200000,-831700000.0,-1120900000,-1120900000,-1120900000,838200000.0,838200000.0,214200000.0,8179000000.0,8393200000.0,9231400000,1970500000.0,6516200000.0,3033600000.0,3206600000.0,9722800000,702400000.0,-965900000.0,-491400000.0,9231400000,-1120900000.0,65800000.0,527400000.0,846600000.0,318900000.0,-54600000.0,700000.0,81500000.0,-80300000.0,-500200000.0,-8900000.0,-590700000.0,-190300000,2017-12-29,19.07999992370605,19.149999618530273,19.01000022888184,19.01000022888184,16.620338439941403,2825800.0
2019-06-30,1340500000.0,-776400000.0,564100000.0,-305200000.0,-305200000.0,258900000.0,-37900000.0,-37600000.0,221000000,524600000.0,745600000,-130800000.0,614800000,614800000,614800000,1210200000.0,1210200000.0,224100000.0,7609000000.0,7833100000.0,9043300000,1543400000.0,5766600000.0,3080200000.0,3246500000.0,9013100000,805600000.0,-569700000.0,30200000.0,9043300000,614800000.0,64800000.0,-508200000.0,-8400000.0,163000000.0,-37400000.0,9100000.0,703700000.0,-85500000.0,-292000000.0,-151300000.0,-529500000.0,337200000,2019-06-28,19.770000457763672,19.88999938964844,19.709999084472656,19.88999938964844,18.456104278564453,5450600.0
2019-12-31,1307700000.0,-756500000.0,551200000.0,-324700000.0,-324700000.0,226500000.0,-29000000.0,-35400000.0,197500000,0.0,197500000,-62100000.0,135400000,135400000,135400000,1450500000.0,1450500000.0,186900000.0,7121100000.0,7308000000.0,8758500000,1621600000.0,5416600000.0,3229300000.0,3381400000.0,8798000000,845400000.0,-675900000.0,-39500000.0,8758500000,135400000.0,67000001.0,30400000.0,16500000.0,249300001.0,-34200000.0,-20300000.0,-24700000.0,-83700000.0,-19000000.0,-60100000.0,-165999999.0,58600002,2019-12-31,26.71999931335449,26.88999938964844,26.63999938964844,26.78000068664551,25.24576759338379,3275700.0
