Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,8362000000.0,-6766000000.0,1596000000.0,-529000000.0,-529000000.0,1067000000.0,-22000000.0,-19000000.0,1045000000,1045000000,-308000000.0,737000000,-36000000.0,701000000,701000000,4388000000.0,4050000000.0,3221000000.0,17407000000.0,3329000000.0,14601000000.0,17930000000.0,35337000000,2057000000.0,501000000.0,13751000000.0,3392000000.0,9757000000.0,23508000000,3030000000.0,-9396000000.0,21127000000.0,11829000000.0,35337000000,737000000.0,120000000.0,142000000.0,-969000000.0,40000000.0,-89000000.0,-276000000.0,-204000000.0,0.0,-193000000.0,-481000000.0,-717000000,2014-12-31,139.19999694824222,139.88999938964844,137.50999450683594,137.6199951171875,118.69778442382812,1169400.0
2015-03-31,7784000000.0,-6254000000.0,1530000000.0,-503000000.0,-503000000.0,1027000000.0,-18000000.0,-21000000.0,1009000000,1009000000,-293000000.0,716000000,0.0,716000000,716000000,4412000000.0,3661000000.0,3397000000.0,16352000000.0,3323000000.0,14710000000.0,18033000000.0,34385000000,2266000000.0,1000000.0,13112000000.0,3410000000.0,9753000000.0,22865000000,3070000000.0,-9949000000.0,21615000000.0,11520000000.0,34385000000,716000000.0,124000000.0,2000000.0,-97000000.0,737000000.0,-98000000.0,496000000.0,-206000000.0,-500000000.0,-533000000.0,-1209000000.0,24000000,2015-03-31,136.47999572753906,137.0,135.66999816894528,135.72999572753906,117.59679412841795,1286400.0
2015-09-30,7994000000.0,-6484000000.0,1510000000.0,-476000000.0,-476000000.0,1034000000.0,-21000000.0,-23000000.0,1013000000,1013000000,-280000000.0,733000000,0.0,733000000,733000000,3372000000.0,3796000000.0,3239000000.0,15288000000.0,3370000000.0,14322000000.0,17692000000.0,32980000000,2387000000.0,501000000.0,13178000000.0,2912000000.0,9068000000.0,22246000000,3179000000.0,-11915000000.0,22655000000.0,10734000000.0,32980000000,733000000.0,117000000.0,80000000.0,-93000000.0,822000000.0,-139000000.0,-133000000.0,-223000000.0,0.0,-1122000000.0,-1349000000.0,-660000000,2015-09-30,137.3800048828125,138.50999450683594,136.28999328613278,137.94999694824222,120.72151184082031,1557700.0
2015-12-31,8121000000.0,-6477000000.0,1644000000.0,-491000000.0,-491000000.0,1153000000.0,-17000000.0,-19000000.0,1136000000,1136000000,-301000000.0,835000000,0.0,835000000,835000000,2785000000.0,3446000000.0,3366000000.0,14571000000.0,3466000000.0,13960000000.0,17426000000.0,31997000000,1964000000.0,501000000.0,12445000000.0,2898000000.0,8814000000.0,21259000000,3212000000.0,-12392000000.0,23204000000.0,10738000000.0,31997000000,835000000.0,121000000.0,139000000.0,-758000000.0,325000000.0,-208000000.0,-218000000.0,-218000000.0,0.0,-476000000.0,-694000000.0,-587000000,2015-12-31,138.5,138.74000549316406,136.6199951171875,137.36000061035156,120.79776000976562,786500.0
2016-09-30,7657000000.0,-6171000000.0,1486000000.0,-471000000.0,-471000000.0,1015000000.0,-21000000.0,-23000000.0,994000000,994000000,-263000000.0,731000000,-84000000.0,647000000,647000000,2303000000.0,3502000000.0,3657000000.0,15297000000.0,3445000000.0,13926000000.0,17371000000.0,32668000000,2276000000.0,1000000.0,11893000000.0,3885000000.0,9458000000.0,21351000000,3271000000.0,-13724000000.0,24661000000.0,11317000000.0,32668000000,731000000.0,109000000.0,163000000.0,-504000000.0,489000000.0,-110000000.0,-97000000.0,-231000000.0,492000000.0,-325000000.0,12000000.0,404000000,2016-09-30,156.36000061035156,156.9499969482422,154.69000244140625,155.16000366210938,138.75453186035156,1856900.0
2016-12-31,7654000000.0,-6372000000.0,1282000000.0,-504000000.0,-504000000.0,778000000.0,-33000000.0,-23000000.0,745000000,745000000,-165000000.0,580000000,-10000000.0,570000000,570000000,2334000000.0,3399000000.0,5118000000.0,16534000000.0,3477000000.0,13161000000.0,16638000000.0,33172000000,2538000000.0,900000000.0,13450000000.0,2988000000.0,9421000000.0,22871000000,3301000000.0,-14156000000.0,24543000000.0,10301000000.0,33172000000,580000000.0,113000000.0,55000000.0,43000000.0,781000000.0,-139000000.0,-109000000.0,-233000000.0,0.0,-190000000.0,-641000000.0,31000000,2016-12-30,173.75,174.27000427246094,171.64999389648438,172.66000366210938,155.1722869873047,1192200.0
2017-09-30,7580000000.0,-6014000000.0,1566000000.0,-503000000.0,-503000000.0,1063000000.0,-36000000.0,-27000000.0,1027000000,1027000000,-263000000.0,764000000,0.0,764000000,764000000,2722000000.0,3391000000.0,5781000000.0,18080000000.0,3461000000.0,13373000000.0,16834000000.0,34914000000,2718000000.0,903000000.0,13209000000.0,3979000000.0,10141000000.0,23350000000,3323000000.0,-15166000000.0,26058000000.0,11564000000.0,34914000000,764000000.0,106000000.0,103000000.0,-101000000.0,861000000.0,-120000000.0,-390000000.0,-252000000.0,984000000.0,-271000000.0,395000000.0,866000000,2017-09-29,204.8300018310547,205.7100067138672,204.0200042724609,205.5800018310547,187.18096923828125,732200.0
2017-12-31,8277000000.0,-6680000000.0,1597000000.0,-537000000.0,-537000000.0,1060000000.0,-52000000.0,-27000000.0,1008000000,1008000000,-372000000.0,636000000,0.0,636000000,636000000,2983000000.0,3617000000.0,5303000000.0,18328000000.0,3517000000.0,13201000000.0,16718000000.0,35046000000,3207000000.0,2000000.0,13099000000.0,3980000000.0,10512000000.0,23611000000,3354000000.0,-15543000000.0,26444000000.0,11435000000.0,35046000000,636000000.0,115000000.0,276000000.0,967000000.0,1982000000.0,-105000000.0,-203000000.0,-251000000.0,-898000000.0,-223000000.0,-1518000000.0,261000000,2017-12-29,204.0,204.63999938964844,203.2100067138672,203.4499969482422,185.9809417724609,768800.0
2018-09-30,9094000000.0,-7407000000.0,1687000000.0,-552000000.0,-552000000.0,1135000000.0,-112000000.0,-114000000.0,1023000000,1023000000,-159000000.0,864000000,-13000000.0,851000000,851000000,1010000000.0,3736000000.0,6247000000.0,19958000000.0,4244000000.0,22761000000.0,27005000000.0,46963000000,3033000000.0,1678000000.0,15689000000.0,11403000000.0,18519000000.0,34208000000,3396000000.0,-15971000000.0,28691000000.0,12755000000.0,46963000000,864000000.0,215000000.0,-21000000.0,-268000000.0,782000000.0,-168000000.0,-73000000.0,-275000000.0,-1118000000.0,-97000000.0,-1561000000.0,-852000000,2018-09-28,201.97999572753903,204.9900054931641,201.1100006103516,204.72000122070312,189.63986206054688,1569700.0
2018-12-31,10378000000.0,-8630000000.0,1748000000.0,-585000000.0,-585000000.0,1163000000.0,-31000000.0,-112000000.0,1132000000,1132000000,-223000000.0,909000000,0.0,909000000,909000000,963000000.0,3759000000.0,5977000000.0,18189000000.0,3978000000.0,23241000000.0,27219000000.0,45408000000,3179000000.0,973000000.0,14739000000.0,11444000000.0,18937000000.0,33676000000,3428000000.0,-17244000000.0,29326000000.0,11732000000.0,45408000000,909000000.0,-106000000.0,420000000.0,844000000.0,2061000000.0,319000000.0,83000000.0,-274000000.0,304000000.0,-1236000000.0,-2191000000.0,-47000000,2018-12-31,156.41000366210938,157.2100067138672,155.38999938964844,157.2100067138672,146.29090881347656,1223200.0
2019-09-30,9761000000.0,-7973000000.0,1788000000.0,-572000000.0,-572000000.0,1216000000.0,-126000000.0,-114000000.0,1090000000,1090000000,-177000000.0,913000000,0.0,913000000,913000000,974000000.0,3489000000.0,6573000000.0,20151000000.0,4217000000.0,24420000000.0,28637000000.0,48788000000,2999000000.0,4661000000.0,18227000000.0,8989000000.0,17048000000.0,35275000000,3481000000.0,-17346000000.0,30909000000.0,13513000000.0,48788000000,913000000.0,210000000.0,-24000000.0,-8000000.0,1078000000.0,-244000000.0,-241000000.0,-295000000.0,-447000000.0,0.0,-565000000.0,272000000,2019-09-30,183.3600006103516,184.32000732421875,182.66000366210938,182.72999572753903,173.0079345703125,1187700.0
2019-12-31,10773000000.0,-8888000000.0,1885000000.0,-635000000.0,-635000000.0,1250000000.0,-36000000.0,-110000000.0,1214000000,1214000000,-194000000.0,1020000000,0.0,1020000000,1020000000,902000000.0,3544000000.0,6306000000.0,20288000000.0,4475000000.0,24586000000.0,29061000000.0,49349000000,3162000000.0,2920000000.0,16801000000.0,9010000000.0,18570000000.0,35371000000,3521000000.0,-17358000000.0,31633000000.0,13978000000.0,49349000000,1020000000.0,-159000000.0,557000000.0,976000000.0,2380000000.0,-367000000.0,-390000000.0,-294000000.0,-1506000000.0,0.0,-2062000000.0,-72000000,2019-12-31,175.97999572753906,176.8699951171875,175.32000732421875,176.35000610351562,167.93490600585938,726300.0
