Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-09-30,46852000000.0,-29039000000.0,17813000000.0,-6052000000.0,-3482000000.0,-2570000000.0,11761000000.0,427000000.0,12188000000,12188000000,-3174000000.0,9014000000,9014000000,9014000000,67155000000.0,15754000000.0,2132000000.0,106869000000.0,27010000000.0,170430000000.0,17377000000.0,214817000000.0,321686000000,59321000000.0,11605000000.0,79006000000.0,75427000000.0,114431000000.0,193437000000,31251000000.0,96364000000.0,128249000000.0,321686000000,9014000000.0,2548000000.0,777000000.0,4194000000.0,16533000000.0,-3224000000.0,-4795000000.0,1225000000.0,-7397000000.0,-3092000000.0,2581000000.0,-5778000000.0,-6889000000.0,2247000000,2016-09-30,28.114999771118164,28.34250068664551,27.95000076293945,28.26250076293945,26.505720138549805,145516400.0
2016-12-31,78351000000.0,-48175000000.0,30176000000.0,-6817000000.0,-3946000000.0,-2871000000.0,23359000000.0,821000000.0,24180000000,24180000000,-6289000000.0,17891000000,17891000000,17891000000,60452000000.0,14057000000.0,2712000000.0,103332000000.0,26510000000.0,185638000000.0,15661000000.0,227809000000.0,331141000000,62249000000.0,13992000000.0,84130000000.0,73557000000.0,114621000000.0,198751000000,32144000000.0,100001000000.0,132390000000.0,331141000000,17891000000.0,2987000000.0,2708000000.0,3648000000.0,27234000000.0,-3420000000.0,-15581000000.0,-17000000.0,-19122000000.0,-3130000000.0,2385000000.0,-10851000000.0,-12225000000.0,-4113000000,2016-12-30,29.16250038146973,29.29999923706055,28.857500076293945,28.95499992370605,27.29458999633789,122345200.0
2017-03-31,52896000000.0,-32305000000.0,20591000000.0,-6494000000.0,-3718000000.0,-2776000000.0,14097000000.0,587000000.0,14684000000,14684000000,-3655000000.0,11029000000,11029000000,11029000000,67101000000.0,11579000000.0,2910000000.0,101990000000.0,27163000000.0,189740000000.0,15639000000.0,232542000000.0,334532000000,51669000000.0,13991000000.0,73342000000.0,84531000000.0,127108000000.0,200450000000,33579000000.0,100925000000.0,134082000000.0,334532000000,11029000000.0,2332000000.0,2587000000.0,-3378000000.0,12570000000.0,-2889000000.0,-11357000000.0,-50000000.0,-14202000000.0,-3004000000.0,10469000000.0,-6888000000.0,418000000.0,-1214000000,2017-03-31,35.93000030517578,36.06750106811523,35.752498626708984,35.915000915527344,34.002254486083984,78646800.0
2017-06-30,45408000000.0,-27920000000.0,17488000000.0,-6720000000.0,-3783000000.0,-2937000000.0,10768000000.0,540000000.0,11308000000,11308000000,-2591000000.0,8717000000,8717000000,8717000000,76759000000.0,12399000000.0,3146000000.0,112875000000.0,29286000000.0,184757000000.0,18255000000.0,232298000000.0,345173000000,55219000000.0,18475000000.0,81302000000.0,89864000000.0,131446000000.0,212748000000,34445000000.0,98525000000.0,132425000000.0,345173000000,8717000000.0,2354000000.0,3135000000.0,-5534000000.0,8672000000.0,-2277000000.0,-836000000.0,-181000000.0,-3180000000.0,-3365000000.0,9237000000.0,-7092000000.0,-2078000000.0,3414000000,2017-06-30,36.11249923706055,36.2400016784668,35.94499969482422,36.005001068115234,34.228164672851555,92096400.0
2017-09-30,52579000000.0,-32648000000.0,19931000000.0,-6811000000.0,-3814000000.0,-2997000000.0,13120000000.0,797000000.0,13917000000,13917000000,-3203000000.0,10714000000,10714000000,10714000000,74181000000.0,17874000000.0,4855000000.0,128645000000.0,33783000000.0,194714000000.0,18177000000.0,246674000000.0,375319000000,44242000000.0,18473000000.0,100814000000.0,97207000000.0,140458000000.0,241272000000,35867000000.0,98330000000.0,134047000000.0,375319000000,10714000000.0,2484000000.0,2376000000.0,175000000.0,15749000000.0,-3865000000.0,-5768000000.0,-81000000.0,-9942000000.0,-3270000000.0,6923000000.0,-7514000000.0,-4089000000.0,1718000000,2017-09-29,38.3025016784668,38.53250122070313,38.0,38.52999877929688,36.77239227294922,105199200.0
2017-12-31,88293000000.0,-54381000000.0,33912000000.0,-7638000000.0,-4231000000.0,-3407000000.0,26274000000.0,756000000.0,27030000000,27030000000,-6965000000.0,20065000000,20065000000,20065000000,77153000000.0,23440000000.0,4421000000.0,143810000000.0,33679000000.0,207944000000.0,21361000000.0,262984000000.0,406794000000,89266000000.0,18478000000.0,115788000000.0,103922000000.0,150807000000.0,266595000000,36447000000.0,104593000000.0,140199000000.0,406794000000,20065000000.0,2745000000.0,-32441000000.0,37924000000.0,28293000000.0,-2810000000.0,-10564000000.0,-173000000.0,-13590000000.0,-3339000000.0,6971000000.0,-10095000000.0,-7501000000.0,7202000000,2017-12-29,42.63000106811523,42.647499084472656,42.30500030517578,42.30749893188477,40.52273178100586,103999600.0
2018-03-31,61137000000.0,-37715000000.0,23422000000.0,-7528000000.0,-4150000000.0,-3378000000.0,15894000000.0,274000000.0,16168000000,16168000000,-2346000000.0,13822000000,13822000000,13822000000,87940000000.0,14324000000.0,7662000000.0,130053000000.0,35077000000.0,179286000000.0,23086000000.0,237449000000.0,367502000000,61067000000.0,20478000000.0,89320000000.0,101362000000.0,151304000000.0,240624000000,38044000000.0,91898000000.0,126878000000.0,367502000000,13822000000.0,2739000000.0,850000000.0,-2281000000.0,15130000000.0,-4195000000.0,32778000000.0,-132000000.0,28710000000.0,-3190000000.0,-502000000.0,-22429000000.0,-26272000000.0,17568000000,2018-03-29,41.95249938964844,42.9375,41.724998474121094,41.94499969482422,40.33932876586914,153594000.0
2018-06-30,53265000000.0,-32844000000.0,20421000000.0,-7809000000.0,-4108000000.0,-3701000000.0,12612000000.0,672000000.0,13284000000,13284000000,-1765000000.0,11519000000,11519000000,11519000000,70970000000.0,14104000000.0,5936000000.0,115761000000.0,38117000000.0,172773000000.0,22546000000.0,233436000000.0,349197000000,63673000000.0,17472000000.0,88548000000.0,97128000000.0,145700000000.0,234248000000,38624000000.0,79436000000.0,114949000000.0,349197000000,11519000000.0,2665000000.0,2477000000.0,-2173000000.0,14488000000.0,-3267000000.0,8079000000.0,-126000000.0,3947000000.0,-3653000000.0,-6010000000.0,-20782000000.0,-31523000000.0,-13088000000,2018-06-29,46.5724983215332,46.79750061035156,45.727500915527344,46.27750015258789,44.67759704589844,90950800.0
2018-09-30,62900000000.0,-38816000000.0,24084000000.0,-7966000000.0,-4216000000.0,-3750000000.0,16118000000.0,303000000.0,16421000000,16421000000,-2296000000.0,14125000000,14125000000,14125000000,66301000000.0,23186000000.0,3956000000.0,131339000000.0,41304000000.0,170799000000.0,22283000000.0,234386000000.0,365725000000,55888000000.0,20748000000.0,115929000000.0,93735000000.0,142649000000.0,258578000000,40201000000.0,70400000000.0,107147000000.0,365725000000,14125000000.0,2754000000.0,1864000000.0,780000000.0,19523000000.0,-3041000000.0,552000000.0,-290000000.0,-3001000000.0,-3530000000.0,-27000000.0,-18763000000.0,-22580000000.0,-6058000000,2018-09-28,56.1974983215332,56.459999084472656,56.00500106811523,56.43500137329102,54.675010681152344,91717600.0
2018-12-31,84310000000.0,-52279000000.0,32031000000.0,-8685000000.0,-4783000000.0,-3902000000.0,23346000000.0,560000000.0,23906000000,23906000000,-3941000000.0,19965000000,19965000000,19965000000,86427000000.0,18077000000.0,4988000000.0,140828000000.0,39597000000.0,158608000000.0,34686000000.0,232891000000.0,373719000000,44293000000.0,21741000000.0,108283000000.0,92989000000.0,147544000000.0,255827000000,40970000000.0,80510000000.0,117892000000.0,373719000000,19965000000.0,3395000000.0,1612000000.0,1718000000.0,26690000000.0,-3355000000.0,9422000000.0,-167000000.0,5844000000.0,-3568000000.0,6000000.0,-8796000000.0,-13676000000.0,18858000000,2018-12-31,39.63249969482422,39.84000015258789,39.11999893188477,39.435001373291016,38.338478088378906,140014000.0
2019-03-31,58015000000.0,-36194000000.0,21821000000.0,-8406000000.0,-4458000000.0,-3948000000.0,13415000000.0,378000000.0,13793000000,13793000000,-2232000000.0,11561000000,11561000000,11561000000,80092000000.0,15085000000.0,4884000000.0,123346000000.0,38746000000.0,145319000000.0,34587000000.0,218652000000.0,341998000000,30443000000.0,22429000000.0,93772000000.0,90201000000.0,142366000000.0,236138000000,42801000000.0,64558000000.0,105860000000.0,341998000000,11561000000.0,3040000000.0,1337000000.0,-4783000000.0,11155000000.0,-2363000000.0,15749000000.0,-124000000.0,13348000000.0,-3443000000.0,-2542000000.0,-23312000000.0,-29457000000.0,-4954000000,2019-03-29,47.45750045776367,47.52000045776367,47.1349983215332,47.48749923706055,46.36507415771485,94256000.0
2019-06-30,53809000000.0,-33582000000.0,20227000000.0,-8683000000.0,-4426000000.0,-4257000000.0,11544000000.0,367000000.0,11911000000,11911000000,-1867000000.0,10044000000,10044000000,10044000000,94614000000.0,14148000000.0,3355000000.0,134973000000.0,37636000000.0,115996000000.0,33634000000.0,187266000000.0,322239000000,29115000000.0,23482000000.0,89704000000.0,84936000000.0,136079000000.0,225783000000,43371000000.0,53724000000.0,96456000000.0,322239000000,10044000000.0,2933000000.0,1582000000.0,-2923000000.0,11636000000.0,-2000000000.0,30120000000.0,-320000000.0,27502000000.0,-3629000000.0,-4990000000.0,-16954000000.0,-26804000000.0,12334000000,2019-06-28,49.66999816894531,49.875,49.26250076293945,49.47999954223633,48.49652099609375,124442400.0
2019-09-30,64040000000.0,-39727000000.0,24313000000.0,-8688000000.0,-4578000000.0,-4110000000.0,15625000000.0,502000000.0,16127000000,16127000000,-2441000000.0,13686000000,13686000000,13686000000,100557000000.0,22926000000.0,4106000000.0,162819000000.0,37378000000.0,105341000000.0,32978000000.0,175697000000.0,338516000000,46236000000.0,16240000000.0,105718000000.0,91807000000.0,142310000000.0,248028000000,45174000000.0,45898000000.0,90488000000.0,338516000000,13686000000.0,3179000000.0,1197000000.0,1848000000.0,19910000000.0,-2777000000.0,2802000000.0,-13000000.0,-798000000.0,-3479000000.0,-293000000.0,-17054000000.0,-21039000000.0,-1927000000,2019-09-30,55.224998474121094,56.14500045776367,55.1974983215332,55.99250030517578,55.08809280395508,103909600.0
2019-12-31,91819000000.0,-56602000000.0,35217000000.0,-9648000000.0,-5197000000.0,-4451000000.0,25569000000.0,349000000.0,25918000000,25918000000,-3682000000.0,22236000000,22236000000,22236000000,107162000000.0,20970000000.0,4097000000.0,163231000000.0,37031000000.0,99899000000.0,40457000000.0,177387000000.0,340618000000,45111000000.0,15214000000.0,102161000000.0,93078000000.0,148926000000.0,251087000000,45972000000.0,43977000000.0,89531000000.0,340618000000,22236000000.0,2816000000.0,1219000000.0,4245000000.0,30516000000.0,-2107000000.0,-10396000000.0,-958000000.0,-13668000000.0,-3539000000.0,231000000.0,-20704000000.0,-25407000000.0,-8559000000,2019-12-31,72.48249816894531,73.41999816894531,72.37999725341797,73.4124984741211,72.44355773925781,100805600.0
2020-03-31,58313000000.0,-35943000000.0,22370000000.0,-9517000000.0,-4952000000.0,-4565000000.0,12853000000.0,282000000.0,13135000000,13135000000,-1886000000.0,11249000000,11249000000,11249000000,94051000000.0,15722000000.0,3334000000.0,143753000000.0,35889000000.0,98793000000.0,41965000000.0,176647000000.0,320400000000,32421000000.0,20421000000.0,96094000000.0,89086000000.0,145881000000.0,241975000000,48032000000.0,33182000000.0,78425000000.0,320400000000,11249000000.0,2786000000.0,1278000000.0,-2002000000.0,13311000000.0,-1853000000.0,11407000000.0,-176000000.0,9013000000.0,-3375000000.0,-1753000000.0,-18146000000.0,-20940000000.0,1384000000,2020-03-31,63.9000015258789,65.62249755859375,63.0,63.5724983215332,62.88232040405274,197002000.0
2020-06-30,59685000000.0,-37005000000.0,22680000000.0,-9589000000.0,-4831000000.0,-4758000000.0,13091000000.0,46000000.0,13137000000,13137000000,-1884000000.0,11253000000,11253000000,11253000000,93025000000.0,17882000000.0,3978000000.0,140065000000.0,35687000000.0,100592000000.0,41000000000.0,177279000000.0,317344000000,35325000000.0,18675000000.0,95318000000.0,94048000000.0,149744000000.0,245062000000,48696000000.0,24136000000.0,72282000000.0,317344000000,11253000000.0,2752000000.0,2696000000.0,-430000000.0,16271000000.0,-1565000000.0,-2992000000.0,-339000000.0,-5165000000.0,-3656000000.0,-441000000.0,-15891000000.0,-19116000000.0,-8010000000,2020-06-30,90.0199966430664,91.49500274658205,90.0,91.1999969482422,90.4540786743164,140223200.0
