Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-10-31,769990000.0,-253761000.0,516229000.0,-230489000.0,-102349000.0,-128140000.0,285740000.0,2317000.0,-283000.0,288057000,288057000,-63063000.0,224994000,224994000,224994000,2687768000.0,387169000.0,277478000.0,3478999000.0,472665000.0,1317000.0,375850000.0,849832000.0,4328831000,400619000.0,0.0,643467000.0,400635000.0,485647000.0,1129114000,336746000.0,2896566000.0,3199717000.0,4328831000,224994000.0,29946000.0,19931000.0,-595000.0,274276000.0,-37763000.0,0.0,-139876000.0,-65589000.0,0.0,6344000.0,-58873000.0,76571000,2010-10-29,32.90999984741211,34.09000015258789,32.779998779296875,33.669998168945305,25.750978469848643,7019000.0
2011-07-31,757902000.0,-248262000.0,509640000.0,-230799000.0,-102323000.0,-128476000.0,278841000.0,-3970000.0,-3764000.0,274871000,274871000,-54936000.0,219935000,219935000,219935000,3514538000.0,375011000.0,299332000.0,4339131000.0,481596000.0,3319000.0,427335000.0,912250000.0,5251381000,264259000.0,14500000.0,556287000.0,875766000.0,979377000.0,1535664000,371746000.0,3373631000.0,3715717000.0,5251381000,219935000.0,29480000.0,17163000.0,-9598000.0,256980000.0,-36977000.0,-13988000.0,-670372000.0,-74993000.0,-21142000.0,-25123000.0,-122386000.0,-536940000,2011-07-29,34.360000610351555,34.919998168945305,34.02000045776367,34.400001525878906,26.78815650939941,3756700.0
2011-10-31,716134000.0,-255620000.0,460514000.0,-225222000.0,-99094000.0,-126128000.0,235292000.0,-4292000.0,-3896000.0,231000000,231000000,-47473000.0,183527000,183527000,183527000,3592462000.0,348416000.0,295081000.0,4386348000.0,478839000.0,2951000.0,409497000.0,891287000.0,5277635000,277256000.0,14500000.0,525005000.0,871876000.0,957217000.0,1482222000,339248000.0,3482334000.0,3795413000.0,5277635000,183527000.0,29048000.0,14253000.0,3332000.0,230160000.0,-26331000.0,0.0,-57465000.0,-74824000.0,-3625000.0,-54891000.0,-124786000.0,47279000,2011-10-31,37.209999084472656,37.34000015258789,36.560001373291016,36.56999969482422,28.69698905944824,3337200.0
2012-04-30,675094000.0,-234639000.0,440455000.0,-227529000.0,-99992000.0,-127537000.0,212926000.0,-1472000.0,-2923000.0,211454000,211454000,-48555000.0,162899000,162899000,162899000,3752625000.0,330282000.0,303742000.0,4522529000.0,478959000.0,1816000.0,409186000.0,889961000.0,5412490000,299924000.0,14500000.0,558574000.0,847983000.0,928776000.0,1487350000,337564000.0,3620797000.0,3925140000.0,5412490000,162899000.0,26889000.0,-476000.0,36657000.0,225969000.0,-30137000.0,-24158000.0,-544511000.0,-89402000.0,-3625000.0,-5265000.0,-84325000.0,-402376000,2012-04-30,38.90999984741211,39.040000915527344,38.790000915527344,38.97999954223633,31.064741134643555,2040800.0
2012-07-31,683026000.0,-235152000.0,447874000.0,-235403000.0,-99873000.0,-135530000.0,212471000.0,-3002000.0,-2953000.0,209469000,209469000,-39701000.0,169768000,169768000,169768000,3765045000.0,345795000.0,312079000.0,4561285000.0,490581000.0,1816000.0,402940000.0,895337000.0,5456622000,247368000.0,14500000.0,508542000.0,842540000.0,919474000.0,1428016000,362306000.0,3701054000.0,4028606000.0,5456622000,169768000.0,27163000.0,7610000.0,-66835000.0,137706000.0,-39239000.0,0.0,-282515000.0,-89511000.0,-3625000.0,5985000.0,-86852000.0,-232917000,2012-07-31,39.29999923706055,39.70000076293945,39.06999969482422,39.08000183105469,31.399717330932607,2609500.0
2012-10-31,694964000.0,-251682000.0,443282000.0,-228003000.0,-97609000.0,-130394000.0,215279000.0,-2755000.0,-2764000.0,212524000,212524000,-33337000.0,179187000,179187000,179187000,3900378000.0,339881000.0,313723000.0,4696185000.0,500867000.0,1816000.0,421479000.0,924162000.0,5620347000,272038000.0,14500000.0,525079000.0,807098000.0,929909000.0,1454988000,440884000.0,3788869000.0,4165359000.0,5620347000,179187000.0,27538000.0,4486000.0,24836000.0,236047000.0,-37511000.0,0.0,-106461000.0,-91372000.0,-33625000.0,59697000.0,-63747000.0,66684000,2012-10-31,39.25,39.400001525878906,38.91999816894531,39.11999893188477,31.67209815979004,2032200.0
2013-07-31,674172000.0,-239110000.0,435062000.0,-226720000.0,-97773000.0,-128947000.0,208342000.0,-13301000.0,-4547000.0,195041000,195041000,-18802000.0,176239000,176239000,176239000,4450293000.0,345437000.0,284342000.0,5244490000.0,492421000.0,3816000.0,397899000.0,894136000.0,6138626000,232806000.0,0.0,491809000.0,872104000.0,1003581000.0,1495390000,746360000.0,3960785000.0,4643236000.0,6138626000,176239000.0,27503000.0,16258000.0,25000.0,220025000.0,-30068000.0,-2475000.0,-447791000.0,-104923000.0,112042000.0,89653000.0,92394000.0,-135563000,2013-07-31,49.13999938964844,49.66999816894531,48.97999954223633,49.38000106811523,40.88828659057617,2615800.0
2014-07-31,727752000.0,-251462000.0,476290000.0,-273744000.0,-132989000.0,-140755000.0,202546000.0,-5158000.0,-4736000.0,197388000,197388000,-16782000.0,180606000,180606000,180606000,4932259000.0,394762000.0,415098000.0,5923884000.0,609937000.0,12019000.0,2427625000.0,3049581000.0,8973465000,341296000.0,1995398000.0,2622526000.0,872652000.0,1343742000.0,3966268000,845341000.0,4239109000.0,5007197000.0,8973465000,180606000.0,29963000.0,-1226000.0,4099000.0,213442000.0,-42315000.0,-1943704000.0,98766000.0,-116098000.0,1995398000.0,-21349000.0,1870876000.0,2182651000,2014-07-31,50.4000015258789,50.83000183105469,49.61999893188477,49.63000106811523,42.28716659545898,1888300.0
2014-10-31,814247000.0,-328210000.0,486037000.0,-336108000.0,-121424000.0,-214684000.0,149929000.0,-11231000.0,-11115000.0,138698000,138698000,-30003000.0,108695000,108695000,108695000,2866468000.0,396605000.0,367927000.0,3811886000.0,622422000.0,13397000.0,2411985000.0,3047804000.0,6859690000,430621000.0,0.0,709056000.0,872789000.0,1392737000.0,2101793000,694927000.0,4231496000.0,4757897000.0,6859690000,108695000.0,57103000.0,-54295000.0,150760000.0,262263000.0,-43417000.0,-2183000.0,822000.0,-116308000.0,-1995398000.0,-165842000.0,-2277844000.0,-2016208000,2014-10-31,48.709999084472656,50.540000915527344,48.47999954223633,49.61999893188477,42.58993911743164,6689200.0
2015-04-30,821019000.0,-276197000.0,544822000.0,-295814000.0,-117371000.0,-178443000.0,249008000.0,-3819000.0,-4871000.0,245189000,245189000,-39851000.0,205338000,205338000,205338000,3074778000.0,408510000.0,394494000.0,4045761000.0,629665000.0,17524000.0,2355525000.0,3002714000.0,7048475000,398127000.0,374664000.0,1068219000.0,498399000.0,1016048000.0,2084267000,759438000.0,4375625000.0,4964208000.0,7048475000,205338000.0,57190000.0,310000.0,81193000.0,344031000.0,-49229000.0,0.0,-268561000.0,-124882000.0,0.0,27815000.0,-89488000.0,-13986000,2015-04-30,62.54999923706055,62.66999816894531,61.290000915527344,61.84000015258789,53.797767639160156,2985900.0
