Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2015-03-31,314119000.0,-86054000.0,228065000.0,-185590000.0,-116259000.0,-60158000.0,-9173000.0,42475000.0,-3601000.0,38874000,-38487000.0,387000,5005000.0,5392000,5392000,5392000,267815000.0,201379000.0,706252000.0,65191000.0,1337187000.0,1402378000.0,2108630000,219189000.0,660736000.0,493125000.0,593674000.0,1254410000,1600796000.0,-614495000.0,854220000.0,2108630000,5392000.0,20968000.0,12992000.0,52640000.0,91992000.0,-6160000.0,0.0,-6160000.0,-75000000.0,3000.0,-75192000.0,6763000,2015-03-31,35.95000076293945,36.36000061035156,35.790000915527344,36.16999816894531,36.16999816894531,852500.0
2015-06-30,303113000.0,-79376000.0,223737000.0,-197737000.0,-134554000.0,-54078000.0,-9105000.0,26000000.0,-3668000.0,22332000,-4393000.0,17939000,-504000.0,17435000,17435000,17435000,275060000.0,183144000.0,635205000.0,65020000.0,1446376000.0,1511396000.0,2146601000,222482000.0,638193000.0,580625000.0,678085000.0,1316278000,1557450000.0,-597060000.0,830323000.0,2146601000,17435000.0,21250000.0,14253000.0,33901000.0,86839000.0,-6530000.0,-98591000.0,-115121000.0,93750000.0,-49930000.0,36333000.0,7245000,2015-06-30,41.290000915527344,41.400001525878906,40.849998474121094,41.02000045776367,41.02000045776367,1367900.0
2015-09-30,312568000.0,-76362000.0,236206000.0,-190700000.0,-130082000.0,-52180000.0,-8438000.0,45506000.0,-4598000.0,40908000,-67116000.0,-26208000,20654000.0,-5554000,-5554000,-5554000,273417000.0,197275000.0,704679000.0,65162000.0,1440072000.0,1505234000.0,2209913000,197398000.0,617260000.0,618125000.0,732482000.0,1349742000,1554527000.0,-602614000.0,860171000.0,2209913000,-5554000.0,20978000.0,29133000.0,-57117000.0,-12560000.0,-9991000.0,0.0,-9991000.0,43750000.0,-14975000.0,24457000.0,-1643000,2015-09-30,31.20000076293945,31.8700008392334,31.149999618530273,31.739999771118164,31.739999771118164,1167900.0
2015-12-31,291017000.0,-80147000.0,210870000.0,-187015000.0,-120996000.0,-57669000.0,-8350000.0,23855000.0,-6253000.0,17602000,-37147000.0,-19545000,-4347000.0,-23892000,-23892000,-23892000,296797000.0,161402000.0,659588000.0,60878000.0,1495427000.0,1556305000.0,2215893000,205619000.0,579387000.0,718125000.0,800569000.0,1379956000,1562940000.0,-626506000.0,835937000.0,2215893000,-23892000.0,20613000.0,23178000.0,41355000.0,61254000.0,-4185000.0,-64780000.0,-68965000.0,50000000.0,1000.0,32924000.0,23380000,2015-12-31,35.02000045776367,35.27000045776367,33.139999389648445,34.630001068115234,34.630001068115234,456300.0
2016-03-31,272627000.0,-80191000.0,192436000.0,-186099000.0,-121093000.0,-56610000.0,-8396000.0,6337000.0,-5327000.0,1010000,-4579000.0,-3569000,-1604000.0,-5173000,-5173000,-5173000,368456000.0,146669000.0,741390000.0,62867000.0,1607245000.0,1670112000.0,2411502000,186905000.0,618806000.0,838125000.0,938592000.0,1557398000,1577138000.0,-631679000.0,854104000.0,2411502000,-5173000.0,22291000.0,14995000.0,16772000.0,48885000.0,-4681000.0,-99411000.0,-104092000.0,120000000.0,0.0,119362000.0,71659000,2016-03-31,32.830001831054695,33.27000045776367,32.75,33.15999984741211,33.15999984741211,484500.0
2016-06-30,288652000.0,-82470000.0,206182000.0,-195771000.0,-130359000.0,-57118000.0,-8294000.0,10411000.0,-8300000.0,2111000,-2815000.0,-704000,3777000.0,3073000,3073000,3073000,306006000.0,151718000.0,635286000.0,62909000.0,1607725000.0,1703860000.0,2339146000,192898000.0,603894000.0,778125000.0,872591000.0,1476485000,1585825000.0,-628606000.0,862661000.0,2339146000,3073000.0,21817000.0,13800000.0,20767000.0,59457000.0,-7766000.0,0.0,-52371000.0,-60000000.0,18000.0,-80189000.0,-73830000,2016-06-30,36.27000045776367,37.59000015258789,36.13000106811523,37.58000183105469,37.58000183105469,1487800.0
2016-09-30,288237000.0,-82857000.0,205380000.0,-206724000.0,-140632000.0,-57934000.0,-8158000.0,-1344000.0,-10298000.0,-11642000,-31732000.0,-43374000,14901000.0,-28473000,-28473000,-28473000,296630000.0,161357000.0,642589000.0,67113000.0,1605106000.0,1703140000.0,2345729000,254099000.0,654519000.0,751601000.0,848544000.0,1503063000,1599698000.0,-657079000.0,842666000.0,2345729000,-28473000.0,21833000.0,-29193000.0,49498000.0,13665000.0,-9557000.0,-1611000.0,-11728000.0,-20000000.0,2000.0,-20491000.0,-16691000,2016-09-30,43.849998474121094,44.41999816894531,43.0099983215332,44.310001373291016,44.310001373291016,1005500.0
2017-06-30,291293000.0,-82268000.0,209025000.0,-196218000.0,-128395000.0,-59850000.0,-7973000.0,12807000.0,-10557000.0,2250000,-1551000.0,699000,-1650000.0,-951000,-951000,-951000,279972000.0,128561000.0,609459000.0,63443000.0,1587947000.0,1682302000.0,2291761000,195618000.0,650940000.0,712191000.0,805441000.0,1456381000,1598974000.0,-668275000.0,835380000.0,2291761000,-951000.0,21504000.0,17371000.0,35989000.0,73913000.0,-4544000.0,-4960000.0,-11517000.0,0.0,-34994000.0,-50415000.0,17379000,2017-06-30,55.72000122070313,55.86999893188477,54.9900016784668,55.11999893188477,55.11999893188477,1429600.0
2017-09-30,306379000.0,-82289000.0,224090000.0,-206012000.0,-137336000.0,-60554000.0,-8122000.0,18078000.0,-12982000.0,5096000,358000.0,5454000,11981000.0,17435000,17435000,17435000,298411000.0,152299000.0,666556000.0,63600000.0,1598321000.0,1693828000.0,2360384000,232613000.0,678909000.0,712406000.0,796039000.0,1474948000,1610183000.0,-650840000.0,885436000.0,2360384000,17435000.0,22555000.0,-6984000.0,-266000.0,32740000.0,-6111000.0,0.0,-6319000.0,0.0,-9197000.0,-9607000.0,19277000,2017-09-29,56.040000915527344,56.63999938964844,56.0,56.27999877929688,56.27999877929688,665200.0
2018-03-31,307883000.0,-83708000.0,224175000.0,-201851000.0,-131759000.0,-62197000.0,-7895000.0,22324000.0,-10664000.0,11660000,-114000.0,11546000,-3624000.0,7922000,7922000,7922000,322573000.0,127151000.0,649160000.0,59210000.0,1587977000.0,1679654000.0,2328814000,202045000.0,689326000.0,642837000.0,711764000.0,1401090000,1619751000.0,-629597000.0,927724000.0,2328814000,7922000.0,21681000.0,16876000.0,64604000.0,111083000.0,-5262000.0,-3000000.0,-13308000.0,-100000000.0,7472000.0,-92982000.0,8032000,2018-03-29,77.61000061035156,78.94999694824219,76.4000015258789,78.01000213623047,78.01000213623047,1131700.0
2018-06-30,314777000.0,-81633000.0,233144000.0,-209970000.0,-140899000.0,-61221000.0,-7850000.0,23174000.0,-11576000.0,11598000,-1627000.0,9971000,7026000.0,16997000,16997000,16997000,288908000.0,130079000.0,588212000.0,64456000.0,1571147000.0,1667419000.0,2255631000,190153000.0,665110000.0,693053000.0,756136000.0,1421246000,1525554000.0,-612600000.0,834385000.0,2255631000,16997000.0,22576000.0,16751000.0,-7130000.0,49194000.0,-7527000.0,0.0,-7396000.0,50000000.0,-100000000.0,-65429000.0,-33077000,2018-06-29,93.6500015258789,94.55999755859376,93.43000030517578,93.80999755859376,93.80999755859376,900500.0
2018-09-30,312520000.0,-78126000.0,234394000.0,-220936000.0,-150756000.0,-62396000.0,-7784000.0,13458000.0,-10872000.0,2586000,-1918000.0,668000,12523000.0,13191000,13191000,13191000,285782000.0,129297000.0,633784000.0,80613000.0,1584510000.0,1695238000.0,2329022000,247689000.0,735279000.0,643268000.0,719154000.0,1454433000,1559583000.0,-599409000.0,874589000.0,2329022000,13191000.0,22105000.0,-25402000.0,52066000.0,61960000.0,-17375000.0,0.0,-19123000.0,-50000000.0,8182000.0,-45771000.0,-7135000,2018-09-28,105.91999816894531,107.38999938964844,105.91999816894531,106.19000244140624,106.19000244140624,631200.0
2018-12-31,334689000.0,-77352000.0,257337000.0,-208800000.0,-142082000.0,-60782000.0,-5936000.0,48537000.0,-9621000.0,38916000,-18493000.0,20423000,562000.0,20985000,20985000,20985000,302588000.0,385670000.0,799985000.0,107359000.0,1815571000.0,1952984000.0,2752969000,215858000.0,540969000.0,778484000.0,890831000.0,1431800000,1555062000.0,-138785000.0,1321169000.0,2752969000,20985000.0,20053000.0,29402000.0,-49226000.0,21214000.0,-30332000.0,-69556000.0,-101212000.0,135000000.0,-4640000.0,94997000.0,17040000,2018-12-31,83.27999877929688,83.75,82.16000366210938,82.9000015258789,82.9000015258789,1177100.0
2019-03-31,290451000.0,-79904000.0,210547000.0,-206425000.0,-139093000.0,-61402000.0,-5930000.0,4122000.0,-10562000.0,-6440000,-26980000.0,-33420000,-10093000.0,-43513000,-43513000,-43513000,319727000.0,352217000.0,790602000.0,106837000.0,1787393000.0,1925217000.0,2715819000,216991000.0,598383000.0,738700000.0,869728000.0,1468111000,1525130000.0,-182298000.0,1247708000.0,2715819000,-43513000.0,19505000.0,27251000.0,137887000.0,141130000.0,-20936000.0,103000.0,-27128000.0,-40000000.0,-56196000.0,-96899000.0,17299000,2019-03-29,91.2699966430664,92.38999938964844,90.9800033569336,92.18000030517578,92.18000030517578,867200.0
2019-06-30,295486000.0,-82705000.0,212781000.0,-203485000.0,-136975000.0,-60590000.0,-5920000.0,9296000.0,-9790000.0,-494000,9000.0,-485000,-14273000.0,-14758000,-14758000,-14758000,300935000.0,321426000.0,752663000.0,107752000.0,1766633000.0,1895938000.0,2648601000,226931000.0,601222000.0,698916000.0,831784000.0,1433006000,1505663000.0,-197056000.0,1215595000.0,2648601000,-14758000.0,19076000.0,12234000.0,51033000.0,67585000.0,-8311000.0,-17284000.0,-19240000.0,-40000000.0,-25001000.0,-74701000.0,-26450000,2019-06-28,88.33000183105469,89.80000305175781,87.52999877929688,89.76000213623047,89.76000213623047,1555600.0
2019-09-30,335005000.0,-85417000.0,249588000.0,-197387000.0,-127218000.0,-64114000.0,-6055000.0,52201000.0,-12769000.0,39432000,-5650000.0,33782000,-23956000.0,9826000,9826000,9826000,297470000.0,372743000.0,782621000.0,105531000.0,1746892000.0,1881967000.0,2664588000,252646000.0,638155000.0,669134000.0,824435000.0,1462590000,1504098000.0,-191390000.0,1201998000.0,2664588000,9826000.0,19190000.0,15073000.0,11127000.0,55216000.0,-4832000.0,0.0,-2444000.0,-30000000.0,-16182000.0,-46357000.0,1707000,2019-09-30,67.41000366210939,68.59999847412111,66.90000152587889,68.18000030517578,68.18000030517578,610100.0
2020-03-31,359603000.0,-83027000.0,276576000.0,-208309000.0,-141067000.0,-59954000.0,-7288000.0,68267000.0,-34247000.0,34020000,-18242000.0,15778000,-8622000.0,7156000,7156000,7156000,861030000.0,352673000.0,1341426000.0,104147000.0,2398211000.0,2525045000.0,3866471000,248873000.0,1192172000.0,1318993000.0,1400218000.0,2592390000,1537927000.0,-150351000.0,1274081000.0,3866471000,7156000.0,20605000.0,30398000.0,29658000.0,87817000.0,-5536000.0,-771000.0,-3324000.0,520000000.0,8980000.0,512997000.0,589759000,2020-03-31,59.459999084472656,62.38000106811523,58.56000137329102,61.209999084472656,61.209999084472656,1779200.0
2020-06-30,351721000.0,-79224000.0,272497000.0,-209034000.0,-140303000.0,-61429000.0,-7302000.0,63463000.0,-18885000.0,44578000,-62000.0,44516000,-9838000.0,34678000,34678000,34678000,403258000.0,319244000.0,847238000.0,101617000.0,2395356000.0,2528931000.0,3376169000,233694000.0,666291000.0,1304033000.0,1382311000.0,2048602000,1553451000.0,-115673000.0,1327567000.0,3376169000,34678000.0,20484000.0,34418000.0,14925000.0,104505000.0,-16219000.0,0.0,-20263000.0,-510125000.0,0.0,-535603000.0,-449748000,2020-06-30,76.56999969482422,78.2300033569336,75.73999786376953,77.79000091552734,77.79000091552734,975000.0
