Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Inventories,Total Current Assets,Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2015-03-31,1133298000.0,-854523000.0,278775000.0,-183853000.0,-161312000.0,94922000.0,883000.0,95805000,95805000,-40834000.0,54971000,54971000,54971000,1053927000.0,4723579000.0,6018132000.0,41474000.0,2311418000.0,2415153000.0,8433285000,1756315000.0,3643945000.0,47346000.0,3691291000,4741994000.0,8433285000,54971000.0,11062000.0,52209000.0,-143639000.0,-25397000.0,-14517000.0,0.0,-9885000.0,-29616000.0,-72678000.0,-101359000.0,-203653000.0,-238935000,2015-03-31,22.40999984741211,22.770000457763672,22.149999618530273,22.229999542236328,20.289358139038086,6007600.0
2015-06-30,1280291000.0,-958592000.0,321699000.0,-150886000.0,-130119000.0,170813000.0,-3186000.0,167627000,167627000,-64303000.0,103324000,103324000,103324000,460361000.0,4977073000.0,5724152000.0,40232000.0,2295308000.0,2433804000.0,8157956000,1800072000.0,3502923000.0,48774000.0,3551697000,4606259000.0,8157956000,103324000.0,10791000.0,70297000.0,-350118000.0,-165706000.0,-8598000.0,0.0,1420000.0,-29509000.0,-186286000.0,-213485000.0,-429280000.0,-593566000,2015-06-30,20.200000762939453,20.38999938964844,20.09000015258789,20.149999618530273,18.46915435791016,4948900.0
2015-09-30,1506747000.0,-1122175000.0,384572000.0,-183963000.0,-159361000.0,200609000.0,-21333000.0,179276000,179276000,-71507000.0,107769000,107769000,107769000,734153000.0,5326062000.0,6356815000.0,41509000.0,2300706000.0,2444763000.0,8801578000,2487455000.0,4179067000.0,50906000.0,4229973000,4571605000.0,8801578000,107767000.0,11866000.0,67004000.0,-240433000.0,-53796000.0,-10934000.0,0.0,-11915000.0,-28772000.0,-12289000.0,-117523000.0,339503000.0,273792000,2015-09-30,18.940000534057614,19.06999969482422,18.559999465942386,18.8700008392334,17.361976623535153,4973000.0
2015-12-31,2061628000.0,-1336513000.0,725115000.0,-358073000.0,-343936000.0,367042000.0,6273000.0,373315000,373315000,-145289000.0,228026000,228026000,228026000,754161000.0,5531550000.0,6749700000.0,41267000.0,2398439000.0,2439706000.0,9189406000,2529072000.0,4373031000.0,57050000.0,4430081000,4759325000.0,9189406000,228028000.0,12503000.0,153543000.0,-486765000.0,-92691000.0,-11391000.0,-454000.0,-14184000.0,-28061000.0,657783000.0,164000.0,131799000.0,24924000,2015-12-31,17.899999618530273,18.06999969482422,17.799999237060547,17.81999969482422,16.477546691894528,2140500.0
2016-03-31,1432578000.0,-1040056000.0,392522000.0,-268435000.0,-242316000.0,124087000.0,-5874000.0,118213000,118213000,-34913000.0,83300000,83300000,83300000,995696000.0,6287496000.0,7596189000.0,53090000.0,2194201000.0,2247291000.0,9843480000,2349333000.0,5036493000.0,33460000.0,5069953000,4773527000.0,9843480000,83300000.0,13113000.0,63828000.0,-223158000.0,-62917000.0,-9460000.0,-443545000.0,-451752000.0,-31568000.0,-149965000.0,-52693000.0,757349000.0,242680000,2016-03-31,18.3799991607666,18.76000022888184,18.31999969482422,18.709999084472656,17.387779235839847,3574600.0
2016-06-30,1799914000.0,-1314972000.0,484942000.0,-282453000.0,-256273000.0,202489000.0,-12909000.0,189580000,189580000,-71820000.0,117760000,117760000,117760000,229187000.0,6715245000.0,7334920000.0,52500000.0,2119636000.0,2172136000.0,9507056000,2361581000.0,4654959000.0,33980000.0,4688939000,4818117000.0,9507056000,117760000.0,13592000.0,80651000.0,-469192000.0,-257189000.0,-11584000.0,-249000.0,-7613000.0,-31451000.0,-413329000.0,-47371000.0,-497642000.0,-762444000,2016-06-30,19.06999969482422,19.51000022888184,18.950000762939453,19.489999771118164,18.200258255004886,4903300.0
2016-09-30,1942905000.0,-1429133000.0,513772000.0,-277820000.0,-250914000.0,235952000.0,-23617000.0,212335000,212335000,-83865000.0,128470000,128470000,128470000,434205000.0,7007710000.0,7817911000.0,51768000.0,2001853000.0,2053621000.0,9871532000,1897078000.0,5165938000.0,33562000.0,5199500000,4672032000.0,9871532000,128470000.0,13513000.0,91986000.0,-220369000.0,13600000.0,-9507000.0,-713000.0,-10220000.0,-31279000.0,-531523000.0,-244937000.0,202138000.0,205518000,2016-09-30,19.920000076293945,20.07999992370605,19.700000762939453,20.040000915527344,18.798492431640625,3621800.0
2016-12-31,2493079000.0,-1835928000.0,657151000.0,-237015000.0,-207647000.0,420136000.0,-6414000.0,413722000,413722000,-140549000.0,273173000,273173000,273173000,698882000.0,6802383000.0,8065127000.0,51447000.0,2061626000.0,2113073000.0,10178200000,5152356000.0,5483977000.0,34860000.0,5518837000,4659363000.0,10178200000,273173000.0,13789000.0,142178000.0,-54364000.0,374776000.0,-8744000.0,-490000.0,-1607000.0,-30368000.0,2167579000.0,-252360000.0,-111110000.0,262059000,2016-12-30,18.540000915527344,18.6200008392334,18.309999465942386,18.3799991607666,17.324579238891598,2948500.0
2017-03-31,1629878000.0,-1220906000.0,408972000.0,-264635000.0,-236268000.0,144337000.0,-5072000.0,139265000,139265000,-47747000.0,91518000,91518000,91518000,397758000.0,7076898000.0,7846140000.0,65293000.0,2009381000.0,2074674000.0,9920814000,1968343000.0,5218728000.0,41941000.0,5260669000,4660145000.0,9920814000,91518000.0,13209000.0,57477000.0,-122401000.0,39803000.0,-9996000.0,-14802000.0,-23375000.0,-29102000.0,-192307000.0,-94404000.0,-315813000.0,-299385000,2017-03-31,23.78000068664551,23.84000015258789,23.489999771118164,23.54999923706055,22.285715103149414,4572300.0
2017-12-31,2791493000.0,-2147431000.0,644062000.0,-234747000.0,-201607000.0,409315000.0,-548000.0,408767000,408767000,-331352000.0,77415000,77415000,77415000,272683000.0,7215514000.0,8092282000.0,62957000.0,1531410000.0,1594367000.0,9686649000,5007894000.0,5445698000.0,86925000.0,5532623000,4154026000.0,9686649000,77414000.0,12309000.0,361937000.0,-41062000.0,410598000.0,-8503000.0,-1030000.0,-10475000.0,-26730000.0,-18766000.0,-245556000.0,-291052000.0,109071000,2017-12-29,33.889999389648445,33.990001678466804,33.240001678466804,33.25,31.77883338928223,2527600.0
2018-03-31,1970093000.0,-1471488000.0,498605000.0,-273106000.0,-240893000.0,225499000.0,-1308000.0,224191000,224191000,-53440000.0,170751000,170751000,170751000,150821000.0,7534550000.0,8104790000.0,64810000.0,1536795000.0,1601605000.0,9706395000,5069119000.0,5316071000.0,115667000.0,5431738000,4274657000.0,9706395000,170751000.0,11890000.0,34556000.0,-48184000.0,169013000.0,-15428000.0,-1000000.0,-15976000.0,-26347000.0,-191303000.0,-56768000.0,-274418000.0,-121381000,2018-03-29,29.21999931335449,29.68000030517578,29.1299991607666,29.489999771118164,28.27130126953125,5930000.0
2018-06-30,2569722000.0,-1900316000.0,669406000.0,-258280000.0,-226056000.0,411126000.0,-1956000.0,409170000,409170000,-85081000.0,324089000,324089000,324089000,367091000.0,7577606000.0,8349155000.0,61718000.0,1404703000.0,1466421000.0,9815576000,5002337000.0,5266380000.0,22484000.0,5288864000,4526712000.0,9815576000,324090000.0,12271000.0,111635000.0,-69427000.0,378569000.0,-17631000.0,0.0,-11168000.0,-26037000.0,-64890000.0,-51256000.0,-150273000.0,217128000,2018-06-29,28.790000915527344,29.13999938964844,28.61000061035156,28.75,27.642864227294922,4035300.0
2018-09-30,2649366000.0,-1976220000.0,673146000.0,-284970000.0,-252757000.0,388176000.0,-3488000.0,384688000,384688000,-95153000.0,289535000,289535000,289535000,728631000.0,7555359000.0,8664155000.0,54278000.0,1336647000.0,1390925000.0,10055080000,5065145000.0,5315878000.0,10324000.0,5326202000,4728878000.0,10055080000,289534000.0,12556000.0,116172000.0,49136000.0,467398000.0,-13470000.0,0.0,-4840000.0,-25900000.0,-13533000.0,-65953000.0,-105461000.0,357097000,2018-09-28,24.989999771118164,25.25,24.670000076293945,24.770000457763672,23.89572715759277,5930100.0
2018-12-31,2999150000.0,-2319473000.0,679677000.0,-343089000.0,-292317000.0,336588000.0,-7097000.0,329491000,329491000,-91843000.0,237648000,237648000,237648000,1110088000.0,7290202000.0,8885256000.0,54590000.0,1233130000.0,1287720000.0,10172976000,4995202000.0,5343614000.0,11580000.0,5355194000,4817782000.0,10172976000,237648000.0,12712000.0,224538000.0,-41598000.0,433300000.0,-12510000.0,0.0,-8491000.0,-25736000.0,97558000.0,-114034000.0,-50121000.0,374688000,2018-12-31,26.13999938964844,26.29999923706055,25.20000076293945,25.989999771118164,25.180822372436523,2945500.0
2019-03-31,1996693000.0,-1494841000.0,501852000.0,-284176000.0,-252727000.0,217676000.0,-973000.0,216703000,216703000,-49946000.0,166757000,166757000,166757000,1055457000.0,7545974000.0,8953922000.0,55725000.0,1197689000.0,1253414000.0,10207336000,5033650000.0,5255789000.0,18108000.0,5273897000,4933439000.0,10207336000,166757000.0,13210000.0,36649000.0,-57707000.0,158909000.0,-16070000.0,-1289000.0,-17068000.0,-30802000.0,-129878000.0,-33908000.0,-194588000.0,-52747000,2019-03-29,28.489999771118164,28.75,27.920000076293945,27.959999084472656,27.19820213317871,3314000.0
2019-06-30,2488985000.0,-1874369000.0,614616000.0,-290341000.0,-259440000.0,324275000.0,-3499000.0,320776000,320776000,-79735000.0,241041000,241041000,241041000,631309000.0,7840710000.0,8843716000.0,58246000.0,1193575000.0,1251821000.0,10095537000,4763631000.0,4997817000.0,27913000.0,5025730000,5069807000.0,10095537000,241041000.0,13287000.0,41587000.0,-149114000.0,146801000.0,-13505000.0,-167099000.0,-176303000.0,-30818000.0,-281651000.0,-79708000.0,-392177000.0,-421679000,2019-06-28,31.459999084472656,31.96999931335449,31.459999084472656,31.6200008392334,30.864049911499023,4976100.0
2019-09-30,2710365000.0,-2035972000.0,674393000.0,-303139000.0,-270625000.0,371254000.0,-5108000.0,366146000,366146000,-93042000.0,273104000,273104000,273104000,736986000.0,7864554000.0,9017091000.0,62182000.0,1185240000.0,1247422000.0,10264513000,4794937000.0,5044297000.0,38624000.0,5082921000,5181592000.0,10264513000,273104000.0,13805000.0,47021000.0,-56860000.0,277070000.0,-13587000.0,-3851000.0,-17021000.0,-30615000.0,15066000.0,-124404000.0,-150679000.0,109370000,2019-09-30,35.9900016784668,36.61000061035156,35.959999084472656,36.54999923706055,35.788028717041016,2718800.0
2020-03-31,2294980000.0,-1709879000.0,585101000.0,-298618000.0,-263669000.0,286483000.0,-2524000.0,283959000,263769000,-60058000.0,203711000,203711000,203711000,1816778000.0,7889300000.0,10104407000.0,54495000.0,1264472000.0,1318967000.0,11423374000,4850437000.0,5820437000.0,72546000.0,5892983000,5530391000.0,11423374000,203711000.0,15149000.0,60450000.0,-74695000.0,204615000.0,-20139000.0,-83863000.0,-95796000.0,-32740000.0,634182000.0,-95626000.0,490978000.0,599797000,2020-03-31,23.440000534057607,23.6200008392334,22.15999984741211,22.31999969482422,21.99509620666504,5156000.0
2020-06-30,2593781000.0,-1900250000.0,693531000.0,-231236000.0,-196858000.0,462295000.0,-5286000.0,457009000,457009000,-108389000.0,348620000,348620000,348620000,1658530000.0,7614148000.0,9706232000.0,47707000.0,1204546000.0,1252253000.0,10958485000,4703729000.0,4960088000.0,146729000.0,5106817000,5851668000.0,10958485000,348620000.0,16389000.0,37289000.0,200959000.0,603257000.0,-16607000.0,-57000.0,-9654000.0,-32592000.0,-714502000.0,49000.0,-747060000.0,-153457000,2020-06-30,33.59999847412109,34.25,33.049999237060554,34.029998779296875,33.645801544189446,2609300.0
