Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Inventories,Total Current Assets,Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-12-31,1262345000.0,-1079370000.0,182975000.0,-176038000.0,-117204000.0,6937000.0,-16012000.0,-9075000,-9075000,22896000.0,13821000,13821000,13821000,1083071000.0,4771775000.0,6214781000.0,35988000.0,609946000.0,670839000.0,6885620000,1655348000.0,4743692000.0,203313000.0,4947005000,1938615000.0,6885620000,13821000.0,7469000.0,44435000.0,111520000.0,177245000.0,-4970000.0,-854000.0,381000.0,0.0,0.0,-815000.0,-253597000.0,-75971000,2011-12-30,6.289999961853027,6.429999828338622,6.269999980926514,6.309999942779541,5.623353004455566,5856400.0
2012-09-30,1302591000.0,-1044765000.0,257826000.0,-145769000.0,-125191000.0,112057000.0,-6151000.0,105906000,105906000,10727000.0,116633000,116633000,116633000,1563651000.0,4600094000.0,6532135000.0,30794000.0,566597000.0,608445000.0,7140580000,1713417000.0,4816254000.0,202280000.0,5018534000,2122046000.0,7140580000,116633000.0,7450000.0,14697000.0,70912000.0,209692000.0,-3522000.0,-408000.0,5995000.0,0.0,103000000.0,27379000.0,37486000.0,253173000,2012-09-28,15.460000038146973,15.640000343322756,15.390000343322756,15.5,13.813307762145994,10203900.0
2012-12-31,1566966000.0,-1261013000.0,305953000.0,-214363000.0,-141766000.0,91590000.0,-40377000.0,51213000,51213000,7529000.0,58742000,58742000,58742000,1404760000.0,4305150000.0,6100791000.0,45629000.0,556923000.0,633618000.0,6734409000,1697520000.0,4345928000.0,198865000.0,4544793000,2189616000.0,6734409000,58742000.0,7749000.0,52539000.0,219878000.0,338908000.0,-464000.0,-15190000.0,-12664000.0,0.0,35795000.0,5377000.0,-485135000.0,-158891000,2012-12-31,17.540000915527347,18.229999542236328,17.379999160766598,18.15999984741211,16.183849334716793,9665200.0
2013-03-31,1162756000.0,-923488000.0,239268000.0,-152214000.0,-129626000.0,87054000.0,-4704000.0,82350000,82350000,-588000.0,81762000,81762000,81762000,1592924000.0,4204950000.0,6102655000.0,44744000.0,554754000.0,638486000.0,6741141000,1700403000.0,4268763000.0,196863000.0,4465626000,2275515000.0,6741141000,81762000.0,7339000.0,12199000.0,169320000.0,270620000.0,-5319000.0,-593000.0,-1189000.0,0.0,-82164000.0,1110000.0,-81267000.0,188164000,2013-03-28,20.350000381469727,20.540000915527344,20.09000015258789,20.239999771118164,18.037504196166992,5710800.0
2013-06-30,1279422000.0,-1011528000.0,267894000.0,-173566000.0,-150531000.0,94328000.0,-55998000.0,38330000,38330000,-1913000.0,36417000,36417000,36417000,1212668000.0,4272834000.0,5789540000.0,44378000.0,584602000.0,662731000.0,6452271000,1781482000.0,3923410000.0,200646000.0,4124056000,2328215000.0,6452271000,36417000.0,7745000.0,38710000.0,-18427000.0,64445000.0,-5689000.0,-214000.0,-6186000.0,0.0,3235000.0,10987000.0,-438515000.0,-380256000,2013-06-28,19.350000381469727,19.3799991607666,18.81999969482422,18.96999931335449,16.90570068359375,13972100.0
2013-09-30,1582078000.0,-1230070000.0,352008000.0,-161881000.0,-138637000.0,190127000.0,-15405000.0,174722000,174722000,2107162000.0,2281884000,2281884000,2281884000,1349994000.0,4216064000.0,5932401000.0,45006000.0,2688703000.0,2761321000.0,8693722000,1833412000.0,4005167000.0,196870000.0,4202037000,4491685000.0,8693722000,2281884000.0,8050000.0,-2095786000.0,25737000.0,219885000.0,-7337000.0,-250000.0,-10716000.0,-19317000.0,55232000.0,-83488000.0,-71843000.0,137326000,2013-09-30,16.239999771118164,16.709999084472653,16.129999160766598,16.5,14.79080581665039,7487100.0
2013-12-31,1655339000.0,-1249868000.0,405471000.0,-173081000.0,-149706000.0,232390000.0,30000.0,232420000,232420000,-12367000.0,220053000,220053000,220053000,1580329000.0,4040296000.0,5981273000.0,45323000.0,2683523000.0,2752870000.0,8734143000,1715344000.0,3879176000.0,206015000.0,4085191000,4648952000.0,8734143000,220053000.0,8453000.0,29215000.0,68465000.0,326186000.0,-10554000.0,1057000.0,-27886000.0,-19065000.0,-489261000.0,-36859000.0,-67965000.0,230335000,2013-12-31,20.239999771118164,20.489999771118164,20.09000015258789,20.3700008392334,18.310470581054688,6132800.0
2014-03-31,1118894000.0,-833614000.0,285280000.0,-148209000.0,-144887000.0,137071000.0,-7042000.0,130029000,130029000,-55210000.0,74819000,74819000,74819000,1268162000.0,4106825000.0,5660504000.0,40120000.0,2628587000.0,2690907000.0,8351411000,1631661000.0,3481538000.0,205810000.0,3687348000,4664063000.0,8351411000,74819000.0,8942000.0,70420000.0,-62785000.0,91396000.0,-17842000.0,-9000.0,-19847000.0,-19065000.0,-69828000.0,-44810000.0,-383716000.0,-312167000,2014-03-31,19.1200008392334,19.3700008392334,18.82999992370605,19.190000534057614,17.291791915893555,4711100.0
2014-06-30,1286187000.0,-959524000.0,326663000.0,-251881000.0,-229767000.0,74782000.0,-7101000.0,67681000,67681000,-25801000.0,41880000,41880000,41880000,1170934000.0,4277449000.0,5771597000.0,40131000.0,2628314000.0,2695739000.0,8467336000,1762092000.0,3636146000.0,193146000.0,3829292000,4638044000.0,8467336000,41880000.0,9962000.0,43487000.0,-112443000.0,-17114000.0,-15081000.0,0.0,-40465000.0,-19087000.0,22670000.0,-53112000.0,-39649000.0,-97228000,2014-06-30,20.13999938964844,20.399999618530273,20.07999992370605,20.15999984741211,18.212421417236328,6414700.0
2014-09-30,1594725000.0,-1198908000.0,395817000.0,-169759000.0,-147136000.0,226058000.0,-1130000.0,224928000,224928000,-84383000.0,140545000,140545000,140545000,1221817000.0,4524963000.0,6008155000.0,40295000.0,2549378000.0,2606490000.0,8614645000,1819374000.0,3708022000.0,196214000.0,3904236000,4710409000.0,8614645000,140545000.0,9960000.0,85290000.0,-108242000.0,127553000.0,-8965000.0,-77460000.0,-9284000.0,-18792000.0,-237543000.0,-51184000.0,-67386000.0,50883000,2014-09-30,17.739999771118164,17.770000457763672,17.520000457763672,17.65999984741211,15.995160102844238,6439100.0
2014-12-31,1822557000.0,-1181376000.0,641181000.0,-362598000.0,-339600000.0,278583000.0,-11463000.0,267120000,267120000,-50026000.0,217094000,217094000,217094000,1292862000.0,4493290000.0,6142041000.0,40368000.0,2387001000.0,2427369000.0,8569410000,1756932000.0,3715734000.0,48722000.0,3764456000,4804954000.0,8569410000,217094000.0,11000000.0,71050000.0,-193098000.0,106046000.0,-6902000.0,-4959000.0,-53017000.0,-18702000.0,68647000.0,-88286000.0,-38341000.0,14688000,2014-12-31,21.40999984741211,21.739999771118164,21.36000061035156,21.459999084472656,19.51318359375,3496800.0
