Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-06-30,43476000000.0,-40744000000.0,2732000000.0,-2051000000.0,681000000.0,-77000000.0,-96000000.0,604000000,604000000,-185000000.0,419000000,-8000000.0,403000000,403000000,2905000000.0,10013000000.0,10332000000.0,24067000000.0,1333000000.0,10091000000.0,11424000000.0,35491000000,18562000000.0,352000000.0,21481000000.0,4522000000.0,6619000000.0,28100000000,6233000000.0,-9504000000.0,10780000000.0,7391000000.0,35491000000,424000000.0,162000000.0,32000000.0,98000000.0,716000000.0,-69000000.0,-74000000.0,-184000000.0,-53000000.0,0.0,-77000000.0,-73000000.0,449000000,2014-06-30,189.0,189.0500030517578,185.7700042724609,186.2100067138672,175.3485107421875,1342900.0
2014-09-30,44160000000.0,-41296000000.0,2864000000.0,-2077000000.0,787000000.0,-73000000.0,-95000000.0,714000000,714000000,-223000000.0,491000000,-14000000.0,469000000,469000000,2960000000.0,10321000000.0,10484000000.0,24545000000.0,1348000000.0,10054000000.0,11402000000.0,35947000000,18441000000.0,353000000.0,21379000000.0,4521000000.0,6598000000.0,27977000000,6361000000.0,-9505000000.0,11130000000.0,7970000000.0,35947000000,404000000.0,170000000.0,133000000.0,-610000000.0,97000000.0,-64000000.0,-42000000.0,-90000000.0,-46000000.0,0.0,68000000.0,36000000.0,55000000,2014-09-30,196.5,197.33999633789062,194.3500061035156,194.6699981689453,183.54443359375,812200.0
2014-12-31,46484000000.0,-43586000000.0,2898000000.0,-2098000000.0,800000000.0,-81000000.0,-93000000.0,719000000,719000000,-198000000.0,521000000,-10000000.0,472000000,472000000,2431000000.0,10750000000.0,11462000000.0,25234000000.0,1359000000.0,9886000000.0,11245000000.0,36479000000,18746000000.0,353000000.0,21904000000.0,4521000000.0,6564000000.0,28468000000,6446000000.0,-9505000000.0,11138000000.0,8011000000.0,36479000000,65000000.0,163000000.0,201000000.0,-770000000.0,-341000000.0,-58000000.0,97000000.0,-148000000.0,-55000000.0,0.0,31000000.0,-36000000.0,-529000000,2014-12-31,210.52999877929688,211.3500061035156,207.38999938964844,207.5800018310547,195.9416961669922,684200.0
2015-03-31,44925000000.0,-42008000000.0,2917000000.0,-2067000000.0,850000000.0,-80000000.0,-90000000.0,770000000,620000000,-209000000.0,411000000,-267000000.0,132000000,132000000,4193000000.0,13780000000.0,12986000000.0,32836000000.0,2196000000.0,16727000000.0,18923000000.0,51759000000,25126000000.0,1665000000.0,29615000000.0,8929000000.0,11849000000.0,41464000000,6556000000.0,-9507000000.0,11453000000.0,10295000000.0,51759000000,650000000.0,522000000.0,583000000.0,885000000.0,2640000000.0,-185000000.0,-136000000.0,-255000000.0,-73000000.0,-402000000.0,-320000000.0,-895000000.0,1173000000,2015-03-31,228.3000030517578,230.2899932861328,226.1999969482422,226.1999969482422,213.7411346435547,769900.0
2015-06-30,47546000000.0,-44698000000.0,2848000000.0,-1917000000.0,931000000.0,-76000000.0,-89000000.0,855000000,855000000,-256000000.0,599000000,-10000000.0,576000000,576000000,4105000000.0,14920000000.0,14124000000.0,33973000000.0,2209000000.0,16824000000.0,19033000000.0,53006000000,25933000000.0,532000000.0,29245000000.0,10141000000.0,12989000000.0,42234000000,6690000000.0,-9611000000.0,11800000000.0,10772000000.0,53006000000,411000000.0,280000000.0,111000000.0,-620000000.0,182000000.0,-83000000.0,-14000000.0,-112000000.0,-59000000.0,-64000000.0,-68000000.0,-167000000.0,-88000000,2015-06-30,225.8000030517578,226.13999938964844,223.0,224.80999755859366,212.64300537109366,1396100.0
2015-09-30,48761000000.0,-45917000000.0,2844000000.0,-1890000000.0,954000000.0,-74000000.0,-91000000.0,880000000,880000000,-244000000.0,636000000,-6000000.0,617000000,617000000,3804000000.0,15391000000.0,14063000000.0,33879000000.0,2174000000.0,16179000000.0,18353000000.0,52232000000,25648000000.0,952000000.0,29337000000.0,9620000000.0,12362000000.0,41699000000,6763000000.0,-9611000000.0,12211000000.0,10533000000.0,52232000000,477000000.0,258000000.0,181000000.0,-933000000.0,-17000000.0,-107000000.0,-19000000.0,-195000000.0,-56000000.0,54000000.0,29000000.0,-1000000.0,-301000000,2015-09-30,185.8800048828125,187.22000122070312,182.66000366210938,185.02999877929688,175.26272583007812,1786400.0
2015-12-31,47899000000.0,-45027000000.0,2872000000.0,-1952000000.0,920000000.0,-74000000.0,-87000000.0,846000000,846000000,-204000000.0,642000000,5000000.0,634000000,634000000,4587000000.0,16581000000.0,15378000000.0,37141000000.0,2156000000.0,15813000000.0,17969000000.0,55110000000,28429000000.0,1413000000.0,32778000000.0,8981000000.0,11708000000.0,44486000000,6879000000.0,-9612000000.0,12628000000.0,10624000000.0,55110000000,978000000.0,133000000.0,72000000.0,-782000000.0,401000000.0,-82000000.0,212000000.0,79000000.0,-64000000.0,-1122000000.0,-824000000.0,-2079000000.0,-1546000000,2015-12-31,198.52999877929688,200.57000732421875,197.22000122070312,197.22999572753903,187.0950164794922,1976100.0
2016-03-31,46678000000.0,-43826000000.0,2852000000.0,-2012000000.0,840000000.0,-71000000.0,-86000000.0,769000000,669000000,-204000000.0,465000000,-21000000.0,431000000,431000000,4048000000.0,17980000000.0,15335000000.0,38435000000.0,2278000000.0,15810000000.0,18088000000.0,56523000000,32533000000.0,1617000000.0,35069000000.0,6497000000.0,11038000000.0,46107000000,5848000000.0,-3721000000.0,8360000000.0,10416000000.0,56523000000,444000000.0,214000000.0,16000000.0,2432000000.0,3106000000.0,-216000000.0,-9000000.0,-1329000000.0,-65000000.0,-593000000.0,-626000000.0,-1206000000.0,642000000,2016-03-31,157.9600067138672,159.83999633789062,157.11000061035156,157.25,149.4387969970703,1199200.0
2016-06-30,49733000000.0,-46826000000.0,2907000000.0,-1935000000.0,972000000.0,-60000000.0,-79000000.0,912000000,912000000,-239000000.0,673000000,-113000000.0,542000000,542000000,5635000000.0,16684000000.0,14932000000.0,38571000000.0,2100000000.0,15254000000.0,17354000000.0,55925000000,30211000000.0,1654000000.0,34673000000.0,8142000000.0,10879000000.0,45552000000,7125000000.0,-10061000000.0,13227000000.0,10373000000.0,55925000000,560000000.0,242000000.0,189000000.0,868000000.0,1859000000.0,-76000000.0,-1819000000.0,-1154000000.0,-66000000.0,-8000000.0,-22000000.0,-82000000.0,611000000,2016-06-30,183.4900054931641,186.75999450683602,182.5399932861328,186.6499938964844,177.64752197265625,1580800.0
2016-09-30,49957000000.0,-47201000000.0,2756000000.0,-1886000000.0,870000000.0,-55000000.0,-78000000.0,815000000,525000000,-200000000.0,325000000,-1000000.0,307000000,307000000,5359000000.0,16798000000.0,15587000000.0,38749000000.0,2108000000.0,14962000000.0,17070000000.0,55819000000,30801000000.0,1252000000.0,34775000000.0,8136000000.0,10758000000.0,45533000000,7216000000.0,-10561000000.0,13780000000.0,10286000000.0,55819000000,324000000.0,217000000.0,302000000.0,226000000.0,1069000000.0,-75000000.0,-222000000.0,-192000000.0,-63000000.0,-5000000.0,39000000.0,-32000000.0,805000000,2016-09-30,164.97000122070312,167.2100067138672,163.57000732421875,166.75,158.94935607910156,2085200.0
