Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,293400000.0,-209500000.0,83900000.0,-51200000.0,-45400000.0,-5800000.0,32700000.0,-3900000.0,-3900000.0,28800000,17800000,1100000.0,20300000,20300000,20300000,83100000.0,138700000.0,129200000.0,397200000.0,577100000.0,296700000.0,873800000.0,1271000000,120900000.0,500000.0,171100000.0,379100000.0,520800000.0,691900000,81500000.0,-52100000.0,569400000.0,579100000.0,1271000000,20300000.0,18300000.0,7100000.0,6900000.0,52600000.0,-28600000.0,-30100000.0,-5300000.0,-14600000.0,700000.0,-17500000.0,3600000,2009-12-31,19.94499969482422,19.959999084472656,19.59000015258789,19.600000381469727,17.612516403198242,117400.0
2010-12-31,276800000.0,-198800000.0,78000000.0,-57300000.0,-50400000.0,-6900000.0,20700000.0,-4400000.0,-4400000.0,16300000,1600000,3700000.0,6000000,6000000,6000000,110200000.0,126400000.0,147000000.0,436600000.0,554800000.0,302900000.0,857700000.0,1294300000,126500000.0,300000.0,169700000.0,358100000.0,498900000.0,668600000,85900000.0,-41500000.0,612600000.0,625700000.0,1294300000,6000000.0,19500000.0,10900000.0,10800000.0,47200000.0,-24000000.0,-18600000.0,-5700000.0,-9700000.0,800000.0,-14600000.0,13100000,2010-12-31,21.07999992370605,21.07999992370605,20.565000534057614,20.600000381469727,18.83091926574707,155600.0
2011-12-31,295400000.0,-210100000.0,85300000.0,-55600000.0,-48400000.0,-7200000.0,29700000.0,-4000000.0,-4000000.0,25700000,22900000,-5500000.0,18900000,18900000,18900000,118300000.0,147200000.0,151800000.0,472000000.0,593600000.0,333500000.0,927100000.0,1399100000,142600000.0,50100000.0,243200000.0,299300000.0,501000000.0,744200000,84900000.0,-23000000.0,664500000.0,654900000.0,1399100000,18800000.0,18400000.0,-1600000.0,6200000.0,41800000.0,-34800000.0,-36300000.0,-6100000.0,-22900000.0,-1300000.0,-28100000.0,-27400000,2011-12-30,18.924999237060547,19.05500030517578,18.875,18.975000381469727,17.63213539123535,275400.0
2012-12-31,321500000.0,-224000000.0,97500000.0,-68500000.0,-58700000.0,-8500000.0,29000000.0,-3100000.0,-3100000.0,25900000,28400000,-7400000.0,21100000,21100000,21100000,174300000.0,175000000.0,162200000.0,557300000.0,669000000.0,337700000.0,1006700000.0,1564000000,182800000.0,32700000.0,261800000.0,378800000.0,573300000.0,835100000,87900000.0,-3000000.0,719900000.0,728900000.0,1564000000,21100000.0,20200000.0,7700000.0,20800000.0,69800000.0,-33600000.0,-22700000.0,-6600000.0,-27200000.0,3700000.0,-29500000.0,18700000,2012-12-31,27.09000015258789,27.48500061035156,26.76499938964844,27.375,25.853626251220703,217600.0
2013-09-30,341800000.0,-236300000.0,105500000.0,-65800000.0,-56100000.0,-9600000.0,39700000.0,-4000000.0,-4000000.0,35700000,35700000,-10600000.0,26800000,26800000,26800000,229200000.0,198200000.0,176700000.0,643500000.0,682000000.0,339000000.0,1021000000.0,1664500000,176500000.0,18900000.0,246800000.0,381100000.0,581000000.0,827800000,121400000.0,-3800000.0,788600000.0,836700000.0,1664500000,26800000.0,21900000.0,3900000.0,700000.0,53300000.0,-29300000.0,-29100000.0,-6600000.0,1200000.0,4400000.0,3100000.0,31100000,2013-09-30,40.7400016784668,41.15999984741211,40.33000183105469,41.150001525878906,39.21598434448242,300200.0
2013-12-31,342700000.0,-236100000.0,106600000.0,-69700000.0,-60000000.0,-9700000.0,36900000.0,-3400000.0,-3400000.0,33500000,33500000,-10700000.0,23600000,23600000,23600000,230000000.0,185700000.0,176900000.0,650700000.0,711700000.0,309200000.0,1020900000.0,1671600000,181700000.0,2200000.0,236900000.0,371300000.0,528300000.0,765200000,137600000.0,-3800000.0,805000000.0,906400000.0,1671600000,23600000.0,22100000.0,14900000.0,8200000.0,68800000.0,-42700000.0,-38900000.0,-7000000.0,-27500000.0,6600000.0,-23500000.0,8300000,2013-12-31,49.0099983215332,49.52000045776367,48.61000061035156,49.06000137329102,46.85675048828125,270200.0
2014-03-31,346800000.0,-240400000.0,106400000.0,-67100000.0,-56400000.0,-10000000.0,39300000.0,-3600000.0,-3600000.0,35700000,35700000,-9800000.0,27100000,27100000,27100000,230000000.0,208700000.0,187500000.0,686600000.0,712000000.0,309600000.0,1021600000.0,1708200000,152600000.0,14200000.0,227600000.0,390700000.0,546000000.0,773600000,147600000.0,-4200000.0,825000000.0,934600000.0,1708200000,27100000.0,21800000.0,3100000.0,-43200000.0,8800000.0,-31700000.0,-35600000.0,-7100000.0,31400000.0,2400000.0,26200000.0,0,2014-03-31,42.06999969482422,44.36000061035156,41.83000183105469,44.04999923706055,42.15439224243164,355700.0
2014-06-30,368900000.0,-247100000.0,121800000.0,-67700000.0,-57500000.0,-9900000.0,54100000.0,-3700000.0,-3700000.0,50400000,50400000,-14000000.0,37600000,37600000,37600000,226700000.0,209600000.0,187900000.0,685400000.0,709200000.0,310100000.0,1019300000.0,1704700000,161200000.0,2200000.0,221200000.0,359300000.0,510900000.0,732100000,156000000.0,-4200000.0,855500000.0,972600000.0,1704700000,37600000.0,23100000.0,3900000.0,-400000.0,64200000.0,-24500000.0,-21400000.0,-7000000.0,-42500000.0,2800000.0,-45200000.0,-3300000,2014-06-30,42.02999877929688,42.33000183105469,41.70000076293945,42.18000030517578,40.45730590820313,459100.0
2014-09-30,355900000.0,-246000000.0,109900000.0,-65900000.0,-56000000.0,-9600000.0,44000000.0,-2700000.0,-2700000.0,41300000,41300000,-11700000.0,31000000,31000000,31000000,246800000.0,195900000.0,185700000.0,679500000.0,694800000.0,299000000.0,993800000.0,1673300000,161100000.0,27200000.0,242500000.0,315500000.0,460700000.0,703200000,166900000.0,-4200000.0,878700000.0,970100000.0,1673300000,31000000.0,23100000.0,2400000.0,7400000.0,63900000.0,-28600000.0,-20700000.0,-7100000.0,-10600000.0,5300000.0,-10000000.0,20100000,2014-09-30,44.95000076293945,45.43000030517578,44.43000030517578,44.7599983215332,43.03865432739258,510400.0
2014-12-31,349800000.0,-240100000.0,109700000.0,-65100000.0,-58800000.0,-7800000.0,44600000.0,-3000000.0,-3000000.0,41600000,41600000,-11700000.0,31400000,31400000,31400000,255300000.0,179000000.0,181500000.0,659100000.0,705800000.0,304800000.0,1010600000.0,1669700000,170900000.0,27200000.0,252500000.0,308300000.0,460300000.0,712800000,178000000.0,-4100000.0,902200000.0,956900000.0,1669700000,31400000.0,22000000.0,-13000000.0,5600000.0,46000000.0,-27300000.0,-26300000.0,-7900000.0,-600000.0,3800000.0,-1800000.0,8500000,2014-12-31,53.77000045776367,54.47999954223633,53.16999816894531,53.2400016784668,51.3195915222168,289800.0
2015-03-31,335900000.0,-226200000.0,109700000.0,-61900000.0,-55200000.0,-7500000.0,47800000.0,-3700000.0,-3700000.0,44100000,44100000,-12500000.0,32900000,32900000,32900000,207100000.0,189500000.0,183400000.0,625100000.0,675800000.0,295100000.0,970900000.0,1596000000,142300000.0,98800000.0,296600000.0,231900000.0,358300000.0,654900000,188400000.0,-4200000.0,927200000.0,941100000.0,1596000000,32900000.0,22000000.0,4300000.0,-61100000.0,-1900000.0,-30400000.0,-30600000.0,-7900000.0,4700000.0,6600000.0,1200000.0,-48200000,2015-03-31,59.52999877929688,60.29999923706055,59.02000045776367,60.209999084472656,58.16404724121094,700900.0
2015-06-30,359700000.0,-241500000.0,118200000.0,-79100000.0,-60800000.0,-8100000.0,39100000.0,-3000000.0,-3000000.0,36100000,36100000,-9200000.0,27800000,27800000,27800000,252000000.0,198800000.0,187200000.0,679900000.0,685400000.0,298400000.0,983800000.0,1663700000,162300000.0,95000000.0,313700000.0,231700000.0,360600000.0,674300000,206600000.0,-4000000.0,947000000.0,989400000.0,1663700000,27800000.0,22200000.0,14900000.0,12600000.0,77500000.0,-26700000.0,-25500000.0,-7900000.0,-5900000.0,1600000.0,-10700000.0,44900000,2015-06-30,58.52000045776367,58.56999969482422,57.68000030517578,58.08000183105469,56.21769714355469,417200.0
2015-09-30,344500000.0,-236200000.0,108300000.0,-111800000.0,-54600000.0,-8500000.0,-3500000.0,-3200000.0,-3200000.0,-6700000,-6700000,6600000.0,1500000,1500000,1500000,256800000.0,194600000.0,187700000.0,680900000.0,689500000.0,296100000.0,985600000.0,1666500000,168800000.0,71000000.0,299900000.0,231500000.0,371300000.0,671200000,213800000.0,-4000000.0,939900000.0,995300000.0,1666500000,1500000.0,22400000.0,51500000.0,-6600000.0,68800000.0,-29700000.0,-29500000.0,-7900000.0,-25500000.0,1500000.0,-30400000.0,4800000,2015-09-30,54.91999816894531,55.63999938964844,54.02000045776367,54.11999893188477,52.47922897338867,1059900.0
2015-12-31,359700000.0,-240100000.0,119600000.0,-74400000.0,-62400000.0,-10000000.0,45200000.0,-2600000.0,-2600000.0,42600000,42600000,-11200000.0,33400000,33400000,33400000,274600000.0,181400000.0,181100000.0,673700000.0,721000000.0,300400000.0,1021400000.0,1695100000,185600000.0,69300000.0,314300000.0,228900000.0,356900000.0,671200000,225900000.0,-4000000.0,964600000.0,1023900000.0,1695100000,33400000.0,23300000.0,-33000000.0,44300000.0,68000000.0,-44800000.0,-43900000.0,-8700000.0,-700000.0,3000000.0,-1600000.0,17800000,2015-12-31,61.81000137329102,61.93999862670898,60.18999862670898,60.22000122070313,58.51892471313477,275800.0
