Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-12-31,195000000.0,38000000.0,233000000.0,-330000000.0,-97000000.0,-42000000.0,-51000000.0,-139000000,-102000000,39000000.0,-63000000,26000000,26000000,255000000.0,542000000.0,712000000.0,2295000000.0,18127000000.0,3223000000.0,21350000000.0,23645000000,794000000.0,327000000.0,1785000000.0,6677000000.0,13792000000.0,15577000000,5600000000.0,2369000000.0,8068000000.0,23645000000,-63000000.0,44000000.0,-64000000.0,17000000.0,313000000.0,-173000000.0,-5000000.0,-297000000.0,-96000000.0,-107000000.0,-283000000.0,-267000000,2011-12-30,33.689998626708984,33.689998626708984,33.130001068115234,33.130001068115234,23.60151290893555,1304100.0
2012-03-31,1658000000.0,-705000000.0,953000000.0,-747000000.0,206000000.0,-111000000.0,-113000000.0,95000000,-533000000,130000000.0,-403000000,-403000000,-403000000,208000000.0,511000000.0,625000000.0,2124000000.0,17535000000.0,3240000000.0,20775000000.0,22899000000,515000000.0,305000000.0,1614000000.0,6677000000.0,13706000000.0,15320000000,5598000000.0,1869000000.0,7579000000.0,22899000000,-403000000.0,188000000.0,495000000.0,112000000.0,392000000.0,-266000000.0,-21000000.0,-326000000.0,-90000000.0,-22000000.0,-113000000.0,-47000000,2012-03-30,32.279998779296875,32.580001831054695,32.18000030517578,32.580001831054695,23.50424194335937,1868100.0
2012-06-30,1660000000.0,-528000000.0,1132000000.0,-769000000.0,363000000.0,-99000000.0,-112000000.0,264000000,264000000,-54000000.0,210000000,210000000,210000000,117000000.0,486000000.0,686000000.0,2154000000.0,17690000000.0,3136000000.0,20826000000.0,22980000000,592000000.0,209000000.0,1603000000.0,6678000000.0,13677000000.0,15280000000,5602000000.0,1983000000.0,7700000000.0,22980000000,210000000.0,185000000.0,78000000.0,-60000000.0,413000000.0,-281000000.0,-16000000.0,-312000000.0,-97000000.0,-96000000.0,-195000000.0,-94000000,2012-06-29,34.040000915527344,34.040000915527344,33.279998779296875,33.540000915527344,24.491443634033203,2007800.0
2012-09-30,2001000000.0,-635000000.0,1366000000.0,-731000000.0,635000000.0,-103000000.0,-113000000.0,532000000,532000000,-158000000.0,374000000,374000000,374000000,298000000.0,605000000.0,756000000.0,2406000000.0,17833000000.0,3259000000.0,21092000000.0,23498000000,603000000.0,211000000.0,1546000000.0,6781000000.0,13926000000.0,15472000000,5613000000.0,2259000000.0,8026000000.0,23498000000,374000000.0,179000000.0,28000000.0,-25000000.0,556000000.0,-336000000.0,-27000000.0,-373000000.0,-97000000.0,103000000.0,1000000.0,184000000,2012-09-28,32.540000915527344,32.720001220703125,32.34999847412109,32.669998168945305,24.14779663085937,1527100.0
2012-12-31,462000000.0,-98000000.0,364000000.0,-380000000.0,-16000000.0,-46000000.0,-54000000.0,-62000000,566000000,-225000000.0,341000000,-1155000000,-1155000000,184000000.0,425000000.0,570000000.0,3596000000.0,15348000000.0,3286000000.0,18634000000.0,22230000000,622000000.0,355000000.0,2686000000.0,5802000000.0,12777000000.0,15463000000,5618000000.0,1006000000.0,6767000000.0,22230000000,341000000.0,81000000.0,-393000000.0,14000000.0,329000000.0,-180000000.0,45000000.0,-299000000.0,-98000000.0,-11000000.0,-119000000.0,-89000000,2012-12-31,30.309999465942386,30.81999969482422,30.18000030517578,30.71999931335449,23.01603889465332,2461100.0
2013-03-31,1475000000.0,-594000000.0,881000000.0,-696000000.0,185000000.0,-94000000.0,-101000000.0,91000000,91000000,-35000000.0,56000000,-143000000,-143000000,184000000.0,425000000.0,570000000.0,3585000000.0,15348000000.0,3286000000.0,18634000000.0,22219000000,622000000.0,355000000.0,2660000000.0,5802000000.0,12792000000.0,15452000000,5618000000.0,1006000000.0,6767000000.0,22219000000,56000000.0,166000000.0,64000000.0,56000000.0,379000000.0,-275000000.0,-3000000.0,-303000000.0,-97000000.0,0.0,-99000000.0,-23000000,2013-03-28,34.669998168945305,35.11999893188477,34.650001525878906,35.02000045776367,26.55106544494629,2207100.0
2013-06-30,1403000000.0,-406000000.0,997000000.0,-736000000.0,261000000.0,-89000000.0,-100000000.0,172000000,172000000,-66000000.0,106000000,96000000,96000000,184000000.0,425000000.0,570000000.0,3575000000.0,15348000000.0,3286000000.0,18634000000.0,22209000000,622000000.0,355000000.0,2660000000.0,5802000000.0,12782000000.0,15442000000,5618000000.0,1006000000.0,6767000000.0,22209000000,106000000.0,168000000.0,63000000.0,50000000.0,389000000.0,-300000000.0,-5000000.0,-334000000.0,-97000000.0,25000000.0,-66000000.0,-11000000,2013-06-28,34.22999954223633,34.669998168945305,34.130001068115234,34.439998626708984,26.413976669311523,1876000.0
2013-09-30,1638000000.0,-392000000.0,1246000000.0,-679000000.0,567000000.0,-73000000.0,-88000000.0,494000000,494000000,-187000000.0,307000000,304000000,304000000,184000000.0,425000000.0,570000000.0,3575000000.0,15348000000.0,3286000000.0,18634000000.0,22209000000,622000000.0,355000000.0,2660000000.0,5802000000.0,12782000000.0,15442000000,5618000000.0,1006000000.0,6767000000.0,22209000000,307000000.0,166000000.0,202000000.0,-189000000.0,546000000.0,-368000000.0,-5000000.0,-396000000.0,-97000000.0,-25000000.0,-131000000.0,19000000,2013-09-30,34.86999893188477,35.130001068115234,34.72999954223633,34.84000015258789,27.04711532592773,1633900.0
2013-12-31,1322000000.0,-487000000.0,835000000.0,-664000000.0,171000000.0,-99000000.0,-109000000.0,72000000,72000000,-23000000.0,49000000,38000000,38000000,30000000.0,600000000.0,526000000.0,1972000000.0,16205000000.0,2865000000.0,19070000000.0,21042000000,892000000.0,902000000.0,2461000000.0,5504000000.0,11895000000.0,14356000000,5634000000.0,907000000.0,6686000000.0,21042000000,49000000.0,166000000.0,189000000.0,17000000.0,379000000.0,-436000000.0,-5000000.0,-690000000.0,-97000000.0,247000000.0,147000000.0,-164000000,2013-12-31,36.25,36.33000183105469,36.06999969482422,36.15999984741211,28.383434295654297,1051300.0
2014-03-31,1594000000.0,-622000000.0,972000000.0,-726000000.0,246000000.0,-83000000.0,-92000000.0,163000000,163000000,-64000000.0,99000000,98000000,98000000,26000000.0,754000000.0,424000000.0,1840000000.0,16425000000.0,2901000000.0,19326000000.0,21166000000,663000000.0,1348000000.0,2725000000.0,5226000000.0,11786000000.0,14511000000,5604000000.0,906000000.0,6655000000.0,21166000000,99000000.0,176000000.0,114000000.0,-150000000.0,239000000.0,-442000000.0,-4000000.0,-313000000.0,-97000000.0,169000000.0,70000000.0,-4000000,2014-03-31,41.0,41.47000122070313,40.81999969482422,41.20000076293945,32.667098999023445,1350300.0
2014-06-30,1419000000.0,-389000000.0,1030000000.0,-708000000.0,322000000.0,-72000000.0,-89000000.0,250000000,250000000,-99000000.0,151000000,150000000,150000000,46000000.0,667000000.0,491000000.0,1965000000.0,16726000000.0,2897000000.0,19623000000.0,21588000000,667000000.0,912000000.0,2312000000.0,5825000000.0,12562000000.0,14874000000,5609000000.0,957000000.0,6714000000.0,21588000000,151000000.0,173000000.0,113000000.0,-18000000.0,415000000.0,-441000000.0,-3000000.0,-457000000.0,-97000000.0,162000000.0,62000000.0,20000000,2014-06-30,40.52999877929688,40.9900016784668,40.459999084472656,40.88000106811523,32.746078491210945,1599300.0
2014-09-30,1670000000.0,-399000000.0,1271000000.0,-710000000.0,561000000.0,-71000000.0,-85000000.0,490000000,490000000,-194000000.0,296000000,295000000,295000000,13000000.0,584000000.0,561000000.0,1942000000.0,16991000000.0,2943000000.0,19934000000.0,21876000000,571000000.0,872000000.0,2119000000.0,5825000000.0,12841000000.0,14960000000,5614000000.0,1154000000.0,6916000000.0,21876000000,296000000.0,177000000.0,214000000.0,-137000000.0,549000000.0,-427000000.0,-4000000.0,-442000000.0,-97000000.0,-40000000.0,-140000000.0,-33000000,2014-09-30,38.40999984741211,38.790000915527344,38.209999084472656,38.33000183105469,31.011402130126953,1249000.0
