Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-12-31,592027000.0,-178280000.0,413747000.0,-187320000.0,-53668000.0,-133652000.0,226427000.0,-83627000.0,-63400000.0,142800000,-49872000.0,92928000,-4943000.0,87985000,9002000.0,87296000,69508000,606553000.0,171798000.0,876419000.0,13809383000.0,1221919000.0,4538766000.0,19570068000.0,20446487000,8496392000.0,9664864000.0,2003727000.0,2112499000.0,11777363000,7134631000.0,-1401704000.0,8669124000.0,20446487000,96987000.0,165998000.0,-12497000.0,-114660000.0,135828000.0,-40250000.0,-91034000.0,-163086000.0,-145152000.0,155013000.0,-412000.0,48628000.0,21370000,2011-12-30,56.42898178100586,56.74357223510742,55.98270034790039,56.2314453125,37.999603271484375,1184650.0
2012-03-31,669241000.0,-246746000.0,422495000.0,-186831000.0,-55290000.0,-131541000.0,235664000.0,33499000.0,-114394000.0,269163000,-53446000.0,215717000,-6825000.0,208892000,71372000.0,251522000,233735000,614359000.0,191184000.0,922966000.0,14471766000.0,1810027000.0,3064970000.0,19346763000.0,20269729000,8888516000.0,9528442000.0,1867661000.0,1980851000.0,11509293000,7065608000.0,-1312670000.0,8760436000.0,20269729000,280264000.0,145304000.0,-212424000.0,93959000.0,307103000.0,-20614000.0,240916000.0,172095000.0,-145762000.0,-259679000.0,-30034000.0,-471392000.0,7806000,2012-03-30,61.23564910888672,61.725830078125,61.12590789794922,61.60145568847656,41.98157119750977,1497248.0
2012-06-30,677983000.0,-243485000.0,434498000.0,-175204000.0,-46832000.0,-128372000.0,259294000.0,-159818000.0,-173492000.0,99476000,-51638000.0,47838000,-7479000.0,40359000,17869000.0,38297000,20510000,471363000.0,180769000.0,764858000.0,14091482000.0,1632756000.0,3514669000.0,19238907000.0,20003765000,8791538000.0,9518740000.0,1857835000.0,1974575000.0,11493315000,7067274000.0,-1420304000.0,8510450000.0,20003765000,58228000.0,140313000.0,-23092000.0,-218688000.0,-43239000.0,-37455000.0,72057000.0,-1201000.0,-145933000.0,-22541000.0,0.0,-98556000.0,-142996000,2012-06-29,60.09434127807617,61.44050216674805,60.02849578857422,61.44050216674805,42.20344161987305,1534563.0
2012-09-30,703052000.0,-261512000.0,441540000.0,-170697000.0,-48456000.0,-122241000.0,270843000.0,-90615000.0,-108807000.0,180228000,-71501000.0,108727000,-3015000.0,105712000,158444000.0,241306000,232393000,465884000.0,181242000.0,1038920000.0,13954039000.0,1648449000.0,3756408000.0,19358896000.0,20397816000,8295301000.0,9637107000.0,1957921000.0,2076356000.0,11713463000,7143505000.0,-1319118000.0,8684353000.0,20397816000,264156000.0,133390000.0,-101971000.0,-48793000.0,246782000.0,-48433000.0,-56786000.0,-136882000.0,-146692000.0,-15075000.0,291144000.0,-115379000.0,-5479000,2012-09-28,59.25299072265625,59.5383186340332,58.90913391113281,59.2968864440918,41.07000732421875,1503263.0
2012-12-31,598941000.0,-237140000.0,361801000.0,-147405000.0,-39531000.0,-107874000.0,214396000.0,-41977000.0,-349280000.0,172419000,-62473000.0,109946000,9187000.0,119133000,-27240000.0,86135000,62633000,960319000.0,195718000.0,1339293000.0,15165949000.0,1224333000.0,4335474000.0,20725756000.0,22065049000,9083968000.0,10568240000.0,2528008000.0,2648513000.0,13216753000,7202878000.0,-1573275000.0,8848296000.0,22065049000,91893000.0,138881000.0,-41050000.0,124679000.0,314403000.0,-50371000.0,-764576000.0,-676274000.0,-334907000.0,1142601000.0,-307000.0,856306000.0,494435000,2012-12-31,57.79708862304688,58.58722686767578,57.64345169067383,58.58722686767578,41.476112365722656,1094574.0
2013-03-31,718713000.0,-265747000.0,452966000.0,-190697000.0,-51380000.0,-139317000.0,262269000.0,-130332000.0,-169421000.0,131937000,-48699000.0,83238000,-1073000.0,82165000,206762000.0,262922000,231990000,585823000.0,144204000.0,898406000.0,15211314000.0,1179514000.0,3836893000.0,20227721000.0,21126127000,9489705000.0,10627404000.0,1358095000.0,1483031000.0,12110435000,7175406000.0,-1479296000.0,9015692000.0,21126127000,288927000.0,148918000.0,-124136000.0,101218000.0,414927000.0,-35334000.0,602209000.0,527685000.0,-159503000.0,-1030461000.0,290403000.0,-1317108000.0,-374496000,2013-03-28,60.97227096557617,61.23564910888672,60.61378479003906,61.19175338745117,43.69612884521485,1153485.0
2013-06-30,671216000.0,-259168000.0,412048000.0,-183485000.0,-50305000.0,-133180000.0,228563000.0,-95161000.0,-94242000.0,133402000,-17496000.0,115906000,-2877000.0,113029000,69292000.0,158194000,145926000,781655000.0,140938000.0,1234664000.0,14390155000.0,1200758000.0,3507654000.0,19098567000.0,20333231000,8975935000.0,9902390000.0,1442164000.0,1568626000.0,11471016000,7197786000.0,-1471643000.0,8862215000.0,20333231000,182321000.0,140725000.0,-68247000.0,-224926000.0,29873000.0,-50216000.0,39621000.0,543000000.0,-155773000.0,-186623000.0,-199000.0,-377041000.0,195832000,2013-06-28,60.48941040039063,61.05274963378906,59.96265029907226,60.61378479003906,43.64784622192383,2056700.0
2013-09-30,668989000.0,-261776000.0,407213000.0,-166305000.0,-44186000.0,-122119000.0,240908000.0,-139794000.0,-129951000.0,101114000,9081000.0,110195000,-2222000.0,107973000,24278000.0,103374000,83005000,872323000.0,131479000.0,1324781000.0,14430017000.0,1401547000.0,3118976000.0,18950540000.0,20275321000,9009205000.0,9934466000.0,1434751000.0,1561923000.0,11496389000,7191100000.0,-1527663000.0,8778932000.0,20275321000,132251000.0,129606000.0,-12991000.0,95926000.0,344792000.0,-63460000.0,225770000.0,-50285000.0,-156876000.0,-33979000.0,0.0,-203839000.0,90668000,2013-09-30,61.63803482055664,62.46475219726562,61.31612777709961,61.49903106689453,44.67007064819336,1326392.0
2013-12-31,240258000.0,-141874000.0,98384000.0,-98506000.0,-31495000.0,-67011000.0,-122000.0,-323366000.0,-57055000.0,-323488000,2077000.0,-321411000,14889000.0,-306522000,267763000.0,-48519000,-68887000,583290000.0,115862000.0,961592000.0,14122229000.0,859627000.0,4153776000.0,19135632000.0,20097224000,8754269000.0,9734340000.0,1646725000.0,1764520000.0,11498860000,7151309000.0,-1734839000.0,8598364000.0,20097224000,-38759000.0,142749000.0,142896000.0,4311000.0,251197000.0,-320407000.0,-145343000.0,-298324000.0,-156949000.0,-66792000.0,-341000.0,-241906000.0,-289033000,2013-12-31,65.66188049316406,65.75699615478516,64.78395080566406,64.95954132080078,47.56672286987305,1419748.0
2014-03-31,562381000.0,-236561000.0,325820000.0,-179294000.0,-47502000.0,-131792000.0,146526000.0,-64335000.0,-84462000.0,82191000,8350000.0,90541000,-851000.0,89690000,8466000.0,82717000,62349000,1156727000.0,123486000.0,1490397000.0,14638919000.0,1005725000.0,3234311000.0,18878955000.0,20369352000,9371216000.0,10264372000.0,1431580000.0,1554822000.0,11819194000,7025085000.0,-1809609000.0,8550158000.0,20369352000,98156000.0,153869000.0,-3491000.0,60597000.0,309131000.0,-90653000.0,67167000.0,82761000.0,-157129000.0,366802000.0,-578000.0,181545000.0,573437000,2014-03-31,72.08541107177734,72.27562713623047,71.29527282714844,72.10735321044922,53.21710586547852,1215267.0
