Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-06-30,4734000000.0,-3428000000.0,1306000000.0,-427000000.0,-427000000.0,879000000.0,8000000.0,-6000000.0,887000000,887000000,-285000000.0,602000000,605000000,605000000,1917000000.0,3860000000.0,5501000000.0,13014000000.0,2700000000.0,365000000.0,11754000000.0,14819000000.0,27833000000,3893000000.0,1289000000.0,6481000000.0,159000000.0,2421000000.0,8902000000,8677000000.0,10212000000.0,18931000000.0,27833000000,602000000.0,157000000.0,17000000.0,-1029000000.0,-253000000.0,-140000000.0,-1956000000.0,-2090000000.0,-51000000.0,938000000.0,5000000.0,897000000.0,-1473000000,2012-06-29,58.22362518310547,58.53922653198242,57.11451721191406,58.10640335083008,51.375938415527344,5233038.0
2012-09-30,5319000000.0,-3948000000.0,1371000000.0,-473000000.0,-473000000.0,898000000.0,-24000000.0,-9000000.0,874000000,874000000,-265000000.0,609000000,612000000,612000000,1702000000.0,4033000000.0,5989000000.0,13667000000.0,2818000000.0,370000000.0,11807000000.0,14995000000.0,28662000000,3922000000.0,354000000.0,5681000000.0,1175000000.0,3298000000.0,8979000000,8722000000.0,10773000000.0,19683000000.0,28662000000,609000000.0,157000000.0,15000000.0,-644000000.0,137000000.0,-129000000.0,-291000000.0,-413000000.0,-51000000.0,79000000.0,18000000.0,50000000.0,-215000000,2012-09-28,72.02885437011719,72.57890319824219,71.49684143066406,72.23625183105469,63.96145629882813,2629550.0
2012-12-31,2838000000.0,-1739000000.0,1099000000.0,-364000000.0,-364000000.0,735000000.0,-29000000.0,-19000000.0,706000000,706000000,-146000000.0,560000000,668000000,668000000,3319000000.0,4320000000.0,5891000000.0,15678000000.0,2945000000.0,393000000.0,12468000000.0,15806000000.0,31484000000,4126000000.0,1000000.0,5649000000.0,3148000000.0,5479000000.0,11128000000,8747000000.0,11385000000.0,20356000000.0,31484000000,560000000.0,154000000.0,-89000000.0,187000000.0,800000000.0,-187000000.0,538000000.0,-765000000.0,-56000000.0,1622000000.0,2000000.0,1578000000.0,1617000000,2012-12-31,59.3778190612793,61.72227096557617,59.224525451660156,61.63209915161133,54.67535018920898,4291719.0
2013-12-31,4371000000.0,-3064000000.0,1307000000.0,-456000000.0,-456000000.0,851000000.0,-24000000.0,-23000000.0,827000000,827000000,-238000000.0,589000000,658000000,658000000,3436000000.0,4896000000.0,5603000000.0,16423000000.0,3408000000.0,390000000.0,14591000000.0,18389000000.0,34812000000,4594000000.0,1000000.0,6678000000.0,3149000000.0,5804000000.0,12482000000,8911000000.0,13323000000.0,22330000000.0,34812000000,630000000.0,195000000.0,-197000000.0,782000000.0,1518000000.0,-180000000.0,0.0,-152000000.0,-111000000.0,-599000000.0,33000000.0,-668000000.0,695000000,2013-12-31,71.00991821289062,71.78539276123047,70.69432067871094,71.7132568359375,64.39653778076172,2050430.0
2014-09-30,5587000000.0,-4059000000.0,1528000000.0,-540000000.0,-540000000.0,988000000.0,-4000000.0,-22000000.0,984000000,984000000,-283000000.0,701000000,699000000,699000000,4091000000.0,4482000000.0,5464000000.0,16670000000.0,3377000000.0,356000000.0,13867000000.0,17600000000.0,34270000000,4836000000.0,151000000.0,7201000000.0,2995000000.0,5450000000.0,12651000000,9103000000.0,12782000000.0,21619000000.0,34270000000,701000000.0,198000000.0,65000000.0,-445000000.0,519000000.0,-168000000.0,-79000000.0,-143000000.0,-198000000.0,-2000000.0,73000000.0,-130000000.0,206000000,2014-09-30,78.20999908447266,78.41000366210938,75.2300033569336,76.0999984741211,69.35865783691406,8965300.0
2014-12-31,5709000000.0,-4173000000.0,1536000000.0,-519000000.0,-519000000.0,1017000000.0,-83000000.0,-21000000.0,934000000,830000000,-233000000.0,597000000,595000000,595000000,3536000000.0,4416000000.0,5281000000.0,16162000000.0,3362000000.0,362000000.0,13676000000.0,17400000000.0,33562000000,5138000000.0,152000000.0,7374000000.0,3014000000.0,5416000000.0,12790000000,8345000000.0,13181000000.0,20772000000.0,33562000000,597000000.0,199000000.0,-89000000.0,29000000.0,736000000.0,-231000000.0,-110000000.0,-307000000.0,-196000000.0,20000000.0,-778000000.0,-950000000.0,-555000000,2014-12-31,65.84999847412111,66.36000061035156,64.90000152587889,65.52999877929689,60.14037322998047,2859000.0
2015-03-31,4820000000.0,-3643000000.0,1177000000.0,-607000000.0,-607000000.0,570000000.0,-68000000.0,-21000000.0,502000000,502000000,-189000000.0,313000000,310000000,310000000,3024000000.0,4024000000.0,5378000000.0,15299000000.0,3216000000.0,360000000.0,13549000000.0,17125000000.0,32424000000,4720000000.0,151000000.0,6667000000.0,4094000000.0,6635000000.0,13302000000,7049000000.0,13306000000.0,19122000000.0,32424000000,313000000.0,190000000.0,75000000.0,-464000000.0,114000000.0,-130000000.0,-23000000.0,-149000000.0,-185000000.0,1079000000.0,-1327000000.0,-436000000.0,-512000000,2015-03-31,49.4000015258789,50.16999816894531,49.20000076293945,49.9900016784668,46.29872512817383,11090700.0
2015-06-30,3909000000.0,-3054000000.0,855000000.0,-417000000.0,-417000000.0,438000000.0,-47000000.0,-24000000.0,391000000,391000000,-105000000.0,286000000,289000000,289000000,2544000000.0,3476000000.0,5394000000.0,14167000000.0,3250000000.0,327000000.0,13481000000.0,17058000000.0,31225000000,3899000000.0,151000000.0,5672000000.0,4154000000.0,6548000000.0,12220000000,6629000000.0,13417000000.0,19005000000.0,31225000000,286000000.0,190000000.0,131000000.0,-413000000.0,194000000.0,-104000000.0,-21000000.0,-123000000.0,-178000000.0,60000000.0,-445000000.0,-561000000.0,-480000000,2015-06-30,48.93000030517578,48.95000076293945,47.61000061035156,48.27999877929688,45.14856338500977,4719500.0
2015-09-30,3306000000.0,-2634000000.0,672000000.0,-383000000.0,-383000000.0,289000000.0,-42000000.0,-22000000.0,247000000,192000000,-36000000.0,156000000,155000000,155000000,1846000000.0,3325000000.0,5172000000.0,12933000000.0,3122000000.0,331000000.0,13242000000.0,16695000000.0,29628000000,3653000000.0,2000000.0,5193000000.0,3981000000.0,6229000000.0,11422000000,6205000000.0,13398000000.0,18206000000.0,29628000000,156000000.0,184000000.0,-19000000.0,89000000.0,410000000.0,-98000000.0,-26000000.0,-106000000.0,-174000000.0,-324000000.0,-443000000.0,-942000000.0,-698000000,2015-09-30,37.349998474121094,37.7400016784668,37.040000915527344,37.650001525878906,35.61131286621094,6551400.0
2015-12-31,2722000000.0,-2363000000.0,359000000.0,-357000000.0,-357000000.0,2000000.0,-42000000.0,-22000000.0,-40000000,-1674000000,152000000.0,-1522000000,-1523000000,-1523000000,2080000000.0,2926000000.0,4678000000.0,11425000000.0,3124000000.0,327000000.0,11094000000.0,14545000000.0,25970000000,3171000000.0,2000000.0,3958000000.0,3907000000.0,5552000000.0,9510000000,8009000000.0,9927000000.0,16460000000.0,25970000000,-1522000000.0,183000000.0,1631000000.0,322000000.0,614000000.0,-121000000.0,-16000000.0,-136000000.0,-173000000.0,-53000000.0,1000000.0,-224000000.0,234000000,2015-12-31,33.549999237060554,33.93000030517578,33.169998168945305,33.490001678466804,32.067638397216804,4007100.0
